Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,Mazda,CX-5,2.2 D Excellence Navi,Diesel,9,2016.0,180000.0,2191,150,SUV / TT,Cinzento,Manual,5.0,18,Nacional,Usados,14980,8089852863.0,3 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Toyota,C-HR,2.0 Hybrid Exclusive+P.Luxury,Híbrido (Gasolina),12,2020.0,38000.0,1987,184,SUV / TT,Cinzento,Automática,5.0,0,Nacional,Usados,33500,8089580369.0,3 Julho 2023,3.7,,120.0,4.0,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),11,2020.0,20900.0,1332,218,Carrinha,Preto,Automática,5.0,0,,Usados,36990,8089136477.0,3 Julho 2023,,8.0,,,,,,Classe CLA,,,,,Nao,StandVirtual,Yes,,,
Particular,Peugeot,205 Cabrio,1.4,Gasolina,4,1993.0,88000.0,1360,76,Cabrio,Verde,Manual,2.0,0,,Usados,7500,8089390933.0,3 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,BMW,320,d Touring Auto Line Sport,Diesel,5,2014.0,143124.0,1995,184,Carrinha,Cinzento,Automática,5.0,0,Nacional,Usados,19900,8089160622.0,3 Julho 2023,,8.0,,,,900.0,,Série 3,,,,,Nao,StandVirtual,Yes,,,
Particular,BMW,X1,sDrive20d,Diesel,2,2010.0,200000.0,1995,177,SUV / TT,Cinzento,Manual,5.0,0,Nacional,Usados,14950,8089804046.0,3 Julho 2023,6.4,5.0,,,,,,Série X,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,118,d,Diesel,7,2012.0,179000.0,1995,143,Utilitário,Branco,Manual,2.0,18,,Usados,17950,8081152950.0,3 Julho 2023,5.3,6.0,,,,,,Série 1,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,XC 90,2.0 D4 R-Design,Diesel,5,2018.0,81992.0,1969,190,SUV / TT,Cinzento,Automática,5.0,18,,Usados,51950,8089446900.0,3 Julho 2023,5.8,8.0,136.0,,,,226.0,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,11,2020.0,15300.0,999,70,Pequeno citadino,Branco,Manual,3.0,18,,Usados,15790,8088849146.0,3 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane Break,"1.5-dci-(km16,-km1e)",Diesel,10,2007.0,252000.0,1461,106,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,4999,8089949337.0,3 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
