Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Gancho de Reboque,IUC,Inspecção válida até,Livro de Revisões completo,Clássico,IVA Discriminado,Filtro de partículas,Garantia de Fábrica até,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Bateria,Site,Portugal,Data
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake AMG Line Aut.,Diesel,Maio,2020,140 000 km,1 950 cm3,190 cv,Sim,Sim,Sim,Carrinha,Branco,,Automática,,5,5,Classe 1,,134 g/km,18 Meses,1,,Sim,Sim,,,Usados,37 990        EUR,8090689525,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-d-shooting-brake-amg-line-aut-ID8PxHVl.html,Classe CLA,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Alfa Romeo,Stelvio,2.2 D Super AT8,Diesel,Julho,2019,69 879 km,2 143 cm3,190 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,18 Meses,,,,,,,Usados,32 899        EUR,8090112780,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-stelvio-2-2-d-super-at8-ID8PwhU0.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Volvo,V60,2.0 T6 AWD TE R-Design,Híbrido (Gasolina),Junho,2020,76 361 km,1 969 cm3,340 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Integral,42 g/km,18 Meses,2,Importado,Sim,Sim,,,Usados,39 900        EUR,8090277161,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-t6-awd-te-r-design-ID8PwYFj.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Volvo,XC 60,2.0 D4 R-Design Geartronic,Diesel,Outubro,2018,70 000 km,1 969 cm3,190 cv,,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,,,,18 Meses,,Importado,Sim,Sim,,,Usados,39 990        EUR,8090693633,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-d4-r-design-geartronic-ID8PxJ0B.html,,,,,Sim,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Tesla,Model S,,Eléctrico,Maio,2018,90 000 km,,525 cv,,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,1,5,5,Classe 1,Tracção traseira,,18 Meses,,Importado,Sim,Sim,,,Usados,44 990        EUR,8090653041,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-s-ID8PxyrT.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Cupra,Born,58 kWh,Eléctrico,Março,2023,11 424 km,,204 cv,Sim,Sim,,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,39 990        EUR,8090918922,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-born-58-kwh-ID8PyFCi.html,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mitsubishi,Eclipse Cross,2.4 PHEV eMotion,Híbrido (Gasolina),Novembro,2022,26 132 km,2 360 cm3,202 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,,Integral,46 g/km,36 Meses,,Nacional,Sim,Sim,,,Usados,38 990        EUR,8090279719,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-eclipse-cross-2-4-phev-emotion-ID8PwZkz.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Novembro,2022,18 000 km,1 950 cm3,116 cv,Sim,,,Utilitário,Cinzento,,Automática,,5,5,,,,24 Meses,,Nacional,,,,,Usados,38 950        EUR,8090586701,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbT.html,Classe A,,,,,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Dezembro,2022,17 500 km,1 950 cm3,116 cv,Sim,,,Utilitário,Branco,,Automática,,5,5,,,,24 Meses,,Nacional,,,,,Usados,38 750        EUR,8090586704,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbV.html,Classe A,,,,,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Peugeot,5008,,Diesel,Abril,2023,8 000 km,1 499 cm3,130 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,7,,,,36 Meses,,Nacional,,,,,Usados,39 990        EUR,8090700825,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-ID8PxKSB.html,,,,,,,,,24/10/2026,"5,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Maio,2019,98 000 km,1 950 cm3,306 cv,,Sim,Sim,Carrinha,Cinzento,,Automática,,5,5,,Tracção dianteira,,36 Meses,,Importado,Sim,Sim,,,Usados,41 990        EUR,8090826865,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8PyhFw.html,Classe E,,,03/05/2025,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Tesla,Model 3,Performance Dual Motor AWD,Eléctrico,Janeiro,2020,64 120 km,,513 cv,Sim,Sim,Sim,Sedan,Branco,Metalizado,Automática,,4,5,Classe 1,Integral,,18 Meses,,Nacional,,Sim,,,Usados,41 990        EUR,8088190355,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-performance-dual-motor-awd-ID8PndN9.html,,,,,,,,,,,,,,567 km,"16,60 kWh/100km",,StandVirtual,Yes,2023-10-24
Profissional,VW,Tiguan,2.0 TDI Confortline DSG,Diesel,Agosto,2018,76 649 km,1 968 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,150 g/km,18 Meses,,Nacional,,Sim,"5,40 l/100km","4,60 l/100km",Usados,31 990        EUR,8090758118,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-tiguan-2-0-tdi-confortline-dsg-ID8PxZMG.html,,,,28/08/2024,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Isuzu,D-Max,1.9 Ddi CD 4WD LS Pro Racing,Diesel,Janeiro,2018,44 000 km,1 898 cm3,164 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,4,3,Classe 2,Tracção traseira,,18 Meses,2,Nacional,Sim,Sim,,,Usados,31 500        EUR,8089914238,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/isuzu-d-max-1-9-ddi-cd-4wd-ls-pro-racing-ID8PusfI.html,,,53 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Land Rover,Range Rover Evoque,2.0 D150 R-Dynamic S,Diesel,Fevereiro,2020,94 000 km,1 999 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,169 g/km,18 Meses,,Nacional,,Sim,"6,30 l/100km","4,90 l/100km",Usados,39 999        EUR,8090190002,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-d150-r-dynamic-s-ID8PwBZv.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Audi,A6 Avant,40 TDI Design S tronic,Diesel,Fevereiro,2019,90 600 km,1 968 cm3,204 cv,Sim,Sim,Sim,Carrinha,Preto,,Automática,7,5,5,Classe 1,Tracção dianteira,147 g/km,18 Meses,1,Nacional,Sim,Sim,"5,30 l/100km",4 l/100km,Usados,37 500        EUR,8090760016,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-40-tdi-design-s-tronic-ID8Py0hi.html,,,,13/02/2025,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Alfa Romeo,Giulia,2.2 D Veloce Ti Q4 AT8,Diesel,Julho,2017,44 000 km,2 143 cm3,210 cv,Sim,Sim,Sim,Sedan,Cinzento,,Automática,8,4,5,Classe 1,Integral,148 g/km,18 Meses,1,Nacional,Sim,Sim,,,Usados,33 990        EUR,8090757275,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulia-2-2-d-veloce-ti-q4-at8-ID8PxZz5.html,,,,01/07/2025,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Countryman,One D,Diesel,Junho,2021,61 000 km,1 496 cm3,116 cv,Sim,Sim,,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,134 g/km,36 Meses,,Nacional,,Sim,,,Usados,30 990        EUR,8090169542,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PwvFv.html,,,,,Sim,,Sim,Sim,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Janeiro,2023,7 539 km,1 950 cm3,116 cv,Sim,,,Citadino,Branco,,Automática,,5,,,,,18 Meses,,Nacional,,,,,Usados,42 900        EUR,8090605059,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxlXZ.html,Classe A,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Volvo,XC 40,2.0 D3 Momentum Plus,Diesel,Março,2019,90 000 km,1 969 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,6,5,5,,,,18 Meses,1,,Sim,Sim,,,Usados,31 000        EUR,8090799131,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-2-0-d3-momentum-plus-ID8Pyasb.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,E 220,BlueTEC Auto,Diesel,Maio,2015,130 000 km,2 143 cm3,170 cv,Sim,Sim,Sim,Coupé,Preto,Metalizado,Automática,9,2,4,Classe 1,Tracção traseira,,18 Meses,,Nacional,Sim,Sim,"5,60 l/100km",,Usados,31 999        EUR,8088875450,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-bluetec-auto-ID8Pq614.html,Classe E,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Kia,Sportage,1.6 T-GDi Tech+SRF HEV,Híbrido (Gasolina),Fevereiro,2022,27 205 km,1 598 cm3,230 cv,Sim,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,6,5,5,,Tracção dianteira,131 g/km,18 Meses,1,Nacional,,Sim,,,Usados,39 000        EUR,8090840065,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-sportage-1-6-t-gdi-tech-srf-hev-ID8Pyl6p.html,,1,,,Sim,,,,01/02/2032,,200 000 km,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,GLC 350,,Híbrido (Gasolina),Março,2017,99 870 km,2 000 cm3,320 cv,,Sim,Sim,SUV / TT,Preto,,Automática,8,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,39 990        EUR,8089630942,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-350-ID8Ptgyq.html,Classe GLC,,,01/03/2025,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Jaguar,F-Pace,2.0 i4D R-Sport,Diesel,Abril,2018,99 000 km,1 999 cm3,163 cv,,Sim,Sim,SUV / TT,Preto,,Manual,6,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,34 990        EUR,8090659941,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-f-pace-2-0-i4d-r-sport-ID8PxAfb.html,,,,01/04/2024,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,ID.3,Pro Performance,Eléctrico,Fevereiro,2023,74 km,,204 cv,Sim,Sim,Sim,Citadino,Cinzento,,Automática,,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,Sim,,,Usados,38 750        EUR,8089370474,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-id-3-pro-performance-ID8PsaNk.html,,,,,,,Sim,,,,,,,,,Própria,StandVirtual,Yes,2023-10-24
Profissional,Toyota,Corolla,1.8 Hybrid Exclusive,Híbrido (Gasolina),Março,2021,25 500 km,1 798 cm3,122 cv,Sim,Sim,Sim,Utilitário,Vermelho,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,36 Meses,,Importado,,Sim,,,Usados,30 490        EUR,8089028565,23 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-corolla-1-8-hybrid-exclusive-ID8PqJQF.html,,,,,Sim,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,VW,ID.3,Pro Performance,Eléctrico,Fevereiro,2023,74 km,,204 cv,Sim,Sim,Sim,Citadino,Cinzento,,Automática,,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,Sim,,,Usados,38 750        EUR,8089370474,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-id-3-pro-performance-ID8PsaNk.html,,,,,,,Sim,,,,,,,,,Própria,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,GLC 350,e AMG Line 4-Matic,Híbrido (Gasolina),Setembro,2017,108 000 km,1 991 cm3,320 cv,,Sim,,SUV / TT,Preto,,Automática,8,5,5,Classe 1,,,18 Meses,1,,Sim,Sim,,,Usados,41 990        EUR,8090481921,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-350-e-amg-line-4-matic-ID8PvPWT.html,Classe GLC,,,01/09/2025,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,X1,18 d sDrive Auto Advantage,Diesel,Janeiro,2019,78 927 km,1 995 cm3,150 cv,Sim,,,SUV / TT,Azul,,Automática,,5,,,,,18 Meses,,Nacional,,,,,Usados,31 900        EUR,8090524354,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-auto-advantage-ID8Px0Yi.html,Série X,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Countryman,One D Classic Auto,Diesel,Novembro,2021,61 257 km,1 496 cm3,116 cv,Sim,,,Citadino,Preto,,Automática,,5,,,,,18 Meses,,Nacional,,,,,Usados,34 990        EUR,8090524349,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-classic-auto-ID8Px0Yd.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Electric,Cooper SE,Eléctrico,Junho,2021,18 486 km,,184 cv,Sim,,,Citadino,Cinzento,,Automática,,3,,,,,18 Meses,,Nacional,,,,,Usados,32 990        EUR,8090524348,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-electric-cooper-se-ID8Px0Yc.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Cupra,Leon,1.4 e-Hybrid VZ DSG,Híbrido (Gasolina),Março,2021,26 000 km,1 395 cm3,245 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,,,Usados,33 900        EUR,8090786000,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-leon-1-4-e-hybrid-vz-dsg-ID8Py72o.html,,,,,Sim,,Sim,,,,,68 km,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,218,d Line Sport,Diesel,Junho,2017,55 314 km,1 995 cm3,150 cv,Sim,,,Cabrio,Cinzento,,Manual,,2,,,,,18 Meses,,Nacional,,,,,Usados,30 990        EUR,8090799095,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-218-d-line-sport-ID8PyarB.html,Série 2,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Lynk & Co,01,,Híbrido (Gasolina),Julho,2021,20 000 km,1 477 cm3,260 cv,,Sim,Sim,SUV / TT,Azul,,Automática,7,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,42 990        EUR,8090350993,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/lynk-co-01-ID8PvhS9.html,,,,01/07/2025,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Electric,Cooper SE,Eléctrico,Maio,2021,21 589 km,,184 cv,Sim,,,Citadino,Cinzento,,Automática,,3,,,,,18 Meses,,Nacional,,,,,Usados,30 900        EUR,8090843293,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-electric-cooper-se-ID8PylVt.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,116,d Pack M Auto,Diesel,Junho,2021,52 650 km,1 496 cm3,116 cv,Sim,,,Citadino,Preto,,Automática,,5,,,,,18 Meses,,Nacional,,,,,Usados,32 900        EUR,8090843274,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-auto-ID8PylVa.html,Série 1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,MINI,Cooper,S Auto,Gasolina,Abril,2019,56 930 km,1 998 cm3,192 cv,Sim,,,Citadino,Preto,,Automática,,3,,,,,18 Meses,,Nacional,,,,,Usados,33 490        EUR,8090843263,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-s-auto-ID8PylWZ.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,BMW,116,d Corporate Edition,Diesel,Agosto,2022,18 533 km,1 496 cm3,116 cv,Sim,,,Citadino,Preto,,Manual,,5,,,,,18 Meses,,Nacional,,,,,Usados,30 490        EUR,8090918121,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-corporate-edition-ID8PyFpn.html,Série 1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Audi,A3 Sportback,30 TDI S line S tronic,Diesel,Janeiro,2023,10 500 km,1 968 cm3,116 cv,,Sim,Sim,Utilitário,Branco,,Automática,,5,5,,,,36 Meses,,Nacional,Sim,,,,Usados,35 900        EUR,8090760078,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tdi-s-line-s-tronic-ID8Py0ii.html,,,,,Sim,,,Sim,01/01/0001,,,,,,,,StandVirtual,Yes,2023-10-24
