Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Classe do veículo,Tracção,Emissões CO2,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Inspecção válida até,Livro de Revisões completo,IVA Discriminado,Origem,Registo(s),Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,IUC,Capacidade da bateria,Bateria,Autonomia,Consumo Combinado,Consumo,Clássico,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,BMW,X1,16 d sDrive xLine Auto,Diesel,Abril,2021,80 796 km,1 496 cm3,116 cv,Sim,,Sim,SUV / TT,Cinzento,,Automática,5,,36 Meses,Usados,36 499        EUR,8089794912,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-xline-auto-ID8PtXd6.html,,,,,,,,,,,,,Nacional,,,,Série X,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,3008,1.5 BlueHDi GT EAT8,Diesel,Julho,2021,70 417 km,1 499 cm3,130 cv,Sim,,Sim,SUV / TT,Cinzento,,Automática,5,,36 Meses,Usados,33 999        EUR,8090334950,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-gt-eat8-ID8PvdHo.html,,,,,,,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Opel,Grandland,1.5 CDTI GS Line AT,Diesel,Junho,2022,27 495 km,1 499 cm3,130 cv,Sim,,Sim,SUV / TT,Branco,,Automática,5,,36 Meses,Usados,31 999        EUR,8090155342,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-grandland-1-5-cdti-gs-line-at-ID8PwsYu.html,,,,,,,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,A 180,d Style Plus Aut.,Diesel,Outubro,2021,28 000 km,1 950 cm3,116 cv,Sim,,,Sedan,Cinzento,,Automática,5,5,24 Meses,Usados,34 500        EUR,8090633544,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-style-plus-aut-ID8Pxtnq.html,,,,,,,,,,,,,Nacional,,,,Classe A,,,,,"4,90 l/100km",,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Janeiro,2021,88 000 km,1 499 cm3,130 cv,,,,SUV / TT,Cinzento,Metalizado,Automática,5,7,18 Meses,Usados,30 990        EUR,8090584007,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-eat8-ID8Pxgur.html,8,Classe 1,Tracção dianteira,147 g/km,Sim,Sim,"4,50 l/100km","3,80 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2019,60 000 km,1 461 cm3,116 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,5,5,18 Meses,Usados,31 495        EUR,8090153943,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PwsBW.html,7,Classe 1,Tracção dianteira,123 g/km,,Sim,,,,,Sim,,,1,,,Classe A,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,MINI,John Cooper Works,,Gasolina,Maio,2019,69 500 km,1 998 cm3,232 cv,,Sim,Sim,Citadino,Azul,,Manual,3,,18 Meses,Usados,31 999        EUR,8090325984,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-john-cooper-works-ID8PvbmM.html,,,,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,BMW,X6 M,,Diesel,Novembro,2012,196 000 km,2 995 cm3,381 cv,Sim,,Sim,SUV / TT,Preto,,Automática,5,4,18 Meses,Usados,37 500        EUR,8090244775,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x6-m-ID8PwQeX.html,,Classe 2,,204 g/km,Sim,Sim,,,,,,,,2,,,Série X,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Janeiro,2020,136 027 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Prateado,Metalizado,Automática,5,7,18 Meses,Usados,30 750        EUR,8090586652,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-eat8-ID8Pxhb6.html,8,,Tracção dianteira,98 g/km,Sim,Sim,,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Volvo,XC 40,2.0 D3 R-Design Geartronic,Diesel,Agosto,2018,110 000 km,1 969 cm3,150 cv,,,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,5,18 Meses,Usados,36 900        EUR,8089793751,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-2-0-d3-r-design-geartronic-ID8PtVUn.html,,Classe 1,,132 g/km,Sim,,,,,,Sim,,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
