Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Possibilidade de financiamento,Origem,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,VIN,IVA Discriminado,Registo(s),Sub-modelo,Inspecção válida até,IUC,Garantia de Fábrica até,Consumo Combinado,Bateria,Autonomia Máxima,Capacidade da bateria,Autonomia,Consumo,ou até,Site,Portugal,Data
Profissional,Toyota,Yaris,Híbrido (Gasolina),Janeiro,2016,82 000 km,1 497 cm3,101 cv,Citadino,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,14 950,8091224174,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-hsd-comfort-p-style-p-techno-ID8PzX1I.html,1.5 HSD Comfort +P.Style+P.Techno,Sim,Sim,,,,,,,,,21 Janeiro 2025,144 €,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Renault,Clio,Diesel,Abril,2018,199 953 km,1 461 cm3,75 cv,Utilitário,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,,Usados,9 990,8091898823,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCMx9.html,1.5 dCi Zen,Sim,Sim,Nacional,128 g/km,,,,Sim,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Passat Variant,Diesel,Dezembro,2017,247 911 km,1 598 cm3,120 cv,Carrinha,Azul,,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,,Usados,11 990,8091898805,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PCMvR.html,1.6 TDI Confortline,Sim,Sim,Nacional,107 g/km,,,,Sim,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,318,Diesel,Novembro,2018,97 002 km,1 995 cm3,150 cv,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção traseira,18 Meses,Sim,,Sim,Usados,23 250,8090379081,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-advantage-ID8Pvpbb.html,d Advantage,,,Nacional,118 g/km,"5,30 l/100km",4 l/100km,,,1,Série 3,16 Novembro 2024,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Polo,Gasolina,Junho,2014,97 381 km,1 984 cm3,220 cv,Utilitário,Branco,Metalizado,Manual,6,3,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,Usados,27 500,8090308155,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-2-0-tsi-r-wrc-ID8Pv6Jd.html,2.0 TSI R WRC,,Sim,Importado,174 g/km,,,Mostrar VIN,,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Audi,A5 Sportback,Diesel,Março,2017,198 000 km,1 968 cm3,190 cv,Sedan,Preto,,Automática,,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,29 950,8091398819,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a5-sportback-2-0-tdi-s-line-s-tronic-ID8PAGsz.html,2.0 TDI S-line S tronic,,Sim,Nacional,,"4,90 l/100km",,,,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,220,Diesel,Dezembro,2014,223 386 km,1 995 cm3,184 cv,Coupé,Branco,Pérola,Manual,6,2,4,Classe 1,Tracção traseira,18 Meses,Sim,Sim,Sim,Usados,24 900,8089154671,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-220-d-pack-m-ID8PrgED.html,d Pack M,,Sim,Importado,125 g/km,,,Mostrar VIN,,1,Série 2,1 Março 2024,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,116,Diesel,Junho,2022,12 000 km,1 496 cm3,116 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,Tracção dianteira,18 Meses,Sim,Sim,Sim,Usados,29 990,8091956820,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-ID8PD1CA.html,d Pack M,,Sim,Nacional,,,,,,,Série 1,1 Junho 2026,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,Tipo,Diesel,Agosto,2019,16 406 km,1 248 cm3,95 cv,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,17 590,8090102097,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8Pwf7H.html,1.3 M-Jet Lounge,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Hyundai,i30,Diesel,Outubro,2021,60 374 km,1 598 cm3,136 cv,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,23 490,8091195382,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i30-1-6-crdi-n-line-ID8PzPxk.html,1.6 CRDi N-Line,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
