Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Particular,Alfa Romeo,MiTo,1.3 JTDM,Diesel,Maio,2011,133 000 km,1 248 cm3,95 cv,,,,Citadino,Preto,,Manual,5,3,4,,Tracção dianteira,,,,,,Sim,Usados,6 200        EUR,8090320546,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-ID8Pv9X4.html,"5,50 l/100km",,,"3,60 l/100km",,114 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Avensis SW,2.0 D-4D Exclusive +Pele+GPS,Diesel,Julho,2010,556 000 km,1 998 cm3,126 cv,,,,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,,,,Usados,6 990        EUR,8090422373,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-avensis-sw-2-0-d-4d-exclusive-pele-gps-ID8PvArr.html,"6,70 l/100km",,,"4,60 l/100km",,140 g/km,224 €,21/07/2024,,,,,800 km,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Polo,1.4 TDi BlueMotion,Diesel,Fevereiro,2016,138 000 km,1 422 cm3,75 cv,,,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,24 Meses,1,Nacional,Sim,,Sim,Usados,11 900        EUR,8090447468,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-bluemotion-ID8PvGYc.html,4 l/100km,Sim,,,,,,01/08/2024,01/08/2025,250 000 km,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Hyundai,i30 SW,1.6 CRDi Comfort,Diesel,Janeiro,2018,198 151 km,1 582 cm3,110 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,,5,5,,,18 Meses,1,Nacional,Sim,Sim,,Usados,13 490        EUR,8087925684,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-6-crdi-comfort-ID8Pm6Vg.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Audi,A1 Sportback,1.4 TDI Design S tronic,Diesel,Julho,2016,195 000 km,1 422 cm3,90 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,Nacional,,Sim,Sim,Usados,14 950        EUR,8090470659,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-4-tdi-design-s-tronic-ID8PvN0f.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C4 Picasso,1.6 BlueHDi Intensive EAT6,Diesel,Dezembro,2015,379 798 km,1 560 cm3,120 cv,Sim,,Sim,Monovolume,Cinzento,,Automática,,5,7,,Tracção dianteira,18 Meses,,Importado,,Sim,,Usados,9 490        EUR,8089256206,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-1-6-bluehdi-intensive-eat6-ID8PrH4i.html,,,,,,103 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Focus SW,1.0 SCTi Titanium,Gasolina,Agosto,2016,99 500 km,998 cm3,125 cv,Sim,Sim,Sim,Carrinha,Preto,,Manual,6,5,,,,18 Meses,,,,Sim,Sim,Usados,12 450        EUR,8090195278,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-scti-titanium-ID8PwDmC.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Março,2017,107 643 km,1 248 cm3,95 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,12 990        EUR,8085764970,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Pd2Q2.html,,,,,,94 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Tourneo Courier,,Diesel,Março,2016,110 000 km,1 498 cm3,100 cv,Sim,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,Importado,Sim,,Sim,Usados,14 750        EUR,8090586636,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-tourneo-courier-ID8PxhaQ.html,,,,,,,,01/03/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Auris Touring Sports,1.4 D-4D Active+AC,Diesel,Fevereiro,2014,218 245 km,1 364 cm3,90 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,,Importado,,Sim,Sim,Usados,12 990        EUR,8089616878,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-touring-sports-1-4-d-4d-active-ac-ID8PtcTA.html,"4,60 l/100km",,,"3,80 l/100km",,106 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
