Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Peugeot,508 SW,1.5 BlueHDi Allure Pack EAT8,Diesel,Março,2019,151 000 km,1 499 cm3,130 cv,,Sim,Sim,Carrinha,Branco,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,25 999        EUR,8089784501,7 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-5-bluehdi-allure-pack-eat8-ID8PtUwb.html,"4,20 l/100km",,,,,,139 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Kia,Stonic,1.0 T-GDI Drive,Gasolina,Julho,2020,18 000 km,998 cm3,100 cv,,,,Utilitário,Vermelho,,Manual,6,5,5,,Tracção dianteira,18 Meses,1,Nacional,Sim,,Sim,Usados,19 250        EUR,8090108160,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-stonic-1-0-t-gdi-drive-ID8PwgHu.html,,,,,,132 g/km,,,01/07/2027,150 000 km,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Abril,2021,44 000 km,1 461 cm3,95 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,,Sim,Sim,Usados,24 950        EUR,8088488399,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8Potkj.html,"6,40 l/100km",,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Duster,1.5 Blue dCi Prestige,Diesel,Maio,2021,52 800 km,1 461 cm3,115 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,,Sim,Sim,Usados,22 950        EUR,8090056258,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-blue-dci-prestige-ID8Pw3cm.html,"4,70 l/100km",Sim,,"3,90 l/100km",,127 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Junho,2021,40 000 km,1 199 cm3,83 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,,Sim,Sim,Usados,16 690        EUR,8088743982,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PpxOC.html,"6,40 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,2008,1.5 BlueHDi Active,Diesel,Setembro,2021,41 000 km,1 499 cm3,102 cv,Sim,,,SUV / TT,Branco,,Manual,,5,,,,36 Meses,,Nacional,,,,Usados,23 990        EUR,8090449190,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-active-ID8PvHpY.html,,,,,"4,50 l/100km",,,,12/09/2026,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.0 TCe Intens,Gasolina,Maio,2021,44 497 km,999 cm3,90 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,5,,,36 Meses,,Nacional,,,,Usados,21 690        EUR,8090067307,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-intens-ID8Pw64z.html,,,,,6 l/100km,,,,12/09/2026,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Volvo,V40,2.0 D2 Momentum,Diesel,Junho,2017,116 000 km,1 969 cm3,120 cv,,Sim,Sim,Utilitário,Preto,,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,,,Usados,20 700        EUR,8087796597,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-momentum-ID8Plzmd.html,"4,10 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Agosto,2018,37 450 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,Nacional,Sim,,Sim,Usados,19 750        EUR,8089470814,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PsATI.html,"4,60 l/100km",,,,,95 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mazda,MX-30,e-SKYACTIV Prime-Line,Eléctrico,Dezembro,2020,20 000 km,,145 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,25 750        EUR,8090586711,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-mx-30-e-skyactiv-prime-line-ID8Pxhc3.html,,,,,,,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Master,2.3 dCi L2 3.5T CD,Diesel,Abril,2016,170 000 km,2 299 cm3,145 cv,,Sim,,Carrinha,Branco,,Manual,6,4,3,,Tracção traseira,18 Meses,,Importado,,,,Usados,15 200        EUR,8090055625,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-master-2-3-dci-l2-3-5t-cd-ID8Pw329.html,"8,90 l/100km",,,"8,40 l/100km",,225 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Sandero,1.5 Blue dCi Stepway,Diesel,Abril,2019,43 500 km,1 461 cm3,95 cv,,Sim,Sim,Citadino,Azul,,Manual,,5,1,,,18 Meses,,Importado,,Sim,Sim,Usados,17 200        EUR,8085601112,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-5-blue-dci-stepway-ID8Pcmda.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,508,,Diesel,Abril,2019,89 968 km,1 499 cm3,130 cv,,Sim,Sim,Sedan,Preto,Metalizado,Automática,,5,5,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,25 980        EUR,8090513829,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-ID8PvYex.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Golf,1.5 TSI Highline,Gasolina,Novembro,2018,46 820 km,1 498 cm3,130 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,21 350        EUR,8090064896,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-5-tsi-highline-ID8Pw5rG.html,"6,20 l/100km",,,"4,40 l/100km",,116 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,VW,Polo,1.0 TSI Confortline,Gasolina,Fevereiro,2020,10 035 km,999 cm3,95 cv,,Sim,Sim,Citadino,Cinzento,,Manual,,5,5,,,18 Meses,,Nacional,,,Sim,Usados,18 850        EUR,8090586709,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-confortline-ID8Pxhc1.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Outubro,2017,126 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Nacional,,,Sim,Usados,15 500        EUR,8090228731,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8PwM4b.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon,1.0 TSI FR,Gasolina,Outubro,2020,40 000 km,999 cm3,110 cv,,Sim,Sim,Citadino,Vermelho,,Manual,,5,5,,Tracção dianteira,18 Meses,,Nacional,,,,Usados,21 990        EUR,8090480095,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-tsi-fr-ID8PvPsr.html,,,,,,,,30/10/2024,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,220,,Diesel,Julho,2015,149 000 km,1 995 cm3,190 cv,,,,Coupé,Cinzento,Metalizado,Automática,8,2,4,Classe 1,Tracção traseira,,2,Importado,Sim,Sim,Sim,Usados,24 250        EUR,8085600166,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-220-ID8PclXU.html,"4,80 l/100km",Sim,Série 2,,,109 g/km,,28/07/2023,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Hyundai,i30,1.6 CRDi STyle,Diesel,Dezembro,2016,84 159 km,1 582 cm3,110 cv,,Sim,Sim,Citadino,Branco,,Manual,6,5,5,,,18 Meses,1,Nacional,,,Sim,Usados,16 899        EUR,8090463597,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-1-6-crdi-style-ID8PvLal.html,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio,1.0 TCe Zen Bi-Fuel,GPL,Março,2021,46 000 km,999 cm3,100 cv,,Sim,Sim,Citadino,Preto,,Manual,,5,5,,,18 Meses,,Importado,Sim,Sim,Sim,Usados,17 990        EUR,8089160413,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-zen-bi-fuel-ID8Pri9f.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Toyota,Corolla Touring Sports,1.8 Hybrid Square Collection,Híbrido (Gasolina),Julho,2019,38 479 km,1 798 cm3,122 cv,Sim,,,Carrinha,Branco,Pérola,Automática,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,Sim,Usados,30 000        EUR,8090211045,8 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-corolla-touring-sports-1-8-hybrid-square-collection-ID8PwHsW.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.0 TCe Techno,Gasolina,Outubro,2022,14 000 km,999 cm3,90 cv,,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,Sim,Usados,22 300        EUR,8089831087,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-techno-ID8Pu6Cz.html,"6,30 l/100km",,,"4,70 l/100km",,131 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Renault,Scénic,1.7 Blue dCi Bose Edition,Diesel,Junho,2020,51 000 km,1 750 cm3,150 cv,,,,Monovolume,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,1,,Sim,Sim,Sim,Usados,23 000        EUR,8090573943,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-7-blue-dci-bose-edition-ID8PxdS7.html,"5,80 l/100km",,,"4,20 l/100km",,144 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Ford,Focus,1.5 TDCi Titanium,Diesel,Julho,2017,74 000 km,1 499 cm3,120 cv,,Sim,Sim,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,,Nacional,,,Sim,Usados,17 900        EUR,8090298274,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-5-tdci-titanium-ID8Pv49Q.html,,Sim,,,,99 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,3008,1.5 BlueHDi Allure Pack,Diesel,Dezembro,2018,126 000 km,1 499 cm3,130 cv,,Sim,,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,23 750        EUR,8089898308,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-pack-ID8Puo6M.html,"4,40 l/100km",,,"3,60 l/100km",,130 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,3008,1.6 BlueHDi Active,Diesel,Fevereiro,2017,218 500 km,1 560 cm3,120 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,18 990        EUR,8087705422,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-active-ID8PlbDE.html,"4,70 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Espace,1.6 dCi Initiale Paris EDC,Diesel,Junho,2015,178 500 km,1 598 cm3,160 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,20 990        EUR,8087625651,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-espace-1-6-dci-initiale-paris-edc-ID8PkQT1.html,"5,10 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Leaf,N-Connecta,Eléctrico,Agosto,2018,89 500 km,,150 cv,,Sim,Sim,Utilitário,Branco,Pérola,Automática,,5,5,Classe 1,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,21 500        EUR,8088277048,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-leaf-n-connecta-ID8PnAlq.html,,,,,,,,,,,Sim,,,270 km,Própria,,"16,50 kWh/100km",,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Dokker,1.3 TCe Stepway,Gasolina,Agosto,2019,70 500 km,1 332 cm3,130 cv,,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,6,5,,,18 Meses,,,Sim,Sim,Sim,Usados,17 990        EUR,8088029771,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-dokker-1-3-tce-stepway-ID8Pmy15.html,"7,30 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio,1.5 Blue dCi RS Line,Diesel,Novembro,2019,106 000 km,1 461 cm3,115 cv,Sim,Sim,Sim,Utilitário,Laranja,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,18 900        EUR,8089511024,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-rs-line-ID8PsLmg.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Qashqai,1.5 dCi Tekna A+C,Diesel,Dezembro,2019,34 000 km,1 461 cm3,115 cv,,,,SUV / TT,Cinzento,,Manual,6,5,,,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,23 499        EUR,8090229786,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-tekna-a-c-ID8PwMlc.html,"4,70 l/100km",,,"3,90 l/100km",,144 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Toyota,Auris,1.4 D-4D ACtive+AC,Diesel,Julho,2017,142 256 km,1 364 cm3,90 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,,,Usados,15 450        EUR,8090513783,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-1-4-d-4d-active-ac-ID8PvYdN.html,,,,,,,,20/07/2025,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane,1.5 Blue dCi Limited,Diesel,Novembro,2021,36 000 km,1 461 cm3,115 cv,,,,Utilitário,Cinzento,,Manual,6,5,,,Tracção dianteira,36 Meses,,,,,,Usados,19 750        EUR,8090481780,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-limited-ID8PvPTC.html,"4,60 l/100km",,,"3,50 l/100km",,121 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Março,2020,127 000 km,1 499 cm3,130 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,,5,5,,,36 Meses,,Nacional,,Sim,Sim,Usados,19 990        EUR,8087701621,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PlaEl.html,"4,20 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Novembro,2020,78 800 km,999 cm3,100 cv,,Sim,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,,Sim,Sim,Usados,15 950        EUR,8089937338,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8Puygi.html,,,,,,118 g/km,108 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Maio,2021,58 000 km,1 199 cm3,83 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,,Sim,Sim,Usados,16 690        EUR,8089151003,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PrfHt.html,"6,40 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Jogger,1.0 TCe SL Extreme 7L,Gasolina,Julho,2022,5 km,999 cm3,110 cv,,Sim,Sim,SUV / TT,Castanho,,Manual,6,5,7,Classe 1,Tracção dianteira,36 Meses,,Importado,,,,Usados,26 500        EUR,8087357723,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-jogger-1-0-tce-sl-extreme-7l-ID8PjJbB.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Nissan,Qashqai,1.3 DIG-T N-Connecta,Gasolina,Fevereiro,2018,55 822 km,1 332 cm3,140 cv,Sim,,,SUV / TT,Cinzento,,Manual,,5,5,,,36 Meses,,,,,,Usados,22 990        EUR,8090586700,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-n-connecta-ID8PxhbS.html,7 l/100km,,,5 l/100km,"5,70 l/100km",131 g/km,,,12/09/2026,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,MINI,One,Standard,Gasolina,Janeiro,2017,50 283 km,1 198 cm3,75 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,,Nacional,,Sim,Sim,Usados,15 450        EUR,8090066228,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-standard-ID8Pw5Na.html,"5,90 l/100km",,,"4,20 l/100km","4,80 l/100km",112 g/km,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Julho,2018,112 000 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,7,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,28 500        EUR,8090228733,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-eat8-ID8PwM4d.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Arona,1.0 TGI FR,GNC,Maio,2020,26 500 km,999 cm3,90 cv,,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,18 990        EUR,8087995443,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tgi-fr-ID8Pmp5p.html,"5,70 l/100km",,,,,,105 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Maio,2019,120 000 km,1 598 cm3,115 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,,,18 Meses,,Nacional,,,Sim,Usados,18 500        EUR,8090228730,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8PwM4a.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Dezembro,2018,90 000 km,1 598 cm3,115 cv,Sim,Sim,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,5,,,18 Meses,,Nacional,,,Sim,Usados,18 900        EUR,8089580208,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8Pt3m8.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,308 SW,,Diesel,Março,2016,130 000 km,1 600 cm3,120 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Automática,6,5,5,,,18 Meses,,,,,Sim,Usados,15 900        EUR,8088415299,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8Poajh.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Audi,TT Coupé,2.0 TDI,Diesel,Abril,2015,125 500 km,1 968 cm3,184 cv,,Sim,Sim,Coupé,Cinzento,Metalizado,Manual,6,3,4,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,27 700        EUR,8088902633,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-tt-coup-2-0-tdi-ID8Pqd5w.html,"4,90 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Lodgy,1.2 TCe SL Best Choice 7L,Gasolina,Abril,2016,79 500 km,1 197 cm3,115 cv,,Sim,Sim,Monovolume,Cinzento,Metalizado,Manual,,5,7,Classe 1,,18 Meses,,,,Sim,Sim,Usados,16 400        EUR,8087813813,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-2-tce-sl-best-choice-7l-ID8PlDPT.html,"6,60 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Março,2017,99 500 km,898 cm3,90 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,15 950        EUR,8088519649,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PoBsl.html,"6,30 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500C,1.0 Hybrid Lounge,Gasolina,Maio,2021,14 500 km,999 cm3,70 cv,,Sim,Sim,Cabrio,Branco,Pérola,Manual,6,2,4,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,18 500        EUR,8089732116,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-0-hybrid-lounge-ID8PtGSg.html,,,,,,120 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Land Rover,Range Rover Evoque,2.0 eD4 SE,Diesel,Outubro,2016,139 000 km,1 999 cm3,150 cv,,Sim,Sim,SUV / TT,Verde,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,25 400        EUR,8089622137,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-ed4-se-ID8Ptegp.html,4 l/100km,,,"3,10 l/100km",,113 g/km,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Audi,A5 Sportback,2.0 TDI Sport S tronic,Diesel,Junho,2017,128 000 km,1 968 cm3,190 cv,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,7,5,5,,,18 Meses,,Nacional,,,Sim,Usados,29 900        EUR,8089341409,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a5-sportback-2-0-tdi-sport-s-tronic-ID8Ps3ex.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Mercedes-Benz,E 220,CDI Avantgarde BE Auto.,Diesel,Agosto,2010,162 000 km,2 143 cm3,170 cv,,Sim,Sim,Carrinha,Cinzento,,Automática,,5,,,,18 Meses,,,Sim,Sim,Sim,Usados,19 900        EUR,8090513731,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-cdi-avantgarde-be-auto-ID8PvYcX.html,"6,20 l/100km",Sim,Classe E,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,BMW,X1,16 d sDrive Line xLine,Diesel,Outubro,2017,115 000 km,1 496 cm3,116 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Nacional,,,Sim,Usados,20 890        EUR,8087732223,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-line-xline-ID8PliBW.html,,,Série X,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Peugeot,2008,1.6 BlueHDi Allure,Diesel,Dezembro,2017,70 000 km,1 560 cm3,100 cv,Sim,Sim,Sim,SUV / TT,Branco,,Manual,5,5,5,,,18 Meses,,Nacional,,,Sim,Usados,17 500        EUR,8090242543,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-allure-ID8PwPEX.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Agosto,2018,127 000 km,1 598 cm3,115 cv,Sim,Sim,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,5,,,18 Meses,,Nacional,,,Sim,Usados,17 500        EUR,8090242544,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8PwPEY.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Captur,1.0 TCe RS Line,Gasolina,Junho,2022,23 000 km,999 cm3,90 cv,,Sim,Sim,SUV / TT,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,36 Meses,1,Nacional,Sim,Sim,Sim,Usados,24 300        EUR,8089918011,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-rs-line-ID8Putez.html,"6,30 l/100km",,,"4,70 l/100km",,131 g/km,,,01/06/2026,,Sim,,,,,,,,StandVirtual,Yes,2023-09-12
