Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Filtro de partículas,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,IVA Discriminado,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Clássico,Site,Portugal
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Julho,2015,122 000 km,1 199 cm3,130 cv,Sim,Sim,SUV / TT,Branco,,Manual,6,5,5,,,,,,18 Meses,,,,Sim,Sim,,Usados,13 950        EUR,8089968957,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.5 BlueHDi Shine,Diesel,Agosto,2019,27 125 km,1 499 cm3,102 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,117 g/km,155 €,,18 Meses,,,,Sim,Sim,,Usados,14 750        EUR,8089661593,5 Julho 2023,Sim,,,15/08/2025,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Up!,1.0 BMT Cross,Gasolina,Março,2016,101 300 km,999 cm3,75 cv,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,109 g/km,,,18 Meses,1,Nacional,,Sim,Sim,5 l/100km,Usados,10 650        EUR,8088961729,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Agosto,2017,131 000 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Cinzento,,Manual,,5,5,Classe 1,,,,,18 Meses,,Nacional,Sim,,Sim,,Usados,12 990        EUR,8089924172,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,B 180,CDi,Diesel,Fevereiro,2010,73 324 km,1 991 cm3,109 cv,,,Citadino,Prateado,Metalizado,Manual,6,5,,Classe 1,,,,,,1,Nacional,Sim,Sim,Sim,"6,40 l/100km",Usados,12 000        EUR,8089902726,5 Julho 2023,,,,,,,,,Classe B,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Fevereiro,2019,15 300 km,1 242 cm3,69 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,99 g/km,,,18 Meses,1,Nacional,,Sim,Sim,"6,20 l/100km",Usados,14 900        EUR,8089832246,5 Julho 2023,Sim,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Cabrio,Cooper D,Diesel,Maio,2014,112 000 km,1 598 cm3,112 cv,Sim,,Cabrio,Bege,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,,,,,1,Nacional,,Sim,Sim,"4,50 l/100km",Usados,14 999        EUR,8088773962,2 Julho 2023,,,,01/05/2026,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Fabia Break,1.0 Active Plus,Gasolina,Agosto,2017,45 000 km,999 cm3,75 cv,Sim,Sim,Carrinha,Azul,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,Nacional,,Sim,,"5,80 l/100km",Usados,11 980        EUR,8088144059,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Julho,2018,193 000 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,Nacional,Sim,Sim,Sim,"4,30 l/100km",Usados,11 950        EUR,8088014586,5 Julho 2023,,Sim,,,,Sim,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Abril,2016,83 000 km,998 cm3,68 cv,Sim,Sim,Pequeno citadino,Cinzento,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,,,,18 Meses,1,Nacional,,Sim,Sim,5 l/100km,Usados,9 500        EUR,8088030932,5 Julho 2023,Sim,,,30/04/2023,,,,,,,,,,,,,StandVirtual,Yes
