Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Filtro de partículas,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,IVA Discriminado,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Clássico,Site,Portugal
Profissional,Mercedes-Benz,GLC 250,d 4-Matic,Diesel,Julho,2018,83 064 km,2 143 cm3,204 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,,Integral,,,,18 Meses,1,Nacional,Sim,,Sim,"7,10 l/100km",Usados,43 500        EUR,8088332624,5 Julho 2023,Sim,,,30/07/2024,,,,,Classe GLC,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TSI GTI Performance,Gasolina,Abril,2019,75 000 km,1 984 cm3,245 cv,Sim,Sim,Utilitário,Cinzento,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,150 g/km,,,36 Meses,1,Nacional,Sim,Sim,Sim,"8,70 l/100km",Usados,32 900        EUR,8089967906,5 Julho 2023,,,"5,40 l/100km",,,,1 400 km,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,220,d Pack M Auto,Diesel,Março,2014,128 493 km,1 995 cm3,184 cv,Sim,Sim,Coupé,Branco,Metalizado,Automática,8,2,4,Classe 1,Tracção traseira,,,Sim,36 Meses,,Importado,Sim,Sim,Sim,,Usados,30 990        EUR,8085304557,5 Julho 2023,Sim,,,,,,,,Série 2,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack,Diesel,Maio,2022,25 000 km,1 499 cm3,130 cv,Sim,Sim,SUV / TT,Preto,,Manual,,5,7,Classe 1,,,,,36 Meses,1,Nacional,,Sim,Sim,,Usados,38 300        EUR,8089258978,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Cupra,Formentor,1.5 TSI Sport DSG,Gasolina,Abril,2022,17 000 km,1 498 cm3,150 cv,Sim,Sim,SUV / TT,Branco,,Automática,,5,5,Classe 1,,,,,18 Meses,,Nacional,Sim,Sim,Sim,"6,50 l/100km",Usados,35 450        EUR,8088709002,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLA 180,CDi Urban Aut.,Diesel,Fevereiro,2018,74 000 km,1 461 cm3,109 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,Sim,18 Meses,1,Nacional,Sim,,Sim,"4,70 l/100km",Usados,32 999        EUR,8088555362,5 Julho 2023,Sim,,,,,Sim,,,Classe GLA,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Pack M,Diesel,Julho,2016,128 590 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Branco,Metalizado,Manual,6,4,5,Classe 1,Integral,,,Sim,18 Meses,,Importado,Sim,Sim,Sim,,Usados,31 990        EUR,8085167074,5 Julho 2023,Sim,,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 60,2.0 D4 R-Design Momentum,Diesel,Março,2017,85 535 km,1 969 cm3,190 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,,5,5,,,,,,36 Meses,,Nacional,Sim,Sim,Sim,"4,90 l/100km",Usados,31 900        EUR,8088460502,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X3,20 d xDrive Advantage Auto,Diesel,Maio,2017,160 000 km,1 995 cm3,190 cv,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,Classe 1,,,,,18 Meses,1,Nacional,,Sim,Sim,,Usados,32 400        EUR,8089258975,5 Julho 2023,Sim,,,,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,2.0 T8 AWD TE Inscription,Híbrido (Gasolina),Dezembro,2019,89 000 km,1 969 cm3,392 cv,Sim,Sim,Carrinha,Preto,,Automática,,5,5,Classe 1,,,"215,14 €",Sim,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,38 750        EUR,8089510665,5 Julho 2023,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,Ford,Mustang,2.3i EcoBoost Aut.,Gasolina,Maio,2015,52 180 km,2 261 cm3,314 cv,,,Coupé,Preto,Metalizado,Automática,6,2,4,Classe 1,Tracção traseira,,,,,2,Importado,,Sim,Sim,"14,10 l/100km",Usados,45 000        EUR,8089832713,5 Julho 2023,,,,27/05/2024,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,1.6 THP Opera EAT8,Gasolina,Fevereiro,2021,42 000 km,1 598 cm3,180 cv,Sim,Sim,SUV / TT,Cinzento,,Automática,,5,5,,,,,,18 Meses,,Importado,Sim,Sim,Sim,,Usados,42 500        EUR,8087192286,5 Julho 2023,Sim,,,01/02/2025,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Tucson,1.6 CRDi Premium,Diesel,Maio,2022,11 500 km,1 598 cm3,116 cv,Sim,,SUV / TT,Vermelho,Metalizado,Manual,,5,5,Classe 1,,,,,36 Meses,,Nacional,,,Sim,,Usados,36 450        EUR,8089967778,5 Julho 2023,Sim,,,,,,,01/01/0001,,,,,,,,,StandVirtual,Yes
Particular,BMW,520,d Pack M Auto,Diesel,Julho,2020,46 500 km,1 995 cm3,190 cv,,,Carrinha,Preto,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,127 g/km,271 €,,,1,Nacional,Sim,Sim,Sim,"5,30 l/100km",Usados,43 500        EUR,8089898451,5 Julho 2023,Sim,,"4,10 l/100km",,,,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Agosto,2019,56 500 km,,351 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,5,Classe 1,,,,,18 Meses,,,Sim,Sim,Sim,,Usados,37 900        EUR,8089490501,5 Julho 2023,Sim,,,01/08/2023,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d Business Solutions Aut.,Diesel,Julho,2019,52 897 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Azul,,Automática,7,5,5,,,,,,24 Meses,,Importado,Sim,Sim,Sim,,Usados,31 500        EUR,8089628715,5 Julho 2023,Sim,,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Particular,Audi,RS5,4.2 FSi quattro,Gasolina,Maio,2011,31 550 km,4 163 cm3,450 cv,,,Coupé,Vermelho,,Automática,,2,4,Classe 1,Integral,252 g/km,,,,1,,Sim,Sim,Sim,"14,90 l/100km",Usados,45 000        EUR,8088489374,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 60,2.0 D4 Momentum Plus Geartronic,Diesel,Dezembro,2018,87 650 km,1 969 cm3,190 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,,Tracção dianteira,157 g/km,,,18 Meses,1,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,37 990        EUR,8089812448,5 Julho 2023,Sim,Sim,"4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X2,16 d sDrive Auto X Pack M,Diesel,Março,2019,29 913 km,1 496 cm3,116 cv,,,SUV / TT,Preto,,Automática,,5,,,,112 g/km,,,36 Meses,,Nacional,,,,,Usados,38 900        EUR,8089861973,5 Julho 2023,Sim,,,,,,,05/07/2026,,,,,,,,,StandVirtual,Yes
Profissional,BMW,220 Gran Coupé,d Pack M,Diesel,Março,2020,28 809 km,1 995 cm3,190 cv,,,Sedan,Branco,,Automática,,4,5,,,110 g/km,,,36 Meses,,Nacional,,,,,Usados,41 900        EUR,8089861969,5 Julho 2023,Sim,,,,"4,90 l/100km",,,05/07/2026,Série 2,,,,,,,,StandVirtual,Yes
Profissional,BMW,X3,20 d xDrive Auto,Diesel,Outubro,2018,189 000 km,1 995 cm3,190 cv,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,Classe 1,,,"235,26 €",Sim,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,32 750        EUR,8089861916,5 Julho 2023,Sim,Sim,,,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,e-208,GT,Eléctrico,Março,2021,10 782 km,,136 cv,Sim,Sim,Citadino,Azul,Metalizado,Automática,,5,5,,Tracção dianteira,,,,18 Meses,,Importado,,,,,Usados,35 500        EUR,8088242671,5 Julho 2023,,,,,,Sim,,,,,350 km,15 kWh/100km,,Própria,,,StandVirtual,Yes
Profissional,BMW,X5,40e xDrive,Híbrido (Gasolina),Outubro,2016,133 000 km,1 997 cm3,313 cv,Sim,Sim,SUV / TT,Azul,,Automática,,5,5,,,,"215,14 €",Sim,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,41 750        EUR,8089628161,5 Julho 2023,Sim,,,,,Sim,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Proace Verso,1.5 D-4D L1 1.0T Comfort 9L,Diesel,Março,2019,77 001 km,1 499 cm3,120 cv,,Sim,Monovolume,Branco,,Manual,,4,9,,Tracção dianteira,168 g/km,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,39 990        EUR,8089967569,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,,Eléctrico,Junho,2020,29 520 km,,136 cv,Sim,Sim,SUV / TT,Azul,,Automática,,5,5,Classe 1,,,,,18 Meses,,,,,Sim,,Usados,30 700        EUR,8088240590,5 Julho 2023,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,330,e Auto,Híbrido (Gasolina),Junho,2020,62 083 km,1 998 cm3,292 cv,Sim,,Sedan,Prateado,,Automática,,4,5,,,,,,18 Meses,1,Nacional,,,,,Usados,36 500        EUR,8089141487,5 Julho 2023,Sim,,,,,Sim,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Março,2017,96 890 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,129 g/km,,,18 Meses,,Nacional,,,Sim,,Usados,31 490        EUR,8089860622,5 Julho 2023,Sim,,,,,,,,Série 4,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,,Diesel,Setembro,2021,43 596 km,1 950 cm3,116 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,127 g/km,,,24 Meses,,,Sim,Sim,Sim,"6,20 l/100km",Usados,37 990        EUR,8089617999,5 Julho 2023,,,"3,80 l/100km",,,,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D Avantgarde 7L,Diesel,Agosto,2019,71 738 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,,Automática,,5,7,,,,,,18 Meses,,Nacional,Sim,,Sim,,Usados,44 850        EUR,8089094109,5 Julho 2023,,,,,,Sim,,,Classe E,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Progressive Aut.,Diesel,Setembro,2021,45 600 km,1 950 cm3,116 cv,,,Carrinha,Prateado,,Automática,,5,,,,,,,24 Meses,,Nacional,,,,"6,40 l/100km",Usados,37 400        EUR,8089897819,5 Julho 2023,Sim,,"4,80 l/100km",,"5,40 l/100km",,,,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Porsche,Macan,S Diesel PDK,Diesel,Outubro,2014,214 000 km,2 967 cm3,258 cv,,,SUV / TT,Azul,Metalizado,Automática,,5,,,,,,Sim,36 Meses,,,,,,"6,70 l/100km",Usados,41 900        EUR,8089967206,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Outlander,2.4 PHEV Instyle,Híbrido (Gasolina),Setembro,2019,59 946 km,2 360 cm3,224 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,31 990        EUR,8089944385,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500e,,Eléctrico,Abril,2023,28 km,,118 cv,Sim,Sim,Citadino,Branco,,Automática,,4,4,Classe 1,,,,,36 Meses,,Nacional,,Sim,Sim,,Novos,37 990        EUR,8089237685,5 Julho 2023,Sim,,,,,,,01/01/0001,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Auto,Diesel,Julho,2020,130 177 km,1 995 cm3,150 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,133 g/km,,,18 Meses,1,,Sim,Sim,Sim,,Usados,31 250        EUR,8089965527,5 Julho 2023,Sim,,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,BMW,330,e Corporate Edition Auto,Híbrido (Gasolina),Novembro,2021,54 669 km,1 998 cm3,292 cv,,,Sedan,Prateado,,Automática,,4,5,,,,,,36 Meses,,Nacional,,,,,Usados,44 900        EUR,8089967443,5 Julho 2023,Sim,,,,"1,40 l/100km",,,05/07/2026,Série 3,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid4 Allure e-EAT8,Híbrido (Gasolina),Maio,2021,53 259 km,1 598 cm3,300 cv,Sim,Sim,SUV / TT,Cinzento,,Automática,8,5,5,,,,,,36 Meses,,,Sim,Sim,Sim,,Usados,39 900        EUR,8088554686,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,1.6 THP Performance Line EAT8,Gasolina,Fevereiro,2019,80 503 km,1 598 cm3,180 cv,Sim,Sim,SUV / TT,Cinzento,Pérola,Automática,8,5,5,,,,,,18 Meses,1,Importado,Sim,Sim,Sim,"6,40 l/100km",Usados,33 990        EUR,8089757376,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack,Diesel,Maio,2021,26 500 km,1 499 cm3,130 cv,,,SUV / TT,Cinzento,,Manual,,5,7,,,,,,36 Meses,,Nacional,,,,,Usados,36 990        EUR,8089761029,5 Julho 2023,Sim,,,,"5,10 l/100km",,,05/07/2026,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200 Limousine,AMG Line Aut.,Gasolina,Fevereiro,2023,6 000 km,1 332 cm3,163 cv,,,Sedan,Cinzento,,Automática,,4,5,,,,,,24 Meses,,Nacional,,,,,Usados,45 000        EUR,8089760705,5 Julho 2023,Sim,,,,"5,70 l/100km",,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Kodiaq,2.0 TDI Ambition DSG,Diesel,Fevereiro,2023,2 948 km,1 968 cm3,150 cv,Sim,Sim,Monovolume,Cinzento,,Automática,,5,7,,,,,,18 Meses,1,Nacional,,,,,Usados,42 900        EUR,8089370881,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Mokka-e,Edition,Eléctrico,Agosto,2022,5 km,,136 cv,Sim,Sim,SUV / TT,Preto,,Automática,,5,,,,,,,36 Meses,,Importado,,,,,Usados,34 500        EUR,8089161309,5 Julho 2023,,,,,,Sim,,,,,,,,Aluguer,,,StandVirtual,Yes
Profissional,Audi,A3 Limousine,30 TFSI S line,Gasolina,Março,2023,4 600 km,999 cm3,110 cv,,,Sedan,Cinzento,,Manual,,4,5,,,,,,36 Meses,,Nacional,,,,,Usados,31 490        EUR,8089602194,5 Julho 2023,Sim,,,,"5,40 l/100km",,,05/07/2026,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Outubro,2022,9 000 km,1 950 cm3,116 cv,Sim,Sim,Citadino,Cinzento,,Automática,,5,5,,,134 g/km,,,18 Meses,,Nacional,,,Sim,,Usados,39 900        EUR,8089760640,5 Julho 2023,Sim,,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200,d Style Plus Aut.,Diesel,Maio,2021,50 000 km,1 950 cm3,150 cv,Sim,Sim,Utilitário,Prateado,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,,,24 Meses,,Nacional,Sim,Sim,Sim,"4,90 l/100km",Usados,35 900        EUR,8088893452,5 Julho 2023,Sim,Sim,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Cross,1.5 GSE T4 DCT,Gasolina,Setembro,2022,4 750 km,1 469 cm3,130 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,Sim,36 Meses,,Nacional,Sim,Sim,Sim,,Usados,32 750        EUR,8087849723,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A7 Sportback,3.0 TDI V6 S-line S tronic,Diesel,Janeiro,2016,169 877 km,2 967 cm3,218 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,5,5,,,,,,18 Meses,,Nacional,,Sim,Sim,,Usados,37 490        EUR,8088416007,5 Julho 2023,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,d Avantgarde,Diesel,Fevereiro,2020,76 962 km,1 598 cm3,160 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,,,,,,,24 Meses,,Nacional,,,,"5,30 l/100km",Usados,37 000        EUR,8088267580,5 Julho 2023,Sim,,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V90,2.0 D4 R-Design Geartronic,Diesel,Março,2018,193 785 km,1 969 cm3,190 cv,,Sim,Carrinha,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,119 g/km,,,18 Meses,1,Nacional,Sim,Sim,,"5,20 l/100km",Usados,30 490        EUR,8087394286,5 Julho 2023,Sim,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Arteon,1.4 TSI eHybrid Elegance,Híbrido (Gasolina),Dezembro,2022,14 170 km,1 395 cm3,218 cv,,,Utilitário,Cinzento,,Automática,,4,5,,,,,,36 Meses,,Nacional,,,,,Usados,44 390        EUR,8089967335,5 Julho 2023,Sim,,,,"1,10 l/100km",,,05/07/2026,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,40 TFSIe Advanced,Híbrido (Gasolina),Dezembro,2020,40 000 km,1 395 cm3,204 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,34 980        EUR,8089208076,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Line Luxury Auto,Diesel,Novembro,2019,67 100 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,,Nacional,Sim,,Sim,"5,50 l/100km",Usados,41 600        EUR,8087618732,5 Julho 2023,Sim,Sim,,,,,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,Lexus,NX 300h,Executive+,Híbrido (Gasolina),Abril,2019,50 286 km,2 494 cm3,197 cv,Sim,Sim,SUV / TT,Branco,Metalizado,Automática,,5,5,,,,,,36 Meses,,,Sim,,Sim,"5,10 l/100km",Usados,44 500        EUR,8089516749,5 Julho 2023,Sim,Sim,,,,,,,NX,,,,,,,,StandVirtual,Yes
Particular,Porsche,Panamera,4 Platinum Edition PDK,Gasolina,Janeiro,2013,193 485 km,3 605 cm3,300 cv,,,Utilitário,Preto,Metalizado,Automática,7,5,4,Classe 1,Integral,225 g/km,,,,2,Importado,Sim,Sim,Sim,"13,50 l/100km",Usados,40 000        EUR,8089832706,5 Julho 2023,Sim,,"7,30 l/100km",01/01/2024,,,800 km,,,,,,,,,,StandVirtual,Yes
Particular,Volvo,XC 40,,Gasolina,Janeiro,2020,39 000 km,1 477 cm3,163 cv,,,SUV / TT,Preto,Metalizado,Manual,,5,,,Tracção dianteira,,,Sim,,,Importado,Sim,Sim,Sim,,Usados,34 500        EUR,8089439730,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X5,25 d sDrive Comfort 7L,Diesel,Fevereiro,2016,121 350 km,1 995 cm3,231 cv,Sim,Sim,SUV / TT,Preto,,Automática,8,5,7,Classe 1,Tracção traseira,139 g/km,,,18 Meses,,Nacional,,,,"5,90 l/100km",Usados,38 900        EUR,8089704089,5 Julho 2023,,,"4,90 l/100km",,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,BMW,X3,18 d sDrive xLine Auto,Diesel,Novembro,2019,72 640 km,1 995 cm3,150 cv,Sim,Sim,SUV / TT,Azul,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,44 600        EUR,8089155589,5 Julho 2023,Sim,Sim,,,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Line Sport Auto,Diesel,Janeiro,2021,22 490 km,1 995 cm3,150 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,,5,5,,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,44 600        EUR,8085947081,5 Julho 2023,Sim,Sim,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,BMW,X2,16 d sDrive Auto,Diesel,Junho,2019,49 155 km,1 496 cm3,116 cv,,Sim,SUV / TT,Cinzento,,Automática,,5,5,,,,,,18 Meses,,Nacional,,,,,Usados,38 950        EUR,8086893828,5 Julho 2023,Sim,,,,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q3,2.0 TDI,Diesel,Abril,2017,98 692 km,1 968 cm3,150 cv,,Sim,SUV / TT,Preto,,Manual,,5,5,,,,,,18 Meses,,Nacional,,,,5 l/100km,Usados,31 600        EUR,8086896135,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d Cabrio 9G-TRONIC AMG Line,Diesel,Maio,2017,98 000 km,2 143 cm3,170 cv,,,Cabrio,Cinzento,Metalizado,Automática,9,2,4,Classe 1,Tracção traseira,,,,18 Meses,,,Sim,Sim,Sim,"5,20 l/100km",Usados,37 990        EUR,8088332610,5 Julho 2023,Sim,,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Volvo,XC 40,2.0 D3 Momentum Geartronic,Diesel,Dezembro,2018,91 740 km,1 969 cm3,150 cv,Sim,Sim,SUV / TT,Branco,,Automática,,5,5,,,,,,18 Meses,,Nacional,,,Sim,,Usados,35 999        EUR,8089337834,1 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d Aut.,Diesel,Outubro,2018,86 077 km,2 143 cm3,170 cv,Sim,Sim,Coupé,Azul,,Automática,,2,4,,,,,,18 Meses,1,Nacional,,,,,Usados,36 900        EUR,8089721262,5 Julho 2023,Sim,,,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Lexus,IS 300H,Executive+,Híbrido (Gasolina),Novembro,2018,72 332 km,2 494 cm3,223 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Classe 1,Tracção traseira,133 g/km,,,18 Meses,,Nacional,,,Sim,"4,50 l/100km",Usados,31 990        EUR,8089623485,5 Julho 2023,Sim,,"4,50 l/100km",,,,,,IS,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLC 220,d 4Matic Edition,Diesel,Dezembro,2017,116 631 km,1 950 cm3,194 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,Classe 1,Integral,139 g/km,250 €,Sim,24 Meses,1,Importado,Sim,Sim,Sim,"5,90 l/100km",Usados,38 690        EUR,8089220586,5 Julho 2023,Sim,Sim,,,,Sim,,,Classe GLC,,,,,,,,StandVirtual,Yes
Profissional,Mazda,3,2.0 Sky-G Homura AT,Gasolina,Dezembro,2022,11 870 km,1 998 cm3,150 cv,Sim,Sim,Citadino,Vermelho,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,,,72 Meses,,Nacional,Sim,Sim,Sim,"6,60 l/100km",Usados,35 950        EUR,8088516428,5 Julho 2023,,Sim,,,,,,29/12/2028,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Junho,2019,139 000 km,1 950 cm3,306 cv,Sim,Sim,Sedan,Preto,,Automática,,4,5,Classe 1,Tracção traseira,,,,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,39 990        EUR,8089220561,5 Julho 2023,Sim,Sim,,,,Sim,,,Classe E,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q5,50 TFSIe quattro Sport S tronic,Híbrido (Gasolina),Maio,2020,88 273 km,1 984 cm3,299 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,7,5,5,Classe 1,Integral,,,,18 Meses,,Nacional,,,Sim,,Usados,44 990        EUR,8089384171,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,530,e iPerformance Pack M,Híbrido (Gasolina),Setembro,2018,68 474 km,1 998 cm3,252 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,5,Classe 1,,,,,18 Meses,,Nacional,,,Sim,,Usados,39 490        EUR,8089076202,5 Julho 2023,Sim,Sim,,,,Sim,,,Série 5,,,,,,,,StandVirtual,Yes
Profissional,Audi,A5 Sportback,40 TDI Design S tronic,Diesel,Agosto,2019,84 219 km,1 968 cm3,190 cv,Sim,Sim,Sedan,Preto,,Automática,7,5,5,Classe 1,,,,,18 Meses,,Nacional,,,Sim,"5,10 l/100km",Usados,37 990        EUR,8089075242,5 Julho 2023,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d Pack M Auto,Diesel,Março,2021,28 349 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,,Nacional,,,Sim,,Usados,34 990        EUR,8089372125,5 Julho 2023,Sim,,,,,,,,Série 1,,,,,,,,StandVirtual,Yes
Profissional,Jaguar,XE,2.0 D R-Sport Aut.,Diesel,Março,2018,59 587 km,1 999 cm3,180 cv,Sim,Sim,Sedan,Branco,,Automática,8,4,5,Classe 1,Tracção traseira,154 g/km,,,18 Meses,,Nacional,,,Sim,,Usados,32 990        EUR,8089603605,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Maio,2020,44 108 km,1 332 cm3,218 cv,Sim,Sim,Utilitário,Azul,Metalizado,Automática,9,5,5,Classe 1,,,,,18 Meses,,Nacional,,,Sim,,Usados,38 990        EUR,8089057103,5 Julho 2023,Sim,Sim,,,,Sim,,,Classe A,,,,,,,,StandVirtual,Yes
