Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Emissões CO2,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,VIN,IUC,Consumo Extra Urbano,Autonomia Máxima,IVA Discriminado,Consumo Combinado,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Fiat,500,,1.2 8V S&S Lounge,Gasolina,Agosto,2014,104 000 km,1 242 cm3,69 cv,,Sim,Citadino,Branco,Manual,,3,,,,,18 Meses,1,Nacional,Usados,8 950,8091927478,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-s-s-lounge-ID8PCTZk.html,Metalizado,,,Sim,Sim,7 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Kia,Picanto,,1.0 CVVT Urban,Gasolina,Junho,2023,14 143 km,998 cm3,67 cv,Sim,Sim,Citadino,Preto,Manual,,5,5,,,,60 Meses,,Nacional,Usados,13 990,8092087485,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-picanto-1-0-cvvt-urban-ID8PDzC5.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Ford,Focus SW,,,Diesel,Abril,2017,97 784 km,1 499 cm3,120 cv,Sim,Sim,Sedan,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Usados,13 490,8092087475,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-ID8PDzBW.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,500,,1.0 Hybrid Dolcevita,Gasolina,Janeiro,2023,13 259 km,999 cm3,70 cv,Sim,Sim,Citadino,Preto,Manual,,3,5,,,,18 Meses,,Nacional,Usados,14 990,8091654214,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PBKTQ.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Ford,Focus SW,,1.0 EcoBoost Active,Gasolina,Março,2018,70 260 km,998 cm3,125 cv,Sim,Sim,Sedan,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 240,8092087466,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-active-ID8PDzBM.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Particular,Ford,C-Max,,1.5 TDCi Titanium S/S,Diesel,Junho,2018,170 000 km,1 499 cm3,120 cv,,,Monovolume,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,Usados,11 900,8092087399,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-c-max-1-5-tdci-titanium-s-s-ID8PDzAH.html,Metalizado,160 g/km,,Sim,Sim,"5,30 l/100km",Mostrar VIN,,"4,40 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,500C,,1.3 MJ Lounge S&S,Diesel,Setembro,2016,110 874 km,1 248 cm3,95 cv,Sim,Sim,Cabrio,Branco,Manual,,2,4,,,,18 Meses,,Nacional,Usados,13 240,8091957939,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-3-mj-lounge-s-s-ID8PD1UD.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Ford,Focus SW,,1.0 EcoBoost Active,Gasolina,Março,2018,70 260 km,998 cm3,125 cv,Sim,Sim,Sedan,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Usados,14 240,8092087466,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-active-ID8PDzBM.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Particular,Ford,C-Max,,1.5 TDCi Titanium S/S,Diesel,Junho,2018,170 000 km,1 499 cm3,120 cv,,,Monovolume,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,Usados,11 900,8092087399,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-c-max-1-5-tdci-titanium-s-s-ID8PDzAH.html,Metalizado,160 g/km,,Sim,Sim,"5,30 l/100km",Mostrar VIN,,"4,40 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,500C,,1.3 MJ Lounge S&S,Diesel,Setembro,2016,110 874 km,1 248 cm3,95 cv,Sim,Sim,Cabrio,Branco,Manual,,2,4,,,,18 Meses,,Nacional,Usados,13 240,8091957939,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-3-mj-lounge-s-s-ID8PD1UD.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
