Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Bateria,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Número de Mudanças,Origem,Tipo de cor,Classe do veículo,Tracção,IUC,Não fumador,2º Chave,Livro de Revisões completo,IVA Discriminado,Registo(s),Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,ou até,Capacidade da bateria,Autonomia Máxima,Sub-modelo,Autonomia,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Volvo,V40,Diesel,Novembro,2019,86 980 km,1 969 cm3,150 cv,,Sim,Sim,Citadino,Preto,Manual,5,5,102 g/km,18 Meses,Usados,18 900,8092157908,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-inscription-ID8PDRWV.html,2.0 D3 Inscription,,Nacional,,,,241 €,Sim,Sim,,,,,,,21 Novembro 2025,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,2008,Diesel,Junho,2022,73 257 km,1 499 cm3,110 cv,,Sim,Sim,SUV / TT,Preto,Manual,5,5,125 g/km,36 Meses,Usados,22 500,8092157907,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-allure-ID8PDRWW.html,1.5 BlueHDi Allure,,Nacional,,,,158 €,Sim,Sim,,,,,,,22 Junho 2026,21 Junho 2025,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,3008,Diesel,Fevereiro,2018,146 000 km,1 499 cm3,130 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,Usados,25 900,8091628931,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-gt-line-eat8-ID8PBEk3.html,1.5 BlueHDi GT Line EAT8,,,,,,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Polo,Gasolina,Junho,2014,97 381 km,1 984 cm3,220 cv,,,Sim,Utilitário,Branco,Manual,3,5,174 g/km,18 Meses,Usados,27 500,8090308155,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-2-0-tsi-r-wrc-ID8Pv6Jd.html,2.0 TSI R WRC,6,Importado,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,BMW,318,Diesel,Setembro,2018,160 000 km,1 995 cm3,150 cv,,Sim,Sim,Sedan,Preto,Manual,4,5,126 g/km,18 Meses,Usados,16 999,8091130714,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-line-luxury-ID8PzyIi.html,d Line Luxury,6,Nacional,Metalizado,Classe 1,Tracção traseira,,Sim,Sim,Sim,Sim,1,,,,,,,,,Série 3,,,,StandVirtual,Yes,2024-04-03
Profissional,Renault,Clio,GPL,Janeiro,2021,70 000 km,999 cm3,100 cv,,,,Citadino,Branco,Manual,5,5,122 g/km,18 Meses,Usados,15 949,8091829927,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-bi-fuel-ID8PCuBW.html,1.0 TCe Limited Bi-Fuel,5,,Metalizado,,Tracção dianteira,,Sim,Sim,Sim,,,"5,90 l/100km","3,80 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Citroën,C4 Grand Picasso,Diesel,Agosto,2018,100 000 km,1 560 cm3,120 cv,,,,Monovolume,Cinzento,Manual,5,7,,18 Meses,Usados,18 999,8088032565,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-bluehdi-shine-ID8PmyK9.html,1.6 BlueHDi Shine,6,,Metalizado,,,,Sim,Sim,Sim,,,"4,50 l/100km",,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Audi,A4 Avant,Diesel,Setembro,2019,113 552 km,1 968 cm3,150 cv,,Sim,Sim,Carrinha,Preto,Automática,5,5,,18 Meses,Usados,26 750,8092126400,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-35-tdi-design-s-tronic-ID8PDJJK.html,35 TDI Design S tronic,7,,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,1,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,T-Roc,Gasolina,Julho,2021,74 730 km,999 cm3,110 cv,,Sim,Sim,SUV / TT,Branco,Manual,5,5,137 g/km,24 Meses,Usados,21 750,8091628755,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-0-tsi-style-ID8PBEhd.html,1.0 TSI Style,6,Nacional,,Classe 1,Tracção dianteira,109 €,,Sim,,Sim,1,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,2008,Gasolina,Outubro,2018,90 000 km,1 199 cm3,110 cv,,,,SUV / TT,Cinzento,Automática,5,,129 g/km,18 Meses,Usados,16 499,8091232927,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-crossway-eat6-ID8PzZiT.html,1.2 PureTech Crossway EAT6,6,,,,Tracção dianteira,,Sim,Sim,Sim,,,"6,60 l/100km",5 l/100km,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,T-Cross,Gasolina,Dezembro,2021,38 907 km,999 cm3,95 cv,Própria,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,1 g/km,18 Meses,Usados,18 900,8092126940,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-cross-1-0-tsi-life-ID8PDJSs.html,1.0 TSI Life,6,Nacional,,,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,VW,Taigo,Gasolina,Novembro,2022,24 583 km,999 cm3,95 cv,,Sim,Sim,SUV / TT,Prateado,Manual,5,5,24 583 g/km,24 Meses,Usados,22 850,8090904269,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-taigo-1-0-tsi-life-ID8PyBNX.html,1.0 TSI Life,5,Nacional,Metalizado,Classe 1,Tracção dianteira,108 €,,Sim,Sim,Sim,1,,,Mostrar VIN,30 Outubro 2026,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 180,Diesel,Dezembro,2017,41 000 km,1 461 cm3,109 cv,,Sim,Sim,Utilitário,Preto,Automática,5,5,,18 Meses,Usados,26 499,8088308302,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PnItv.html,d AMG Line Aut.,7,Nacional,,Classe 1,Tracção dianteira,,Sim,Sim,,Sim,1,"4,50 l/100km",,,,,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,E 220,Diesel,Maio,2017,89 000 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Preto,Automática,5,5,147 g/km,18 Meses,Usados,29 999,8091685881,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-avantgarde-ID8PBT8B.html,d Avantgarde,9,Nacional,,Classe 1,Tracção traseira,,Sim,Sim,Sim,,1,"5,80 l/100km","4,30 l/100km",Mostrar VIN,,,,,,Classe E,,,,StandVirtual,Yes,2024-04-03
Profissional,Mercedes-Benz,A 180,Diesel,Março,2019,109 854 km,1 461 cm3,116 cv,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,123 g/km,24 Meses,Usados,24 999,8087815848,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-progressive-aut-ID8PlEmI.html,d Progressive Aut.,7,Nacional,Metalizado,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,1,,,,,,,,,Classe A,,,,StandVirtual,Yes,2024-04-03
