Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Março,2018,135 736 km,1 461 cm3,110 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,16 300        EUR,8089154184,26 Junho 2023,,Metalizado,Sim,6,Classe 1,,Sim,,,,"154,12 €",,,,Sim,,,,
Profissional,Audi,A3 Limousine,1.6 TDi B.Line Attraction Ultra,Diesel,Fevereiro,2017,115 000 km,1 598 cm3,110 cv,,Sim,,Sim,Sedan,Cinzento,Manual,4,5,,18 Meses,1,Nacional,Sim,Sim,Usados,22 550        EUR,8085966385,26 Junho 2023,"3,90 l/100km",Metalizado,Sim,6,Classe 1,,Sim,,,,,,,28/02/2025,,,,,
Profissional,Porsche,Panamera,Turbo S PDK,Gasolina,Dezembro,2011,155 000 km,4 806 cm3,500 cv,,,Sim,Sim,Sedan,Preto,Automática,5,4,,18 Meses,,,Sim,Sim,Usados,49 900        EUR,8089910778,26 Junho 2023,,Metalizado,Sim,,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Agosto,2018,125 882 km,1 560 cm3,100 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,13 480        EUR,8088036330,26 Junho 2023,,Metalizado,Sim,,Classe 1,,Sim,,,,"154,12 €",,,,Sim,,,,
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Março,2022,36 944 km,1 499 cm3,130 cv,,,,Sim,SUV / TT,Cinzento,Automática,5,7,Tracção dianteira,18 Meses,,Nacional,,,Usados,44 950        EUR,8089299173,26 Junho 2023,,Metalizado,Sim,8,,,Sim,,,,,,,,,,,,
Profissional,Opel,Adam,1.2 Jam,Gasolina,Setembro,2016,147 719 km,1 229 cm3,70 cv,,,,Sim,Pequeno citadino,Laranja,Manual,3,4,Tracção dianteira,18 Meses,,,,Sim,Usados,11 850        EUR,8088186655,26 Junho 2023,,Metalizado,Sim,5,Classe 1,125 g/km,Sim,,,,,,,,,,,,
Profissional,Citroën,C1,1.2 VTi Feel,Gasolina,Julho,2016,77 286 km,1 199 cm3,82 cv,,,,Sim,Pequeno citadino,Vermelho,Manual,5,4,Tracção dianteira,18 Meses,,,,Sim,Usados,10 990        EUR,8088284676,26 Junho 2023,,,Sim,5,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,d AMG Line,Diesel,Março,2022,7 800 km,1 950 cm3,245 cv,Sim,,,Sim,Carrinha,Cinzento,Automática,5,,,36 Meses,,Nacional,,,Usados,59 999        EUR,8089787603,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,,,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Março,2022,25 400 km,1 992 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159410,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Toyota,C-HR,1.2T Comfort+P.Style,Gasolina,Julho,2018,100 000 km,1 197 cm3,116 cv,Sim,,,Sim,SUV / TT,Prateado,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,19 995        EUR,8089584362,26 Junho 2023,"7,30 l/100km",Metalizado,Sim,6,Classe 1,155 g/km,Sim,"5,30 l/100km",,,,,,,,,,,
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Abril,2022,20 050 km,999 cm3,110 cv,Sim,Sim,,,Utilitário,Cinzento,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 190        EUR,8089516935,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Skoda,Scala,1.0 TSI Ambition,Gasolina,Julho,2021,51 000 km,999 cm3,95 cv,Sim,Sim,,,Utilitário,Preto,Manual,5,5,,36 Meses,,Nacional,,,Usados,16 990        EUR,8089516910,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,VW,T-Cross,1.0 TSI Life,Gasolina,Maio,2019,36 786 km,999 cm3,95 cv,Sim,,,,SUV / TT,Branco,Manual,5,5,,18 Meses,,Nacional,,,Usados,19 990        EUR,8089516938,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Audi,A3 Sportback,30 TFSI,Gasolina,Outubro,2020,33 035 km,999 cm3,116 cv,Sim,Sim,,,Utilitário,Cinzento,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 990        EUR,8089516921,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,SEAT,Ibiza,1.0 TSI FR,Gasolina,Outubro,2019,49 800 km,999 cm3,115 cv,Sim,Sim,,,Utilitário,Preto,Manual,5,5,,36 Meses,,Nacional,,,Usados,17 990        EUR,8089516950,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Abril,2022,24 651 km,999 cm3,110 cv,Sim,Sim,,,Utilitário,Branco,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 190        EUR,8089516906,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,VW,Polo,1.0 Confortline,Gasolina,Abril,2018,78 123 km,999 cm3,75 cv,Sim,,,,Utilitário,Preto,Manual,5,5,,18 Meses,,Nacional,,,Usados,13 990        EUR,8089516957,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Toyota,Aygo,1.0 X-Play Plus,Gasolina,Janeiro,2021,10 700 km,998 cm3,72 cv,Sim,,,Sim,Citadino,Cinzento,Manual,5,4,,48 Meses,,,,Sim,Usados,14 690        EUR,8089300525,26 Junho 2023,,Metalizado,Sim,,Classe 1,118 g/km,Sim,,,,,,,,,,,,
Profissional,Peugeot,3008,1.6 Hybrid GT e-EAT8,Híbrido (Gasolina),Fevereiro,2021,53 900 km,1 598 cm3,225 cv,Sim,,,,SUV / TT,Branco,Automática,5,5,,36 Meses,,Nacional,,,Usados,39 990        EUR,8089516933,26 Junho 2023,,,,,,,,,,,,,26/06/2026,,,,"1,40 l/100km",,
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Abril,2019,100 000 km,1 598 cm3,110 cv,Sim,Sim,,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,,Nacional,,,Usados,18 900        EUR,8089516964,26 Junho 2023,,,Sim,,,,Sim,,,,,,,,,,,,
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Março,2019,69 350 km,1 598 cm3,115 cv,Sim,Sim,,,Carrinha,Branco,Manual,5,5,,18 Meses,,Nacional,,,Usados,20 290        EUR,8089516897,26 Junho 2023,,,,,,,,,,,,,,,,,,,
