Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Julho,2022,14 300 km,1 950 cm3,306 cv,Sim,,,,Carrinha,Preto,Automática,5,5,,24 Meses,,Nacional,,,Usados,69 000        EUR,8089159483,26 Junho 2023,,,,,,,,,,,,Classe E,,,,,"1,40 l/100km",,
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Novembro,2019,84 500 km,1 950 cm3,306 cv,Sim,,,,Sedan,Preto,Automática,4,5,,24 Meses,,Nacional,,,Usados,43 500        EUR,8089159485,26 Junho 2023,,,,,,,,,,,,Classe E,,,,,,,
Profissional,SEAT,Leon ST,1.4 e-Hybrid FR DSG,Híbrido (Gasolina),Abril,2021,56 000 km,1 395 cm3,204 cv,Sim,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,1,Nacional,Sim,Sim,Usados,30 750        EUR,8089252547,26 Junho 2023,,,Sim,,Classe 1,,Sim,,,,144 €,,,,,,,,
Profissional,Mercedes-Benz,C 300,,Diesel,Dezembro,2021,38 000 km,1 992 cm3,265 cv,Sim,,,,Carrinha,Vermelho,Automática,5,5,,24 Meses,,Nacional,,,Usados,64 000        EUR,8089159413,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"5,20 l/100km",,
Profissional,Mercedes-Benz,CLA 180,d Style Plus Aut.,Diesel,Abril,2022,30 500 km,1 950 cm3,116 cv,Sim,,,,Coupé,Cinzento,Automática,4,5,,24 Meses,,Nacional,,,Usados,38 000        EUR,8089159453,26 Junho 2023,,,,,,,,,,,,Classe CLA,,,,,"3,70 l/100km",,
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Julho,2022,6 600 km,1 950 cm3,306 cv,Sim,,,,Sedan,Cinzento,Automática,4,5,,24 Meses,,Nacional,,,Usados,66 500        EUR,8089159499,26 Junho 2023,,,,,,,,,,,,Classe E,,,,,"1,30 l/100km",,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Fevereiro,2022,20 250 km,1 993 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159301,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2021,36 100 km,1 950 cm3,116 cv,Sim,,,,Utilitário,Branco,Automática,5,5,,24 Meses,,Nacional,,,Usados,34 000        EUR,8089159273,26 Junho 2023,,,,,,,,,,,,Classe A,,,,,5 l/100km,,
Profissional,Mercedes-Benz,GLC 300,de 4Matic,Híbrido (Diesel),Novembro,2021,39 000 km,1 950 cm3,320 cv,Sim,,,,SUV / TT,Preto,Automática,5,5,,24 Meses,,Nacional,,,Usados,69 900        EUR,8089159389,26 Junho 2023,,,,,,,,,,,,Classe GLC,,,,,"1,70 l/100km",,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Fevereiro,2022,30 000 km,1 992 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159392,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2021,20 000 km,1 950 cm3,116 cv,Sim,,,,Utilitário,Branco,Automática,5,5,,24 Meses,,Nacional,,,Usados,34 000        EUR,8089159400,26 Junho 2023,,,,,,,,,,,,Classe A,,,,,5 l/100km,,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Março,2022,28 500 km,1 992 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159404,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2022,20 700 km,1 950 cm3,116 cv,Sim,,,,Utilitário,Preto,Automática,5,5,,24 Meses,,Nacional,,,Usados,36 500        EUR,8089159384,26 Junho 2023,,,,,,,,,,,,Classe A,,,,,5 l/100km,,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2022,20 600 km,1 950 cm3,116 cv,Sim,,,,Utilitário,Branco,Automática,5,5,,24 Meses,,Nacional,,,Usados,36 500        EUR,8089159380,26 Junho 2023,,,,,,,,,,,,Classe A,,,,,5 l/100km,,
Profissional,Fiat,500C,1.3 16V Multijet Lounge,Diesel,Outubro,2013,98 000 km,1 248 cm3,95 cv,,,,Sim,Pequeno citadino,Vermelho,Manual,2,4,,18 Meses,1,Nacional,,Sim,Usados,10 400        EUR,8088543664,26 Junho 2023,,,Sim,,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Ford,Fiesta,1.5 TDCi Business,Diesel,Outubro,2019,89 250 km,1 499 cm3,85 cv,,,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,24 Meses,,Importado,Sim,,Usados,15 450        EUR,8088338667,26 Junho 2023,,Metalizado,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 220,D AMG Line,Diesel,Maio,2021,27 500 km,1 992 cm3,200 cv,Sim,,,,Sedan,Azul,Automática,4,5,,24 Meses,,Nacional,,,Usados,58 000        EUR,8089400988,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,5 l/100km,,
Profissional,Hyundai,i30 CW,1.6 CRDi Comfort,Diesel,Agosto,2008,290 000 km,1 582 cm3,90 cv,Sim,,,,Carrinha,Preto,Manual,5,5,,18 Meses,1,Nacional,,,Usados,3 499        EUR,8088769964,26 Junho 2023,"5,50 l/100km",,,,,,,,,,,,,,,,,,
Profissional,Audi,A1,1.6 TDI Sport Edition,Diesel,Fevereiro,2014,260 000 km,1 598 cm3,90 cv,Sim,,,,Utilitário,Vermelho,Manual,3,5,,18 Meses,2,Nacional,Sim,,Usados,9 899        EUR,8089521164,26 Junho 2023,"4,40 l/100km",,,,,99 g/km,Sim,,,,,,,,Sim,,,,
Profissional,Mercedes-Benz,C 200,(BlueTEC) d Station AMG Line,Diesel,Janeiro,2015,189 000 km,1 598 cm3,136 cv,Sim,,,,Carrinha,Branco,Manual,5,5,,100 Meses,1,,,Sim,Usados,18 999        EUR,8089912596,26 Junho 2023,"5,10 l/100km",,Sim,6,Classe 1,,Sim,,,,153 €,Classe C,,31/01/2024,Sim,,,,
