Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Número de Mudanças,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Garantia de Fábrica até,ou até,Origem,VIN,Valor Fixo,IVA Discriminado,Inspecção válida até,IUC,Bateria,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Renault,Mégane Coupe,1.6 dCi Bose Edition SS,Diesel,Setembro,2015,158 269 km,1 598 cm3,130 cv,Sim,Coupé,Branco,Manual,2,18 Meses,,Sim,,Sim,,,,Usados,14 900,8090049207,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-6-dci-bose-edition-ss-ID8Pw1mD.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Dacia,Lodgy,1.5 dCi Confort+ 7L,Diesel,Maio,2018,168 182 km,1 461 cm3,109 cv,Sim,Monovolume,Prateado,Manual,5,18 Meses,,,,Sim,,,,Usados,13 900,8091524225,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-confort-7l-ID8PBd5f.html,Metalizado,6,7,Classe 1,Tracção dianteira,,,,,Importado,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Mii,1.0 Style,Gasolina,Novembro,2014,139 000 km,999 cm3,60 cv,Sim,Pequeno citadino,Vermelho,Manual,5,36 Meses,,,,,"5,60 l/100km",,,Usados,7 600,8088686214,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-mii-1-0-style-ID8PpiMS.html,,5,4,Classe 1,Tracção dianteira,,,,,,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Ford,Fiesta,1.5 TDCi Trend,Diesel,Junho,2014,163 000 km,1 499 cm3,75 cv,Sim,Citadino,Branco,Manual,5,18 Meses,1,,Sim,Sim,"4,40 l/100km",,,Usados,9 999,8090258312,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-trend-ID8PwTLi.html,Metalizado,5,5,Classe 1,Tracção dianteira,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3 Picasso,,Gasolina,Agosto,2016,110 500 km,1 199 cm3,110 cv,Sim,SUV / TT,Cinzento,Manual,5,18 Meses,,,Sim,Sim,,,,Usados,10 900,8091014845,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-picasso-ID8Pz4zr.html,,,5,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Junho,2020,19 332 km,1 199 cm3,83 cv,,Citadino,Branco,Manual,5,36 Meses,1,,,Sim,5 l/100km,4 l/100km,4 l/100km,Usados,14 550,8091884849,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PCITL.html,,5,5,Classe 1,Tracção dianteira,,109 g/km,,,Nacional,,Sim,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Leon,1.2 TSI Style S/S,Gasolina,Janeiro,2016,103 326 km,1 197 cm3,110 cv,Sim,Citadino,Cinzento,Manual,5,18 Meses,2,Sim,Sim,Sim,"5,90 l/100km",,,Usados,14 250,8088727471,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-2-tsi-style-s-s-ID8Pptvj.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,,,,,20 Janeiro 2025,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500,1.2 8V S&S Star,Gasolina,Novembro,2014,62 000 km,1 242 cm3,69 cv,Sim,Citadino,Vermelho,Manual,3,18 Meses,,Sim,Sim,Sim,7 l/100km,,,Usados,11 450,8091875692,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-s-s-star-ID8PCGv4.html,Metalizado,5,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Particular,SEAT,Ibiza,1.6 TDI Style,Diesel,Outubro,2018,88 500 km,1 598 cm3,95 cv,,Citadino,Cinzento,Manual,5,,2,,Sim,Sim,"4,10 l/100km","3,40 l/100km",,Usados,13 500,8091586393,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-style-ID8PBtfX.html,Metalizado,5,,Classe 1,Tracção dianteira,,121 g/km,,,Importado,,,,10 Outubro 2024,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Citroën,C3 Aircross,1.5 BlueHDi Shine S&S,Diesel,Maio,2019,163 000 km,1 499 cm3,102 cv,Sim,Citadino,Branco,Manual,5,36 Meses,,,,,"4,70 l/100km",,,Usados,13 250,8091791602,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-5-bluehdi-shine-s-s-ID8PCkDM.html,Pérola,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,2008,1.2 PureTech Allure Grip Control,Gasolina,Maio,2017,94 000 km,1 199 cm3,130 cv,Sim,SUV / TT,Verde,Manual,5,18 Meses,1,Sim,Sim,Sim,,,,Usados,14 990,8091409803,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-grip-control-ID8PAJjJ.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,Importado,,Sim,,,108 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,2008,1.2 PureTech Allure Grip Control,Gasolina,Maio,2017,94 000 km,1 199 cm3,130 cv,Sim,SUV / TT,Verde,Manual,5,18 Meses,1,Sim,Sim,Sim,,,,Usados,14 990,8091409803,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-grip-control-ID8PAJjJ.html,Metalizado,6,5,Classe 1,Tracção dianteira,,,,,Importado,,Sim,,,108 €,,,,,,StandVirtual,Yes,2024-03-12
