Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Lotação,Classe do veículo,Tracção,Inspecção válida até,Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,Origem,IVA Discriminado,IUC,Consumo Combinado,Garantia de Fábrica até,Sub-modelo,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Site,Portugal,Data
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Junho,2019,76 000 km,1 499 cm3,102 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,"4,30 l/100km",Usados,14 790,8091851657,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8PCAgp.html,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,115 g/km,"3,30 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,Panda,1.2 Lounge,Gasolina,Maio,2018,78 000 km,1 242 cm3,69 cv,Sim,Utilitário,Cinzento,,Manual,5,18 Meses,"6,40 l/100km",Usados,9 280,8091850649,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-2-lounge-ID8PCA09.html,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,120 g/km,4 l/100km,Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,508 SW,1.6 e-HDi Active,Diesel,Julho,2014,188 000 km,1 560 cm3,115 cv,,Carrinha,Cinzento,,Manual,5,18 Meses,,Usados,11 750,8092086509,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-ID8PDzml.html,6,5,Classe 1,Tracção dianteira,,,,,,,,Mostrar VIN,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Bose Edition SS,Diesel,Janeiro,2014,134 950 km,1 461 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,18 Meses,"3,90 l/100km",Usados,11 000,8091654263,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-bose-edition-ss-ID8PBKUD.html,6,5,Classe 1,Tracção dianteira,20 Janeiro 2025,1,Sim,Sim,Sim,,,Mostrar VIN,Sim,Nacional,,150 €,,,,750 km,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Kia,Stonic,1.0 T-GDI EX,Gasolina,Julho,2018,75 000 km,998 cm3,120 cv,Sim,SUV / TT,Cinzento,,Manual,5,18 Meses,,Usados,13 999,8092072931,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-stonic-1-0-t-gdi-ex-ID8PDwPl.html,,5,,,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Renault,Zoe,(c/ Bateria) 22 kwh Life,Eléctrico,Fevereiro,2014,110 000 km,,88 cv,,Citadino,Branco,,Automática,5,,,Usados,8 500,8092105452,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-22-kwh-life-ID8PDEhS.html,1,5,,Tracção dianteira,,,,,,,,Mostrar VIN,,,,,,,,,,65 kWh,Própria,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio Sport Tourer,,Diesel,Dezembro,2017,140 893 km,1 461 cm3,90 cv,Sim,Carrinha,Branco,,Automática,5,18 Meses,,Usados,14 950,8089154705,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-ID8PrgFb.html,6,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,82 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500,,Gasolina,Abril,2018,68 495 km,1 242 cm3,70 cv,Sim,Citadino,Branco,,Manual,3,18 Meses,,Usados,13 500,8091265932,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PA7Te.html,5,4,Classe 1,Tracção dianteira,,,,Sim,,115 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Janeiro,2018,163 385 km,1 461 cm3,90 cv,Sim,Utilitário,Branco,,Manual,5,18 Meses,,Usados,13 500,8089839528,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8Pu8OI.html,,5,Classe 1,,,,,,Sim,,,,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio Sport Tourer,,Diesel,Dezembro,2017,136 846 km,1 461 cm3,90 cv,Sim,Carrinha,Branco,,Automática,5,18 Meses,,Usados,14 950,8089105762,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-ID8Pr3WM.html,6,5,Classe 1,Tracção dianteira,,,,,Sim,82 g/km,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Maio,2018,56 630 km,1 199 cm3,82 cv,Sim,SUV / TT,Cinzento,,Manual,5,18 Meses,,Usados,14 599,8091014386,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8Pz4s2.html,5,5,,,,1,Sim,,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Smart,ForTwo Coupé,Electric Drive Perfect,Eléctrico,Abril,2021,21 000 km,,82 cv,,Pequeno citadino,Branco,,Automática,3,,,Usados,13 900,8091021219,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-perfect-ID8Pz6ef.html,1,2,Classe 1,Tracção traseira,,,,Sim,,,,,,,,,,,,130 km,130 km,,Própria,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Novembro,2020,78 557 km,998 cm3,72 cv,,Citadino,Preto,,Manual,5,18 Meses,"4,30 l/100km",Usados,11 500,8092086477,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PDzlP.html,5,,,Tracção dianteira,,,Sim,Sim,Sim,109 g/km,"3,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Fevereiro,2018,167 457 km,1 461 cm3,90 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,,Usados,13 750,8089441144,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8Pstba.html,,5,Classe 1,,,,,,,,,,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Kia,Ceed SW,,Diesel,Janeiro,2014,133 224 km,1 582 cm3,128 cv,Sim,Carrinha,Branco,,Manual,5,18 Meses,,Usados,12 500,8088176441,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-ID8PnaaJ.html,6,5,Classe 1,Tracção dianteira,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Honda,Jazz,1.2 i-VTEC Trend J15,Gasolina,Março,2014,115 712 km,1 198 cm3,90 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,18 Meses,,Usados,11 950,8090613695,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-jazz-1-2-i-vtec-trend-j15-ID8Pxodh.html,5,5,Classe 1,Tracção dianteira,,,,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Setembro,2017,70 000 km,1 461 cm3,90 cv,Sim,SUV / TT,Cinzento,,Manual,5,18 Meses,"4,60 l/100km",Usados,14 900,8091956866,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PD1Dk.html,5,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,139 g/km,"3,90 l/100km",,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Outubro,2017,114 000 km,1 199 cm3,82 cv,Sim,Citadino,Preto,,Manual,5,18 Meses,,Usados,12 490,8089820401,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pu3Qd.html,5,5,Classe 1,Tracção dianteira,1 Outubro 2025,,Sim,Sim,Sim,,,,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra,1.6 CDTI Business Edition S/S,Diesel,Maio,2017,177 000 km,1 598 cm3,95 cv,Sim,Utilitário,Preto,,Manual,5,18 Meses,,Usados,12 990,8091660894,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-business-edition-s-s-ID8PBMDA.html,,5,,Tracção dianteira,1 Maio 2025,,,,,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Junho,2018,155 000 km,1 598 cm3,136 cv,Sim,Carrinha,Cinzento,,Manual,5,18 Meses,,Usados,14 850,8090325935,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-business-edition-ID8PvblZ.html,6,5,,Tracção dianteira,1 Junho 2024,,Sim,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Agosto,2018,113 599 km,1 598 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,18 Meses,,Usados,14 890,8091392888,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PAEUU.html,6,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,,,Mostrar VIN,Sim,,,"158,29 €",,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Maio,2018,109 199 km,1 248 cm3,95 cv,Sim,Carrinha,Azul,,Manual,5,18 Meses,,Usados,12 900,8092086384,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PDzkk.html,5,5,,,,,Sim,Sim,Sim,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Mitsubishi,Space Star,1.2 Intense Connect Edition,Gasolina,Setembro,2019,56 000 km,1 193 cm3,80 cv,Sim,Citadino,Branco,Metalizado,Manual,5,36 Meses,"5,30 l/100km",Usados,10 990,8092014124,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-connect-edition-ID8PDgvQ.html,5,5,Classe 1,Tracção dianteira,,,,,,,,,Sim,,,100 €,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308 SW,1.5 BlueHDi Business Line,Diesel,Dezembro,2018,159 000 km,1 499 cm3,102 cv,Sim,Carrinha,Azul,,Manual,5,18 Meses,,Usados,13 990,8091392848,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-business-line-ID8PAEUg.html,6,5,,Tracção dianteira,12 Dezembro 2024,1,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Novembro,2017,140 000 km,1 560 cm3,100 cv,Sim,Carrinha,Preto,,Manual,5,18 Meses,,Usados,14 750,8090610706,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pxnr4.html,,5,,Tracção dianteira,11 Novembro 2023,,,,,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,Focus SW,1.5 TDCi EcoBlue Business,Diesel,Outubro,2018,167 000 km,1 499 cm3,120 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,14 850,8091820259,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-business-ID8PCs5Z.html,,5,,Tracção dianteira,1 Outubro 2024,,Sim,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,EcoSport,1.0 EcoBoost Business Edition,Gasolina,Junho,2018,99 632 km,998 cm3,125 cv,,SUV / TT,Cinzento,,Manual,5,18 Meses,"6,20 l/100km",Usados,13 850,8091024305,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ecosport-1-0-ecoboost-business-edition-ID8Pz721.html,6,,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,119 g/km,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,508 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,226 000 km,1 560 cm3,120 cv,Sim,Carrinha,Azul,,Manual,5,18 Meses,,Usados,11 950,8091608190,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-allure-ID8PByWv.html,6,5,Classe 1,,,,,Sim,Sim,,,,Sim,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,999 cm3,71 cv,Sim,Pequeno citadino,Branco,Metalizado,Manual,3,18 Meses,,Usados,10 550,8088438225,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pogh3.html,5,2,Classe 1,Tracção dianteira,,,,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Abril,2015,111 896 km,1 242 cm3,69 cv,Sim,Utilitário,Branco,Metalizado,Manual,3,18 Meses,,Usados,8 500,8089960164,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-x-ID8PuEcs.html,,4,,,,,,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,5008,1.5 BlueHDi Active Pack EAT8,Diesel,Maio,2018,158 000 km,1 499 cm3,130 cv,,SUV / TT,Branco,Pérola,Automática,5,18 Meses,"4,40 l/100km",Usados,19 500,8092127214,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-active-pack-eat8-ID8PDJVS.html,8,7,Classe 1,Tracção dianteira,30 Maio 2026,,,Sim,Sim,108 g/km,"3,90 l/100km",,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Hyundai,i30 SW,1.0 T-GDi Style,Gasolina,Junho,2021,40 454 km,998 cm3,120 cv,Sim,Carrinha,Preto,,Manual,5,50 Meses,,Usados,18 990,8090596646,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-0-t-gdi-style-ID8PxjMi.html,,5,,,,,,,,,,Mostrar VIN,Sim,Nacional,,,"5,50 l/100km",22 Junho 2028,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Leaf,40 kWh TEKNA,Eléctrico,Outubro,2018,86 552 km,,150 cv,Sim,Utilitário,Cinzento,Metalizado,Automática,5,18 Meses,,Usados,20 990,8091561925,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-40-kwh-tekna-ID8PBmTj.html,,5,,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,Polo,1.0 TSI Life,Gasolina,Abril,2022,30 000 km,999 cm3,95 cv,Sim,Citadino,Branco,,Manual,5,24 Meses,,Usados,17 990,8089257026,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-life-ID8PrHhv.html,,5,Classe 1,,,,,Sim,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,DS,DS5,,Diesel,Agosto,2015,153 401 km,1 600 cm3,120 cv,Sim,Utilitário,Preto,,Manual,5,36 Meses,,Usados,15 900,8091802123,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds5-ID8PCnnt.html,,5,,,,,,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,BMW,116,d Pack M,Diesel,Março,2022,39 423 km,1 496 cm3,116 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,24 Meses,,Usados,27 750,8089407266,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-ID8PskmK.html,6,5,Classe 1,,,,Sim,Sim,Sim,,,,,,,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Kia,XCeed,1.0 T-GDI Dynamic,Gasolina,Junho,2022,9 493 km,998 cm3,120 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,24 Meses,,Usados,21 250,8091797184,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-0-t-gdi-dynamic-ID8PCm5O.html,,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta DCT,Gasolina,Novembro,2020,28 400 km,999 cm3,117 cv,Sim,SUV / TT,Branco,Metalizado,Automática,5,18 Meses,,Usados,24 890,8091186561,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-dct-ID8PzNf3.html,7,5,Classe 1,,,,,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Juke,1.6 DIG-T Nismo RS P.Techno +P.Recaro,Gasolina,Junho,2017,114 000 km,1 618 cm3,218 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,18 Meses,"9,50 l/100km",Usados,21 990,8091751777,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-6-dig-t-nismo-rs-p-techno-p-recaro-ID8PCahr.html,,,,,,,Sim,,Sim,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,VW,Golf,2.0 TSI GTI DSG,Gasolina,Maio,2019,151 000 km,1 984 cm3,245 cv,Sim,Utilitário,Cinzento,Metalizado,Automática,5,18 Meses,"8,60 l/100km",Usados,27 990,8091759130,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-dsg-ID8PCcc2.html,,,,,,,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Dacia,Logan MCV,0.9 TCe Stepway,Gasolina,Junho,2020,12 992 km,898 cm3,90 cv,Sim,Carrinha,Prateado,Metalizado,Manual,5,18 Meses,,Usados,17 890,8090762153,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-stepway-ID8Py0PL.html,5,5,Classe 1,,,,,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C3,Pure Tech Feel,Gasolina,Agosto,2022,15 000 km,1 199 cm3,68 cv,Sim,Citadino,Cinzento,Metalizado,Manual,5,18 Meses,"3,60 l/100km",Usados,15 750,8092037474,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-feel-ID8PDmBs.html,5,5,Classe 1,Tracção dianteira,10 Março 2026,1,Sim,,,97 g/km,"2,90 l/100km",Mostrar VIN,,Importado,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Talisman Sport Tourer,1.5 dCi Zen P.Business,Diesel,Outubro,2018,87 490 km,1 461 cm3,110 cv,Sim,Carrinha,Azul,Metalizado,Manual,5,18 Meses,"4,20 l/100km",Usados,17 990,8091651493,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-talisman-sport-tourer-1-5-dci-zen-p-business-ID8PBKbX.html,6,5,Classe 1,Tracção dianteira,8 Outubro 2024,1,Sim,Sim,Sim,98 g/km,"3,50 l/100km",Mostrar VIN,Sim,Nacional,Sim,"154,12 €",,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Hyundai,Tucson,1.6 CRDi Vanguard,Diesel,Novembro,2021,12 700 km,1 598 cm3,116 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,18 Meses,,Usados,29 950,8092127205,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-crdi-vanguard-ID8PDJVJ.html,6,5,Classe 1,,,1,Sim,,Sim,,,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Citroën,C4 Spacetourer,1.2 PureTech Feel,Gasolina,Julho,2018,42 570 km,1 199 cm3,130 cv,,Monovolume,Cinzento,Metalizado,Manual,5,18 Meses,,Usados,21 650,8088834243,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-spacetourer-1-2-puretech-feel-ID8PpWir.html,6,7,Classe 1,,,,,,Sim,116 g/km,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Renault,Captur,1.6 E-Tech Plug-In Initiale Paris,Híbrido Plug-In,Maio,2021,35 700 km,1 598 cm3,160 cv,,SUV / TT,Cinzento,Metalizado,Automática,5,,,Usados,24 750,8091699721,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-6-e-tech-plug-in-initiale-paris-ID8PBVJP.html,,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,33 g/km,,Mostrar VIN,Sim,Nacional,,145 €,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,508 SW,1.5 BlueHDi Business Line EAT8,Diesel,Dezembro,2019,158 450 km,1 499 cm3,130 cv,Sim,Carrinha,Cinzento,,Automática,5,18 Meses,"4,40 l/100km",Usados,21 750,8090923250,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-5-bluehdi-business-line-eat8-ID8PyGK6.html,,5,Classe 1,Tracção dianteira,,,,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Mercedes-Benz,C 350,e,Híbrido Plug-In,Setembro,2017,107 440 km,1 991 cm3,279 cv,Sim,Carrinha,Cinzento,,Automática,5,18 Meses,,Usados,29 980,8088190399,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-350-e-ID8PndNR.html,7,5,Classe 1,Tracção traseira,,,Sim,Sim,,53 g/km,,,,Nacional,,,"2,10 l/100km",,Classe C,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Fiat,500,1.2 RockStar,Gasolina,Janeiro,2020,18 170 km,1 242 cm3,69 cv,Sim,Pequeno citadino,Preto,Metalizado,Manual,3,18 Meses,,Usados,15 890,8091418425,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-rockstar-ID8PALyN.html,5,4,Classe 1,,,,,,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,BMW,118,i Corporate Edition M Auto,Gasolina,Janeiro,2020,25 282 km,1 499 cm3,140 cv,,Citadino,Azul,,Automática,5,18 Meses,,Usados,28 250,8090680234,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-118-i-corporate-edition-m-auto-ID8PxFvu.html,7,5,Classe 1,,,,,Sim,Sim,,,,Sim,Nacional,,,,,Série 1,,,,,,,StandVirtual,Yes,2024-03-27
Particular,BMW,225xe Active Tourer,Advantage,Híbrido Plug-In,Janeiro,2020,38 000 km,1 499 cm3,224 cv,,Utilitário,Preto,Metalizado,Automática,5,,,Usados,25 900,8091673190,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-225xe-active-tourer-advantage-ID8PBPPU.html,,,,,,,,,,,,,,,,,,,Série 2,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,MINI,Electric,Cooper SE,Eléctrico,Novembro,2020,46 000 km,,184 cv,Sim,Utilitário,Cinzento,Metalizado,Automática,3,18 Meses,,Usados,23 750,8092100071,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-electric-cooper-se-ID8PDCT5.html,,4,Classe 1,,,,Sim,Sim,Sim,,,,Sim,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Mercedes-Benz,C 200,(BlueTEC) d Station Avantgarde,Diesel,Novembro,2014,210 000 km,1 598 cm3,136 cv,,Carrinha,Azul,Metalizado,Manual,5,,"5,10 l/100km",Usados,15 499,8090697583,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-bluetec-d-station-avantgarde-ID8PxK2j.html,6,5,Classe 1,Tracção traseira,14 Novembro 2024,2,Sim,Sim,Sim,,,,,,,,,,Classe C,1 100 km,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Audi,TT Roadster,2.0 TDi S-line,Diesel,Janeiro,2015,182 121 km,1 968 cm3,184 cv,,Cabrio,Prateado,Metalizado,Manual,2,18 Meses,,Usados,28 900,8089516157,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-tt-roadster-2-0-tdi-s-line-ID8PsMH3.html,6,2,Classe 1,,,,,Sim,Sim,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Mercedes-Benz,C 200,BlueTEC Avantgarde+,Diesel,Janeiro,2018,89 588 km,1 598 cm3,136 cv,Sim,Carrinha,Prateado,,Manual,5,18 Meses,6 l/100km,Usados,26 100,8089951402,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-bluetec-avantgarde-ID8PuBW8.html,6,5,Classe 1,Tracção traseira,25 Janeiro 2024,,Sim,Sim,Sim,119 g/km,5 l/100km,Mostrar VIN,,Nacional,,160 €,5 l/100km,,Classe C,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,BMW,320,d Touring Pack M,Diesel,Janeiro,2016,179 585 km,1 995 cm3,190 cv,,Carrinha,Branco,,Manual,5,18 Meses,,Usados,24 490,8091627989,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-pack-m-ID8PBE4R.html,6,5,Classe 1,,,,,Sim,Sim,,,,Sim,,,,,,Série 3,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Grandland,1.5 CDTI GS Line AT,Diesel,Maio,2022,82 000 km,1 499 cm3,130 cv,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,18 Meses,,Usados,22 900,8091802791,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-grandland-1-5-cdti-gs-line-at-ID8PCnyf.html,,5,,,,1,Sim,Sim,Sim,,,,Sim,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
