Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IUC,Filtro de partículas,Garantia de Fábrica até,Emissões CO2,Autonomia Máxima,ou até,Inspecção válida até,Consumo Combinado,Consumo Urbano,Consumo Extra Urbano,Clássico,Autonomia
Profissional,Mercedes-Benz,GLC 300,Classe GLC,de Coupé 4Matic,Híbrido (Diesel),Abril,2021,85 000 km,1 950 cm3,320 cv,Sim,,,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,9,5,5,Classe 1,Integral,18 Meses,1,,Sim,Sim,Sim,Usados,65 000        EUR,8089555620,1 Junho 2023,,Sim,,46 g/km,,,,,,,,
Profissional,Mazda,2,,1.5 L Hybrid VVT-i Agile,Híbrido (Gasolina),Fevereiro,2023,180 km,1 490 cm3,116 cv,Sim,Sim,,Sim,Sim,Citadino,Verde,Metalizado,Automática,5,5,5,Classe 1,Tracção dianteira,72 Meses,,Nacional,Sim,Sim,Sim,Novos,23 890        EUR,8089235852,1 Junho 2023,,,28/03/2029,,,150 000 km,,,,,,
Profissional,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Junho,2020,43 000 km,1 332 cm3,218 cv,,,,Sim,Sim,Carrinha,Branco,Metalizado,Automática,8,5,5,Classe 1,,18 Meses,1,Importado,Sim,Sim,Sim,Usados,41 999        EUR,8088676570,1 Junho 2023,,Sim,,,,,,,,,,67 km
Profissional,VW,Golf,,1.4 TSI e-Hybrid DSG,Híbrido (Gasolina),Novembro,2021,17 500 km,1 395 cm3,204 cv,Sim,Sim,Sim,Sim,Sim,Utilitário,Branco,,Automática,6,5,5,,,36 Meses,,Importado,,,Sim,Usados,37 900        EUR,8087875143,1 Junho 2023,,,,,,,,,,,,
Profissional,Audi,A3 Sportback,,40 TFSIe,Híbrido (Gasolina),Março,2021,23 500 km,1 395 cm3,204 cv,Sim,,Sim,Sim,,Utilitário,Azul,Metalizado,Automática,,5,5,,,18 Meses,,,,,,Usados,38 900        EUR,8087161095,1 Junho 2023,,,,,,,,,,,,
Profissional,Porsche,Panamera Sport Turismo,,4 E-Hybrid,Híbrido (Gasolina),Junho,2020,23 526 km,2 894 cm3,462 cv,,,,Sim,Sim,Carrinha,Preto,Metalizado,Automática,8,5,5,Classe 1,Integral,18 Meses,,,Sim,,Sim,Usados,133 900        EUR,8088325810,1 Junho 2023,,,,,,,,,,,,
Profissional,Porsche,Cayenne,,E-Hybrid,Híbrido (Gasolina),Julho,2018,159 300 km,2 995 cm3,462 cv,,,,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,8,5,5,,Integral,18 Meses,,,Sim,,Sim,Usados,83 900        EUR,8087815062,1 Junho 2023,,Sim,,,,,,,,,,
Profissional,Mercedes-Benz,E 53 AMG,Classe E,4-Matic+,Híbrido (Gasolina),Junho,2019,83 747 km,2 999 cm3,435 cv,,,,Sim,Sim,Coupé,Preto,Metalizado,Automática,8,3,5,Classe 1,Integral,18 Meses,,,Sim,Sim,Sim,Usados,71 900        EUR,8087832194,1 Junho 2023,,,,,,,,,,,,
Particular,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Março,2021,48 000 km,1 332 cm3,218 cv,,,,,,Utilitário,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,Importado,Sim,,Sim,Usados,41 250        EUR,8089320983,1 Junho 2023,,,,,72 km,,,,,,,
Profissional,BMW,X2,Série X,25 e xDrive X Pack M,Híbrido (Gasolina),Outubro,2021,25 000 km,1 499 cm3,220 cv,Sim,,Sim,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,48 750        EUR,8089606183,1 Junho 2023,"144,05 €",,,,,,,,,,,
