Anunciante;Marca;Modelo;Versão;Combustível;Mês de Registo;Ano;Quilómetros;Cilindrada;Potência;Valor Fixo;Aceita retoma;Possibilidade de financiamento;Segmento;Cor;Tipo de cor;Tipo de Caixa;Número de Mudanças;Nº de portas;Lotação;Classe do veículo;Inspecção válida até;Garantia de Stand (incl. no preço);Registo(s);Origem;Livro de Revisões completo;Não fumador;2º Chave;Consumo Urbano;Condição;Preco;ID Anuncio;Data Anuncio;Sub-modelo;Filtro de partículas;Tracção;IUC;IVA Discriminado;IVA dedutível;Emissões CO2;Consumo Extra Urbano;Autonomia;Capacidade da bateria;Garantia de Fábrica até;ou até;Bateria;Consumo;Autonomia Máxima;Site
Particular;Renault;Laguna Break;1.5 dCi Limited;Diesel;Maio;2012;213 595 km;1 461 cm3;110 cv;Sim;;;Carrinha;Preto;Metalizado;Manual;6;5;5;Classe 1;30/05/2024;;2;;;Sim;Sim;5 l/100km;Usados;6 499        EUR;8089913419;27/jun/23;;;Tracção dianteira;;;;112 g/km;3,90 l/100km;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;C 300;;Diesel;Janeiro;2022;30 250 km;1 992 cm3;265 cv;Sim;Sim;Sim;Sedan;Azul;Metalizado;Automática;9;5;5;Classe 1;;24 Meses;;Nacional;Sim;;Sim;7,10 l/100km;Usados;57 490        EUR;8088504234;27/jun/23;Classe C;Sim;Tracção traseira;;Sim;;;;;;;;;;;StandVirtual
Profissional;Opel;Mokka;1.2 T Elegance;Gasolina;Abril;2022;24 656 km;1 199 cm3;100 cv;;Sim;Sim;SUV / TT;Branco;;Manual;;5;5;;;18 Meses;;Nacional;;Sim;Sim;;Usados;24 300        EUR;8089467509;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;GLC 300;d 4Matic;Diesel;Julho;2019;93 100 km;1 950 cm3;245 cv;;Sim;Sim;SUV / TT;Preto;Metalizado;Automática;9;5;5;Classe 1;;18 Meses;2;Nacional;Sim;Sim;Sim;;Usados;58 950        EUR;8084907665;27/jun/23;Classe GLC;Sim;Integral;;;;169 g/km;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;CLA 180;d Shooting Brake Urban;Diesel;Maio;2016;1 km;1 461 cm3;109 cv;Sim;Sim;Sim;Carrinha;Preto;;Manual;6;5;5;Classe 1;;18 Meses;;;;;Sim;;Usados;20 750        EUR;8089916086;27/jun/23;Classe CLA;Sim;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 180;d Fleet Pack Urban Aut.;Diesel;Março;2017;178 627 km;1 461 cm3;109 cv;;Sim;Sim;Utilitário;Preto;;Automática;;5;5;;31/03/2025;18 Meses;1;Importado;Sim;Sim;Sim;;Usados;18 990        EUR;8088352312;27/jun/23;Classe A;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;MINI;Cabrio;Cooper Auto. John Cooper Works;Gasolina;Janeiro;2022;30 000 km;1 499 cm3;136 cv;;Sim;Sim;Cabrio;Preto;Metalizado;Automática;;2;4;Classe 1;;36 Meses;1;Nacional;Sim;Sim;Sim;;Usados;35 900        EUR;8089852888;27/jun/23;;Sim;;;;;;;;;31/01/2025;;;;;StandVirtual
Profissional;Renault;Captur;1.5 dCi Exclusive;Diesel;Junho;2013;167 000 km;1 461 cm3;90 cv;Sim;Sim;Sim;SUV / TT;Castanho;Metalizado;Manual;5;5;5;Classe 1;;18 Meses;;Nacional;;Sim;Sim;4,20 l/100km;Usados;12 500        EUR;8086033787;27/jun/23;;;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;C 300;d AMG Line;Diesel;Janeiro;2023;5 000 km;1 993 cm3;265 cv;Sim;Sim;Sim;Sedan;Preto;;Automática;9;4;5;Classe 1;;36 Meses;;;;Sim;Sim;;Usados;59 750        EUR;8089916085;27/jun/23;Classe C;Sim;;;;;;;;;02/01/2028;;;;;StandVirtual
Particular;Porsche;Macan;S;Diesel;Novembro;2017;95 000 km;2 967 cm3;258 cv;;;;SUV / TT;Preto;;Automática;;5;;;;;;;;;;6,70 l/100km;Usados;69 900        EUR;8088707371;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Audi;A3 Sportback;1.6 TDI S-line S tronic;Diesel;Julho;2015;180 000 km;1 598 cm3;110 cv;Sim;Sim;Sim;Utilitário;Cinzento;Metalizado;Automática;;5;5;Classe 1;;18 Meses;2;;;Sim;;;Usados;17 950        EUR;8089852886;27/jun/23;;Sim;;;;;;;;;;;;;;StandVirtual
Profissional;Volvo;V40;2.0 D2 R-Design;Diesel;Julho;2017;138 000 km;1 969 cm3;120 cv;;Sim;Sim;Utilitário;Preto;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;;Nacional;;Sim;Sim;;Usados;18 900        EUR;8088654817;27/jun/23;;Sim;Tracção dianteira;;;;;;;;;;;;;StandVirtual
Profissional;Toyota;Auris;1.4 D-4D AC;Diesel;Janeiro;2009;84 100 km;1 364 cm3;90 cv;Sim;;;Utilitário;Azul;Metalizado;Manual;5;5;5;;;18 Meses;;;;;;5,80 l/100km;Usados;10 950        EUR;8089589282;27/jun/23;;;Tracção dianteira;;;;130 g/km;4,50 l/100km;;;;;;;;StandVirtual
