Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Inspecção válida até,Autonomia Máxima,Garantia de Fábrica até,ou até,IVA Discriminado,Filtro de partículas,Sub-modelo,Autonomia,Consumo,Bateria,Consumo Combinado,Gancho de Reboque,Clássico,Capacidade da bateria,Site,Portugal
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Fevereiro,2012,246 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,93 g/km,147 €,18 Meses,,,,Sim,Sim,"3,90 l/100km","3,40 l/100km",Usados,10 990        EUR,8090086947,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Dezembro,2016,73 375 km,898 cm3,90 cv,,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,1,Nacional,,,Sim,,,Usados,14 750        EUR,8090321567,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Dacia,Logan MCV,0.9 TCe Comfort Bi-Fuel,GPL,Maio,2019,87 000 km,898 cm3,90 cv,,,,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,143 g/km,137 €,,1,Nacional,Sim,Sim,Sim,"6,50 l/100km","4,90 l/100km",Usados,13 990        EUR,8090192596,20 Agosto 2023,01/06/2025,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Pulsar,1.5 dCi Visia,Diesel,Junho,2015,140 000 km,1 461 cm3,110 cv,,Sim,Sim,Utilitário,Branco,,Manual,,5,5,,Tracção dianteira,,,18 Meses,1,Nacional,,Sim,Sim,,,Usados,13 500        EUR,8085326774,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 300,Bluetec Hybrid Elegance 107g,Híbrido (Diesel),Janeiro,2013,219 277 km,2 143 cm3,231 cv,Sim,,,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,107 g/km,,18 Meses,2,Importado,Sim,Sim,Sim,"4,10 l/100km",,Usados,14 000        EUR,8088684626,20 Agosto 2023,01/12/2023,50 km,,,,,Classe E,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C-Elysée,1.2 PureTech Shine,Gasolina,Dezembro,2017,44 577 km,1 199 cm3,82 cv,,Sim,Sim,Sedan,Cinzento,Metalizado,Manual,6,4,5,Classe 1,Tracção dianteira,,,24 Meses,,,,Sim,Sim,,,Usados,12 990        EUR,8088488017,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Panda,1.0 Hybrid City Life,Gasolina,Novembro,2021,30 603 km,999 cm3,70 cv,Sim,Sim,Sim,Citadino,Branco,,Manual,5,5,5,,,129 g/km,,24 Meses,,Nacional,,Sim,,,,Usados,14 450        EUR,8090241728,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Alfa Romeo,MiTo,1.3 JTDM ECO Impression,Diesel,Abril,2012,198 000 km,1 248 cm3,84 cv,,,,Utilitário,Vermelho,Metalizado,Manual,,3,4,,,,,,,,,,,,,Usados,7 500        EUR,8090192574,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Leaf,Tekna,Eléctrico,Março,2017,110 000 km,,109 cv,,Sim,Sim,Utilitário,Branco,,Automática,,5,5,Classe 1,,,,18 Meses,,,,Sim,Sim,,,Usados,14 500        EUR,8090260323,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,320 Gran Turismo,,Diesel,Março,2010,181 357 km,2 000 cm3,177 cv,,,,Carrinha,Preto,,Manual,,5,,,,,,,,,,,,,,Usados,13 000        EUR,8090326378,20 Agosto 2023,,,,,,,Série 3,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Janeiro,2016,110 389 km,1 199 cm3,110 cv,,Sim,Sim,Coupé,Vermelho,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,99 g/km,,18 Meses,,,Sim,Sim,Sim,,,Usados,14 190        EUR,8088576814,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon,1.2 TSI Reference S/S,Gasolina,Março,2014,99 136 km,1 197 cm3,105 cv,,Sim,Sim,Utilitário,Vermelho,,Manual,6,5,5,Classe 1,Tracção dianteira,,,18 Meses,,,,Sim,Sim,,,Usados,12 490        EUR,8088576262,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 T EcoBoost Trend,Gasolina,Maio,2015,134 613 km,998 cm3,100 cv,,Sim,Sim,Citadino,Azul,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,18 Meses,,,,,Sim,,,Usados,10 590        EUR,8089077587,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,1.1 CRDi Urban,Diesel,Fevereiro,2013,97 768 km,1 120 cm3,75 cv,,Sim,Sim,Citadino,Bege,,Manual,6,5,5,Classe 1,,,,18 Meses,,Nacional,,Sim,Sim,,,Usados,9 190        EUR,8089077103,20 Agosto 2023,28/02/2024,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.4 i-VTEC Type-S,Gasolina,Setembro,2011,100 501 km,1 339 cm3,100 cv,,Sim,Sim,Coupé,Azul,Metalizado,Manual,6,3,5,Classe 1,Tracção dianteira,135 g/km,,18 Meses,,,,Sim,Sim,,,Usados,11 900        EUR,8089875587,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Note,1.2 N-Tec,Gasolina,Maio,2015,104 241 km,1 198 cm3,80 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,,109 g/km,,18 Meses,,,Sim,Sim,Sim,,,Usados,12 690        EUR,8088576888,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza ST,1.4 TDi Reference,Diesel,Abril,2016,116 729 km,1 422 cm3,90 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,11 490        EUR,8089960137,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.4 TDi Confortline,Diesel,Março,2017,155 276 km,1 422 cm3,75 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,,5,5,,,,,18 Meses,,Nacional,Sim,,Sim,,,Usados,12 990        EUR,8089610483,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Honda,Civic Tourer,1.6 i-DTEC Lifestyle,Diesel,Julho,2014,202 623 km,1 597 cm3,120 cv,,,,Carrinha,Preto,,Manual,6,5,5,,Tracção dianteira,103 g/km,,,,Nacional,Sim,Sim,Sim,"4,30 l/100km","3,70 l/100km",Usados,10 500        EUR,8090192557,20 Agosto 2023,03/07/2024,,,,,,,,,,,,,,StandVirtual,Yes
