Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Inspecção válida até,Autonomia Máxima,Garantia de Fábrica até,ou até,IVA Discriminado,Filtro de partículas,Sub-modelo,Autonomia,Consumo,Bateria,Consumo Combinado,Gancho de Reboque,Clássico,Capacidade da bateria,Site,Portugal
Particular,Citroën,e-C4,Shine Pack,Eléctrico,Janeiro,2022,13 859 km,,136 cv,,,,SUV / TT,Prateado,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,,Nacional,,Sim,Sim,,,Usados,30 500        EUR,8090015424,20 Agosto 2023,31/01/2026,,12/02/2025,,,,,350 km,"16,60 kWh/100km",Própria,,,,,StandVirtual,Yes
Profissional,BMW,225xe Active Tourer,Line Sport,Híbrido (Gasolina),Junho,2021,54 000 km,1 499 cm3,224 cv,Sim,Sim,Sim,Monovolume,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Integral,36 g/km,,36 Meses,,Nacional,Sim,,Sim,,,Usados,38 490        EUR,8089999744,20 Agosto 2023,,,,,Sim,,Série 2,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d Pack M Auto,Diesel,Abril,2021,57 000 km,1 496 cm3,116 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Automática,,5,5,,,,,36 Meses,,Nacional,Sim,,Sim,,,Usados,30 590        EUR,8088001535,20 Agosto 2023,,,,,Sim,,Série 1,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d Pack M Auto,Diesel,Junho,2022,43 500 km,1 496 cm3,116 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,,36 Meses,,Nacional,Sim,,Sim,,,Usados,35 890        EUR,8089134644,20 Agosto 2023,,,,,Sim,,Série 1,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V90,2.0 D4 Momentum Geartronic,Diesel,Maio,2017,106 182 km,1 969 cm3,190 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,,18 Meses,,Importado,Sim,Sim,Sim,"5,60 l/100km",,Usados,30 500        EUR,8088015672,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Land Rover,Range Rover Evoque,2.2 SD4 Dynamic Auto,Diesel,Maio,2014,92 000 km,2 179 cm3,190 cv,Sim,Sim,Sim,SUV / TT,Verde,Metalizado,Automática,,5,5,,,159 g/km,,18 Meses,,Nacional,,Sim,Sim,,,Usados,32 500        EUR,8090294106,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C5 Aircross,2.0 BlueHDi Shine EAT8,Diesel,Maio,2019,131 350 km,1 997 cm3,177 cv,,Sim,,SUV / TT,Cinzento,,Automática,8,5,5,,,,,18 Meses,,Importado,Sim,Sim,Sim,,,Usados,33 500        EUR,8087990681,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,RAV4,2.5 HDF Square Collection,Híbrido (Gasolina),Janeiro,2019,68 082 km,2 487 cm3,218 cv,Sim,Sim,,SUV / TT,Branco,,Automática,,5,5,,,,,36 Meses,,Nacional,Sim,,Sim,,,Usados,37 500        EUR,8088284539,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Outubro,2020,100 000 km,1 332 cm3,218 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Automática,,5,5,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,31 500        EUR,8090274415,20 Agosto 2023,,,,,Sim,,Classe A,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi GT EAT8,Diesel,Março,2023,11 000 km,1 499 cm3,130 cv,,Sim,Sim,SUV / TT,Preto,,Automática,6,5,5,,,,,36 Meses,,Nacional,Sim,Sim,Sim,"4,10 l/100km",,Usados,42 990        EUR,8089280025,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,e-Niro,EV 64kWh Drive,Eléctrico,Julho,2022,16 000 km,,204 cv,,Sim,Sim,SUV / TT,Preto,,Automática,,5,5,,,,,36 Meses,,Nacional,,,Sim,,,Usados,42 900        EUR,8089580578,20 Agosto 2023,,,15/06/2029,150 000 km,Sim,,,,,Própria,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Eclipse Cross,2.4 PHEV eMotion,Híbrido (Gasolina),Novembro,2022,26 132 km,2 360 cm3,202 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,,Integral,46 g/km,,36 Meses,,Nacional,Sim,Sim,Sim,,,Usados,38 990        EUR,8090279719,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,2.0 VTEC Turbo Type R GT,Gasolina,Maio,2018,100 000 km,1 996 cm3,320 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,6,5,5,,Tracção dianteira,,,18 Meses,1,Importado,Sim,Sim,Sim,"9,70 l/100km",,Usados,42 850        EUR,8089462115,20 Agosto 2023,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Kia,ProCeed,1.6 CRDi GT Line+SRF 7DCT,Diesel,Setembro,2021,21 000 km,1 598 cm3,136 cv,,Sim,Sim,Carrinha,Preto,,Automática,7,5,5,,Tracção dianteira,,,36 Meses,,Nacional,Sim,Sim,Sim,,,Usados,34 750        EUR,8087985008,20 Agosto 2023,,,01/10/2028,150 000 km,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,ID.4,Pro Performance,Eléctrico,Maio,2021,26 000 km,,204 cv,Sim,Sim,Sim,SUV / TT,Branco,,Automática,,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,Sim,Sim,,,Usados,44 990        EUR,8089635010,20 Agosto 2023,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,1.6 THP Bastille+ EAT8,Gasolina,Fevereiro,2021,42 000 km,1 598 cm3,180 cv,Sim,Sim,Sim,SUV / TT,Cinzento,,Automática,,5,5,,Tracção dianteira,,,18 Meses,,Importado,Sim,Sim,Sim,,,Usados,39 800        EUR,8087192286,20 Agosto 2023,01/02/2025,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D AMG Line,Diesel,Julho,2018,109 000 km,1 950 cm3,194 cv,,,,Carrinha,Preto,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,147 g/km,,18 Meses,,,Sim,Sim,Sim,"5,80 l/100km","4,30 l/100km",Usados,37 990        EUR,8090293677,20 Agosto 2023,,,,,,,Classe E,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane,1.8 TCe R.S. Trophy EDC,Gasolina,Dezembro,2019,20 000 km,1 798 cm3,300 cv,,,,Utilitário,Amarelo,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,,,1,Nacional,Sim,Sim,Sim,,,Usados,42 750        EUR,8088522909,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Agosto,2019,56 500 km,,351 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,5,Classe 1,,,,18 Meses,,,Sim,Sim,Sim,,,Usados,37 900        EUR,8089490501,20 Agosto 2023,01/08/2023,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X2,18 d sDrive Auto Pack M,Diesel,Setembro,2018,66 000 km,1 995 cm3,150 cv,Sim,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,137 g/km,260 €,18 Meses,1,Importado,Sim,Sim,Sim,,,Usados,33 500        EUR,8090053320,20 Agosto 2023,,1 000 km,,,,,Série X,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Abril,2017,125 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Preto,Mate,Automática,8,4,5,Classe 1,Tracção traseira,114 g/km,225 €,18 Meses,1,Importado,Sim,Sim,Sim,,,Usados,34 999        EUR,8085859552,20 Agosto 2023,15/04/2024,900 km,,,,Sim,Série 5,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,,Diesel,Julho,2019,155 830 km,1 597 cm3,160 cv,Sim,Sim,Sim,Coupé,Branco,,Automática,,2,4,,,,,24 Meses,,,,,,,,Usados,36 000        EUR,8089488124,20 Agosto 2023,01/07/2025,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Novembro,2018,159 198 km,1 950 cm3,194 cv,Sim,Sim,Sim,Carrinha,Preto,,Automática,,5,5,,,,,24 Meses,,,,,,,,Usados,30 200        EUR,8088253865,20 Agosto 2023,01/11/2024,,,,,,Classe C,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 220,d AMG Line,Diesel,Setembro,2018,153 001 km,1 950 cm3,194 cv,,,,Carrinha,Preto,Metalizado,Automática,,5,5,,,,,24 Meses,,,,,,,,Usados,35 000        EUR,8088903649,20 Agosto 2023,01/09/2024,,,,,Sim,Classe C,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,s 120Ah,Eléctrico,Dezembro,2019,28 000 km,,184 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Automática,,5,4,,,,,36 Meses,,,Sim,Sim,Sim,,,Usados,31 990        EUR,8088127250,20 Agosto 2023,,,01/01/0001,,,,Série i,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 220,d Shooting Brake AMG Line Aut.,Diesel,Julho,2017,170 000 km,2 143 cm3,177 cv,,Sim,Sim,Carrinha,Preto,,Automática,,5,5,,,,,36 Meses,,,Sim,Sim,Sim,,,Usados,30 990        EUR,8088850877,20 Agosto 2023,,,01/01/0001,,,Sim,Classe CLA,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.3 DIG-T N-Connecta J18 Led,Gasolina,Julho,2022,21 692 km,1 332 cm3,140 cv,Sim,Sim,Sim,SUV / TT,Branco,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,155 g/km,171 €,24 Meses,1,Nacional,,Sim,Sim,7 l/100km,,Usados,32 900        EUR,8089275223,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C5 Aircross,1.5 BlueHDi Feel Pack,Diesel,Maio,2022,18 136 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,24 Meses,1,Nacional,,Sim,Sim,,,Usados,31 250        EUR,8089467928,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Tesla,Model 3,Long Range AWD Dual Motor,Eléctrico,Março,2020,72 402 km,,497 cv,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Classe 1,Integral,,,24 Meses,1,Importado,Sim,Sim,Sim,,,Usados,44 500        EUR,8089601850,20 Agosto 2023,,,,,Sim,,,,,Própria,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180 Limousine,d AMG Line Aut.,Diesel,Junho,2019,109 000 km,1 461 cm3,116 cv,,,,Sedan,Cinzento,Metalizado,Automática,9,4,5,Classe 1,Tracção dianteira,,,18 Meses,,,Sim,Sim,Sim,"4,70 l/100km",,Usados,30 990        EUR,8089300486,20 Agosto 2023,,,,,,,Classe A,,,,,,,,StandVirtual,Yes
