Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,IUC,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Sub-modelo,Garantia de Fábrica até,ou até,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake Aut.,Diesel,Abril,2015,138 855 km,2 143 cm3,136 cv,Carrinha,Cinzento,Metalizado,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,21 990,8091871877,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-aut-ID8PCFvx.html,Sim,,Sim,,36 Meses,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,1.2 PureTech Allure EAT8,Gasolina,Novembro,2018,151 356 km,1 199 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,,Importado,,,,,,Usados,Mostrar VIN,19 990,8091871443,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-allure-eat8-ID8PCFpx.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,PureTech 130 Stop & Start GPF EAT8 Active,Gasolina,Novembro,2019,128 701 km,1 199 cm3,130 cv,SUV / TT,Branco,Metalizado,Automática,,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,18 990,8091871440,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-puretech-130-stop-start-gpf-eat8-active-ID8PCFpu.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,PureTech 130 EAT8 Allure,Gasolina,Novembro,2020,100 281 km,1 199 cm3,130 cv,SUV / TT,Preto,Metalizado,Automática,,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,19 990,8091870594,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-puretech-130-eat8-allure-ID8PCFbQ.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,PureTech 130 EAT8 GT,Gasolina,Novembro,2021,92 221 km,1 199 cm3,130 cv,SUV / TT,Preto,Metalizado,Automática,8,5,5,,,,,Importado,,,,,,Usados,,22 950,8091871439,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-puretech-130-eat8-gt-ID8PCFpt.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Focus,1.0 EcoBoost S&S ST-LINE,Gasolina,Março,2019,93 415 km,999 cm3,125 cv,Utilitário,Prateado,Metalizado,Manual,6,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,15 950,8091870593,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-ecoboost-s-s-st-line-ID8PCFbP.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane,BLUE dCi 115 INTENS,Diesel,Março,2019,153 521 km,1 461 cm3,115 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,,,Importado,,,,,,Usados,Mostrar VIN,16 450,8091870592,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-blue-dci-115-intens-ID8PCFbO.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,PureTech 130 Stop & Start EAT6 Active,Gasolina,Outubro,2019,73 412 km,1 199 cm3,130 cv,SUV / TT,Preto,Metalizado,Automática,,5,5,,,,,Importado,,,,,,Usados,Mostrar VIN,19 990,8091867575,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-puretech-130-stop-start-eat6-active-ID8PCEp9.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,1.5 BlueHDi Allure EAT8,Diesel,Abril,2019,159 887 km,1 499 cm3,130 cv,SUV / TT,Verde,Metalizado,Automática,8,5,5,,,,,Importado,,,Sim,,,Usados,Mostrar VIN,21 990,8091866707,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-eat8-ID8PCEb9.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,1.6 BlueHDi Style EAT6,Diesel,Outubro,2017,134 179 km,1 560 cm3,120 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,,Importado,,,,,,Usados,Mostrar VIN,18 990,8091867572,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-style-eat6-ID8PCEp6.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Focus,1.0 EcoBoost MHEV ST-Line,Gasolina,Dezembro,2021,54 609 km,998 cm3,125 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,,,,,,,,,Usados,,18 990,8091538379,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-ecoboost-mhev-st-line-ID8PBgLx.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Novembro,2019,138 950 km,1 598 cm3,115 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,Sim,,,,,Usados,Mostrar VIN,15 990,8091532138,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8PBf8S.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Toyota,Yaris,1.5 HDF Square Collection,Híbrido (Gasolina),Junho,2021,90 066 km,1 490 cm3,115 cv,Citadino,Branco,Metalizado,Automática,1,5,5,Tracção dianteira,98 g/km,,1 Junho 2025,,Sim,Sim,Sim,"3,20 l/100km","2,20 l/100km",Usados,Mostrar VIN,19 990,8091406066,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-hdf-square-collection-ID8PAIls.html,Sim,Sim,Sim,Classe 1,18 Meses,,,30 Junho 2024,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,MINI,Clubman,One D 4Business Plus Auto,Diesel,Outubro,2019,122 500 km,1 496 cm3,116 cv,Carrinha,Preto,,Automática,7,6,5,Tracção dianteira,127 g/km,"154,12 €",,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,20 750,8089700773,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-clubman-one-d-4business-plus-auto-ID8PtyIJ.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Ford,Puma,1.0 EcoBoost Hybrid ST-LINE X,Gasolina,Maio,2022,9 800 km,999 cm3,125 cv,SUV / TT,Branco,Metalizado,Manual,,5,,,,,31 Maio 2026,Nacional,Sim,Sim,Sim,,,Usados,,21 000,8090959772,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-hybrid-st-line-x-ID8PyQfa.html,,,,,,1,,31 Maio 2025,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,BMW,320,d Touring Aut.,Diesel,Setembro,2016,277 163 km,1 995 cm3,190 cv,Carrinha,Cinzento,,Automática,8,5,5,Tracção traseira,109 g/km,,,,,,,,,Usados,Mostrar VIN,16 500,8091875367,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-aut-ID8PCGqP.html,,,,,,,Série 3,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line,Gasolina,Março,2021,81 136 km,998 cm3,125 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,,,1 Março 2025,Importado,Sim,Sim,Sim,,,Usados,Mostrar VIN,18 790,8090669815,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-ID8PxCOr.html,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Volvo,V40 Cross Country,2.0 D3 Pro Geartronic,Diesel,Fevereiro,2019,199 000 km,1 969 cm3,150 cv,Utilitário,Cinzento,Metalizado,Automática,6,5,5,Tracção dianteira,145 g/km,,13 Fevereiro 2025,Nacional,Sim,,Sim,"4,70 l/100km","3,80 l/100km",Usados,Mostrar VIN,19 950,8090085765,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-cross-country-2-0-d3-pro-geartronic-ID8PwaSh.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,Fevereiro,2019,135 007 km,1 461 cm3,116 cv,Utilitário,Cinzento,Metalizado,Automática,7,5,5,,125 g/km,,1 Janeiro 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,22 990,8091538378,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-progressive-aut-ID8PBgLv.html,Sim,Sim,Sim,Classe 1,18 Meses,,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,5008,1.5 BlueHDi GT Line EAT8,Diesel,Dezembro,2018,117 494 km,1 499 cm3,130 cv,Monovolume,Verde,Metalizado,Automática,8,5,7,,,,,Nacional,,,Sim,,,Usados,Mostrar VIN,22 990,8091751684,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-gt-line-eat8-ID8PCafV.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,BlueHDi 120 Stop & Start EAT6 Active,Diesel,Fevereiro,2018,174 204 km,1 560 cm3,120 cv,SUV / TT,Branco,,Automática,,5,5,,,,,Importado,,,,,,Usados,,17 990,8091751687,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-bluehdi-120-stop-start-eat6-active-ID8PCafZ.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,216 Active Tourer,d Auto,Diesel,Janeiro,2018,82 366 km,1 496 cm3,116 cv,Monovolume,Cinzento,Metalizado,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,18 990,8091751689,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-auto-ID8PCag1.html,Sim,,Sim,,18 Meses,,Série 2,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Kia,ProCeed,1.0 T-GDi GT Line,Gasolina,Maio,2021,27 995 km,998 cm3,120 cv,Carrinha,Prateado,,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,,23 250,8090964860,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-proceed-1-0-t-gdi-gt-line-ID8PyRze.html,Sim,,Sim,Classe 1,36 Meses,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Janeiro,2020,89 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Metalizado,Manual,,5,,,,,,Nacional,Sim,Sim,Sim,"5,30 l/100km",,Usados,,17 900,8091129328,6 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PzylV.html,,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mitsubishi,Outlander,2.2 DI-D Instyle Navi,Diesel,Fevereiro,2019,68 246 km,2 268 cm3,150 cv,SUV / TT,Cinzento,,Manual,,5,7,,,,,Nacional,,,,,,Usados,,27 500,8087917026,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-outlander-2-2-di-d-instyle-navi-ID8Pm4GC.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Toyota,C-HR,1.2T Comfort,Gasolina,Julho,2017,140 438 km,1 197 cm3,116 cv,SUV / TT,Cinzento,Metalizado,Manual,,5,5,Tracção dianteira,,,4 Julho 2025,Importado,,Sim,Sim,,,Usados,,18 900,8091483217,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-c-hr-1-2t-comfort-ID8PB2pP.html,,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,Fevereiro,2019,135 007 km,1 461 cm3,116 cv,Utilitário,Cinzento,Metalizado,Automática,7,5,5,,125 g/km,,1 Janeiro 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,22 990,8091538378,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-progressive-aut-ID8PBgLv.html,Sim,Sim,Sim,Classe 1,18 Meses,,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,5008,1.5 BlueHDi GT Line EAT8,Diesel,Dezembro,2018,117 494 km,1 499 cm3,130 cv,Monovolume,Verde,Metalizado,Automática,8,5,7,,,,,Nacional,,,Sim,,,Usados,Mostrar VIN,22 990,8091751684,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-gt-line-eat8-ID8PCafV.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,3008,BlueHDi 120 Stop & Start EAT6 Active,Diesel,Fevereiro,2018,174 204 km,1 560 cm3,120 cv,SUV / TT,Branco,,Automática,,5,5,,,,,Importado,,,,,,Usados,,17 990,8091751687,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-bluehdi-120-stop-start-eat6-active-ID8PCafZ.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,216 Active Tourer,d Auto,Diesel,Janeiro,2018,82 366 km,1 496 cm3,116 cv,Monovolume,Cinzento,Metalizado,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,18 990,8091751689,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-auto-ID8PCag1.html,Sim,,Sim,,18 Meses,,Série 2,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,C 200,d Station 9G-TRONIC Exclusive,Diesel,Setembro,2018,124 686 km,1 950 cm3,150 cv,Carrinha,Azul,Metalizado,Automática,9,5,5,Tracção traseira,123 g/km,,12 Setembro 2024,Importado,Sim,Sim,Sim,"5,50 l/100km","4,20 l/100km",Usados,Mostrar VIN,24 990,8091751688,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-station-9g-tronic-exclusive-ID8PCag0.html,Sim,,Sim,,18 Meses,,Classe C,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,318,d Touring Aut. Advantage,Diesel,Maio,2021,162 005 km,1 995 cm3,150 cv,Carrinha,Branco,,Automática,,5,5,,,,1 Maio 2025,Importado,Sim,Sim,Sim,,,Usados,Mostrar VIN,26 990,8091751686,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-aut-advantage-ID8PCafY.html,Sim,Sim,Sim,Classe 1,18 Meses,,Série 3,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Leon,1.0 TSI Style,Gasolina,Julho,2021,35 333 km,999 cm3,110 cv,Utilitário,Branco,,Manual,,5,,,,,,Nacional,,,,,,Usados,,20 499,8090847782,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-tsi-style-ID8Pyn6S.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Mitsubishi,ASX,1.6 DI-D Intense,Diesel,Dezembro,2018,68 000 km,1 560 cm3,114 cv,SUV / TT,Cinzento,,Manual,6,5,5,Tracção dianteira,119 g/km,,,,,,,"5,20 l/100km","4,20 l/100km",Usados,Mostrar VIN,18 000,8091872583,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-asx-1-6-di-d-intense-ID8PCFHW.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Captur,1.0 TCe Exclusive,Gasolina,Março,2021,78 742 km,999 cm3,90 cv,SUV / TT,Laranja,,Manual,,5,,,,,,Nacional,,,,,,Usados,,18 799,8091597337,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-exclusive-ID8PBv6t.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Grand Scénic,,Diesel,Abril,2018,93 806 km,1 598 cm3,110 cv,Monovolume,Roxo,Metalizado,Automática,6,5,7,Tracção dianteira,122 g/km,,,,,Sim,Sim,,,Usados,,25 500,8091970797,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-ID8PD5g1.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Clio,1.0 TCe Techno Bi-Fuel,Gasolina,Dezembro,2022,26 234 km,999 cm3,100 cv,Citadino,Preto,,Manual,,5,,,,,,Nacional,,,,,,Usados,,19 299,8091597333,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-techno-bi-fuel-ID8PBv6p.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Captur,1.0 TCe Intens,Gasolina,Maio,2021,62 363 km,999 cm3,90 cv,SUV / TT,Azul,,Manual,,5,,,,,,Nacional,,,,,,Usados,,19 699,8091597328,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-intens-ID8PBv6k.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Suzuki,Ignis,1.2 GLX Mild Hybrid,Gasolina,Março,2023,5 600 km,1 197 cm3,83 cv,Citadino,Cinzento,,Manual,5,5,4,Integral,121 g/km,,,Nacional,Sim,Sim,Sim,,,Usados,,16 900,8091970731,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/suzuki-ignis-1-2-glx-mild-hybrid-ID8PD5eX.html,,,,Classe 1,24 Meses,1,,1 Março 2026,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,1.5 BlueHDi Allure EAT8,Diesel,Setembro,2020,119 728 km,1 499 cm3,130 cv,Monovolume,Cinzento,Metalizado,Automática,,5,5,,,,,,,,,,,Usados,,22 990,8091407464,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-allure-eat8-ID8PAII0.html,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane,1.5 Blue dCi Equilibre,Diesel,Novembro,2021,49 853 km,1 461 cm3,115 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,,,,,,,,,,Usados,Mostrar VIN,19 990,8091538380,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-equilibre-ID8PBgLy.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Tesla,Model 3,Standard RWD Plus,Eléctrico,Julho,2019,87 805 km,,238 cv,Sedan,Preto,,Automática,,4,5,,,,,Nacional,,,Sim,,,Usados,Mostrar VIN,29 900,8091751069,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-3-standard-rwd-plus-ID8PCa61.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C5 Aircross,1.5 BlueHDi Shine EAT8,Diesel,Dezembro,2019,90 861 km,1 499 cm3,130 cv,SUV / TT,Branco,,Automática,8,5,5,,,,,Nacional,,,Sim,,,Usados,Mostrar VIN,20 950,8091751681,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-shine-eat8-ID8PCafT.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,MINI,Clubman,One D Auto,Diesel,Setembro,2016,101 300 km,1 496 cm3,116 cv,Carrinha,Cinzento,Metalizado,Automática,6,6,5,,,,,Nacional,,,,,,Usados,,18 990,8091545971,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-clubman-one-d-auto-ID8PBiJZ.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Captur,1.0 TCe Equilibre Bi-Fuel,GPL,Agosto,2021,43 842 km,999 cm3,100 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,,,,,,,,,,,Usados,Mostrar VIN,18 450,8091532139,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-equilibre-bi-fuel-ID8PBf8T.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta DCT,Gasolina,Julho,2021,36 132 km,999 cm3,117 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,,,,,,Sim,,,Usados,Mostrar VIN,19 990,8091532137,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-dct-ID8PBf8R.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra,1.5 D Elegance,Diesel,Setembro,2022,5 000 km,1 499 cm3,130 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,117 g/km,154 €,,Nacional,Sim,Sim,Sim,5 l/100km,3 l/100km,Usados,,25 950,8091216621,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-5-d-elegance-ID8PzW3T.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,4 l/100km,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi R.S. Line,Diesel,Julho,2021,74 048 km,1 461 cm3,115 cv,Carrinha,Preto,,Manual,,5,,,,,,Nacional,,,,,,Usados,,24 299,8091597321,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-r-s-line-ID8PBv6d.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Leaf,N-Connecta,Eléctrico,Junho,2018,114 322 km,,150 cv,Utilitário,Cinzento,Metalizado,Automática,,5,5,Tracção dianteira,,,7 Julho 2024,,Sim,Sim,Sim,,,Usados,Mostrar VIN,16 300,8091923578,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-n-connecta-ID8PCSYq.html,,Sim,Sim,Classe 1,36 Meses,1,,8 Junho 2026,,,276 km,40 kWh,Própria,,15 kWh/100km,StandVirtual,Yes,2024-03-07
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi R.S. Line,Diesel,Julho,2021,59 072 km,1 461 cm3,115 cv,Carrinha,Cinzento,,Manual,,5,,,,,,Nacional,,,,,,Usados,,24 299,8091597317,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-r-s-line-ID8PBv69.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,308,1.5 BlueHDi Allure,Diesel,Abril,2022,38 187 km,1 499 cm3,130 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,25 000,8090966742,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-allure-ID8PyS3A.html,Sim,,,,18 Meses,,,,,,,,,"4,40 l/100km",,StandVirtual,Yes,2024-03-07
Particular,BMW,X1,25 e xDrive xLine,Híbrido Plug-In,Agosto,2020,68 000 km,1 499 cm3,220 cv,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Integral,41 g/km,,,Importado,Sim,Sim,Sim,,,Usados,,29 990,8091920625,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-25-e-xdrive-xline-ID8PCScN.html,,,,Classe 1,,1,Série X,29 Dezembro 2027,,55 km,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mitsubishi,ASX,1.0 MPI-T Invite,Gasolina,Fevereiro,2023,17 800 km,999 cm3,90 cv,SUV / TT,Branco,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,23 000,8091158943,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-asx-1-0-mpi-t-invite-ID8PzG3B.html,Sim,,,,46 Meses,,,2 Fevereiro 2028,,,,,,"5,80 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Audi,Q3,2.0 TDI,Diesel,Dezembro,2018,121 500 km,1 968 cm3,150 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,29 900,8089988868,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-q3-2-0-tdi-ID8PuLFq.html,Sim,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,T-Roc,1.0 TSI Life,Gasolina,Junho,2022,39 000 km,999 cm3,110 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,22 990,8091130418,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-0-tsi-life-ID8PzyDv.html,Sim,Sim,,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Audi,A4 Avant,2.0 TDI Design,Diesel,Janeiro,2017,98 035 km,1 968 cm3,150 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,,22 990,8091522198,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-design-ID8PBcyy.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,T-Cross,1.0 TSI BlackStyle,Gasolina,Dezembro,2019,86 780 km,999 cm3,95 cv,SUV / TT,Prateado,Metalizado,Manual,5,5,5,,,,1 Dezembro 2024,,Sim,Sim,Sim,,,Usados,,17 990,8089390178,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-cross-1-0-tsi-blackstyle-ID8PsfW8.html,Sim,Sim,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
