Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,IUC,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Sub-modelo,Garantia de Fábrica até,ou até,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Consumo,Site,Portugal,Data
Particular,Fiat,500,1.2 Lounge,Gasolina,Março,2018,40 000 km,1 242 cm3,69 cv,Citadino,Vermelho,Metalizado,Manual,5,3,4,Tracção dianteira,129 g/km,"108,32 €",10 Março 2024,Nacional,Sim,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,Mostrar VIN,12 149,8090841175,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Pyloj.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500X,1.6 MJ City Cross S&S,Diesel,Setembro,2016,130 911 km,1 598 cm3,120 cv,SUV / TT,Branco,,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,,14 999,8090035266,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-6-mj-city-cross-s-s-ID8PuXJM.html,,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Grande Punto,,Diesel,Abril,2015,150 300 km,1 300 cm3,80 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,,,,Nacional,,,Sim,,,Usados,,8 700,8090711006,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8PxNvO.html,,,,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500C,1.2 8V Dualogic Lounge,Gasolina,Junho,2015,88 000 km,1 242 cm3,69 cv,Cabrio,Preto,Metalizado,Automática,5,2,4,Tracção dianteira,111 g/km,,,,,,,6 l/100km,"4,10 l/100km",Usados,,11 750,8091681983,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-dualogic-lounge-ID8PBS7J.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir Urban,Gasolina,Junho,2018,47 000 km,875 cm3,105 cv,Coupé,Vermelho,Metalizado,Manual,6,3,5,,,,,,Sim,Sim,Sim,5 l/100km,,Usados,,12 850,8088331915,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-urban-ID8PnOCn.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,500e,,Eléctrico,Abril,2014,120 000 km,,118 cv,Citadino,Laranja,Metalizado,Automática,,3,4,,,,,,Sim,Sim,Sim,,,Usados,,13 990,8091014495,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500e-ID8Pz4tN.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C3,Pure Tech S&S Shine Pack,Gasolina,Janeiro,2019,56 000 km,1 199 cm3,110 cv,Utilitário,Azul,Metalizado,Manual,6,5,5,Tracção dianteira,,,,Importado,,Sim,Sim,,,Usados,Mostrar VIN,13 500,8088404142,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-s-s-shine-pack-ID8Po7pk.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,116,i Advantage,Gasolina,Setembro,2015,135 000 km,1 499 cm3,109 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,124 g/km,,,Importado,,,Sim,"6,80 l/100km","4,60 l/100km",Usados,,14 990,8090295379,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-i-advantage-ID8Pv3p9.html,,,,,18 Meses,,Série 1,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,308 SW,1.6 BlueHDi Active J17,Diesel,Março,2018,134 990 km,1 560 cm3,100 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,Tracção dianteira,105 g/km,56 €,1 Março 2025,Importado,Sim,Sim,Sim,"4,40 l/100km",,Usados,Mostrar VIN,12 900,8091218462,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-j17-ID8PzWxA.html,,,Sim,Classe 1,18 Meses,1,,,,550 km,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Volvo,V40,2.0 D2 Kinetic Eco,Diesel,Junho,2016,139 500 km,1 969 cm3,120 cv,Utilitário,Branco,,Manual,6,5,5,Tracção dianteira,89 g/km,,24 Junho 2024,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,13 750,8091748940,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-kinetic-eco-ID8PC9xG.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Setembro,2018,86 000 km,1 199 cm3,82 cv,Citadino,Branco,,Manual,5,5,5,Tracção dianteira,132 g/km,,,,Sim,Sim,Sim,"5,80 l/100km","4,20 l/100km",Usados,,12 500,8091572905,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PBpKp.html,,,,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic S/S,Diesel,Agosto,2018,113 599 km,1 598 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,,"158,29 €",,,Sim,Sim,Sim,,,Usados,Mostrar VIN,14 890,8091392888,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-s-s-ID8PAEUU.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C3 Picasso,,Gasolina,Agosto,2016,110 500 km,1 199 cm3,110 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,Sim,Sim,,,Usados,,10 900,8091014845,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-picasso-ID8Pz4zr.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Ibiza,,Gasolina,Julho,2017,135 112 km,999 cm3,115 cv,Citadino,Branco,,Manual,,5,5,,,,,,,,Sim,,,Usados,,13 890,8091751804,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8PCahS.html,,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Alfa Romeo,MiTo,0.9 T TwinAir Urban,Gasolina,Maio,2018,63 668 km,875 cm3,105 cv,Citadino,Preto,,Manual,,3,5,,99 g/km,,,,,,Sim,5 l/100km,"3,80 l/100km",Usados,,11 990,8091401175,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-0-9-t-twinair-urban-ID8PAH4z.html,,,Sim,,18 Meses,,,,,,,,,"4,20 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Dacia,Spring,Electric 45 Comfort Plus,Eléctrico,Março,2021,26 101 km,,45 cv,Pequeno citadino,Prateado,Metalizado,Automática,,5,4,,,,,,,,,,,Usados,,14 990,8090901696,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-comfort-plus-ID8PyB8s.html,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra,1.6 CDTi S/S ecoflex,Diesel,Julho,2018,130 000 km,1 598 cm3,110 cv,Sedan,Cinzento,,Manual,6,4,5,Tracção dianteira,94 g/km,,27 Julho 2024,Nacional,,,,,,Usados,Mostrar VIN,12 980,8091608553,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-s-s-ecoflex-ID8PBz1n.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Smart,ForTwo Coupé,0.9 Passion 90,Gasolina,Setembro,2016,83 000 km,898 cm3,90 cv,Citadino,Branco,,Manual,,3,2,,,,,Nacional,,,Sim,,,Usados,,11 900,8091507102,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-ID8PB8D4.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Renault,Captur,1.5 dCi Exclusive,Diesel,Junho,2015,46 092 km,1 461 cm3,90 cv,SUV / TT,Bege,Metalizado,Manual,5,5,5,Tracção dianteira,139 g/km,"154,12 €",1 Junho 2025,Nacional,Sim,Sim,Sim,"4,60 l/100km","3,90 l/100km",Usados,Mostrar VIN,14 900,8091127000,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PzxKo.html,,,,Classe 1,,1,,,,950 km,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C4 Grand Picasso,1.6 e-HDi Seduction,Diesel,Julho,2014,200 000 km,1 560 cm3,115 cv,Monovolume,Cinzento,,Manual,6,5,7,Tracção dianteira,105 g/km,,,Importado,Sim,Sim,Sim,,,Usados,Mostrar VIN,9 750,8091868124,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-e-hdi-seduction-ID8PCEy0.html,,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C4 Cactus,,Diesel,Janeiro,2015,175 000 km,1 560 cm3,92 cv,SUV / TT,Branco,Pérola,Manual,5,5,5,Tracção dianteira,,,,,,,,,,Usados,,11 250,8091968892,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8PD4Li.html,,,Sim,Classe 1,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Tipo Station Wagon,1.6 M-Jet Lounge DCT,Diesel,Janeiro,2018,106 230 km,1 598 cm3,120 cv,Carrinha,Preto,,Automática,,5,5,,,,,Nacional,,Sim,Sim,,,Usados,,14 700,8091876523,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-6-m-jet-lounge-dct-ID8PCGJt.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,2008,1.6 e-HDi Allure 2-Tronic,Diesel,Janeiro,2015,99 800 km,1 560 cm3,92 cv,SUV / TT,Cinzento,,Automática,6,5,5,,,,,,Sim,Sim,Sim,"4,40 l/100km","3,60 l/100km",Usados,,13 990,8091862005,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-allure-2-tronic-ID8PCCXj.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,"3,70 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Opel,Corsa,1.3 CDTI EcoFLEX S&S Active,Diesel,Julho,2017,133 000 km,1 248 cm3,95 cv,Citadino,Cinzento,Metalizado,Manual,5,3,,Tracção dianteira,87 g/km,,,Importado,Sim,Sim,Sim,"3,70 l/100km",3 l/100km,Usados,Mostrar VIN,11 750,8090713015,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-ecoflex-s-s-active-ID8PxO3d.html,Sim,,Sim,,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
