Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Versão,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Registo(s),Consumo Extra Urbano,Valor Fixo,Aceita retoma,IUC,Livro de Revisões completo,Sub-modelo,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,ou até,Autonomia,Consumo,Bateria,Consumo Combinado,Capacidade da bateria,Site,Portugal
Profissional,Renault,Kadjar,Diesel,Dezembro,2018,94 979 km,1 461 cm3,110 cv,Monovolume,Branco,Manual,18 Meses,Usados,20 299        EUR,8090012154,11 Setembro 2023,1.5 dCi Exclusive,Sim,,,5,,,,,,,Nacional,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Puma,Gasolina,Junho,2023,2 200 km,998 cm3,125 cv,SUV / TT,Cinzento,Automática,36 Meses,Usados,28 990        EUR,8090297995,11 Setembro 2023,1.0 EcoBoost ST-Line X Aut.,Sim,Metalizado,,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,Sim,"7,10 l/100km",1,,Sim,Sim,,Sim,,,,01/06/2030,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 160,Gasolina,Março,2022,16 400 km,1 332 cm3,109 cv,Utilitário,Branco,Manual,24 Meses,Usados,29 800        EUR,8089897818,11 Setembro 2023,Style,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,Classe A,,,,,,,,"5,90 l/100km",,StandVirtual,Yes
Profissional,Peugeot,3008,Diesel,Fevereiro,2020,40 479 km,1 499 cm3,130 cv,SUV / TT,Cinzento,Manual,18 Meses,Usados,28 490        EUR,8089188667,11 Setembro 2023,1.5 BlueHDi Active,Sim,,,5,5,,,,,,Nacional,,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Sharan,Diesel,Dezembro,2018,163 712 km,1 968 cm3,150 cv,Monovolume,Cinzento,Automática,18 Meses,Usados,29 990        EUR,8088717460,11 Setembro 2023,2.0 TDI Blue Confortline DSG,Sim,,,5,7,,,,,,Nacional,,Sim,,,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Golf,Gasolina,Novembro,2017,115 000 km,1 984 cm3,245 cv,Utilitário,Vermelho,Automática,,Usados,29 900        EUR,8090480551,11 Setembro 2023,2.0 TSI GTI DSG Performance,,Metalizado,,3,,,,,,,,,,"8,20 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Maio,2016,101 000 km,1 496 cm3,116 cv,Utilitário,Branco,Manual,18 Meses,Usados,17 500        EUR,8090584528,11 Setembro 2023,,Sim,Metalizado,6,5,5,Classe 1,,,,,,Sim,Sim,,2,,,Sim,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,Diesel,Julho,2019,81 833 km,1 496 cm3,122 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,17 990        EUR,8090584525,11 Setembro 2023,1.5 D S&S Design&Tech,Sim,Metalizado,6,5,5,Classe 1,,94 g/km,Sim,,Importado,Sim,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Julho,2021,18 062 km,1 332 cm3,140 cv,SUV / TT,Prateado,Automática,18 Meses,Usados,24 900        EUR,8090438463,11 Setembro 2023,1.3 TCe Intens EDC,Sim,Metalizado,,5,5,Classe 1,,133 g/km,,,Importado,Sim,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,Diesel,Maio,2017,42 000 km,1 461 cm3,109 cv,Utilitário,Cinzento,Manual,18 Meses,Usados,21 990        EUR,8090298006,11 Setembro 2023,d Fleet Pack Style,,Metalizado,,5,5,Classe 1,,108 g/km,Sim,,,Sim,Sim,,,,Sim,Sim,,,Classe A,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Touran,Diesel,Setembro,2019,148 000 km,1 598 cm3,115 cv,Monovolume,Preto,Automática,18 Meses,Usados,24 990        EUR,8090584523,11 Setembro 2023,1.6 TDI Confortline DSG,Sim,,,5,7,Classe 1,,,Sim,,Importado,Sim,Sim,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,Eléctrico,Setembro,2019,114 000 km,,204 cv,SUV / TT,Cinzento,Automática,18 Meses,Usados,23 990        EUR,8090514522,11 Setembro 2023,EV 64kWh Premium+LED,Sim,Metalizado,,5,,,,,,,Nacional,Sim,Sim,,1,,Sim,Sim,,Sim,,Sim,,,,482 km,64 kWh/100km,,,64 kWh,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,Diesel,Junho,2015,172 000 km,1 995 cm3,190 cv,Sedan,Preto,Automática,18 Meses,Usados,21 990        EUR,8088332078,11 Setembro 2023,d Auto,Sim,Metalizado,8,5,5,,,,Sim,01/06/2024,Nacional,Sim,Sim,,,,Sim,Sim,,Sim,Série 4,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,Diesel,Maio,2019,89 000 km,1 598 cm3,120 cv,Utilitário,Branco,Automática,18 Meses,Usados,19 500        EUR,8090438481,11 Setembro 2023,1.6 M-Jet Lounge DCT,Sim,,,5,5,,Tracção dianteira,,,,Nacional,Sim,Sim,,1,,,Sim,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Mazda,CX-3,Diesel,Março,2016,69 400 km,1 499 cm3,105 cv,SUV / TT,Branco,Manual,18 Meses,Usados,17 900        EUR,8090154035,11 Setembro 2023,1.5 Sky.Excellence Navi,Sim,,,5,5,,,105 g/km,Sim,,Nacional,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Gasolina,Abril,2022,30 600 km,999 cm3,110 cv,Citadino,Preto,Automática,36 Meses,Usados,21 900        EUR,8090154037,11 Setembro 2023,1.0 TSI Style DSG,Sim,,,5,5,,,126 g/km,,,Nacional,,Sim,,,,,Sim,,,,,,01/01/0001,,,,,,,StandVirtual,Yes
Particular,Nissan,Navara,Diesel,Dezembro,2014,240 000 km,2 488 cm3,190 cv,SUV / TT,Cinzento,Manual,,Usados,18 900        EUR,8090480290,11 Setembro 2023,,,Metalizado,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,Gasolina,Junho,2021,39 268 km,1 000 cm3,92 cv,Utilitário,Cinzento,Manual,36 Meses,Usados,15 900        EUR,8090469293,11 Setembro 2023,,Sim,Metalizado,,5,5,,,,,,,Sim,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A5 Cabrio,Diesel,Abril,2011,69 550 km,1 968 cm3,177 cv,Cabrio,Castanho,Manual,18 Meses,Usados,23 950        EUR,8090438485,11 Setembro 2023,2.0 TDi S-line,Sim,,6,2,4,,Tracção dianteira,,,,Nacional,Sim,Sim,,2,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,e-208,Eléctrico,Março,2022,6 404 km,,136 cv,Citadino,Preto,Automática,36 Meses,Usados,29 990        EUR,8089717457,11 Setembro 2023,Allure,,Metalizado,,5,5,,,,,,Importado,,Sim,,,,,Sim,,,,,,01/01/0001,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,Gasolina,Janeiro,2018,62 551 km,1 197 cm3,100 cv,Utilitário,Preto,Manual,18 Meses,Usados,15 970        EUR,8090569566,11 Setembro 2023,ENERGY TCe 100 INTENS,Sim,Metalizado,,5,5,Classe 1,,,,,Importado,,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,Diesel,Março,2018,95 926 km,1 560 cm3,120 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,17 970        EUR,8090517490,11 Setembro 2023,1.6 BlueHDi Access P.Business J17,Sim,Metalizado,6,5,5,Classe 1,,,,,Nacional,,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,A 180,Diesel,Outubro,2013,164 000 km,1 796 cm3,109 cv,Utilitário,Preto,Automática,,Usados,17 900        EUR,8090480384,11 Setembro 2023,CDI 7G-DCT AMG Line,,Metalizado,7,5,5,Classe 1,Tracção dianteira,109 g/km,Sim,,,,,"4,80 l/100km",,"3,80 l/100km",,,,,Classe A,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Countryman,Híbrido (Gasolina),Julho,2019,103 979 km,1 499 cm3,224 cv,Carrinha,Cinzento,Automática,18 Meses,Usados,25 990        EUR,8090057420,11 Setembro 2023,Cooper SE ALL4 Auto,Sim,Metalizado,6,5,5,Classe 1,Integral,40 g/km,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500X,Diesel,Fevereiro,2019,82 432 km,1 248 cm3,95 cv,SUV / TT,Preto,Manual,36 Meses,Usados,16 490        EUR,8089719748,11 Setembro 2023,1.3 MJ,,,,5,5,,,,,,Nacional,,,,,,Sim,,,,,,,11/09/2026,,,,,"5,10 l/100km",,StandVirtual,Yes
Profissional,Smart,ForFour,Eléctrico,Julho,2021,21 110 km,,82 cv,Utilitário,Preto,Automática,24 Meses,Usados,20 500        EUR,8089894719,8 Setembro 2023,EQ Business Solution,Sim,Metalizado,,5,4,,Tracção traseira,,,,Nacional,Sim,Sim,,1,,Sim,Sim,,Sim,,Sim,,,,155 km,18 kWh/100km,Própria,,,StandVirtual,Yes
