Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Número de Mudanças,Emissões CO2,Registo(s),Tipo de cor,Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,Sub-modelo,Consumo Combinado,IUC,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Autonomia Máxima,Site,Portugal,Data
Profissional,Peugeot,2008,1.2 PureTech Active,Gasolina,Dezembro,2016,135 581 km,1 199 cm3,110 cv,,,SUV / TT,Preto,Manual,5,5,,,18 Meses,Importado,,Sim,,Usados,13 500,8091859728,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-ID8PCCmA.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,2008,1.6 e-HDi LE Feline,Diesel,Maio,2015,187 000 km,1 560 cm3,115 cv,,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,,18 Meses,,,Sim,Sim,Usados,12 850,8091573556,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-le-feline-ID8PBpUU.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,308 SW,1.2 PureTech Active,Gasolina,Julho,2019,89 876 km,1 199 cm3,110 cv,,,Carrinha,Preto,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,13 980,8091877258,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-2-puretech-active-ID8PCGWk.html,,6,120 g/km,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Julho,2017,128 038 km,1 248 cm3,95 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,12 750,8089702327,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Ptz7N.html,,5,,,Metalizado,,,Mostrar VIN,26 Julho 2023,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Maio,2021,97 957 km,1 199 cm3,83 cv,,,SUV / TT,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,,Usados,13 890,8091877255,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PCGWh.html,,,109 g/km,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,SEAT,Leon ST,1.6 TDI Style S/S,Diesel,Abril,2019,105 600 km,1 598 cm3,115 cv,,,Carrinha,Branco,Manual,5,5,Classe 1,Tracção dianteira,,,Sim,Sim,Sim,Usados,15 000,8091877247,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-s-s-ID8PCGW9.html,,5,127 g/km,,,"4,70 l/100km","3,80 l/100km",Mostrar VIN,,,,,,,,,,,1 000 km,StandVirtual,Yes,2024-02-27
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Novembro,2016,130 497 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,,18 Meses,Nacional,,,Sim,Usados,11 990,8091406039,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PAIl1.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Mégane,1.5 Blue dCi Zen,Diesel,Fevereiro,2020,140 412 km,1 461 cm3,115 cv,Sim,,Utilitário,Preto,Manual,5,5,,,18 Meses,,Sim,Sim,Sim,Usados,14 990,8089390248,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-zen-ID8PsfVg.html,Sim,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Skoda,Octavia Break,1.6 TDI Style DSG,Diesel,Junho,2017,150 000 km,1 598 cm3,115 cv,Sim,Sim,Carrinha,Preto,Automática,5,,,,18 Meses,Nacional,,Sim,Sim,Usados,14 990,8091483704,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-style-dsg-ID8PB2xG.html,,7,,,Metalizado,"4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Mercedes-Benz,B 160,CDi Fleet Pack,Diesel,Setembro,2014,162 667 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,,Sim,Sim,Sim,Usados,13 990,8090901702,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-160-cdi-fleet-pack-ID8PyB8y.html,,6,108 g/km,,Metalizado,,,Mostrar VIN,1 Setembro 2024,,Classe B,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,Golf,1.6 TDI BlueMotion Cup,Diesel,Junho,2014,141 000 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,Sim,Sim,Sim,Usados,14 990,8091472167,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-bluemotion-cup-ID8PAZxB.html,,5,,,Metalizado,,,Mostrar VIN,16 Junho 2024,,,,154 €,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio Sport Tourer,1.2 TCE GT EDC,Gasolina,Junho,2015,112 000 km,1 197 cm3,120 cv,,Sim,Carrinha,Preto,Automática,5,,,,36 Meses,,,,,Usados,11 999,8088564325,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-2-tce-gt-edc-ID8PoN4W.html,,,,,,"6,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C3 Aircross,1.2 PureTech Feel EAT6,Gasolina,Agosto,2019,123 675 km,1 199 cm3,110 cv,Sim,Sim,Monovolume,Branco,Automática,5,5,,,18 Meses,,,,Sim,Usados,14 990,8091407449,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-feel-eat6-ID8PAIHL.html,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Junho,2018,140 321 km,1 461 cm3,75 cv,Sim,Sim,Citadino,Prateado,Manual,5,,,Tracção dianteira,18 Meses,,Sim,Sim,Sim,Usados,11 990,8091249232,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PA3xS.html,Sim,5,85 g/km,,,"4,40 l/100km","3,60 l/100km",Mostrar VIN,1 Janeiro 2026,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Opel,Crossland,1.2 T Elegance,Gasolina,Março,2021,84 912 km,1 199 cm3,110 cv,Sim,Sim,Citadino,Cinzento,Manual,5,5,,,18 Meses,,,,,Usados,14 990,8091012110,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-crossland-1-2-t-elegance-ID8Pz3Rk.html,Sim,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,2008,1.2 PureTech Allure EAT6,Gasolina,Junho,2019,141 924 km,1 199 cm3,110 cv,Sim,Sim,Utilitário,Cinzento,Automática,5,5,Classe 1,,18 Meses,,,,Sim,Usados,14 990,8091407441,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-eat6-ID8PAIHD.html,Sim,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,Punto,1.2 Easy S&S,Gasolina,Maio,2018,49 064 km,1 242 cm3,69 cv,Sim,Sim,Citadino,Branco,Manual,5,5,Classe 1,,18 Meses,Nacional,,,Sim,Usados,9 990,8091406052,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-easy-s-s-ID8PAIle.html,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Arona,1.0 TSI Style DSG,Gasolina,Setembro,2020,165 605 km,999 cm3,115 cv,Sim,Sim,Utilitário,Prateado,Automática,5,5,Classe 1,,18 Meses,,,,,Usados,14 990,8091407443,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-dsg-ID8PAIHF.html,,7,,,Metalizado,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Fiesta,1.1 Ti-VCT Connected,Gasolina,Setembro,2020,70 080 km,1 084 cm3,75 cv,Sim,Sim,Citadino,Vermelho,Manual,5,5,Classe 1,,18 Meses,,,,,Usados,11 990,8091407451,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-1-ti-vct-connected-ID8PAIHN.html,Sim,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,SEAT,Leon ST,1.6 TDI Style Ecomotive,Diesel,Agosto,2014,230 000 km,1 598 cm3,105 cv,,,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,,Nacional,,,Sim,Usados,9 800,8091728443,25 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8PC4d5.html,,5,109 g/km,1,Metalizado,"5,10 l/100km","3,60 l/100km",Mostrar VIN,28 Agosto 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Volvo,V40,,Diesel,Maio,2016,150 000 km,1 969 cm3,120 cv,,,Utilitário,Preto,Manual,5,5,Classe 1,Tracção dianteira,,Nacional,Sim,Sim,Sim,Usados,14 900,8089968487,26 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-ID8PuGmH.html,,6,96 g/km,1,Metalizado,,,Mostrar VIN,30 Maio 2024,,,,250 €,,,,,,900 km,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Fevereiro,2019,43 694 km,999 cm3,90 cv,Sim,,Citadino,Vermelho,Manual,5,5,Classe 1,,18 Meses,,,,,Usados,13 850,8091332400,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8PApbi.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Nissan,Micra,1.5 dCi Acenta,Diesel,Setembro,2017,77 500 km,1 461 cm3,90 cv,,,Citadino,Vermelho,Manual,5,5,Classe 1,Tracção dianteira,,Importado,,Sim,Sim,Usados,12 490,8091821072,25 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-acenta-ID8PCsj6.html,,5,85 g/km,1,Metalizado,"3,50 l/100km","3,10 l/100km",Mostrar VIN,29 Outubro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Novembro,2019,52 216 km,1 199 cm3,110 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,,18 Meses,,Sim,Sim,Sim,Usados,14 990,8090653401,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8PxyxH.html,Sim,6,,,,,,Mostrar VIN,1 Novembro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Nissan,Juke,1.2 DIG-T Black Edition,Gasolina,Janeiro,2016,67 000 km,1 197 cm3,115 cv,,Sim,SUV / TT,Cinzento,Manual,5,,Classe 1,,18 Meses,Nacional,,,Sim,Usados,14 999,8089405161,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-black-edition-ID8PsjON.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Março,2019,36 000 km,898 cm3,90 cv,,Sim,Citadino,Vermelho,Manual,5,5,,Tracção dianteira,18 Meses,Importado,,,Sim,Usados,12 750,8091628517,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PBEdn.html,,5,,,Metalizado,"6,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Nissan,Micra,1.5 DCi BOSE Limited Edition S/S,Diesel,Março,2018,74 000 km,1 461 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,5,5,,,24 Meses,Importado,,,Sim,Usados,13 750,8091126961,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-bose-limited-edition-s-s-ID8PzxJL.html,,5,,,Metalizado,"3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Toyota,Yaris,1.0 VVT-i Exclusive,Gasolina,Maio,2017,59 000 km,998 cm3,72 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,24 Meses,Nacional,,Sim,Sim,Usados,13 500,8088773625,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-exclusive-ID8PpFvJ.html,,5,,,Mate,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Dezembro,2016,123 340 km,1 499 cm3,120 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 250,8090607665,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PxmE1.html,Sim,6,99 g/km,1,Metalizado,"4,30 l/100km","3,40 l/100km",Mostrar VIN,30 Dezembro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Junho,2018,97 000 km,898 cm3,90 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,24 Meses,Importado,,,Sim,Usados,12 250,8088299101,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PnG57.html,,5,,,Pérola,"6,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2014,100 000 km,1 242 cm3,69 cv,,Sim,Citadino,Branco,Manual,3,,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,,Sim,Usados,9 750,8091015861,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Pz4PP.html,,5,,,Mate,"6,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,DS,DS5,1.6 BlueHDi Chic,Diesel,Maio,2015,167 000 km,1 560 cm3,120 cv,Sim,Sim,Utilitário,Roxo,Manual,5,,,,36 Meses,,,,,Usados,12 990,8091409173,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds5-1-6-bluehdi-chic-ID8PAJ9z.html,,,,,Metalizado,"4,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,BMW,i3,(94 Ah),Eléctrico,Outubro,2016,120 200 km,,170 cv,,,Citadino,Preto,Automática,5,,,Tracção traseira,,,,,,Usados,13 500,8091451850,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-94-ah-ID8PAUfU.html,,1,,,,,,,,,Série i,,,240 km,,90 kWh,Própria,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,SC 1.2 TSi FR,Gasolina,Fevereiro,2014,230 000 km,1 197 cm3,85 cv,Sim,Sim,Citadino,Branco,Manual,3,,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,8 999,8090747370,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-fr-ID8PxVZk.html,,5,,1,Metalizado,"6,50 l/100km",,,28 Fevereiro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,208,,Diesel,Dezembro,2015,101 252 km,1 560 cm3,100 cv,,,Citadino,Prateado,Manual,5,5,Classe 1,,18 Meses,Importado,,,Sim,Usados,12 900,8091665434,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8PBNOO.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Janeiro,2019,112 992 km,898 cm3,90 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,11 950,8091877240,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PCGW2.html,Sim,5,132 g/km,1,,"6,30 l/100km","4,20 l/100km",,30 Janeiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,208,1.4 HDi SE Style,Diesel,Fevereiro,2015,55 143 km,1 398 cm3,68 cv,,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 990,8091831762,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-4-hdi-se-style-ID8PCw5v.html,,5,,2,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,116,d EDynamics Line Urban,Diesel,Abril,2014,180 000 km,1 598 cm3,116 cv,Sim,Sim,Utilitário,Prateado,Manual,5,5,Classe 1,Tracção traseira,18 Meses,,,Sim,Sim,Usados,12 900,8090818515,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-urban-ID8PyfuP.html,,6,,1,Metalizado,"4,40 l/100km",,,,,Série 1,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Zoe,Life,Eléctrico,Julho,2019,84 310 km,,88 cv,Sim,Sim,Citadino,Branco,Automática,5,,,Tracção traseira,18 Meses,Nacional,Sim,Sim,Sim,Usados,14 990,8091014443,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-life-ID8Pz4sX.html,Sim,1,,,,,,,,,,,,330 km,,41 kWh,Própria,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,308,1.6 BlueHDi Allure J17 EAT6,Diesel,Julho,2016,199 329 km,1 560 cm3,120 cv,,Sim,Utilitário,Preto,Automática,5,5,,,18 Meses,,,Sim,Sim,Usados,14 890,8091438422,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-eat6-ID8PAQLk.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Smart,ForFour,1.0 Prime 71,Gasolina,Março,2015,69 731 km,999 cm3,71 cv,,Sim,Pequeno citadino,Preto,Manual,5,4,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,11 890,8090928699,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-prime-71-ID8PyI9Z.html,,5,,2,Metalizado,,,,26 Março 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,,Sim,Citadino,Preto,Manual,5,5,,,18 Meses,,,,Sim,Usados,12 990,8088534452,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tsi-lounge-ID8PoFj6.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500,1.2 Lounge,Gasolina,Abril,2014,76 319 km,1 242 cm3,69 cv,,,Pequeno citadino,Preto,Manual,3,4,,,18 Meses,Nacional,,Sim,Sim,Usados,11 650,8090965795,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PyROj.html,,,,2,,,,,24 Abril 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,,Sim,Pequeno citadino,Vermelho,Manual,3,4,Classe 1,Tracção dianteira,18 Meses,,,,Sim,Usados,8 690,8088772592,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-titanium-x-ID8PpFg4.html,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Mégane Sport Tourer,1.2 TCE Zen,Gasolina,Janeiro,2018,123 892 km,1 197 cm3,100 cv,Sim,Sim,Carrinha,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,Sim,Usados,14 900,8091877235,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-2-tce-zen-ID8PCGUX.html,,6,120 g/km,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Citroën,C4 Grand Picasso,1.6 e-HDi Collection,Diesel,Dezembro,2017,138 000 km,1 560 cm3,115 cv,,Sim,Carrinha,Preto,Manual,5,,,Tracção dianteira,18 Meses,,,Sim,,Usados,14 900,8091768550,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-1-6-e-hdi-collection-ID8PCeDY.html,,6,105 g/km,,,"4,50 l/100km","3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,SC 1.2 TSi FR 30 Anos,Gasolina,Dezembro,2014,78 600 km,1 197 cm3,85 cv,Sim,Sim,Utilitário,Branco,Manual,3,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Sim,Usados,11 900,8091791798,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-fr-30-anos-ID8PCkGV.html,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,108,1.0 e-VTi Allure,Gasolina,Junho,2020,72 716 km,998 cm3,72 cv,,Sim,Citadino,Preto,Manual,5,4,,Tracção dianteira,18 Meses,,,,Sim,Usados,11 900,8089600707,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-e-vti-allure-ID8Pt8GL.html,,5,113 g/km,,Metalizado,"4,20 l/100km","3,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Dacia,Lodgy,1.5 dCi Confort+ 7L,Diesel,Maio,2018,168 182 km,1 461 cm3,109 cv,,Sim,Monovolume,Prateado,Manual,5,7,Classe 1,Tracção dianteira,18 Meses,Importado,,,Sim,Usados,13 900,8091524225,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-confort-7l-ID8PBd5f.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Mégane Coupe,1.6 dCi Bose Edition SS,Diesel,Setembro,2015,158 269 km,1 598 cm3,130 cv,,Sim,Coupé,Branco,Manual,2,5,Classe 1,Tracção dianteira,18 Meses,Importado,Sim,,Sim,Usados,14 900,8090049207,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-6-dci-bose-edition-ss-ID8Pw1mD.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Fiesta,1.5 TDCi STLine,Diesel,Fevereiro,2016,160 947 km,1 499 cm3,95 cv,,Sim,Citadino,Cinzento,Manual,3,5,Classe 1,,18 Meses,Importado,,,Sim,Usados,11 900,8091620074,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-stline-ID8PBC1c.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,Panda,1.0 GSE Hybrid City Plus,Gasolina,Maio,2022,34 642 km,999 cm3,70 cv,,,Pequeno citadino,Azul,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 990,8091843726,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-gse-hybrid-city-plus-ID8PCycu.html,,6,,1,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Fevereiro,2019,37 000 km,898 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,Sim,Usados,13 750,8091705465,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PBYet.html,,5,132 g/km,1,Metalizado,"6,30 l/100km","4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Volvo,V40,2.0 D3 Momentum,Diesel,Julho,2019,60 218 km,1 969 cm3,150 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,20 990,8091526251,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-momentum-ID8PBdBW.html,Sim,6,134 g/km,1,Metalizado,"5,70 l/100km",4 l/100km,Mostrar VIN,17 Julho 2025,,,,"239,39 €",,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Jaguar,XE,2.0 D R-Sport Aut.,Diesel,Dezembro,2016,171 450 km,1 999 cm3,180 cv,Sim,Sim,Sedan,Azul,Automática,4,5,Classe 1,Tracção traseira,18 Meses,Nacional,,,Sim,Usados,19 500,8091739099,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-r-sport-aut-ID8PC6YX.html,,8,111 g/km,1,Metalizado,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Bayon,1.0 T-GDi Premium,Gasolina,Junho,2022,26 400 km,998 cm3,102 cv,Sim,,SUV / TT,Cinzento,Manual,5,5,,,36 Meses,Nacional,,,,Usados,19 450,8090282057,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-bayon-1-0-t-gdi-premium-ID8PwZVh.html,,,,,,,,Mostrar VIN,,,,"5,50 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
