Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Número de Mudanças,Emissões CO2,Registo(s),Tipo de cor,Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,Sub-modelo,Consumo Combinado,IUC,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Autonomia Máxima,Site,Portugal,Data
Profissional,Hyundai,Tucson,1.6 T-GDI HEV Premium,Híbrido (Gasolina),Outubro,2022,33 512 km,1 598 cm3,230 cv,Sim,,SUV / TT,Preto,Automática,5,5,,,67 Meses,Nacional,,,,Usados,37 950,8091615004,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-t-gdi-hev-premium-ID8PBAHq.html,,,,,,,,Mostrar VIN,,1 Outubro 2029,,"5,70 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Tesla,Model 3,Long Range Tração Integral,Eléctrico,Novembro,2020,41 000 km,,498 cv,,,Sedan,Azul,Automática,4,5,Classe 1,Integral,,,,,,Usados,38 000,8091849442,25 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-3-long-range-trao-integral-ID8PCzGG.html,,1,,,Metalizado,,,Mostrar VIN,,,,,,567 km,"16,60 kWh/100km",,Própria,,,StandVirtual,Yes,2024-02-27
Profissional,Tesla,Model 3,Long Range AWD Dual Motor,Eléctrico,Novembro,2019,69 900 km,,476 cv,,Sim,Sedan,Branco,Automática,4,5,,,18 Meses,,Sim,Sim,Sim,Usados,33 990,8090776306,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-3-long-range-awd-dual-motor-ID8Py4v2.html,,,,,Pérola,,,,,,,,,602 km,,75 kWh,,,,StandVirtual,Yes,2024-02-27
Particular,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line Aut.,Diesel,Julho,2022,50 000 km,1 950 cm3,116 cv,,,Carrinha,Preto,Automática,5,,,,,,,,,Usados,38 900,8091750523,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-aut-ID8PC9Xd.html,,,,,Metalizado,"5,50 l/100km",,,,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Tucson,1.6 T-GDi Vanguard,Gasolina,Agosto,2023,10 km,1 598 cm3,150 cv,Sim,,SUV / TT,Cinzento,Manual,5,5,,,36 Meses,Nacional,,,,Usados,34 840,8091511339,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-t-gdi-vanguard-ID8PB9Jp.html,,,,,,,,Mostrar VIN,,11 Janeiro 2024,,"6,80 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,X1,16 d sDrive Auto,Diesel,Abril,2021,102 546 km,1 496 cm3,116 cv,Sim,Sim,SUV / TT,Cinzento,Automática,5,,,,36 Meses,Nacional,,,,Usados,33 499,8091409243,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-auto-ID8PAJaH.html,,,,,,,,,,,Série X,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Mercedes-Benz,GLA 180,d 7G-DCT AMG Line,Diesel,Abril,2018,61 700 km,1 461 cm3,109 cv,Sim,Sim,SUV / TT,Azul,Automática,5,5,Classe 1,,36 Meses,Importado,Sim,,Sim,Usados,33 000,8089615590,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-180-d-7g-dct-amg-line-ID8PtcyO.html,,7,,1,Metalizado,"4,70 l/100km",,,17 Abril 2024,1 Janeiro 2030,Classe GLA,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,BMW,X3,18 d sDrive Advantage Auto,Diesel,Novembro,2019,30 311 km,1 995 cm3,150 cv,Sim,Sim,SUV / TT,Branco,Automática,5,5,Classe 1,Tracção traseira,18 Meses,Nacional,Sim,Sim,Sim,Usados,38 990,8091601833,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-18-d-sdrive-advantage-auto-ID8PBxgZ.html,Sim,8,145 g/km,1,Metalizado,,,Mostrar VIN,29 Novembro 2025,,Série X,,"278,85 €",,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,i20 N,1.6 T-GDi Performance Pack+TT,Gasolina,Janeiro,2024,8 km,1 598 cm3,204 cv,Sim,,Utilitário,Azul,Manual,5,5,,,36 Meses,Nacional,,,,Usados,35 500,8091601824,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i20-n-1-6-t-gdi-performance-pack-tt-ID8PBxgQ.html,,,,,,,,Mostrar VIN,,,,7 l/100km,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Kauai,EV 64kWh Vanguard+TMS,Eléctrico,Junho,2023,8 km,,204 cv,Sim,,SUV / TT,Preto,Automática,5,5,,,36 Meses,Nacional,,,,Usados,40 300,8091601828,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-ev-64kwh-vanguard-tms-ID8PBxgU.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Kauai,EV 64kWh Vanguard+TMS,Eléctrico,Julho,2022,22 000 km,,204 cv,Sim,,SUV / TT,Preto,Automática,5,5,,,36 Meses,Nacional,,,,Usados,39 450,8091601827,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-ev-64kwh-vanguard-tms-ID8PBxgT.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Cupra,Formentor,1.5 TSI Sport DSG,Gasolina,Maio,2023,5 000 km,1 498 cm3,150 cv,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,,36 Meses,Nacional,,Sim,Sim,Usados,34 990,8090635151,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-sport-dsg-ID8PxtNl.html,Sim,,,1,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Tucson,1.6 CRDi Vanguard,Diesel,Agosto,2022,27 081 km,1 598 cm3,116 cv,Sim,,SUV / TT,Dourado,Manual,5,5,,,65 Meses,Nacional,,,,Usados,35 900,8091104098,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-crdi-vanguard-ID8PzrN0.html,,,,,,,,Mostrar VIN,,1 Agosto 2029,,"5,30 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Tucson,1.6 T-GDI HEV Premium,Híbrido (Gasolina),Janeiro,2023,13 500 km,1 598 cm3,230 cv,Sim,,SUV / TT,Branco,Automática,5,5,,,70 Meses,Nacional,,,,Usados,36 990,8091615001,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-t-gdi-hev-premium-ID8PBAHn.html,,,,,,,,Mostrar VIN,,23 Janeiro 2030,,"5,70 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Hyundai,Tucson,1.6 T-GDI HEV Premium,Híbrido (Gasolina),Outubro,2022,33 512 km,1 598 cm3,230 cv,Sim,,SUV / TT,Preto,Automática,5,5,,,67 Meses,Nacional,,,,Usados,37 950,8091615004,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-t-gdi-hev-premium-ID8PBAHq.html,,,,,,,,Mostrar VIN,,1 Outubro 2029,,"5,70 l/100km",,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Jaguar,I-Pace,First Edition AWD Aut.,Eléctrico,Novembro,2018,86 000 km,,400 cv,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,,36 Meses,,Sim,Sim,Sim,Usados,36 990,8091025002,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-first-edition-awd-aut-ID8Pz7dg.html,,9,,,,,,,,1 Janeiro 0001,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Peugeot,3008,,Híbrido (Gasolina),Março,2020,90 350 km,1 598 cm3,300 cv,Sim,Sim,SUV / TT,Branco,Automática,5,5,,,18 Meses,Nacional,,,,Usados,31 990,8091268094,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-ID8PA8s6.html,,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
