Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Registo(s),Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Aceita retoma,Tipo de cor,Inspecção válida até,Filtro de partículas,IUC,Sub-modelo,Autonomia Máxima,Clássico,Capacidade da bateria,Bateria,Autonomia,Consumo,Consumo Combinado,Garantia de Fábrica até,Gancho de Reboque,ou até,Site,Portugal,Data
Profissional,MINI,Cooper,D,Diesel,Março,2016,120 000 km,1 496 cm3,116 cv,Utilitário,Bege,Manual,6,3,4,Tracção dianteira,,1,Sim,Sim,"4,40 l/100km",,Usados,14 990        EUR,8089761876,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PtOCg.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Nissan,Juke,1.5 dCi N-Connecta,Diesel,Junho,2015,78 000 km,1 461 cm3,110 cv,SUV / TT,Vermelho,Manual,,5,5,,,1,,,,,Usados,14 500        EUR,8090455402,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-n-connecta-ID8PvJ2a.html,Sim,,Sim,,18 Meses,Nacional,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Peugeot,308 SW,1.6 HDi Active,Diesel,Janeiro,2012,240 000 km,1 560 cm3,92 cv,Carrinha,Preto,Manual,5,5,5,Tracção dianteira,,1,Sim,Sim,"5,30 l/100km",,Usados,6 950        EUR,8087849873,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-hdi-active-ID8PlNdw.html,Sim,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Corsa,1.3 CDTi Edition,Diesel,Junho,2018,103 085 km,1 248 cm3,95 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,2,Sim,Sim,"3,80 l/100km",,Usados,12 500        EUR,8087067892,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-edition-ID8PiwMU.html,Sim,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,,21/06/2024,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,SEAT,Ibiza,SC 2.0 TDi FR BocaNegra,Diesel,Julho,2010,170 000 km,1 968 cm3,143 cv,Citadino,Branco,Manual,,3,,,,,,,"5,90 l/100km",,Usados,11 950        EUR,8090646734,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-2-0-tdi-fr-bocanegra-ID8PxvOa.html,Sim,,Sim,,36 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Fiat,Punto,1.2 Easy Start&Stop,Gasolina,Setembro,2018,24 500 km,1 242 cm3,69 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,119 g/km,,Sim,Sim,"6,60 l/100km","4,30 l/100km",Usados,12 350        EUR,8090172387,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-easy-start-stop-ID8Pwxpp.html,,,,Classe 1,,,Sim,,Mate,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Chevrolet,Aveo,1.3 VCDi LTZ,Diesel,Julho,2012,134 000 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,6,4,5,Tracção dianteira,107 g/km,,Sim,Sim,"4,80 l/100km","3,60 l/100km",Usados,7 850        EUR,8090646684,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-aveo-1-3-vcdi-ltz-ID8PxvNm.html,,,,Classe 1,18 Meses,Nacional,Sim,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,BMW,116,d EfficientDynamics,Diesel,Janeiro,2016,201 000 km,1 598 cm3,116 cv,Utilitário,Preto,Manual,6,5,5,Tracção traseira,95 g/km,1,Sim,,"4,40 l/100km",,Usados,13 950        EUR,8089369350,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-ID8Psawc.html,Sim,,Sim,Classe 1,18 Meses,Nacional,,Sim,Metalizado,,Sim,160 €,Série 1,1 000 km,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Fiat,500,1.2 8V Pop,Gasolina,Agosto,2019,16 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,5,3,4,Tracção dianteira,,1,Sim,Sim,"6,20 l/100km",,Usados,14 500        EUR,8090604542,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-pop-ID8PxlPE.html,,,Sim,Classe 1,18 Meses,,Sim,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Adam,1.4 S&S Black Jack,Gasolina,Abril,2014,110 000 km,1 398 cm3,100 cv,Citadino,Cinzento,Manual,,3,,,,,,,"7,10 l/100km",,Usados,11 950        EUR,8090646679,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-1-4-s-s-black-jack-ID8PxvNh.html,Sim,,Sim,,36 Meses,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
