Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Profissional,Ford,Tourneo Custom,,1.0 EcoBoost Titanium PHEV,Híbrido (Gasolina),Fevereiro,2020,39 548 km,998 cm3,126 cv,Monovolume,Preto,Metalizado,Automática,,4,8,Classe 2,Tracção dianteira,,70 g/km,,,1,,Sim,,Usados,38 980        EUR,8090632960,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-tourneo-custom-1-0-ecoboost-titanium-phev-ID8Pxte0.html,,,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Cupra,Formentor,,1.4 e-Hybrid DSG VZ,Híbrido (Gasolina),Junho,2021,39 284 km,1 395 cm3,245 cv,SUV / TT,Branco,Metalizado,Automática,,5,5,Classe 1,,60 km,,,,,,Sim,Sim,Usados,35 900        EUR,8090729112,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-4-e-hybrid-dsg-vz-ID8PxSeQ.html,Sim,Sim,Sim,Sim,,18 Meses,Sim,,,,,"2,10 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Outubro,2020,100 000 km,1 332 cm3,218 cv,Utilitário,Preto,Metalizado,Automática,,5,5,,,,,,,,Nacional,Sim,Sim,Usados,31 500        EUR,8090274415,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-e-amg-line-ID8PwXX1.html,,Sim,Sim,Sim,01/10/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 180,Classe A,d AMG Line Aut.,Diesel,Janeiro,2021,35 668 km,1 461 cm3,116 cv,Utilitário,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,34 990        EUR,8090339012,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PveKU.html,Sim,,Sim,Sim,,36 Meses,Sim,,,01/01/0001,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 250 Limousine,Classe A,e AMG Line,Híbrido (Gasolina),Abril,2020,103 654 km,1 332 cm3,218 cv,Sedan,Cinzento,,Automática,8,4,,,Tracção dianteira,,22 g/km,,,,,,,Usados,34 900        EUR,8090727607,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-limousine-e-amg-line-ID8PxRQz.html,,,,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,520,Série 5,d Pack M Auto,Diesel,Março,2017,188 000 km,1 995 cm3,190 cv,Sedan,Branco,Metalizado,Automática,8,5,5,,Tracção traseira,,135 g/km,"235,26 €",,,,Sim,,Usados,32 500        EUR,8090788102,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Py7Ai.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,330,Série 3,e Corporate Edition Auto,Híbrido (Gasolina),Agosto,2020,66 500 km,1 998 cm3,292 cv,Sedan,Cinzento,,Automática,,4,,,,,,,,,Nacional,,,Usados,35 900        EUR,8090789258,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-330-e-corporate-edition-auto-ID8Py7SV.html,Sim,,,,,36 Meses,,,,10/10/2026,,"1,40 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Mercedes-Benz,A 180,Classe A,d AMG Line Aut.,Diesel,Novembro,2022,18 000 km,1 950 cm3,116 cv,Utilitário,Cinzento,,Automática,,5,5,,,,,,,,Nacional,,,Usados,38 950        EUR,8090586701,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxhbT.html,Sim,,,,,24 Meses,,,,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Hyundai,Tucson,,1.6 CRDi Vanguard,Diesel,Março,2023,9 550 km,1 598 cm3,116 cv,SUV / TT,Preto,,Manual,,5,5,,,,,,,,Nacional,,,Usados,37 900        EUR,8090586705,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-6-crdi-vanguard-ID8PxhbX.html,Sim,,,,,76 Meses,,,,02/03/2030,,"5,30 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,116,Série 1,d Pack 50 anos M Auto,Diesel,Agosto,2022,19 600 km,1 496 cm3,116 cv,Utilitário,Branco,,Automática,,5,5,,,,,,,,Nacional,,,Usados,37 900        EUR,8090700871,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-50-anos-m-auto-ID8PxKTl.html,Sim,,,,,36 Meses,,,,10/10/2026,,"4,60 l/100km",,,,,,,StandVirtual,Yes,2023-10-10
