Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Particular,BMW,116,Série 1,d EfficientDynamics Edition Sport Line,Diesel,Março,2014,166 000 km,1 598 cm3,116 cv,Citadino,Castanho,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,1 000 km,99 g/km,150 €,Sim,1,Importado,Sim,Sim,Usados,13 400        EUR,8090742191,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-sport-line-ID8PxWDN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Opel,Insignia Sports Tourer,,,Diesel,Agosto,2013,387 000 km,1 956 cm3,195 cv,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,134 g/km,,,,Nacional,,Sim,Usados,11 500        EUR,8090755999,4 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PxZew.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus,,1.5 TDCi Titanium,Diesel,Julho,2015,115 400 km,1 499 cm3,120 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,99 g/km,,,1,Nacional,,Sim,Usados,14 950        EUR,8090653892,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-5-tdci-titanium-ID8PxyFC.html,Sim,Sim,Sim,Sim,20/07/2024,18 Meses,Sim,"4,30 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,508 SW,,1.6 BlueHDi Active,Diesel,Abril,2017,171 600 km,1 560 cm3,120 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,104 g/km,147 €,Sim,1,Nacional,Sim,Sim,Usados,13 990        EUR,8090762282,5 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-ID8Py0RQ.html,Sim,,Sim,Sim,25/04/2024,18 Meses,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,BMW,114,Série 1,i,Gasolina,Fevereiro,2013,129 km,1 598 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,6,3,5,,,,,,,,Importado,,Sim,Usados,15 000        EUR,8090228608,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-i-ID8PwM2c.html,,,,,18/02/2024,,Sim,"7,10 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane,,1.5 dCi Zen ECO,Diesel,Agosto,2018,115 000 km,1 461 cm3,110 cv,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,,,,1,Importado,Sim,Sim,Usados,14 980        EUR,8090635903,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-zen-eco-ID8PxtZt.html,,,Sim,Sim,22/08/2024,36 Meses,,"3,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo,,1.3 M-Jet Lounge J17,Diesel,Julho,2018,80 000 km,1 248 cm3,95 cv,Utilitário,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,13 900        EUR,8090693101,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PxIS1.html,,,,Sim,09/07/2025,18 Meses,Sim,"5,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Citroën,C4,,1.6 HDi VTR Pack Airdream,Diesel,Julho,2010,210 000 km,1 560 cm3,92 cv,Sedan,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,125 g/km,,Sim,,,Sim,Sim,Usados,6 200        EUR,8090690001,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-hdi-vtr-pack-airdream-ID8PxI41.html,,,,,04/07/2024,,,"5,80 l/100km","3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500C,,1.2 8V Lounge,Gasolina,Dezembro,2010,102 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,,2,,,,,,,,,,,,Usados,8 750        EUR,8090790476,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-lounge-ID8Py8cA.html,,,,Sim,,36 Meses,,"6,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo,,1.3 M-Jet Lounge Tech,Diesel,Abril,2019,84 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,,,Usados,13 480        EUR,8090726056,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-ID8PxRry.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Captur,,(ENERGY) TCe 90 INTENS,Gasolina,Dezembro,2017,45 000 km,898 cm3,90 cv,SUV / TT,Laranja,Metalizado,Manual,,5,,,,,,,,,,,,Usados,14 900        EUR,8090790441,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-energy-tce-90-intens-ID8Py8c1.html,,,,Sim,,18 Meses,,"6,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,MINI,Countryman,,Cooper D,Diesel,Junho,2013,144 000 km,1 598 cm3,112 cv,Utilitário,Branco,Metalizado,Manual,,5,5,Classe 1,,,,,Sim,2,Nacional,,,Usados,13 900        EUR,8090789707,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-cooper-d-ID8Py80b.html,,,,,,,,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio Sport Tourer,,1.5 dCi Limited,Diesel,Março,2018,116 000 km,1 461 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,120 km,,,,1,,Sim,Sim,Usados,12 850        EUR,8089155750,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PrgV2.html,,,,,29/03/2024,36 Meses,Sim,"3,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo Station Wagon,,1.3 M-Jet Lounge,Diesel,Abril,2018,160 000 km,1 248 cm3,95 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,12 480        EUR,8090691261,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PxIol.html,,,Sim,Sim,,18 Meses,Sim,"5,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Juke,,1.5 dCi Tekna Sport,Diesel,Julho,2014,135 000 km,1 461 cm3,110 cv,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,Classe 1,,,,,,,,Sim,Sim,Usados,13 990        EUR,8090696998,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-ID8PxJSS.html,Sim,,Sim,Sim,,18 Meses,Sim,"6,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500X,,1.3 MJ Pop Star S&S,Diesel,Outubro,2015,168 000 km,1 248 cm3,95 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,12 980        EUR,8090635173,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-pop-star-s-s-ID8PxtNH.html,,,Sim,Sim,30/10/2024,36 Meses,,"4,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus,,1.0 SCTi Titanium,Gasolina,Fevereiro,2017,109 000 km,998 cm3,125 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,13 980        EUR,8090635525,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-scti-titanium-ID8PxtTn.html,,,Sim,Sim,22/02/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,Berlingo,,,Diesel,Maio,2015,315 000 km,1 560 cm3,75 cv,Carrinha,Branco,,Manual,,4,,,,,,,,,,,,Usados,9 990        EUR,8090790401,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8Py8bn.html,,,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Peugeot,508 SW,,1.6 e-HDi Active 2-Tronic,Diesel,Março,2013,130 000 km,1 560 cm3,115 cv,Carrinha,Branco,Pérola,Automática,6,5,5,,,,,,Sim,,Importado,Sim,Sim,Usados,14 900        EUR,8090701791,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-2-tronic-ID8PxL8b.html,,,,,,,Sim,"4,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,VW,Golf Variant,,1.6 TDi Confortline,Diesel,Março,2019,200 000 km,1 598 cm3,115 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,13 650        EUR,8090696790,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxJPv.html,,Sim,Sim,Sim,,18 Meses,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,108,,1.0 VTi Active,Gasolina,Junho,2017,120 000 km,998 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,,5,4,,,,,,,,,,,Usados,9 480        EUR,8090712139,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PxNP5.html,,,Sim,Sim,,18 Meses,,5 l/100km,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,RCZ,,1.6 155 THP,Gasolina,Junho,2011,186 000 km,1 598 cm3,156 cv,Coupé,Cinzento,Metalizado,Manual,,2,,,,,,,,,,,,Usados,13 850        EUR,8090698881,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-rcz-1-6-155-thp-ID8PxKnf.html,,,Sim,Sim,,36 Meses,,"8,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,DS3,,1.6 THP Sport Chic,Gasolina,Novembro,2013,60 000 km,1 598 cm3,155 cv,Cabrio,Cinzento,Metalizado,Manual,6,3,4,,Tracção dianteira,,139 g/km,,,,,,Sim,Usados,13 000        EUR,8089643761,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-thp-sport-chic-ID8PtjTb.html,,,Sim,Sim,,18 Meses,,"8,20 l/100km","4,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Skoda,Roomster,,1.6 TDI DPF Style PLUS EDITION,Diesel,Novembro,2010,257 901 km,1 598 cm3,90 cv,Monovolume,Preto,Metalizado,Manual,,5,5,,,,,,Sim,,,,,Usados,5 900        EUR,8090479651,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-roomster-1-6-tdi-dpf-style-plus-edition-ID8PvPlh.html,,,Sim,Sim,,36 Meses,,"5,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Suzuki,SX4,,1.6 DDiS GL Outdoor Line,Diesel,Fevereiro,2010,151 043 km,1 560 cm3,90 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,,Nacional,,Sim,Usados,8 890        EUR,8088516794,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/suzuki-sx4-1-6-ddis-gl-outdoor-line-ID8PoAIi.html,Sim,,Sim,Sim,,18 Meses,,"5,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio,,,Diesel,Junho,2017,130 208 km,1 500 cm3,90 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,Sim,Sim,Usados,13 900        EUR,8090511615,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8PvXEP.html,,,Sim,Sim,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Dodge,Journey,,2.0 CRD SXT ATX,Diesel,Outubro,2010,138 000 km,1 968 cm3,140 cv,Monovolume,Preto,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,,176 g/km,,,1,Nacional,Sim,Sim,Usados,10 900        EUR,8090607043,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dodge-journey-2-0-crd-sxt-atx-ID8PxmtZ.html,,,Sim,Sim,,18 Meses,Sim,"9,10 l/100km","5,90 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,BMW,116,Série 1,d Urban Line,Diesel,Janeiro,2012,171 856 km,1 995 cm3,116 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,Sim,,Importado,Sim,Sim,Usados,14 600        EUR,8090790248,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-urban-line-ID8Py88U.html,Sim,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Smart,ForTwo Coupé,,Electric Drive Passion,Eléctrico,Abril,2018,22 750 km,,82 cv,Citadino,Verde,Metalizado,Automática,,3,2,Classe 1,Tracção traseira,,,,,1,Importado,Sim,,Usados,14 980        EUR,8090192485,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-passion-ID8PwCDz.html,,Sim,Sim,,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C3,,,Diesel,Dezembro,2016,176 000 km,1 560 cm3,99 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,Sim,1,Nacional,Sim,Sim,Usados,8 990        EUR,8089664533,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8Ptpid.html,Sim,,Sim,Sim,,18 Meses,Sim,"3,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus SW,,,Diesel,Abril,2019,228 000 km,1 499 cm3,120 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Sim,,Nacional,Sim,,Usados,12 990        EUR,8090790164,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-ID8Py87y.html,Sim,,Sim,Sim,,36 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C4,,1.6 e-HDi Air.Exclusive,Diesel,Abril,2016,130 000 km,1 560 cm3,115 cv,Utilitário,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,,,Sim,Sim,Usados,14 499        EUR,8090240486,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-e-hdi-air-exclusive-ID8PwP7M.html,,,,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,308 SW,,1.6 BlueHDi Allure,Diesel,Julho,2015,210 416 km,1 560 cm3,120 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,99 g/km,,,1,,Sim,Sim,Usados,12 990        EUR,8090687953,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PxHvZ.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus SW,,1.5 TDCi Trend+,Diesel,Junho,2017,238 000 km,1 499 cm3,120 cv,Carrinha,Branco,,Manual,,5,5,,Tracção dianteira,,,,,,Nacional,,Sim,Usados,11 250        EUR,8090230103,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-trend-ID8PwMqj.html,Sim,,Sim,Sim,04/06/2025,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Scénic,,1.5 dCi Bose Edition SS,Diesel,Junho,2016,128 907 km,1 461 cm3,110 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,14 990        EUR,8090117753,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-1-5-dci-bose-edition-ss-ID8Pwjcd.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio,,0.9 TCe Limited Edition,Gasolina,Junho,2017,33 619 km,898 cm3,90 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,,Sim,Usados,14 950        EUR,8089833582,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8Pu7gO.html,,,Sim,Sim,27/06/2025,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,208,,1.5 BlueHDi Allure,Diesel,Novembro,2018,146 000 km,1 499 cm3,102 cv,Citadino,Vermelho,Pérola,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Sim,1,Importado,Sim,Sim,Usados,14 500        EUR,8090003496,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-allure-ID8PuPtm.html,,,Sim,Sim,,36 Meses,Sim,"4,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Abarth,500,,1.4 T-Jet,Gasolina,Agosto,2010,82 361 km,1 368 cm3,135 cv,Utilitário,Preto,Metalizado,Manual,,3,4,Classe 1,,,,,,,Nacional,Sim,Sim,Usados,14 900        EUR,8088919961,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-ID8PqhAZ.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,VW,Polo,,1.0 Trendline,Gasolina,Abril,2015,122 600 km,999 cm3,60 cv,Utilitário,Preto,,Manual,5,5,5,Classe 1,,,,,,,Importado,,Sim,Usados,10 450        EUR,8089390539,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-trendline-ID8Psg0X.html,,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane Sport Tourer,,1.5 dCi Zen,Diesel,Março,2017,149 991 km,1 461 cm3,110 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,95 g/km,148 €,,1,Nacional,Sim,Sim,Usados,12 950        EUR,8090586591,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8Pxha7.html,,Sim,Sim,Sim,30/03/2025,18 Meses,Sim,"4,20 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Ford,Fiesta,,1.0 S&S Titanium,Gasolina,Março,2016,148 313 km,998 cm3,80 cv,Citadino,Preto,,Manual,,5,,,,,,,,,,,,Usados,9 000        EUR,8090730840,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-s-s-titanium-ID8PxSGI.html,,,,,,,,"5,10 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,KA,,1.2 City,Gasolina,Outubro,2010,156 000 km,1 242 cm3,69 cv,Citadino,Branco,,Manual,5,3,4,Classe 1,Tracção dianteira,,115 g/km,,,,Importado,Sim,Sim,Usados,5 450        EUR,8090585660,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-city-ID8PxgW6.html,Sim,,Sim,Sim,13/10/2024,18 Meses,,"5,80 l/100km","4,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Renault,Scénic,,ENERGY dCi 110 LIMITED,Diesel,Abril,2017,155 000 km,1 461 cm3,110 cv,Monovolume,Preto,Metalizado,Manual,6,5,,Classe 1,Tracção dianteira,,100 g/km,,Sim,,,Sim,Sim,Usados,13 250        EUR,8089580177,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-energy-dci-110-limited-ID8Pt3lD.html,,,,,,,,"4,20 l/100km","3,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,VW,Polo,,1.6 TDI Confortline BlueMotion,Diesel,Junho,2010,241 000 km,1 598 cm3,90 cv,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,96 g/km,,,2,Nacional,Sim,Sim,Usados,10 000        EUR,8089989486,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-6-tdi-confortline-bluemotion-ID8PuLPo.html,Sim,,,,15/06/2024,,,"4,60 l/100km","3,20 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Qashqai,,1.6 dCi Tekna Premium,Diesel,Agosto,2013,183 000 km,1 598 cm3,130 cv,SUV / TT,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,,Nacional,,,Usados,12 999        EUR,8090691209,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-6-dci-tekna-premium-ID8PxInw.html,Sim,,,Sim,,36 Meses,Sim,,,01/01/0001,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Opel,Astra Sports Tourer,,1.6 CDTI Innovation S/S RM6/SOB/5PC/5PB,Diesel,Fevereiro,2017,150 000 km,1 598 cm3,136 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,140 €,Sim,1,,Sim,Sim,Usados,14 900        EUR,8088776785,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-rm6-sob-5pc-5pb-ID8PpGlH.html,Sim,,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,208,,,Diesel,Maio,2016,142 000 km,1 560 cm3,100 cv,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,122 g/km,,,,,,,Usados,13 900        EUR,8090610413,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-ID8Pxnml.html,,,,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Note,,1.5 dCi Acenta,Diesel,Março,2014,141 129 km,1 461 cm3,90 cv,Citadino,Vermelho,Metalizado,Manual,5,5,5,Classe 1,,,,,Sim,,,Sim,Sim,Usados,11 700        EUR,8088125570,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-note-1-5-dci-acenta-ID8PmVVe.html,,,,Sim,01/11/2023,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Peugeot,Partner,,,Diesel,Outubro,2014,120 000 km,1 560 cm3,92 cv,Carrinha,Branco,Metalizado,Manual,6,5,3,Classe 1,Tracção dianteira,,133 g/km,,,,Nacional,Sim,Sim,Usados,14 900        EUR,8089711549,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-partner-ID8PtBvx.html,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Kia,Ceed SW,,1.6 CRDi TX Sport,Diesel,Abril,2014,153 758 km,1 582 cm3,128 cv,Carrinha,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,9 km,116 g/km,"152,14 €",Sim,2,Nacional,Sim,Sim,Usados,12 900        EUR,8089945534,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-6-crdi-tx-sport-ID8PuAou.html,,,,,30/03/2024,,Sim,"5,30 l/100km",4 l/100km,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,108,,1.0 VTi Active,Gasolina,Julho,2019,48 331 km,998 cm3,72 cv,Pequeno citadino,Branco,,Manual,,3,4,,,,,,,,Nacional,Sim,,Usados,10 990        EUR,8088516647,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PoAFW.html,Sim,,Sim,Sim,,18 Meses,,"4,90 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500X,,1.3 MJ Lounge S&S,Diesel,Setembro,2015,82 000 km,1 248 cm3,95 cv,SUV / TT,Prateado,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,105 g/km,144 €,,1,Nacional,Sim,Sim,Usados,14 980        EUR,8090741360,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-lounge-s-s-ID8PxWqo.html,Sim,,Sim,Sim,20/09/2024,18 Meses,Sim,"4,50 l/100km","3,70 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Dacia,Logan MCV,,1.5 dCi Comfort,Diesel,Setembro,2016,71 000 km,1 461 cm3,90 cv,Carrinha,Prateado,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,90 g/km,,,1,Nacional,,Sim,Usados,12 480        EUR,8090604693,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-comfort-ID8PxlS5.html,,,,,15/09/2025,18 Meses,Sim,"3,70 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,C3,,1.4 HDi Airdream Exclusive,Diesel,Julho,2012,238 000 km,1 398 cm3,70 cv,Citadino,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,1,,Sim,Sim,Usados,9 600        EUR,8089898044,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-4-hdi-airdream-exclusive-ID8Puo2v.html,,,,Sim,,18 Meses,Sim,"5,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Toyota,Yaris,,1.0 VVT-i Comfort +PS Style+P.Techno,Gasolina,Julho,2016,109 500 km,998 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,99 g/km,,,2,Nacional,Sim,Sim,Usados,11 900        EUR,8090715288,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-ps-style-p-techno-ID8PxODS.html,,,,,25/07/2024,18 Meses,Sim,"5,20 l/100km","3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
