Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Origem,Consumo Urbano,Tracção,Inspecção válida até,Número de Mudanças,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,IVA Discriminado,Livro de Revisões completo,Consumo Combinado,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,IUC,Sub-modelo,Consumo,Site,Portugal,Data
Profissional,MINI,Cooper,D,Diesel,Março,2016,183 301 km,1 496 cm3,116 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,,18 Meses,1,,Sim,Usados,14 450,8092092046,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PDANE.html,Nacional,,Tracção dianteira,28 Março 2024,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Abril,2014,133 370 km,898 cm3,90 cv,Sim,SUV / TT,Cinzento,,Manual,5,,,18 Meses,1,Sim,Sim,Usados,12 490,8091181761,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PzLZD.html,,"6,30 l/100km",Tracção dianteira,,5,146 g/km,"4,80 l/100km",,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Nissan,Qashqai,1.2 DIG-T Acenta Connect,Gasolina,Dezembro,2014,139 053 km,1 197 cm3,115 cv,Sim,SUV / TT,Preto,,Manual,5,5,Classe 1,18 Meses,1,,,Usados,14 950,8092092033,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-2-dig-t-acenta-connect-ID8PDANr.html,Importado,,Tracção dianteira,17 Dezembro 2024,6,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Dezembro,2015,176 000 km,1 598 cm3,110 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,,,18 Meses,,Sim,Sim,Usados,14 900,8091697080,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-s-s-ID8PBV3e.html,,"4,60 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Citroën,C3,1.2 PureTech Feel EAT6,Gasolina,Maio,2017,77 397 km,1 199 cm3,110 cv,Sim,Utilitário,Branco,,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,14 750,8091871420,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-eat6-ID8PCFpa.html,Nacional,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Clio Sport Tourer,1.5 dCi Dynamique S,Diesel,Fevereiro,2014,150 672 km,1 461 cm3,90 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,10 670,8091923670,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-dynamique-s-ID8PCSZU.html,Nacional,,,,5,,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Clio Sport Tourer,Energy dCi 110 Bose Edition,Diesel,Junho,2018,159 000 km,1 461 cm3,110 cv,Sim,Carrinha,Preto,Metalizado,Manual,5,,,18 Meses,,,Sim,Usados,14 900,8090961698,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-energy-dci-110-bose-edition-ID8PyQKe.html,,"3,80 l/100km",,,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Ford,Tourneo Courier,1.0 EcoBoost Ambiente,Gasolina,Dezembro,2017,168 856 km,998 cm3,100 cv,Sim,Carrinha,Azul,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 900,8091839365,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-tourneo-courier-1-0-ecoboost-ambiente-ID8PCx49.html,Nacional,,,,,,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Maio,2019,74 307 km,1 461 cm3,75 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 900,8089985975,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PuKUL.html,Nacional,,,,,,,,Sim,Sim,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Opel,Karl,1.0 ECOTEC S&S Rocks,Gasolina,Setembro,2019,46 007 km,999 cm3,73 cv,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 900,8091554541,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-karl-1-0-ecotec-s-s-rocks-ID8PBkYd.html,Importado,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
