Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),IUC,Registo(s),Garantia de Fábrica até,IVA Discriminado,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,Site,Portugal,Data
Profissional,JDM,Xheos,,Diesel,Agosto,2013,15 000 km,523 cm3,5 cv,Pequeno citadino,Cinzento,Automática,,2,2,,,,,Nacional,,,,,,Usados,8 950        EUR,8083134820,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/jdm-xheos-ID8P20Cg.html,,,,Sim,Metalizado,,36 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,DS4,,Diesel,Dezembro,2016,158 900 km,1 600 cm3,120 cv,Utilitário,Vermelho,Manual,6,5,5,,,,,,,,Sim,,,Usados,14 750        EUR,8087950971,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds4-ID8Pmdv7.html,,Sim,,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Scénic,,Diesel,Abril,2017,185 710 km,1 500 cm3,110 cv,Utilitário,Bege,Manual,6,5,5,,,,,,,,Sim,,,Usados,14 950        EUR,8090061705,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-scnic-ID8Pw4Cd.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Opel,Mokka X,,Diesel,Novembro,2017,79 000 km,1 598 cm3,136 cv,SUV / TT,Cinzento,Manual,6,5,5,Tracção dianteira,,Sim,,,,,,"5,40 l/100km",,Usados,15 000        EUR,8090634610,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-x-ID8PxtEC.html,,,,,Metalizado,Classe 1,,140 €,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio Sport Tourer,1.5 dCi GT Line,Diesel,Outubro,2016,162 930 km,1 461 cm3,90 cv,Carrinha,Cinzento,Manual,5,5,5,,,,01/10/2024,,Sim,,Sim,,,Usados,11 750        EUR,8090610343,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-gt-line-ID8Pxnld.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,KA+,1.2 Ti-VCT Essencial,Gasolina,Janeiro,2017,87 500 km,1 196 cm3,70 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,114 g/km,,,,,,,"6,60 l/100km",4 l/100km,Usados,10 990        EUR,8090741390,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-ti-vct-essencial-ID8PxWqS.html,,Sim,,,Metalizado,Classe 1,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C3,Pure Tech Exclusive,Gasolina,Abril,2011,826 065 km,1 199 cm3,82 cv,Citadino,Cinzento,Manual,,5,,,,,,,,,,"5,60 l/100km",,Usados,7 250        EUR,8090454640,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-exclusive-ID8PvIPS.html,,,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,One,Brick Lane,Gasolina,Novembro,2013,98 100 km,1 598 cm3,75 cv,Pequeno citadino,Preto,Manual,6,3,5,Tracção traseira,,,,,,,,"7,20 l/100km",,Usados,12 900        EUR,8089740461,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-brick-lane-ID8PtJ2R.html,,,Sim,Sim,Metalizado,Classe 1,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Audi,A3,1.2 TFSi Sport 114g,Gasolina,Maio,2015,155 000 km,1 197 cm3,105 cv,Utilitário,Cinzento,Manual,6,3,5,Tracção dianteira,,,,,Sim,Sim,Sim,"5,90 l/100km",,Usados,14 990        EUR,8088682615,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-1-2-tfsi-sport-114g-ID8PphQP.html,,Sim,,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500L,1.3 MJ Pop Star S&S,Diesel,Julho,2017,93 632 km,1 248 cm3,95 cv,Monovolume,Preto,Manual,,5,5,,,Sim,,Nacional,,Sim,Sim,,,Usados,10 750        EUR,8090767435,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-pop-star-s-s-ID8Py2cX.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,VW,Golf,1.6 TDi Highline,Diesel,Março,2010,114 961 km,1 598 cm3,105 cv,Utilitário,Preto,Manual,5,5,5,Tracção dianteira,99 g/km,,12/03/2024,Nacional,Sim,Sim,,"4,60 l/100km","3,30 l/100km",Usados,12 000        EUR,8090770132,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8Py2Us.html,,,,,Metalizado,,,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Laguna Break,2.0 DCi Dynamique S 4control,Diesel,Maio,2015,265 000 km,1 995 cm3,150 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,06/05/2023,Nacional,,,,"6,80 l/100km",,Usados,11 990        EUR,8088721017,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-2-0-dci-dynamique-s-4control-ID8PprQd.html,,,,,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Peugeot,2008,1.2 PureTech Crossway,Gasolina,Novembro,2015,119 068 km,1 199 cm3,110 cv,SUV / TT,Branco,Manual,5,5,5,Tracção dianteira,103 g/km,,20/11/2023,Importado,,Sim,Sim,"5,30 l/100km","3,90 l/100km",Usados,13 000        EUR,8090609505,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-crossway-ID8Pxn7H.html,,,,,Pérola,,,,4,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Mii,1.0 Style Plus,Gasolina,Janeiro,2018,49 000 km,999 cm3,75 cv,Utilitário,Roxo,Manual,5,5,4,,102 g/km,,,Nacional,Sim,,Sim,"5,90 l/100km",,Usados,11 900        EUR,8089252651,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-mii-1-0-style-plus-ID8PrG8X.html,,,,,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Fiesta,1.25 Titanium,Gasolina,Março,2010,227 000 km,1 242 cm3,82 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,,15/03/2024,Nacional,,,Sim,"7,50 l/100km",,Usados,5 950        EUR,8089202302,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-25-titanium-ID8Prt2S.html,,Sim,,,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308,BlueHDi FAP 120 EAT6 Stop&Start Allure,Diesel,Setembro,2017,163 817 km,1 560 cm3,120 cv,Utilitário,Azul,Automática,6,5,5,Tracção dianteira,,Sim,,Importado,Sim,Sim,Sim,,,Usados,12 980        EUR,8089628364,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-bluehdi-fap-120-eat6-stop-start-allure-ID8PtfSQ.html,,Sim,,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Renault,Twingo,SCe 70 S&S LIMITED,Gasolina,Junho,2015,17 600 km,999 cm3,71 cv,Citadino,Azul,Manual,5,5,4,Tracção traseira,95 g/km,,,,,,,5 l/100km,"3,70 l/100km",Usados,10 599        EUR,8090770122,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-sce-70-s-s-limited-ID8Py2Ui.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Ibiza,,Gasolina,Fevereiro,2016,80 000 km,999 cm3,75 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,"6,50 l/100km",,Usados,11 900        EUR,8090068374,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8Pw6lM.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Fiesta,1.0 EcoBoost Active+ Aut.,Gasolina,Dezembro,2018,128 000 km,998 cm3,100 cv,SUV / TT,Azul,Automática,6,5,5,,,Sim,,Importado,Sim,Sim,Sim,,,Usados,14 900        EUR,8090609455,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-active-aut-ID8Pxn6T.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,"5,50 l/100km",,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Golf,1.6 TDi GPS Edition DSG,Diesel,Junho,2015,200 000 km,1 598 cm3,110 cv,Utilitário,Preto,Automática,7,3,5,Tracção dianteira,,,,,Sim,,Sim,,,Usados,14 900        EUR,8085193722,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-gps-edition-dsg-ID8PaEem.html,,,Sim,Sim,Pérola,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Leon ST,1.4 TSI Style S/S,Gasolina,Fevereiro,2014,99 000 km,1 395 cm3,125 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,"6,50 l/100km",,Usados,13 900        EUR,8089965438,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-4-tsi-style-s-s-ID8PuFzv.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 mhd Pure 61 Softouch,Gasolina,Fevereiro,2012,137 000 km,999 cm3,61 cv,Coupé,Preto,Automática,5,3,2,Tracção traseira,97 g/km,,17/02/2024,Nacional,,Sim,Sim,"4,60 l/100km",,Usados,7 250        EUR,8089320500,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-pure-61-softouch-ID8PrXNi.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,120 €,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Opel,Corsa,1.4 Enjoy FlexFuel,GPL,Novembro,2015,72 600 km,1 398 cm3,90 cv,Citadino,Cinzento,Manual,5,5,,Tracção dianteira,129 g/km,,06/11/2024,Nacional,Sim,Sim,Sim,"7,10 l/100km","4,70 l/100km",Usados,12 500        EUR,8090730689,7 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-4-enjoy-flexfuel-ID8PxSEh.html,,,,,,,,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
