Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),IUC,Registo(s),Garantia de Fábrica até,IVA Discriminado,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,Site,Portugal,Data
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Dezembro,2015,144 000 km,1 560 cm3,120 cv,Carrinha,Preto,Manual,6,5,5,,,,,,Sim,Sim,Sim,,,Usados,12 400        EUR,8090640154,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8Pxw62.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Confort,Diesel,Abril,2012,251 207 km,1 461 cm3,90 cv,Carrinha,Cinzento,Manual,5,5,5,,,,,,,,Sim,,,Usados,6 950        EUR,8090615038,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-confort-ID8PxoyV.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,Countryman,One D,Diesel,Janeiro,2011,225 596 km,1 598 cm3,90 cv,Utilitário,Branco,Manual,6,5,4,,,,,,,,Sim,,,Usados,11 950        EUR,8090615036,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PxoyU.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Grande Punto,1.3 M-Jet Emotion,Diesel,Julho,2011,190 000 km,1 248 cm3,90 cv,Pequeno citadino,Cinzento,Manual,5,5,5,Tracção dianteira,,,,Nacional,,Sim,Sim,,,Usados,6 590        EUR,8090565127,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-1-3-m-jet-emotion-ID8PxbzW.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Junho,2018,73 580 km,1 560 cm3,75 cv,Citadino,Branco,Manual,,5,,,,,,,,,,"4,30 l/100km",,Usados,14 500        EUR,8090770096,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-feel-ID8Py2TS.html,,,,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Polo,1.0 Confortline,Gasolina,Junho,2017,129 000 km,999 cm3,75 cv,Utilitário,Branco,Manual,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,12 990        EUR,8090434326,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PvDye.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Abril,2017,73 135 km,1 461 cm3,90 cv,Carrinha,Preto,Manual,5,5,5,Tracção dianteira,82 g/km,,24/04/2025,Nacional,Sim,Sim,Sim,"3,30 l/100km","3,10 l/100km",Usados,14 990        EUR,8089989474,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PuLPc.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,"156,21 €",1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Outubro,2017,49 873 km,898 cm3,90 cv,Citadino,Cinzento,Automática,,5,5,,,,,,Sim,Sim,Sim,"5,70 l/100km",,Usados,14 749        EUR,8089525742,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PsPbE.html,,,Sim,,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.3 MJ Lounge S&S,Diesel,Maio,2018,173 000 km,1 248 cm3,95 cv,Pequeno citadino,Preto,Manual,,3,4,,,,,,Sim,Sim,Sim,,,Usados,13 590        EUR,8090155313,3 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-mj-lounge-s-s-ID8PwsY1.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Fiat,500,1.2 Lounge,Gasolina,Setembro,2017,60 781 km,1 242 cm3,69 cv,Citadino,Azul,Manual,5,3,,Tracção dianteira,129 g/km,,,Nacional,,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,12 500        EUR,8090201375,6 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PwEVX.html,,,,,,Classe 1,,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Alfa Romeo,Giulietta,1.6 JTDm Progression,Diesel,Julho,2014,115 000 km,1 598 cm3,105 cv,Utilitário,Preto,Manual,6,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,13 250        EUR,8090714106,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-giulietta-1-6-jtdm-progression-ID8PxOkO.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,MINI,Cooper,Seven Chili,Gasolina,Junho,2015,156 500 km,1 499 cm3,136 cv,Citadino,Azul,Manual,,3,,,,,,,,,,"5,70 l/100km",,Usados,12 950        EUR,8090411864,6 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-seven-chili-ID8PvxHV.html,,Sim,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Ibiza ST,1.0 Reference,Gasolina,Junho,2016,118 000 km,999 cm3,75 cv,Carrinha,Cinzento,Manual,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,12 990        EUR,8089910413,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-0-reference-ID8Purg1.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Fevereiro,2017,102 693 km,999 cm3,71 cv,Coupé,Preto,Manual,5,3,2,,,,,,Sim,Sim,Sim,,,Usados,9 980        EUR,8088000197,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Pmqk5.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Smart,ForFour,1.0 Passion 71,Gasolina,Janeiro,2015,73 468 km,999 cm3,71 cv,Citadino,Branco,Manual,5,5,4,Tracção traseira,97 g/km,,,,,,,"4,80 l/100km","3,80 l/100km",Usados,9 600        EUR,8090713496,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PxOaY.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C3,,Gasolina,Abril,2017,147 356 km,1 199 cm3,68 cv,Citadino,Branco,Manual,,5,5,,,,,,,Sim,Sim,,,Usados,11 790        EUR,8090593702,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8Pxj0O.html,,,Sim,Sim,,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Mégane,1.5 Blue dCi Zen,Diesel,Maio,2019,106 743 km,1 461 cm3,95 cv,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,14 690        EUR,8088870347,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-zen-ID8Pq4GL.html,,Sim,,Sim,,,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Feel,Diesel,Dezembro,2019,153 327 km,1 499 cm3,102 cv,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,13 990        EUR,8089194955,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-5-bluehdi-feel-ID8Prr8n.html,,Sim,,Sim,,,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Opel,Astra,1.3 CDTI DPF ecoFLEX Edition,Diesel,Julho,2010,200 000 km,1 248 cm3,95 cv,Utilitário,Azul,Manual,,5,,,,Sim,,,,,,5 l/100km,,Usados,7 000        EUR,8090770081,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-3-cdti-dpf-ecoflex-edition-ID8Py2TD.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2018,218 783 km,1 560 cm3,100 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,11 290        EUR,8087543379,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pkwu3.html,,Sim,,Sim,,Classe 1,18 Meses,,,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Março,2017,107 643 km,1 248 cm3,95 cv,Citadino,Cinzento,Manual,5,5,5,Tracção dianteira,94 g/km,,,Nacional,Sim,Sim,Sim,,,Usados,12 990        EUR,8085764970,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Pd2Q2.html,,Sim,Sim,Sim,Metalizado,,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Focus SW,1.5 TDCi Trend+,Diesel,Abril,2018,188 485 km,1 499 cm3,120 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,11 990        EUR,8087634952,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-trend-ID8PkTj2.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Hyundai,i30 SW,1.6 CRDi Comfort,Diesel,Janeiro,2018,198 151 km,1 582 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,13 490        EUR,8087925684,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-6-crdi-comfort-ID8Pm6Vg.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Setembro,2017,176 123 km,1 560 cm3,75 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,10 490        EUR,8088840874,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8PpX1o.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Julho,2018,196 116 km,1 461 cm3,110 cv,Carrinha,Cinzento,Manual,,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,13 390        EUR,8088576962,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PoQmK.html,,Sim,,Sim,,,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Nissan,Micra,1.5 DCi Acenta S/S,Diesel,Junho,2017,135 703 km,1 461 cm3,90 cv,Utilitário,Branco,Manual,5,5,5,Tracção dianteira,85 g/km,,,Nacional,Sim,Sim,,,,Usados,13 490        EUR,8089336736,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-acenta-s-s-ID8Ps21a.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,508,2.0 BlueHDi Active,Diesel,Dezembro,2015,183 999 km,1 997 cm3,150 cv,Sedan,Cinzento,Manual,6,4,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,11 490        EUR,8089130210,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-2-0-bluehdi-active-ID8Prai6.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,3008,1.6 BlueHDi Style,Diesel,Maio,2016,131 000 km,1 560 cm3,120 cv,SUV / TT,Cinzento,Manual,,5,5,,,Sim,,Importado,,Sim,Sim,"4,60 l/100km",,Usados,13 990        EUR,8090731380,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-style-ID8PxSPq.html,,,,Sim,Metalizado,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Passat,1.6 TDI Confortline,Diesel,Abril,2016,183 534 km,1 598 cm3,120 cv,Sedan,Preto,Manual,6,4,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,12 990        EUR,8087394489,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-1-6-tdi-confortline-ID8PjSKB.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Skoda,Octavia Break,1.6 TDI Ambition DSG,Diesel,Julho,2017,183 035 km,1 598 cm3,115 cv,Carrinha,Cinzento,Automática,7,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,13 990        EUR,8090475883,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-ambition-dsg-ID8PvOmw.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2018,196 115 km,1 598 cm3,115 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,13 290        EUR,8090475872,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PvOmk.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,318,d Touring Line Sport,Diesel,Janeiro,2015,320 276 km,1 995 cm3,143 cv,Carrinha,Preto,Manual,6,5,5,Tracção traseira,123 g/km,,,Nacional,,Sim,,,,Usados,12 490        EUR,8089027553,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-line-sport-ID8PqJAl.html,Série 3,Sim,,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Audi,A3 Limousine,1.6 TDI,Diesel,Novembro,2017,234 473 km,1 598 cm3,116 cv,Sedan,Azul,Manual,6,4,5,Tracção dianteira,104 g/km,,,Nacional,Sim,Sim,,,,Usados,14 390        EUR,8090118889,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-limousine-1-6-tdi-ID8Pwjux.html,,Sim,,Sim,,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Volvo,V40,2.0 D2 Momentum,Diesel,Outubro,2016,163 000 km,1 969 cm3,120 cv,Utilitário,Branco,Manual,,5,,,,,,Nacional,Sim,Sim,Sim,4 l/100km,,Usados,14 990        EUR,8090770080,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-momentum-ID8Py2TC.html,,,,Sim,,,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Setembro,2017,142 000 km,1 598 cm3,110 cv,Carrinha,Preto,Manual,6,5,2,Tracção dianteira,95 g/km,,15/09/2025,Nacional,,Sim,Sim,"5,70 l/100km","3,80 l/100km",Usados,14 100        EUR,8090626808,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8PxrCM.html,,,,,Metalizado,,,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,116,d Advantage,Diesel,Setembro,2015,168 568 km,1 496 cm3,116 cv,Utilitário,Preto,Manual,,3,5,,,Sim,,,,,,,,Usados,14 300        EUR,8090766264,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-advantage-ID8Py1U4.html,Série 1,Sim,Sim,Sim,,,24 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,SEAT,Altea,XL 1.6 TDi Reference,Diesel,Fevereiro,2011,178 000 km,1 598 cm3,90 cv,Sedan,Preto,Manual,5,5,5,,,,,Nacional,,Sim,Sim,,,Usados,8 600        EUR,8087142937,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-altea-xl-1-6-tdi-reference-ID8PiPjj.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Corsa,1.3 CDTi Dynamic,Diesel,Julho,2018,64 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,93 g/km,,,Nacional,Sim,Sim,Sim,"3,80 l/100km","3,10 l/100km",Usados,14 980        EUR,8089945082,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-dynamic-ID8PuAhc.html,,Sim,,,Metalizado,Classe 1,18 Meses,103 €,1,,Sim,,,900 km,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 mhd Passion 71,Gasolina,Março,2013,115 000 km,999 cm3,71 cv,Pequeno citadino,Azul,Automática,,2,2,,97 g/km,,19/03/2024,Nacional,,Sim,Sim,,,Usados,8 950        EUR,8089839449,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-passion-71-ID8Pu8Nr.html,,Sim,,Sim,Metalizado,Classe 1,18 Meses,,2,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Kangoo,,Diesel,Janeiro,2018,43 000 km,1 461 cm3,90 cv,Carrinha,Branco,Manual,,5,3,,,,,Nacional,,,,,,Usados,13 350        EUR,8090593639,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-ID8PxiZN.html,,Sim,Sim,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Captur,1.0 TCe Intens,Gasolina,Maio,2022,30 196 km,999 cm3,90 cv,SUV / TT,Branco,Manual,,5,,,,,,Nacional,,,,,,Usados,23 740        EUR,8090535285,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-intens-ID8Px3OB.html,,,,,Metalizado,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Nissan,Qashqai,1.6 dCi Tekna 19 Pele RS,Diesel,Junho,2017,204 477 km,1 598 cm3,130 cv,SUV / TT,Castanho,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,17 990        EUR,8090668833,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-6-dci-tekna-19-pele-rs-ID8PxCyB.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Urban,Diesel,Maio,2016,135 000 km,1 461 cm3,109 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,,Sim,,Importado,Sim,Sim,Sim,"4,60 l/100km",,Usados,20 750        EUR,8090514664,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-urban-ID8PvYs0.html,Classe CLA,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,150 €,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,Berlingo,,Diesel,Fevereiro,2021,196 500 km,1 499 cm3,102 cv,Carrinha,Preto,Manual,5,5,3,Tracção dianteira,111 g/km,,,Importado,Sim,Sim,Sim,,,Usados,18 500        EUR,8090049744,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8Pw1wi.html,,,Sim,Sim,,Classe 1,18 Meses,,1,,Sim,,,,Sim,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Fevereiro,2019,56 601 km,1 199 cm3,83 cv,Citadino,Cinzento,Manual,,5,,,,,,Nacional,,,,,,Usados,18 990        EUR,8090593762,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8Pxj1M.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Kia,Ceed,1.6 CRDi GT Line,Diesel,Maio,2016,102 797 km,1 582 cm3,136 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,,Usados,17 490        EUR,8089870422,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-1-6-crdi-gt-line-ID8PugR0.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,Freemont,2.0 M-Jet Cross,Diesel,Novembro,2012,220 000 km,1 956 cm3,170 cv,Monovolume,Branco,Manual,,5,,,,Sim,,,,,,"8,30 l/100km",,Usados,15 890        EUR,8090731223,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-freemont-2-0-m-jet-cross-ID8PxSMT.html,,Sim,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,3008,1.5 BlueHDi Allure Baixo Consumo EAT8,Diesel,Agosto,2020,94 100 km,1 499 cm3,130 cv,SUV / TT,Branco,Automática,7,5,,Tracção dianteira,100 g/km,Sim,28/08/2024,,,Sim,Sim,"4,40 l/100km",,Usados,28 750        EUR,8089427190,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-baixo-consumo-eat8-ID8Pspy6.html,,,Sim,Sim,Pérola,Classe 1,18 Meses,145 €,,,,,,1 100 km,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Dezembro,2015,79 695 km,1 199 cm3,110 cv,Citadino,Cinzento,Manual,,5,,,,,,Nacional,,,,,,Usados,16 490        EUR,8090593742,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8Pxj1s.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C5 Aircross,1.5 BlueHDi Feel Pack,Diesel,Março,2021,107 002 km,1 499 cm3,130 cv,Citadino,Preto,Manual,,5,,,,,,Nacional,,,,,,Usados,29 490        EUR,8090012931,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-feel-pack-ID8PuRWx.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,218,i Advantage Auto,Gasolina,Dezembro,2017,72 901 km,1 499 cm3,136 cv,Coupé,Preto,Automática,,2,,,,,,Nacional,,,,,,Usados,27 400        EUR,8090593648,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-218-i-advantage-auto-ID8PxiZV.html,Série 2,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,216 Active Tourer,d,Diesel,Abril,2017,58 774 km,1 496 cm3,116 cv,SUV / TT,Cinzento,Manual,,5,,,,,,Nacional,,,,,,Usados,22 490        EUR,8090593609,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-ID8PxiZj.html,Série 2,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,One,D,Diesel,Março,2017,73 296 km,1 496 cm3,95 cv,Citadino,Preto,Manual,,5,,,,,,Nacional,,,,,,Usados,19 490        EUR,8090593592,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8PxiZ2.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Mégane,1.2 TCE Intens,Gasolina,Outubro,2017,37 836 km,1 197 cm3,130 cv,Utilitário,Preto,Manual,6,5,5,,,,,,Sim,Sim,Sim,,,Usados,17 900        EUR,8090691280,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-2-tce-intens-ID8PxIoE.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,"5,10 l/100km",,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Volvo,V40,2.0 D3 R-Design Momentum,Diesel,Agosto,2019,80 883 km,1 969 cm3,150 cv,Citadino,Cinzento,Manual,,5,,,,,,Nacional,,,,,,Usados,25 490        EUR,8090593575,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-r-design-momentum-ID8PxiYL.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Julho,2022,24 157 km,1 199 cm3,75 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,,Usados,19 200        EUR,8090593565,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PxiYB.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Suzuki,Vitara,1.6 DDiS Special Edition 4WD,Diesel,Setembro,2017,235 km,1 598 cm3,120 cv,SUV / TT,Cinzento,Manual,6,5,5,Integral,111 g/km,,,,,,,"4,70 l/100km",4 l/100km,Usados,15 850        EUR,8090715971,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/suzuki-vitara-1-6-ddis-special-edition-4wd-ID8PxOOT.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
