Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Condição,Preco,ID Anuncio,Data Anuncio,Link,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,VIN,Não fumador,Consumo Combinado,IUC,Bateria,Sub-modelo,Garantia de Fábrica até,Autonomia Máxima,Autonomia,Consumo,Capacidade da bateria,ou até,Site,Portugal,Data
Profissional,Kia,Rio,,Diesel,Junho,2014,237 000 km,1 120 cm3,75 cv,,,Sim,Utilitário,Branco,,Manual,6,3,2,Classe 1,,94 g/km,36 Meses,1,Nacional,,Usados,5 900,8092105144,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-ID8PDEcU.html,10 Junho 2024,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C1,1.0 VTi Feel ETG,Gasolina,Março,2019,77 300 km,998 cm3,72 cv,Sim,,Sim,Citadino,Cinzento,Metalizado,Automática,5,5,4,Classe 1,Tracção dianteira,115 g/km,18 Meses,,Nacional,,Usados,11 900,8092033753,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-etg-ID8PDlDr.html,,Sim,"4,90 l/100km","3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,,Híbrido (Gasolina),Abril,2022,57 639 km,1 242 cm3,69 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,6,3,4,Classe 1,,,18 Meses,1,Nacional,Sim,Usados,13 950,8091884454,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-ID8PCINo.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,1.0 TCe Exclusive,Gasolina,Novembro,2019,99 741 km,999 cm3,100 cv,,,,Citadino,Vermelho,,Manual,5,5,5,Classe 1,Tracção dianteira,119 g/km,18 Meses,,,Sim,Usados,12 299,8091910484,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-exclusive-ID8PCPze.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,Panda,1.0 Hybrid City Life,Gasolina,Setembro,2022,21 342 km,999 cm3,70 cv,Sim,,Sim,Citadino,Branco,,Manual,6,5,,Classe 1,Tracção dianteira,111 g/km,18 Meses,1,Nacional,Sim,Usados,12 980,8090997812,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-life-ID8Pz08I.html,,Sim,"4,70 l/100km","3,50 l/100km",,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Julho,2019,88 505 km,1 199 cm3,82 cv,Sim,,Sim,Utilitário,Preto,Metalizado,Manual,,5,5,,,,18 Meses,,,,Usados,12 489,8091833815,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PCwCD.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,SEAT,Leon,1.6 TDI Style DSG,Diesel,Abril,2014,162 956 km,1 598 cm3,105 cv,Sim,,Sim,Utilitário,Branco,,Automática,6,5,5,Classe 1,Tracção dianteira,,18 Meses,2,Importado,,Usados,13 950,8091833793,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-6-tdi-style-dsg-ID8PCwCh.html,9 Abril 2024,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.0 Hybrid Club,Gasolina,Junho,2022,34 105 km,999 cm3,70 cv,Sim,,,Utilitário,Cinzento,,Manual,,3,4,,,,18 Meses,,Nacional,,Usados,14 400,8090966741,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-club-ID8PyS3z.html,,,,,Mostrar VIN,,"4,60 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,1.5 dCi Dynamique S,Diesel,Outubro,2015,133 376 km,1 461 cm3,75 cv,,,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,,,18 Meses,1,,,Usados,10 950,8091833816,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-dynamique-s-ID8PCwCE.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Skoda,Fabia Break,1.0 TSI Active Plus,Gasolina,Maio,2018,77 902 km,999 cm3,95 cv,,,,Carrinha,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,101 g/km,36 Meses,,,,Usados,11 900,8091624078,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-0-tsi-active-plus-ID8PBD3M.html,,,"5,10 l/100km","3,80 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Novembro,2019,94 025 km,1 461 cm3,90 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,82 g/km,18 Meses,1,Nacional,Sim,Usados,14 990,8092098176,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-edition-ID8PDCov.html,21 Novembro 2025,Sim,"3,30 l/100km","3,10 l/100km",Mostrar VIN,Sim,,"156,21 €",,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Smart,ForTwo Coupé,1.0 71 Aut.,Gasolina,Dezembro,2015,57 334 km,999 cm3,71 cv,,,,Pequeno citadino,Preto,,Automática,6,3,2,Classe 1,Tracção traseira,136 g/km,,,,,Usados,11 500,8092066020,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-71-aut-ID8PDu1S.html,,,"5,40 l/100km","4,50 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.2 Dolcevita,Gasolina,Dezembro,2022,53 000 km,1 242 cm3,69 cv,,Sim,Sim,Citadino,Vermelho,,Manual,6,3,4,Classe 1,Tracção dianteira,106 g/km,18 Meses,1,Nacional,Sim,Usados,13 950,8092032297,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-dolcevita-ID8PDlfX.html,,Sim,,,Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Renault,Twingo,SCe 70 Dynamique,Gasolina,Março,2017,72 000 km,999 cm3,71 cv,,,,Citadino,Azul,,Manual,5,5,4,,Tracção traseira,105 g/km,,,,,Usados,7 950,8091673444,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-sce-70-dynamique-ID8PBPU0.html,,,"5,90 l/100km",4 l/100km,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Ford,Focus SW,1.0 EcoBoost Business,Gasolina,Fevereiro,2018,169 536 km,998 cm3,100 cv,,,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,18 Meses,1,,,Usados,9 990,8092127221,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-business-ID8PDJVZ.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Limited,Diesel,Março,2019,108 173 km,1 461 cm3,115 cv,,,Sim,Carrinha,Preto,,Manual,,5,5,Classe 1,,,18 Meses,1,Nacional,,Usados,13 750,8092127220,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-limited-ID8PDJVY.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
