Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Inspecção válida até,Registo(s),Origem,Não fumador,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Classe do veículo,Livro de Revisões completo,2º Chave,IVA Discriminado,IVA dedutível,Autonomia Máxima,Consumo Combinado,Autonomia,Capacidade da bateria,Bateria,IUC,Filtro de partículas,Clássico,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Valor sem ISV,Site,Portugal
Particular,Mercedes-Benz,C 200,CDi Avantgarde BE,Diesel,Março,2013,179 000 km,2 143 cm3,136 cv,,Carrinha,Preto,Metalizado,Manual,6,5,5,Tracção traseira,133 g/km,08/03/2024,2,Nacional,Sim,6 l/100km,"4,10 l/100km",Usados,14 950        EUR,8089898382,13 Julho 2023,,,,,Sim,Sim,,,,,,,,,,,Classe C,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Easy,Diesel,Março,2019,239 000 km,1 248 cm3,95 cv,,Carrinha,Cinzento,,Manual,,5,5,,,,1,Nacional,Sim,,,Usados,11 450        EUR,8089936454,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,,,Sim,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Easy,Diesel,Março,2019,229 000 km,1 248 cm3,95 cv,,Carrinha,Cinzento,,Manual,,5,5,,,,1,Nacional,Sim,,,Usados,11 450        EUR,8089936451,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,,,,Sim,,,,,,,Sim,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Dezembro,2018,167 950 km,1 461 cm3,90 cv,Sim,Utilitário,Branco,,Manual,,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,11 790        EUR,8089333928,13 Julho 2023,,Sim,18 Meses,,Sim,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,1.5 DCi Acenta S/S,Diesel,Junho,2017,135 703 km,1 461 cm3,90 cv,Sim,Utilitário,Branco,,Manual,,5,5,Tracção dianteira,85 g/km,,1,Nacional,Sim,,,Usados,13 990        EUR,8089336736,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,108 690 km,1 248 cm3,95 cv,Sim,Utilitário,Branco,,Manual,,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,13 790        EUR,8089337368,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,dCi 90 EDC Dynamique,Diesel,Dezembro,2017,140 000 km,1 461 cm3,90 cv,Sim,Carrinha,Branco,Metalizado,Automática,6,5,5,Tracção dianteira,92 g/km,30/12/2023,1,Importado,,"4,30 l/100km",,Usados,13 900        EUR,8089429478,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,Sim,Sim,,,,,,145 €,Sim,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,186 706 km,1 248 cm3,95 cv,Sim,Utilitário,Preto,,Manual,,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,11 490        EUR,8088678968,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Novembro,2018,94 500 km,1 248 cm3,95 cv,Sim,Carrinha,Branco,,Manual,,5,5,,99 g/km,,,Nacional,,"5,30 l/100km","3,50 l/100km",Usados,14 990        EUR,8089936461,13 Julho 2023,,,36 Meses,,,,,,,"4,20 l/100km",,,,,,,,13/07/2026,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Fevereiro,2018,220 430 km,1 598 cm3,115 cv,Sim,Carrinha,Preto,,Manual,,5,5,Tracção dianteira,104 g/km,,1,Nacional,Sim,,,Usados,13 790        EUR,8089333923,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Junho,2018,152 026 km,1 499 cm3,120 cv,Sim,Carrinha,Branco,,Manual,,5,5,Tracção dianteira,,,1,Nacional,Sim,,,Usados,13 990        EUR,8087596948,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Dezembro,2015,279 048 km,1 461 cm3,90 cv,Sim,Utilitário,Branco,,Manual,,5,5,Tracção dianteira,82 g/km,,1,Nacional,Sim,,,Usados,7 890        EUR,8089337017,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge,Gasolina,Janeiro,2015,64 000 km,1 242 cm3,69 cv,,Citadino,Cinzento,,Manual,,3,4,,117 g/km,01/01/2024,,,,,,Usados,11 997        EUR,8089781120,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,,,,"108,32 €",,,,,,,,StandVirtual,Yes
Particular,Opel,Astra,1.3 CDTi Executive Start/Stop,Diesel,Junho,2015,85 000 km,1 248 cm3,95 cv,,Utilitário,Preto,,Manual,,5,5,Tracção dianteira,,,,,Sim,"4,90 l/100km",,Usados,10 000        EUR,8088709284,13 Julho 2023,,,,Classe 1,,Sim,,,850 km,,,,,,Sim,,,,,,,StandVirtual,Yes
Particular,Audi,A3 Sportback,1.6 TDI Attraction Business Line,Diesel,Junho,2011,200 000 km,1 598 cm3,105 cv,,Utilitário,Cinzento,,Manual,5,5,5,Tracção dianteira,112 g/km,,,Nacional,Sim,"5,10 l/100km","3,80 l/100km",Usados,10 199        EUR,8089903275,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
