Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Origem,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Classe do veículo,Tracção,Registo(s),2º Chave,Inspecção válida até,Não fumador,Livro de Revisões completo,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,BMW,X3,18 d sDrive Auto,Diesel,Abril,2019,93 000 km,1 995 cm3,150 cv,,SUV / TT,Cinzento,Automática,5,5,145 g/km,18 Meses,,,,,Usados,,31 750,8091685451,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-18-d-sdrive-auto-ID8PBT1F.html,,,,8,,Tracção traseira,1,Sim,,Sim,Sim,Série X,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Cupra,Formentor,2.0 TDI Plus,Diesel,Setembro,2022,50 544 km,1 968 cm3,150 cv,Sim,SUV / TT,Preto,Manual,5,5,,18 Meses,Nacional,,,,Usados,Mostrar VIN,31 990,8092085534,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/cupra-formentor-2-0-tdi-plus-ID8PDz6C.html,Sim,Sim,,6,,Tracção dianteira,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C5 Aircross,1.6 Hybrid Feel Business (TA) e-EAT8,Híbrido Plug-In,Março,2021,31 703 km,1 598 cm3,225 cv,,SUV / TT,Cinzento,Automática,5,5,28 g/km,36 Meses,Nacional,,,,Usados,Mostrar VIN,32 800,8091215013,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-6-hybrid-feel-business-ta-e-eat8-ID8PzUDX.html,Sim,Sim,Metalizado,8,Classe 1,Tracção dianteira,1,Sim,30 Março 2025,Sim,Sim,,,,,,55 km,,,,StandVirtual,Yes,2024-04-01
Particular,BMW,218 Active Tourer,d Pack M Auto,Diesel,Abril,2022,37 500 km,1 995 cm3,150 cv,,Monovolume,Cinzento,Automática,5,5,126 g/km,,,,,,Usados,Mostrar VIN,41 900,8091920119,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-218-active-tourer-d-pack-m-auto-ID8PCS4D.html,,,Metalizado,7,Classe 1,Tracção dianteira,1,Sim,,Sim,Sim,Série 2,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido Plug-In,Janeiro,2020,58 292 km,1 395 cm3,218 cv,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,Nacional,,,3 l/100km,Usados,,32 900,8091875338,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PCGqm.html,Sim,Sim,Metalizado,,,Integral,1,Sim,15 Janeiro 2026,Sim,Sim,,,,,,55 km,,,,StandVirtual,Yes,2024-04-01
Profissional,Volvo,V60,2.0 D4 Inscription Geartronic,Diesel,Fevereiro,2020,86 500 km,1 969 cm3,190 cv,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,Nacional,,,,Usados,,34 500,8091876994,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-d4-inscription-geartronic-ID8PCGR4.html,,Sim,Metalizado,,Classe 1,Tracção dianteira,1,Sim,27 Fevereiro 2026,Sim,Sim,,,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Jaguar,I-Pace,S AWD Aut.,Eléctrico,Outubro,2019,60 101 km,,400 cv,,SUV / TT,Cinzento,Automática,5,5,,,Nacional,,,,Usados,Mostrar VIN,37 990,8091904711,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-s-awd-aut-ID8PCO47.html,,,Metalizado,1,Classe 1,Integral,1,Sim,,Sim,Sim,,415 km,22 kWh/100km,,Própria,,,,,StandVirtual,Yes,2024-04-01
Profissional,Ford,Kuga,2.5 PHEV ST-Line X,Híbrido Plug-In,Julho,2023,3 500 km,2 488 cm3,225 cv,,SUV / TT,Branco,Automática,5,5,22 g/km,36 Meses,Nacional,,,,Novos,Mostrar VIN,38 900,8091805586,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-kuga-2-5-phev-st-line-x-ID8PCohk.html,Sim,Sim,,1,,Tracção dianteira,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Volvo,V60,2.0 T6 AWD TE Inscription Expression,Híbrido Plug-In,Novembro,2021,24 907 km,1 969 cm3,340 cv,Sim,Carrinha,Azul,Automática,5,5,41 g/km,18 Meses,Nacional,,,,Usados,,37 200,8092049490,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-t6-awd-te-inscription-expression-ID8PDpJg.html,Sim,Sim,Metalizado,8,Classe 1,Integral,1,Sim,,Sim,Sim,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,BMW,X3,18 d sDrive Advantage,Diesel,Novembro,2018,78 000 km,1 995 cm3,150 cv,,SUV / TT,Cinzento,Manual,5,5,,18 Meses,Nacional,,,,Usados,,31 750,8091623787,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x3-18-d-sdrive-advantage-ID8PBCZ5.html,Sim,Sim,Metalizado,6,,Tracção traseira,1,Sim,,Sim,Sim,Série X,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Jaguar,E-Pace,2.0 i4D R-Dynamic,Diesel,Agosto,2019,59 000 km,1 999 cm3,150 cv,Sim,SUV / TT,Branco,Manual,5,5,,18 Meses,Nacional,,,,Usados,,35 900,8091236286,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-e-pace-2-0-i4d-r-dynamic-ID8PA0b4.html,,Sim,,6,Classe 1,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Alfa Romeo,Stelvio,2.2 D Super AT8,Diesel,Agosto,2019,81 000 km,2 143 cm3,190 cv,Sim,SUV / TT,Cinzento,Automática,5,5,146 g/km,18 Meses,Nacional,"6,10 l/100km","4,80 l/100km",,Usados,Mostrar VIN,32 450,8089849254,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-stelvio-2-2-d-super-at8-ID8PublA.html,,Sim,,8,Classe 1,Tracção traseira,,Sim,,Sim,Sim,,,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Volvo,V60 Cross Country,2.0 D4 Geartronic,Diesel,Fevereiro,2020,94 750 km,1 969 cm3,190 cv,,Carrinha,Prateado,Automática,5,,157 g/km,,,"7,40 l/100km",5 l/100km,,Usados,,36 750,8090304872,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v60-cross-country-2-0-d4-geartronic-ID8Pv5Sg.html,,,,8,,Integral,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Jaguar,I-Pace,EV400 AWD R-DYNAMIC SE,Eléctrico,Novembro,2018,55 000 km,,400 cv,,SUV / TT,Preto,Automática,5,5,,,,,,,Usados,,39 900,8092033880,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-ev400-awd-r-dynamic-se-ID8PDlFu.html,,,Metalizado,1,,Integral,1,,,,,,400 km,,,Própria,400 km,,,,StandVirtual,Yes,2024-04-01
Particular,Audi,A6 Avant,40 TDI Sport S tronic,Diesel,Junho,2019,88 000 km,1 968 cm3,204 cv,Sim,Carrinha,Preto,Automática,5,,147 g/km,,,"5,30 l/100km",4 l/100km,,Usados,,35 750,8090438512,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a6-avant-40-tdi-sport-s-tronic-ID8PvEDK.html,,,,7,,Tracção dianteira,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack,Diesel,Janeiro,2022,35 000 km,1 499 cm3,130 cv,Sim,Monovolume,Preto,Manual,5,7,,36 Meses,Nacional,,,,Usados,,33 450,8091987583,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-ID8PD9CL.html,,Sim,,6,Classe 1,,,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
