Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Fiat,500,1.0 Hybrid Club,Gasolina,Junho,2022,34 105 km,999 cm3,70 cv,Utilitário,Cinzento,Manual,,3,4,,,,,Nacional,,,,,Usados,Mostrar VIN,13 250,8090966741,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-club-ID8PyS3z.html,Sim,18 Meses,,,,,,,,,,,,,"4,60 l/100km",,,StandVirtual,Yes,2024-04-14
Particular,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Fevereiro,2017,90 000 km,998 cm3,80 cv,Citadino,Preto,Manual,5,5,,Classe 1,Tracção dianteira,99 g/km,,,,,"5,10 l/100km","3,80 l/100km",Usados,,11 500,8092200340,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8PE2Yk.html,,,,,,,,,,,,"108,32 €",,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,5008,1.6 BlueHDi Style EAT6,Diesel,Abril,2016,110 850 km,1 560 cm3,120 cv,Monovolume,Cinzento,Automática,,5,7,,Tracção dianteira,,,,,,,,Usados,,14 990,8091468296,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-style-eat6-ID8PAYxa.html,,18 Meses,Sim,,,1 Abril 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.4 HDi Airdream Attraction,Diesel,Junho,2014,100 000 km,1 398 cm3,70 cv,Utilitário,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,,,Nacional,,,,,Usados,,9 500,8091996669,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-4-hdi-airdream-attraction-ID8PDbZj.html,,18 Meses,Sim,,,25 Junho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,Ami,Standard,Eléctrico,Março,2022,16 780 km,,8 cv,Citadino,Azul,Automática,,2,2,,,,,Nacional,,,,,Usados,Mostrar VIN,7 990,8091862215,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-ami-standard-ID8PCD0H.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Twingo,,Gasolina,Junho,2017,63 600 km,999 cm3,70 cv,Citadino,Branco,Manual,,5,4,,,95 g/km,,,,,,,Usados,Mostrar VIN,10 900,8090545165,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8Px6nX.html,Sim,36 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Mercedes-Benz,B 180,CDi BlueEfficiency,Diesel,Junho,2014,138 009 km,1 461 cm3,109 cv,Carrinha,Roxo,Manual,6,5,5,Classe 1,Tracção dianteira,,2,Importado,Sim,Sim,,,Usados,,14 950,8092092062,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-b-180-cdi-blueefficiency-ID8PDANU.html,Sim,18 Meses,Sim,,,26 Junho 2024,,,,,,,,Classe B,,,,StandVirtual,Yes,2024-04-14
Profissional,Smart,ForFour,EQ Business Solution,Eléctrico,Maio,2019,13 287 km,,82 cv,Citadino,Preto,Automática,,5,4,,Tracção dianteira,,,Importado,,,,,Usados,,12 950,8091802516,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-eq-business-solution-ID8PCntO.html,,18 Meses,Sim,,,1 Maio 2025,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500C,0.9 TwinAir Collezione,Gasolina,Julho,2018,65 000 km,875 cm3,85 cv,Cabrio,Azul,Manual,5,2,4,Classe 1,Tracção dianteira,88 g/km,,Importado,Sim,Sim,,,Usados,,13 499,8091219180,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-twinair-collezione-ID8PzWJa.html,,18 Meses,Sim,Metalizado,Sim,1 Julho 2024,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Particular,Nissan,Juke,1.2 DIG-T Acenta,Gasolina,Novembro,2016,144 000 km,1 197 cm3,115 cv,SUV / TT,Vermelho,Manual,6,5,5,,Tracção dianteira,128 g/km,,,,Sim,"7,10 l/100km","4,90 l/100km",Usados,Mostrar VIN,10 900,8091957894,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-acenta-ID8PD1TU.html,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
