Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,Opel,Corsa,1.2 Dynamic,Gasolina,Janeiro,2017,61 200 km,1 229 cm3,70 cv,Utilitário,Preto,Manual,5,5,5,,Tracção dianteira,131 g/km,1,Nacional,,,"7,30 l/100km","4,80 l/100km",Usados,Mostrar VIN,8 950,8092199401,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-dynamic-ID8PE2Jb.html,Sim,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Setembro,2017,77 540 km,898 cm3,90 cv,SUV / TT,Azul,Automática,,5,5,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,14 900,8091815699,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-sl-stepway-of-life-easy-r-ID8PCqUr.html,,18 Meses,Sim,Metalizado,Sim,9 Setembro 2025,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,VW,Polo,1.4 TDi Lounge,Diesel,Abril,2016,198 000 km,1 422 cm3,90 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Nacional,,Sim,,,Usados,,12 900,8091259363,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-lounge-ID8PA6bh.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,BMW,116,d EDynamics Line Sport,Diesel,Maio,2016,150 000 km,1 496 cm3,116 cv,Utilitário,Cinzento,Manual,,5,,,,,,,,,"3,90 l/100km",,Usados,,14 900,8092001785,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8PDdjP.html,,,,Metalizado,,,,,,,,,,Série 1,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,Pure Tech Exclusive,Gasolina,Novembro,2014,134 000 km,1 199 cm3,82 cv,Citadino,Preto,Manual,,5,,,,,,,,Sim,"5,60 l/100km",,Usados,,8 790,8091612879,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-pure-tech-exclusive-ID8PBA99.html,,18 Meses,Sim,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Captur,TCe 120 EDC Luxe,Gasolina,Fevereiro,2015,129 000 km,1 197 cm3,120 cv,Utilitário,Cinzento,Automática,,5,,,,,1,,,,"7,30 l/100km",,Usados,,12 500,8091869138,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-tce-120-edc-luxe-ID8PCEOm.html,,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Ford,Focus SW,1.0 EcoBoost Business,Gasolina,Março,2020,40 200 km,998 cm3,100 cv,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,123 g/km,1,,Sim,Sim,,,Usados,Mostrar VIN,14 999,8091869356,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-business-ID8PCERS.html,Sim,,,Metalizado,Sim,16 Fevereiro 2026,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Smart,ForTwo Coupé,Electric Drive Perfect,Eléctrico,Abril,2021,21 000 km,,82 cv,Pequeno citadino,Branco,Automática,1,3,2,Classe 1,Tracção traseira,,,,,,,,Usados,,13 900,8091021219,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-perfect-ID8Pz6ef.html,,,,,Sim,,130 km,,,Própria,,,130 km,,,,,StandVirtual,Yes,2024-04-14
Particular,VW,Up!,1.0 BlueMotion Move,Gasolina,Julho,2014,120 000 km,999 cm3,75 cv,Citadino,Branco,Manual,,5,,,,,,,,Sim,"5,10 l/100km",,Usados,,6 400,8092181636,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bluemotion-move-ID8PDY6E.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Skoda,Octavia,1.6 TDI Ambition,Diesel,Março,2019,220 000 km,1 598 cm3,115 cv,Sedan,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,127 g/km,,Nacional,,,,,Usados,Mostrar VIN,9 750,8092134240,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-octavia-1-6-tdi-ambition-ID8PDLMc.html,,18 Meses,Sim,,,30 Março 2025,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.4 D-4D Comfort+Navi,Diesel,Julho,2014,128 604 km,1 364 cm3,90 cv,Citadino,Branco,Manual,,5,5,Classe 1,,,,,,Sim,,,Usados,,11 990,8091958624,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-4-d-4d-comfort-navi-ID8PD25G.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,7 060 km,999 cm3,70 cv,Citadino,Cinzento,Manual,5,3,4,Classe 1,Tracção dianteira,,1,,Sim,Sim,,,Usados,,14 900,8091885282,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCJ0K.html,Sim,18 Meses,Sim,,Sim,3 Fevereiro 2026,,,,,,,,,4 l/100km,,,StandVirtual,Yes,2024-04-14
Profissional,Opel,Astra,1.0 Dynamic S/S,Gasolina,Junho,2019,102 209 km,999 cm3,105 cv,Utilitário,Cinzento,Manual,,5,5,Classe 1,,,,Nacional,,Sim,,,Usados,,13 990,8092091558,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-dynamic-s-s-ID8PDAFM.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Opel,Astra,1.6 CDTI Active,Diesel,Março,2019,109 569 km,1 598 cm3,110 cv,Carrinha,Azul,Manual,6,5,5,,Tracção dianteira,95 g/km,,,,Sim,"4,20 l/100km","3,30 l/100km",Usados,,12 950,8091220432,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-active-ID8PzV3m.html,,,,Metalizado,Sim,29 Março 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Março,2015,210 000 km,1 560 cm3,120 cv,Carrinha,Outra,Manual,6,5,5,Classe 1,Tracção dianteira,108 g/km,,,,,"4,50 l/100km","3,90 l/100km",Usados,Mostrar VIN,9 900,8092200287,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PE2Xt.html,,36 Meses,,Metalizado,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3 Aircross,1.2 PureTech Shine,Gasolina,Julho,2018,74 503 km,1 199 cm3,110 cv,SUV / TT,Branco,Manual,5,5,5,,,112 g/km,,Importado,,,,,Usados,Mostrar VIN,14 500,8092200286,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-shine-ID8PE2Xs.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Março,2021,76 574 km,998 cm3,68 cv,Citadino,Cinzento,Manual,5,5,,,Tracção dianteira,95 g/km,,,,,5 l/100km,"3,60 l/100km",Usados,Mostrar VIN,13 590,8090986234,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PyX7Y.html,,36 Meses,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,Tipo,1.3 M-Jet Street,Diesel,Julho,2020,84 282 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,5,5,5,,Tracção dianteira,121 g/km,,,,,"5,30 l/100km","3,60 l/100km",Usados,Mostrar VIN,14 500,8090860886,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-street-ID8Pyqve.html,,36 Meses,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Volvo,V40,2.0 D2 Kinetic Eco,Diesel,Novembro,2015,200 000 km,1 969 cm3,120 cv,Utilitário,Branco,Manual,6,5,5,,Tracção dianteira,89 g/km,,Nacional,,,"3,70 l/100km","3,20 l/100km",Usados,Mostrar VIN,13 550,8091987478,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-kinetic-eco-ID8PD9B4.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Skoda,Octavia Break,1.6 TDI Ambition DSG,Diesel,Setembro,2017,201 300 km,1 598 cm3,115 cv,Carrinha,Cinzento,Automática,,5,5,,,,,Nacional,Sim,Sim,,,Usados,,13 790,8087581773,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-ambition-dsg-ID8PkFtj.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Março,2022,41 477 km,1 199 cm3,83 cv,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,97 g/km,,Nacional,,,,,Usados,,14 750,8092200283,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-c-series-ID8PE2Xp.html,Sim,36 Meses,Sim,Metalizado,Sim,,,,,,,,,,,1 Janeiro 0001,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,308,1.2 PureTech Style,Gasolina,Abril,2017,69 500 km,1 199 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,95 g/km,,,Sim,Sim,"5,30 l/100km","3,90 l/100km",Usados,Mostrar VIN,13 950,8092274088,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-style-ID8PEm9O.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,1.5 Blue dCi Exclusive,Diesel,Fevereiro,2020,130 000 km,1 461 cm3,115 cv,Citadino,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,,Nacional,,Sim,,,Usados,,14 875,8091958256,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-exclusive-ID8PD1ZK.html,,18 Meses,,Pérola,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500,0.9 TwinAir S&S Sport,Gasolina,Setembro,2017,75 546 km,875 cm3,85 cv,Citadino,Branco,Manual,5,3,,Classe 1,Tracção dianteira,95 g/km,1,,Sim,Sim,"4,90 l/100km","3,70 l/100km",Usados,Mostrar VIN,12 250,8090729062,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-twinair-s-s-sport-ID8PxSe2.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure,Diesel,Fevereiro,2019,194 792 km,1 499 cm3,130 cv,Carrinha,Cinzento,Manual,,5,5,,,,,Nacional,Sim,Sim,,,Usados,,14 890,8091014779,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-ID8Pz4yn.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,SEAT,Ateca,1.0 TSI Style,Gasolina,Julho,2022,17 515 km,999 cm3,110 cv,SUV / TT,Cinzento,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,25 890,8092098396,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-0-tsi-style-ID8PDCs4.html,Sim,18 Meses,,,,,,,,,,,,,"6,10 l/100km",,,StandVirtual,Yes,2024-04-14
Particular,Hyundai,i30,1.4 T-GDi N-Line 7DCT,Gasolina,Novembro,2018,90 000 km,1 353 cm3,140 cv,Utilitário,Branco,Automática,7,5,5,Classe 1,Tracção dianteira,144 g/km,,,Sim,Sim,"6,70 l/100km","5,20 l/100km",Usados,,20 500,8090818675,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i30-1-4-t-gdi-n-line-7dct-ID8Pyfxp.html,,,,Pérola,Sim,,,,,,,"180,34 €",,,,16 Agosto 2024,,StandVirtual,Yes,2024-04-14
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Julho,2022,36 967 km,999 cm3,110 cv,SUV / TT,Cinzento,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,18 750,8092112228,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-fr-ID8PDG3a.html,Sim,18 Meses,,,,,,,,,,,,,"5,30 l/100km",,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Aygo X,1.0 Play,Gasolina,Maio,2022,33 217 km,998 cm3,72 cv,Citadino,Cinzento,Manual,,5,,,,108 g/km,,Nacional,,,,,Usados,Mostrar VIN,17 500,8092156848,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-x-1-0-play-ID8PDREQ.html,Sim,97 Meses,Sim,,,,,,,,,,,,,29 Maio 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Janeiro,2023,16 745 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,19 500,8092156857,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREZ.html,Sim,36 Meses,Sim,,,,,,,,,,,,,5 Fevereiro 2024,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Aygo X,1.0 Play,Gasolina,Janeiro,2023,8 148 km,998 cm3,72 cv,Utilitário,Cinzento,Manual,,5,,,,108 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 790,8092156852,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-x-1-0-play-ID8PDREU.html,Sim,104 Meses,Sim,,,,,,,,,,,,,12 Janeiro 2033,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,34 836 km,998 cm3,72 cv,Citadino,Azul,Manual,,5,,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156861,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRF3.html,Sim,96 Meses,Sim,,,,,,,,,,,,,21 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Maio,2022,21 353 km,998 cm3,72 cv,Citadino,Cinzento,Manual,,5,,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156849,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRER.html,Sim,36 Meses,Sim,,,,,,,,,,,,,19 Dezembro 2023,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,26 288 km,998 cm3,72 cv,Citadino,Cinzento,Manual,,5,5,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156860,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRF2.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.5 HDF Comfort Plus,Híbrido (Gasolina),Junho,2022,47 612 km,1 490 cm3,115 cv,Citadino,Cinzento,Automática,,5,5,,,88 g/km,,Nacional,,,,,Usados,Mostrar VIN,24 500,8092156856,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-hdf-comfort-plus-ID8PDREY.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.5 HDF Comfort Plus,Híbrido (Gasolina),Abril,2022,32 402 km,1 490 cm3,115 cv,Citadino,Branco,Automática,,5,,,,88 g/km,,Nacional,,,,,Usados,Mostrar VIN,23 990,8092156840,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-5-hdf-comfort-plus-ID8PDREI.html,Sim,60 Meses,Sim,,,,,,,,,,,,,28 Abril 2029,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,45 208 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156836,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREE.html,Sim,95 Meses,Sim,,,,,,,,,,,,,6 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,45 439 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156837,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREF.html,Sim,95 Meses,Sim,,,,,,,,,,,,,12 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,36 600 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156833,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREB.html,Sim,95 Meses,Sim,,,,,,,,,,,,,4 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,53 060 km,998 cm3,72 cv,Utilitário,Dourado,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8091920693,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PCSdT.html,Sim,60 Meses,Sim,,,,,,,,,,,,"5,60 l/100km",15 Abril 2029,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Aygo X,1.0 Play,Gasolina,Junho,2022,35 838 km,998 cm3,72 cv,Citadino,Cinzento,Manual,,5,,,,108 g/km,,Nacional,,,,,Usados,Mostrar VIN,17 500,8092156841,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-x-1-0-play-ID8PDREJ.html,Sim,36 Meses,Sim,,,,,,,,,,,,,13 Julho 2022,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,48 459 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156832,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREA.html,Sim,95 Meses,Sim,,,,,,,,,,,,,6 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Leaf,Acenta,Eléctrico,Novembro,2018,91 491 km,,150 cv,Utilitário,Cinzento,Automática,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,16 990,8091673413,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-acenta-ID8PBPTw.html,Sim,18 Meses,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Janeiro,2023,19 083 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,5,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,19 500,8092156858,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRF0.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Aygo X,1.0 Play,Gasolina,Maio,2022,14 801 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,4,,,108 g/km,,Nacional,,,,,Usados,Mostrar VIN,17 990,8092156854,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-x-1-0-play-ID8PDREV.html,Sim,97 Meses,Sim,,,,,,,,,,,,,29 Maio 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,32 407 km,998 cm3,72 cv,Citadino,Dourado,Manual,,5,,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156842,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREK.html,Sim,60 Meses,Sim,,,,,,,,,,,,,21 Abril 2029,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,35 000 km,998 cm3,72 cv,Citadino,Preto,Manual,,5,5,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156838,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREG.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,32 106 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156850,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRES.html,Sim,36 Meses,Sim,,,,,,,,,,,,,25 Janeiro 2024,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,25 378 km,998 cm3,72 cv,Citadino,Dourado,Manual,,5,5,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156847,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREP.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,33 321 km,998 cm3,72 cv,Citadino,Dourado,Manual,,5,5,,,128 g/km,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156839,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREH.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Abril,2022,39 125 km,998 cm3,72 cv,Citadino,Cinzento,Manual,,5,,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156835,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDRED.html,Sim,95 Meses,Sim,,,,,,,,,,,,,6 Abril 2032,,StandVirtual,Yes,2024-04-14
Profissional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasolina,Fevereiro,2022,25 000 km,998 cm3,72 cv,Citadino,Branco,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,18 500,8092156831,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PDREz.html,Sim,36 Meses,Sim,,,,,,,,,,,,,15 Abril 2027,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500X,1.3 MJ City Cross,Diesel,Agosto,2018,12 000 km,1 248 cm3,95 cv,Utilitário,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,126 g/km,,Nacional,Sim,Sim,"5,20 l/100km","3,50 l/100km",Usados,Mostrar VIN,19 900,8090219006,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-city-cross-ID8PwJxk.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Skoda,Scala,1.0 TSI Ambition,Gasolina,Julho,2021,47 257 km,999 cm3,110 cv,Utilitário,Preto,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,16 900,8092112219,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-ambition-ID8PDG31.html,Sim,18 Meses,,,,,,,,,,,,,"5,30 l/100km",,,StandVirtual,Yes,2024-04-14
Profissional,Skoda,Scala,1.0 TSI Ambition,Gasolina,Junho,2021,63 869 km,999 cm3,110 cv,Utilitário,Cinzento,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,16 500,8092112215,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-ambition-ID8PDG2X.html,Sim,18 Meses,,,,,,,,,,,,,"5,30 l/100km",,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta,Gasolina,Fevereiro,2023,18 988 km,999 cm3,114 cv,SUV / TT,Preto,Manual,,5,5,,,,,Nacional,,,,,Usados,Mostrar VIN,23 990,8092112199,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-ID8PDG2H.html,Sim,24 Meses,,,,,,,,,,,,,"5,80 l/100km",,,StandVirtual,Yes,2024-04-14
Profissional,MINI,Cooper,,Eléctrico,Agosto,2020,36 722 km,,184 cv,Utilitário,Prateado,Automática,,3,4,,,,,Nacional,,,,,Usados,Mostrar VIN,19 480,8092112233,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-ID8PDG3f.html,Sim,36 Meses,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
