Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Filtro de partículas,Garantia de Fábrica até,ou até,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Não fumador,Emissões CO2,Consumo Extra Urbano,Autonomia,Valor Fixo,IUC,Consumo Combinado,Sub-modelo,Autonomia Máxima,Bateria,Consumo,Capacidade da bateria,Gancho de Reboque,Clássico,Site,Portugal,Data
Profissional,Smart,ForTwo Coupé,0.9 Passion 90 Aut,Gasolina,Fevereiro,2019,95 769 km,898 cm3,90 cv,Sim,Pequeno citadino,Branco,,Automática,6,3,2,,Tracção traseira,,,,,18 Meses,,,,,5 l/100km,Usados,13 980        EUR,8090545768,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-aut-ID8Px6xG.html,,Sim,,96 g/km,"3,60 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Panda,1.0 Hybrid City Cross,Gasolina,Novembro,2021,29 000 km,999 cm3,70 cv,Sim,Citadino,Branco,Metalizado,Manual,,5,5,,,,01/01/0001,,,36 Meses,,Nacional,Sim,Sim,,Usados,13 900        EUR,8090111545,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-cross-ID8PwhA5.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Abril,2019,79 000 km,1 248 cm3,95 cv,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,13 950        EUR,8089285769,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PrOL7.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2019,70 000 km,1 248 cm3,95 cv,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,14 750        EUR,8089169141,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8Prkq1.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Peugeot,308 SW,,Diesel,Fevereiro,2018,181 000 km,1 560 cm3,120 cv,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,Sim,,,,18 Meses,2,Importado,,Sim,,Usados,12 990        EUR,8090610711,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-ID8Pxnr9.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Mégane CC,1.5 dCi GT Line SS,Diesel,Janeiro,2012,198 000 km,1 461 cm3,110 cv,Sim,Cabrio,Preto,,Manual,6,2,,,Tracção dianteira,,,,,36 Meses,,,,,"4,90 l/100km",Usados,11 990        EUR,8090576965,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-cc-1-5-dci-gt-line-ss-ID8PxeER.html,,Sim,,115 g/km,"4,20 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Abarth,595,1.4 T-Jet Custom MTA,Gasolina,Outubro,2012,141 000 km,1 368 cm3,140 cv,Sim,Citadino,Vermelho,,Automática,5,3,4,,Tracção dianteira,,,,,36 Meses,,,,,"8,40 l/100km",Usados,14 490        EUR,8090576856,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-custom-mta-ID8PxeD6.html,,Sim,,134 g/km,"5,40 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Março,2017,173 000 km,1 560 cm3,100 cv,Sim,Carrinha,Cinzento,,Manual,,5,5,,Tracção dianteira,,,,03/03/2025,18 Meses,,Nacional,,,,Usados,13 450        EUR,8090610708,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8Pxnr6.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Novembro,2017,140 000 km,1 560 cm3,100 cv,Sim,Carrinha,Preto,,Manual,,5,5,,Tracção dianteira,,,,11/11/2023,18 Meses,,Nacional,,,,Usados,14 750        EUR,8090610706,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pxnr4.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Volvo,V60,1.6 D2 Drive Momentum Start/Stop,Diesel,Junho,2012,223 242 km,1 560 cm3,115 cv,,Carrinha,Branco,,Manual,6,5,,,Tracção dianteira,,,,,36 Meses,,,,,"5,20 l/100km",Usados,10 900        EUR,8090511106,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v60-1-6-d2-drive-momentum-start-stop-ID8PvXvC.html,,,,119 g/km,"4,10 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,BMW,120,d xDrive Sport Line,Diesel,Março,2013,210 000 km,1 995 cm3,184 cv,Sim,Utilitário,Preto,Metalizado,Manual,,3,,,,Sim,,,,36 Meses,,,,,"5,90 l/100km",Usados,14 950        EUR,8090511084,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-120-d-xdrive-sport-line-ID8PvXvg.html,,Sim,,,,,,,,Série 1,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Kangoo,1.5 dCi Maxi Business S/S,Diesel,Dezembro,2016,200 447 km,1 461 cm3,90 cv,Sim,Carrinha,Branco,,Manual,,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,Sim,,Usados,14 490        EUR,8090542223,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-kangoo-1-5-dci-maxi-business-s-s-ID8Px5Cw.html,Sim,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Citroën,C5 Tourer,,Diesel,Fevereiro,2013,165 000 km,1 560 cm3,115 cv,Sim,Carrinha,Cinzento,Metalizado,Automática,,5,5,,,,,,,18 Meses,,,,,"5,20 l/100km",Usados,10 500        EUR,8089847473,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-tourer-ID8PuaSR.html,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Hyundai,i20,,Diesel,Junho,2018,60 000 km,1 120 cm3,75 cv,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,,Nacional,Sim,Sim,,Usados,14 900        EUR,8087511306,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-ID8Pkn8K.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,162 378 km,1 248 cm3,95 cv,Sim,Utilitário,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,,,Usados,12 990        EUR,8087409920,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PjVLu.html,Sim,,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Particular,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2014,120 000 km,1 199 cm3,82 cv,,Citadino,Azul,Pérola,Manual,5,5,5,,Tracção dianteira,,,,,,1,,Sim,Sim,"5,80 l/100km",Usados,8 990        EUR,8090596678,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxjMO.html,,,Sim,132 g/km,"4,20 l/100km",,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Particular,Alfa Romeo,159 Sportwagon,2.0 JTDM 16V DPF,Diesel,Dezembro,2011,230 km,1 956 cm3,136 cv,,Carrinha,Preto,,Manual,,5,,,,Sim,,,,,,,,,"6,80 l/100km",Usados,9 000        EUR,8090422385,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-159-sportwagon-2-0-jtdm-16v-dpf-ID8PvArD.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
