Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Tipo de cor,Número de Mudanças,Classe do veículo,IUC,Filtro de partículas,2º Chave,Consumo Urbano,Inspecção válida até,Consumo Extra Urbano,Sub-modelo,Consumo Combinado,Autonomia,Bateria,Autonomia Máxima,Clássico,Garantia de Fábrica até,ou até,Consumo,Capacidade da bateria,Site,Portugal
Profissional,SEAT,Ibiza,SC 1.2 12V Sport,Gasolina,Junho,2013,128 000 km,1 198 cm3,70 cv,Sim,,,Sim,Utilitário,Branco,Manual,3,5,Tracção dianteira,125 g/km,18 Meses,1,Nacional,,Sim,Usados,8 950        EUR,8090102930,30 Julho 2023,Sim,,5,Classe 1,,,Sim,"7,10 l/100km",,"4,40 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto Evo,1.3 M-Jet Dynamic,Diesel,Junho,2011,178 400 km,1 248 cm3,85 cv,,,,Sim,Citadino,Cinzento,Manual,5,5,,,18 Meses,,Nacional,,Sim,Usados,6 594        EUR,8090157002,30 Julho 2023,Sim,Metalizado,5,Classe 1,,Sim,Sim,5 l/100km,04/06/2024,4 l/100km,,"4,50 l/100km",,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Octavia Break,1.6-tdi,Diesel,Julho,2010,160 150 km,1 598 cm3,105 cv,,,,Sim,Carrinha,Cinzento,Manual,5,5,Tracção dianteira,,18 Meses,,Nacional,,Sim,Usados,7 500        EUR,8089347479,30 Julho 2023,,Metalizado,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Junho,2016,152 500 km,1 461 cm3,110 cv,,,,Sim,SUV / TT,Branco,Manual,5,5,Tracção dianteira,,18 Meses,1,,Sim,Sim,Usados,14 990        EUR,8088014585,30 Julho 2023,Sim,Pérola,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Março,2019,67 000 km,1 199 cm3,83 cv,,,,Sim,Citadino,Vermelho,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,14 990        EUR,8089869229,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge,Gasolina,Dezembro,2019,27 000 km,1 242 cm3,69 cv,Sim,,,Sim,Coupé,Preto,Manual,3,4,,,18 Meses,,,,Sim,Usados,14 250        EUR,8089951291,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C-Elysée,1.6 HDi Seduction,Diesel,Março,2013,83 300 km,1 560 cm3,92 cv,,Sim,Sim,Sim,Sedan,Preto,Manual,4,5,Tracção dianteira,108 g/km,18 Meses,1,Nacional,,,Usados,9 000        EUR,8089277554,30 Julho 2023,,Metalizado,5,Classe 1,,Sim,Sim,"4,80 l/100km",01/03/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Pack M,Diesel,Fevereiro,2012,260 000 km,1 995 cm3,143 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,,,18 Meses,,,,Sim,Usados,13 250        EUR,8089951290,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.4 TDi Connect,Diesel,Março,2017,151 000 km,1 422 cm3,90 cv,,,,Sim,Citadino,Cinzento,Manual,5,5,,,18 Meses,,,,Sim,Usados,13 990        EUR,8089797770,30 Julho 2023,Sim,,5,Classe 1,,,Sim,,01/03/2025,,,,,,,,,,,,StandVirtual,Yes
Particular,Smart,ForTwo,0.8 cdi Passion 54 Softouch,Diesel,Julho,2013,80 000 km,799 cm3,54 cv,,,,,Cabrio,Azul,Automática,2,2,Tracção traseira,87 g/km,,1,,,Sim,Usados,10 500        EUR,8089862665,30 Julho 2023,,Metalizado,5,Classe 1,,,Sim,"3,40 l/100km",01/07/2024,"3,30 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,1.6 D2 Drive R-Design Powershift Start/Stop,Diesel,Novembro,2012,219 000 km,1 560 cm3,115 cv,,,,Sim,Carrinha,Cinzento,Automática,5,5,Tracção dianteira,119 g/km,18 Meses,,,Sim,,Usados,14 990        EUR,8090103500,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,"5,10 l/100km",,"4,10 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Pulsar,1.5 dCi Visia,Diesel,Janeiro,2015,130 709 km,1 461 cm3,110 cv,Sim,,,Sim,Utilitário,Branco,Manual,5,5,,,24 Meses,2,Importado,,Sim,Usados,12 900        EUR,8089665754,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Crossland X,1.2 Innovation,Gasolina,Março,2019,63 619 km,1 199 cm3,83 cv,,,,Sim,SUV / TT,Branco,Manual,5,5,,,18 Meses,1,Nacional,,Sim,Usados,14 990        EUR,8087796052,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.5 BlueHDi Feel Business,Diesel,Junho,2019,60 000 km,1 499 cm3,102 cv,Sim,,,Sim,Sedan,Branco,Manual,5,5,,,18 Meses,,Nacional,,,Usados,14 950        EUR,8090016863,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Hyundai,ix35,1.7 CRDi VGT Comfort,Diesel,Junho,2011,156 500 km,1 685 cm3,115 cv,,,,,SUV / TT,Cinzento,Manual,5,5,Tracção dianteira,135 g/km,,2,Nacional,Sim,,Usados,12 650        EUR,8089865119,29 Julho 2023,,Metalizado,6,Classe 1,,,Sim,6 l/100km,07/06/2024,"4,80 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.2 TDI CR Ecomotive Style,Diesel,Outubro,2013,227 000 km,1 199 cm3,75 cv,,,,Sim,Citadino,Preto,Manual,5,,,,36 Meses,,,,,Usados,9 990        EUR,8089470772,26 Julho 2023,Sim,Metalizado,,,,Sim,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,108,1.0 VTi Style,Gasolina,Janeiro,2019,4 800 km,998 cm3,72 cv,,,,,Utilitário,Branco,Manual,5,4,Tracção dianteira,110 g/km,,,Nacional,Sim,Sim,Usados,14 000        EUR,8089858144,26 Julho 2023,,Metalizado,5,,,,Sim,"4,90 l/100km",,"3,60 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Passat Variant,,Diesel,Setembro,2011,217 523 km,1 598 cm3,105 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,,,24 Meses,2,,,Sim,Usados,9 900        EUR,8089673390,30 Julho 2023,Sim,,,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Julho,2018,99 000 km,1 560 cm3,75 cv,Sim,,,Sim,Citadino,Cinzento,Manual,5,5,,,18 Meses,,,,Sim,Usados,13 450        EUR,8087852206,30 Julho 2023,Sim,Metalizado,,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Janeiro,2017,47 000 km,1 461 cm3,75 cv,,,,Sim,Citadino,Branco,Manual,5,5,,,18 Meses,,,,Sim,Usados,14 990        EUR,8089341857,30 Julho 2023,Sim,,5,Classe 1,,,Sim,,01/01/2025,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Janeiro,2019,69 122 km,999 cm3,75 cv,Sim,,,Sim,Citadino,Branco,Manual,5,5,,,24 Meses,1,Nacional,,Sim,Usados,13 900        EUR,8089665772,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,1.4 D-4D ACtive,Diesel,Janeiro,2013,113 867 km,1 364 cm3,90 cv,,,,Sim,Citadino,Branco,Manual,5,5,,,18 Meses,,,,Sim,Usados,12 700        EUR,8089440885,30 Julho 2023,,Metalizado,6,Classe 1,,Sim,Sim,,01/05/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Abril,2018,66 324 km,1 199 cm3,82 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,,Usados,12 980        EUR,8088438339,30 Julho 2023,,Metalizado,5,Classe 1,104 €,,Sim,"5,50 l/100km",01/04/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Urban Cruiser,1.33 VVT-i,Gasolina,Maio,2012,95 956 km,1 329 cm3,99 cv,Sim,,,Sim,Citadino,Prateado,Manual,5,5,,,24 Meses,1,Nacional,,,Usados,10 900        EUR,8089626304,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Novembro,2017,94 000 km,1 598 cm3,110 cv,,,,Sim,Carrinha,Preto,Manual,5,5,,,18 Meses,,,,Sim,Usados,14 990        EUR,8089232768,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,01/11/2023,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.1 Ti-VCT Business,Gasolina,Maio,2018,143 000 km,1 084 cm3,85 cv,Sim,,,Sim,Citadino,Branco,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,,,Usados,11 950        EUR,8089911229,30 Julho 2023,Sim,,5,Classe 1,,,Sim,"6,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
