Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Tipo de cor,Número de Mudanças,Classe do veículo,IUC,Filtro de partículas,2º Chave,Consumo Urbano,Inspecção válida até,Consumo Extra Urbano,Sub-modelo,Consumo Combinado,Autonomia,Bateria,Autonomia Máxima,Clássico,Garantia de Fábrica até,ou até,Consumo,Capacidade da bateria,Site,Portugal
Profissional,MINI,One,,Diesel,Agosto,2016,144 000 km,1 496 cm3,95 cv,,,,Sim,Citadino,Vermelho,Manual,5,5,,,18 Meses,,,,Sim,Usados,14 990        EUR,8089894240,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,01/08/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Fabia,1.9 TDi Sport,Diesel,Dezembro,2010,132 779 km,1 896 cm3,105 cv,,,,,Utilitário,Castanho,Manual,5,5,,,18 Meses,,Importado,Sim,Sim,Usados,9 000        EUR,8087194819,30 Julho 2023,,Metalizado,5,,,,Sim,"6,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,,Gasolina,Abril,2015,125 000 km,1 199 cm3,82 cv,,,,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,,,,Sim,Usados,12 890        EUR,8089232295,30 Julho 2023,Sim,,5,Classe 1,,,Sim,,01/04/2024,,,,,,,,,,,,StandVirtual,Yes
Particular,Honda,Civic Tourer,1.6-i-dtec-(fk3),Diesel,Janeiro,2016,130 000 km,1 597 cm3,120 cv,,,,,Carrinha,Preto,Manual,5,5,,,,,,,,Usados,14 000        EUR,8089792973,30 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,,Diesel,Outubro,2017,122 000 km,1 560 cm3,120 cv,,,,Sim,Carrinha,Preto,Manual,5,5,,,18 Meses,,,Sim,Sim,Usados,14 990        EUR,8089629699,30 Julho 2023,Sim,,6,Classe 2,,Sim,Sim,,01/10/2023,,,,,,,,,,,,StandVirtual,Yes
Profissional,Chevrolet,Spark,1.0 LS,Gasolina,Maio,2010,129 587 km,995 cm3,68 cv,,,,Sim,Utilitário,Branco,Manual,5,5,Tracção dianteira,119 g/km,18 Meses,1,Nacional,Sim,,Usados,5 890        EUR,8089894348,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,"6,60 l/100km",,"4,20 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,SEAT,Ibiza,SC 1.4 TDi FR,Diesel,Dezembro,2015,129 000 km,1 422 cm3,105 cv,,,,,Citadino,Vermelho,Manual,3,,,,,,,,,Usados,13 000        EUR,8090090211,30 Julho 2023,,,,,,Sim,,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Julho,2017,147 000 km,1 496 cm3,95 cv,,,,Sim,Citadino,Branco,Manual,3,4,,,18 Meses,,,,Sim,Usados,13 990        EUR,8088826081,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,01/07/2025,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited Edition,Diesel,Abril,2018,58 000 km,1 461 cm3,90 cv,,,,Sim,Carrinha,Cinzento,Manual,5,5,,,18 Meses,,,Sim,Sim,Usados,14 999        EUR,8088082972,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A6 Avant,2.0 TDi Sport,Diesel,Maio,2010,252 000 km,1 968 cm3,170 cv,Sim,,,Sim,Carrinha,Cinzento,Manual,5,5,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,Usados,14 750        EUR,8089863737,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,"7,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Fevereiro,2019,143 000 km,1 199 cm3,82 cv,Sim,,,Sim,Citadino,Azul,Manual,5,5,Tracção dianteira,133 g/km,18 Meses,,Importado,,,Usados,13 500        EUR,8087800099,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,"5,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,1.4 HDi SX Airdream,Diesel,Junho,2010,192 298 km,1 398 cm3,54 cv,Sim,,,Sim,Citadino,Preto,Manual,5,4,,,18 Meses,,Nacional,,,Usados,6 400        EUR,8089838915,30 Julho 2023,Sim,,,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3 Aircross,1.2 PureTech C-Series,Gasolina,Janeiro,2023,50 km,1 199 cm3,110 cv,Sim,Sim,,Sim,SUV / TT,Cinzento,Manual,5,5,,,36 Meses,1,Nacional,,Sim,Usados,22 900        EUR,8088784625,29 Julho 2023,Sim,,6,Classe 1,"108,32 €",,Sim,,,,,,,,,,01/01/0001,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,Maio,2019,67 000 km,1 461 cm3,116 cv,Sim,,,Sim,Utilitário,Cinzento,Automática,5,,,,18 Meses,,Nacional,,Sim,Usados,29 450        EUR,8088850896,29 Julho 2023,Sim,,,Classe 1,,,Sim,,,,Classe A,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,2.0 D2 VOR Geartronic,Diesel,Janeiro,2017,92 000 km,1 969 cm3,120 cv,Sim,,,Sim,Carrinha,Preto,Automática,5,5,,111 g/km,18 Meses,,Nacional,Sim,Sim,Usados,24 980        EUR,8089128405,29 Julho 2023,Sim,,,Classe 1,,,Sim,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Março,2019,39 000 km,1 199 cm3,82 cv,Sim,,,Sim,Citadino,Branco,Manual,5,5,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,Usados,15 680        EUR,8090049617,30 Julho 2023,Sim,Metalizado,5,Classe 1,120 €,,Sim,"5,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLA 220,,Diesel,Abril,2016,145 930 km,2 143 cm3,136 cv,Sim,,,Sim,SUV / TT,Preto,Automática,5,5,,,18 Meses,1,,Sim,Sim,Usados,29 900        EUR,8090102937,30 Julho 2023,Sim,Metalizado,,Classe 1,,,Sim,,,,Classe GLA,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Tiguan,1.6 TDI Tech,Diesel,Novembro,2017,88 000 km,1 598 cm3,115 cv,Sim,,,Sim,SUV / TT,Branco,Manual,5,5,,,18 Meses,,Nacional,,,Usados,22 750        EUR,8088238064,30 Julho 2023,Sim,,6,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,D,Diesel,Novembro,2016,156 000 km,1 598 cm3,136 cv,,,,Sim,Sedan,Preto,Manual,4,5,,,18 Meses,1,,,Sim,Usados,23 500        EUR,8089920493,30 Julho 2023,Sim,,,,,,,,,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 Blue dCi RS Line,Diesel,Novembro,2019,114 000 km,1 461 cm3,115 cv,Sim,,,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,,Nacional,,,Usados,17 500        EUR,8089580209,30 Julho 2023,Sim,Metalizado,6,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Agosto,2020,18 178 km,999 cm3,100 cv,,,,,Utilitário,Cinzento,Manual,5,5,,,36 Meses,,Nacional,,,Usados,18 900        EUR,8089342911,30 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon,1.6 TDI Style S/S,Diesel,Julho,2019,89 000 km,1 598 cm3,115 cv,,Sim,,Sim,Utilitário,Cinzento,Manual,5,5,,,18 Meses,1,Nacional,Sim,Sim,Usados,18 900        EUR,8090032460,30 Julho 2023,Sim,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,216 Active Tourer,d Advantage,Diesel,Agosto,2018,95 000 km,1 496 cm3,116 cv,,Sim,,Sim,Monovolume,Cinzento,Manual,5,5,,,18 Meses,1,Nacional,Sim,Sim,Usados,19 900        EUR,8090032457,30 Julho 2023,Sim,Metalizado,,,,,,,,,Série 2,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,1.6 TDI Confortline,Diesel,Fevereiro,2018,90 000 km,1 598 cm3,115 cv,Sim,,,Sim,Sedan,Preto,Manual,5,5,,,18 Meses,,Nacional,Sim,Sim,Usados,20 950        EUR,8088403728,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi GT Line EAT8,Diesel,Outubro,2018,61 113 km,1 499 cm3,130 cv,,,,,SUV / TT,Castanho,Automática,5,5,,,36 Meses,,,Sim,,Usados,29 990        EUR,8088773580,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d Auto,Diesel,Junho,2018,144 000 km,1 496 cm3,116 cv,,,,Sim,Utilitário,Branco,Automática,5,5,Tracção dianteira,,24 Meses,1,Importado,Sim,Sim,Usados,23 500        EUR,8087961938,30 Julho 2023,,Metalizado,,,,,Sim,,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Agosto,2018,130 000 km,1 461 cm3,110 cv,Sim,,,Sim,Carrinha,Cinzento,Manual,5,5,,,18 Meses,,Nacional,Sim,Sim,Usados,18 250        EUR,8089183393,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,2.0 D2 Inscription,Diesel,Julho,2018,60 000 km,1 969 cm3,120 cv,Sim,,,Sim,Utilitário,Preto,Manual,5,5,,,24 Meses,,,,,Usados,23 500        EUR,8087472062,30 Julho 2023,Sim,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Janeiro,2021,26 486 km,1 199 cm3,102 cv,,,,Sim,SUV / TT,Branco,Manual,5,5,Tracção dianteira,114 g/km,18 Meses,,Nacional,,,Usados,25 950        EUR,8089695689,30 Julho 2023,Sim,Pérola,6,,,,,"5,20 l/100km",,"3,70 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,2008,1.2 PureTech Allure,Gasolina,Janeiro,2021,20 285 km,1 199 cm3,102 cv,,,,Sim,SUV / TT,Cinzento,Manual,5,5,Tracção dianteira,124 g/km,18 Meses,,Nacional,,,Usados,25 950        EUR,8089695749,30 Julho 2023,Sim,Metalizado,6,,,,,"5,50 l/100km",,4 l/100km,,,,,,,,,,,StandVirtual,Yes
Particular,Abarth,500C,1.4 T-Jet Competizione MTA,Gasolina,Junho,2012,100 000 km,1 368 cm3,160 cv,,,,,Cabrio,Cinzento,Automática,2,,,,,,,,,Usados,16 200        EUR,8089973428,30 Julho 2023,Sim,,,,,,,"8,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A5 Sportback,,Diesel,Julho,2012,213 000 km,1 968 cm3,163 cv,,,,Sim,Sedan,Cinzento,Automática,5,5,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,Usados,17 490        EUR,8090111434,30 Julho 2023,Sim,Metalizado,,,,,Sim,,01/07/2024,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,318,d Touring Auto,Diesel,Outubro,2018,112 000 km,1 995 cm3,150 cv,,,,,Carrinha,Cinzento,Automática,5,5,Tracção traseira,,,,Nacional,,Sim,Usados,22 900        EUR,8088538520,30 Julho 2023,,Metalizado,,,,,Sim,,30/10/2023,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,XCeed,1.6 CRDi Tech+SRF 7DCT,Diesel,Novembro,2021,10 500 km,1 598 cm3,136 cv,,,,Sim,SUV / TT,Branco,Automática,5,5,Tracção dianteira,,36 Meses,,Nacional,Sim,,Usados,29 990        EUR,8088913039,30 Julho 2023,Sim,Metalizado,7,Classe 1,,,Sim,"4,60 l/100km",,,,,,,,,29/11/2028,150 000 km,,,StandVirtual,Yes
Profissional,Nissan,Murano,2.5 TDi Tekna Premium,Diesel,Dezembro,2010,135 000 km,2 488 cm3,190 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,,,36 Meses,,,,,Usados,21 750        EUR,8089945168,30 Julho 2023,Sim,Metalizado,,,,,,"10,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Fevereiro,2019,120 000 km,1 461 cm3,90 cv,Sim,,,Sim,Sedan,Branco,Manual,5,5,,,18 Meses,,Nacional,,,Usados,16 450        EUR,8089753309,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Março,2018,100 000 km,1 461 cm3,90 cv,Sim,,,Sim,Sedan,Branco,Manual,5,5,,,18 Meses,,Nacional,,,Usados,15 450        EUR,8089585878,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,2.0 TDI S-line,Diesel,Setembro,2013,142 000 km,1 968 cm3,136 cv,,,,,Carrinha,Cinzento,Manual,5,5,Tracção dianteira,116 g/km,18 Meses,1,Nacional,Sim,,Usados,19 100        EUR,8089403721,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,"5,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Particular,Land Rover,Range Rover Evoque,2.0 eD4 SE Dynamic,Diesel,Julho,2017,146 000 km,1 999 cm3,150 cv,Sim,,,,SUV / TT,Cinzento,Manual,5,5,Tracção dianteira,152 g/km,,,Nacional,Sim,Sim,Usados,26 500        EUR,8089744518,30 Julho 2023,,Metalizado,6,Classe 1,235 €,,Sim,,01/07/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EDynamics Advantage,Diesel,Agosto,2017,60 000 km,1 496 cm3,116 cv,Sim,,,Sim,Sedan,Preto,Manual,5,5,,,18 Meses,,Nacional,Sim,Sim,Usados,19 950        EUR,8089583750,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Janeiro,2020,40 000 km,1 199 cm3,75 cv,Sim,,,Sim,Utilitário,Preto,Manual,5,5,,,18 Meses,,Nacional,Sim,Sim,Usados,18 450        EUR,8089207614,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Isuzu,D-Max,1.9 Ddi CD 4WD LS CM,Diesel,Novembro,2017,67 000 km,1 898 cm3,164 cv,,,,,SUV / TT,Cinzento,Manual,4,5,Integral,183 g/km,,,,,,Usados,29 900        EUR,8090170086,30 Julho 2023,,,6,,60 €,,,"7,60 l/100km",,"6,60 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,BlueTEC,Diesel,Abril,2015,118 000 km,1 598 cm3,136 cv,,,,Sim,Sedan,Cinzento,Manual,4,5,,,18 Meses,,Importado,Sim,Sim,Usados,23 500        EUR,8088719110,30 Julho 2023,Sim,Metalizado,,Classe 1,,,Sim,"4,50 l/100km",,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.5 BlueHDi Business Line,Diesel,Junho,2019,125 917 km,1 499 cm3,102 cv,Sim,,,Sim,Carrinha,Cinzento,Manual,5,5,,,18 Meses,,,,,Usados,16 970        EUR,8088711267,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 RXH,2.0 HDi Hybrid4 2-Tronic,Híbrido (Diesel),Fevereiro,2013,171 000 km,1 997 cm3,200 cv,,,,Sim,Carrinha,Cinzento,Automática,5,5,Integral,109 g/km,18 Meses,2,Importado,,,Usados,15 900        EUR,8090170087,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,4 l/100km,07/02/2024,"4,90 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,1.0 TSI Xcellence,Gasolina,Agosto,2018,41 000 km,999 cm3,115 cv,Sim,,,Sim,SUV / TT,Cinzento,Manual,5,5,,,18 Meses,,Nacional,,Sim,Usados,15 850        EUR,8089764760,30 Julho 2023,Sim,,5,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d,Diesel,Maio,2011,229 000 km,1 995 cm3,184 cv,Sim,,,Sim,Carrinha,Azul,Manual,5,5,,,18 Meses,,,Sim,Sim,Usados,15 500        EUR,8089839814,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,,,,Série 5,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,Q7,3.0 V6 TDi quattro Tiptronic,Diesel,Abril,2010,221 000 km,2 967 cm3,240 cv,Sim,,,Sim,SUV / TT,Prateado,Automática,5,7,,,18 Meses,,Nacional,,Sim,Usados,21 750        EUR,8089405692,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d EfficientDynamics,Diesel,Março,2019,125 000 km,1 496 cm3,116 cv,Sim,,,Sim,Utilitário,Preto,Manual,5,5,,,18 Meses,1,Importado,Sim,,Usados,18 900        EUR,8089916829,29 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.5 dCi Limited SS,Diesel,Março,2017,115 000 km,1 461 cm3,110 cv,Sim,,,Sim,Utilitário,Branco,Manual,5,5,Tracção dianteira,100 g/km,18 Meses,,,,Sim,Usados,17 450        EUR,8089087476,29 Julho 2023,Sim,,6,,,Sim,Sim,"3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.0 Confortline,Gasolina,Dezembro,2020,75 877 km,999 cm3,80 cv,Sim,Sim,,Sim,Citadino,Cinzento,Manual,5,5,Tracção dianteira,,24 Meses,1,Nacional,,Sim,Usados,16 750        EUR,8090128300,29 Julho 2023,Sim,Metalizado,5,Classe 1,108 €,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi Active,Diesel,Outubro,2019,145 365 km,1 499 cm3,130 cv,Sim,,,Sim,SUV / TT,Preto,Manual,5,5,,,18 Meses,,Nacional,,,Usados,20 899        EUR,8089429986,29 Julho 2023,Sim,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,Setembro,2016,137 765 km,1 560 cm3,100 cv,,,,Sim,Utilitário,Cinzento,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,,Usados,15 950        EUR,8087734293,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,"3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,CDi BE Urban,Diesel,Agosto,2013,145 150 km,1 461 cm3,109 cv,,,,Sim,Utilitário,Prateado,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,,Usados,18 350        EUR,8087529058,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,"4,50 l/100km",,,Classe A,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi Active,Diesel,Outubro,2019,154 400 km,1 499 cm3,130 cv,,,Sim,Sim,SUV / TT,Preto,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,,Usados,22 950        EUR,8088542106,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,"4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS5,2.0 HDi Hybrid4 Sport Chic CMP6,Híbrido (Diesel),Outubro,2013,156 000 km,1 997 cm3,200 cv,,,,Sim,Utilitário,Branco,Automática,5,5,Integral,107 g/km,18 Meses,2,Importado,,,Usados,17 900        EUR,8090053515,30 Julho 2023,Sim,Pérola,6,Classe 1,,,Sim,"4,20 l/100km",22/10/2023,4 l/100km,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.0 Trendline,Gasolina,Abril,2018,55 000 km,999 cm3,75 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,,,18 Meses,,Nacional,,,Usados,15 900        EUR,8089419632,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Karoq,1.0 TSI Ambition,Gasolina,Abril,2019,34 900 km,999 cm3,116 cv,Sim,,,Sim,SUV / TT,Cinzento,Manual,5,5,,,18 Meses,,Nacional,,,Usados,22 900        EUR,8089429514,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Limited,Diesel,Dezembro,2020,51 000 km,1 461 cm3,115 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,,,18 Meses,,Nacional,Sim,,Usados,21 900        EUR,8090035004,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Outubro,2020,34 900 km,898 cm3,90 cv,Sim,,,Sim,Carrinha,Branco,Manual,5,5,,,18 Meses,,Nacional,,,Usados,15 900        EUR,8090034758,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,2.0 TDI S tronic,Diesel,Setembro,2018,65 000 km,1 968 cm3,150 cv,Sim,,,Sim,Carrinha,Cinzento,Automática,5,5,,,18 Meses,,Nacional,Sim,,Usados,29 900        EUR,8089935313,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,318,d Line Sport,Diesel,Abril,2014,171 000 km,1 995 cm3,143 cv,,,,,Sedan,Branco,Manual,4,5,Tracção traseira,119 g/km,,1,Nacional,,Sim,Usados,17 800        EUR,8090009162,30 Julho 2023,,,6,Classe 1,,Sim,Sim,"5,40 l/100km",28/04/2024,4 l/100km,Série 3,,,,900 km,,,,,,StandVirtual,Yes
Particular,Audi,A6 Avant,2.0 TDi Advance S tronic,Diesel,Maio,2015,108 600 km,1 968 cm3,190 cv,,,,,Carrinha,Cinzento,Automática,5,5,Tracção dianteira,119 g/km,,2,Nacional,Sim,Sim,Usados,26 750        EUR,8089890938,30 Julho 2023,,Metalizado,7,Classe 1,215 €,,,"5,30 l/100km",,"4,10 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,EQ Prime,Eléctrico,Setembro,2019,40 000 km,,82 cv,Sim,,Sim,Sim,Citadino,Cinzento,Automática,5,,,,18 Meses,,,,Sim,Usados,17 500        EUR,8088912757,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,155 km,Própria,,,,,18 kWh/100km,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge J17,Diesel,Janeiro,2019,70 000 km,1 248 cm3,95 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,,,18 Meses,,Nacional,Sim,Sim,Usados,17 950        EUR,8089757017,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 350,e,Híbrido (Gasolina),Agosto,2017,197 261 km,1 991 cm3,279 cv,Sim,,,Sim,Carrinha,Azul,Automática,5,5,,,24 Meses,1,Nacional,,Sim,Usados,28 900        EUR,8089310392,30 Julho 2023,Sim,,,Classe 1,,,Sim,,,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Line Sport Auto,Diesel,Fevereiro,2018,183 926 km,1 995 cm3,190 cv,Sim,,,Sim,Sedan,Azul,Automática,5,5,,,24 Meses,1,Nacional,Sim,Sim,Usados,26 900        EUR,8085733921,30 Julho 2023,Sim,,,Classe 1,,,Sim,,,,Série 4,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Leon ST,1.6 TDI Reference S/S,Diesel,Maio,2019,75 000 km,1 598 cm3,115 cv,Sim,,,Sim,Carrinha,Cinzento,Manual,5,5,,,18 Meses,,Nacional,,,Usados,19 950        EUR,8089965492,30 Julho 2023,Sim,Metalizado,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,T-Cross,1.0 TSI Style DSG,Gasolina,Dezembro,2021,23 291 km,999 cm3,110 cv,,,,Sim,SUV / TT,Preto,Automática,5,5,Tracção dianteira,,18 Meses,,Nacional,,Sim,Usados,26 500        EUR,8089930355,29 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3 Aircross,1.2 PureTech C-Series,Gasolina,Maio,2021,50 000 km,1 199 cm3,110 cv,,,,Sim,SUV / TT,Branco,Manual,5,5,Tracção dianteira,,36 Meses,1,Nacional,,Sim,Usados,19 490        EUR,8089151002,29 Julho 2023,Sim,Metalizado,,Classe 1,,,Sim,"5,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Exclusive 50,Eléctrico,Abril,2021,21 640 km,,136 cv,Sim,Sim,Sim,Sim,Citadino,Preto,Automática,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,29 750        EUR,8088223585,29 Julho 2023,Sim,Metalizado,,Classe 1,,,Sim,,,,,,385 km,Própria,385 km,,18/05/2026,100 000 km,"17,90 kWh/100km",50 kWh,StandVirtual,Yes
Profissional,SEAT,Ateca,2.0 TDI Xcellence 4Drive DSG,Diesel,Maio,2017,92 528 km,1 968 cm3,190 cv,,,,Sim,SUV / TT,Branco,Automática,5,5,Integral,179 g/km,18 Meses,,,,,Usados,29 980        EUR,8090154855,29 Julho 2023,Sim,,7,,,,,6 l/100km,,"4,90 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 200,Station CDI Avantgarde Edition,Diesel,Março,2014,164 000 km,2 143 cm3,136 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,,,24 Meses,2,Importado,,Sim,Usados,16 900        EUR,8089626305,30 Julho 2023,Sim,,6,Classe 1,,,Sim,,,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508,1.5 BlueHDi Allure EAT8,Diesel,Setembro,2019,99 400 km,1 499 cm3,130 cv,,,,Sim,Sedan,Preto,Automática,5,5,Tracção dianteira,99 g/km,18 Meses,1,,Sim,Sim,Usados,24 990        EUR,8087320338,30 Julho 2023,Sim,Metalizado,8,Classe 1,,,Sim,"4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,116,d Pack M,Diesel,Setembro,2016,99 750 km,1 496 cm3,116 cv,,,,,Utilitário,Preto,Manual,5,5,Tracção traseira,,,,,Sim,Sim,Usados,18 500        EUR,8088875415,30 Julho 2023,,Metalizado,6,,,,Sim,,,,Série 1,,,,,,,,,,StandVirtual,Yes
