Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Possibilidade de financiamento,IVA Discriminado,IVA dedutível,Consumo Urbano,Autonomia,Consumo,Bateria,Autonomia Máxima,Filtro de partículas,Emissões CO2,Consumo Extra Urbano,Consumo Combinado,Garantia de Fábrica até,Inspecção válida até,ou até,Capacidade da bateria,Clássico,Site,Portugal
Profissional,Peugeot,208,1.5 BlueHDi GT Line,Diesel,Abril,2022,125 000 km,1 499 cm3,102 cv,,,Citadino,Azul,Pérola,Manual,,5,,,,,18 Meses,,,Sim,Sim,Sim,Usados,20 900        EUR,8088912684,3 Julho 2023,,Sim,,,5 l/100km,,,,,,,4 l/100km,4 l/100km,,,,,,StandVirtual,Yes
Profissional,Toyota,Avensis Touring Sports,1.6 D-4D Luxury+GPS,Diesel,Fevereiro,2016,189 910 km,1 598 cm3,112 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,,Usados,16 000        EUR,8089430723,3 Julho 2023,,Sim,,,"5,10 l/100km",,,,,,110 g/km,,,,10/02/2024,,,,StandVirtual,Yes
Profissional,BMW,330,,Híbrido (Gasolina),Novembro,2019,72 000 km,1 998 cm3,292 cv,,Sim,Sedan,Cinzento,Metalizado,Automática,8,5,,,Tracção traseira,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,33 900        EUR,8089747353,3 Julho 2023,Série 3,Sim,,Sim,,,,,,,31 g/km,,,,,,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Março,2019,130 000 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,8,5,5,,,,18 Meses,,Nacional,,,Sim,Usados,35 500        EUR,8089580152,3 Julho 2023,Série 4,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Countryman,Cooper D,Diesel,Setembro,2015,62 000 km,1 598 cm3,112 cv,,,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,Nacional,,Sim,Sim,Usados,17 900        EUR,8089814853,3 Julho 2023,,,,,"4,70 l/100km",,,,,Sim,111 g/km,"3,90 l/100km",,,15/09/2023,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 BlueHDi GT Line EAT6,Diesel,Junho,2018,135 800 km,1 560 cm3,120 cv,,,SUV / TT,Branco,Pérola,Automática,8,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,,,Usados,25 500        EUR,8087831635,3 Julho 2023,,Sim,,,,,,,950 km,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.5 BlueHDi GT Line EAT8,Diesel,Janeiro,2020,110 250 km,1 499 cm3,130 cv,,,Citadino,Preto,,Automática,,5,,,,,18 Meses,1,,Sim,Sim,Sim,Usados,19 900        EUR,8089289539,3 Julho 2023,,Sim,,,5 l/100km,,,,,,,4 l/100km,4 l/100km,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 45 AMG,,Gasolina,Outubro,2015,116 000 km,2 000 cm3,381 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,7,5,5,,,,18 Meses,,,,,Sim,Usados,38 500        EUR,8084644206,3 Julho 2023,Classe CLA,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,2.0 BlueHDi GT EAT8,Diesel,Maio,2018,106 000 km,1 997 cm3,177 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,7,,,,18 Meses,,Nacional,,,Sim,Usados,32 500        EUR,8089580154,3 Julho 2023,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A4 Avant,2.0 TDI Design S tronic,Diesel,Dezembro,2017,117 000 km,1 968 cm3,150 cv,Sim,Sim,Carrinha,Preto,Metalizado,Automática,7,5,5,,,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,24 900        EUR,8089027598,3 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,D AMG Line 7L,Diesel,Dezembro,2018,153 000 km,1 950 cm3,194 cv,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,9,5,7,,,,18 Meses,,Nacional,,,Sim,Usados,35 900        EUR,8089773179,3 Julho 2023,Classe E,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech C-Series,Gasolina,Maio,2021,58 000 km,1 199 cm3,83 cv,,Sim,Utilitário,Branco,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,36 Meses,1,Nacional,,Sim,Sim,Usados,17 450        EUR,8089151003,3 Julho 2023,,Sim,,,"6,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Line Luxury Auto,Diesel,Maio,2018,69 989 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Azul,Metalizado,Automática,8,5,5,Classe 1,Tracção traseira,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,33 980        EUR,8089245895,3 Julho 2023,Série 5,Sim,Sim,Sim,,,,,,,135 g/km,,,,05/05/2024,,,,StandVirtual,Yes
Profissional,Renault,Mégane,1.5 Blue dCi Zen,Diesel,Julho,2019,62 518 km,1 461 cm3,95 cv,Sim,,Utilitário,Preto,,Manual,,5,5,,,,18 Meses,1,Nacional,Sim,Sim,,Usados,14 990        EUR,8089151075,3 Julho 2023,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d Progressive Aut.,Diesel,Março,2019,109 854 km,1 461 cm3,116 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,Sim,Sim,Sim,Usados,27 900        EUR,8087815848,3 Julho 2023,Classe A,Sim,Sim,,,,,,,,123 g/km,,,,,,,,StandVirtual,Yes
Profissional,BMW,123,d,Diesel,Janeiro,2008,303 570 km,1 995 cm3,204 cv,,Sim,Utilitário,Preto,Metalizado,Manual,,5,,,,,36 Meses,,,,,,Usados,12 900        EUR,8089198455,3 Julho 2023,Série 1,Sim,,,"6,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Julho,2021,52 429 km,999 cm3,115 cv,,Sim,SUV / TT,Preto,Metalizado,Manual,,5,,,,,36 Meses,,,,,,Usados,21 900        EUR,8089710154,3 Julho 2023,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Maio,2019,175 526 km,1 461 cm3,90 cv,,Sim,Citadino,Cinzento,Metalizado,Manual,,5,,,,,36 Meses,,,,,,Usados,15 500        EUR,8089206965,3 Julho 2023,,Sim,,,"4,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
