Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,Classe do veículo,Autonomia Máxima,Emissões CO2,Inspecção válida até,Filtro de partículas,IVA Discriminado,Consumo Extra Urbano,Sub-modelo,IUC,ou até,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Garantia de Fábrica até,Consumo,Clássico,Gancho de Reboque,Site,Portugal
Particular,Alfa Romeo,Stelvio,2.0 T B-Tech AT8 Q4,Gasolina,Maio,2017,85 000 km,1 995 cm3,280 cv,,,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Integral,,,Nacional,,Sim,Sim,10 l/100km,Usados,36 500        EUR,8090086134,6 Setembro 2023,,Classe 1,,211 g/km,29/05/2026,,,"6,60 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,330,e Corporate Edition Auto,Híbrido (Gasolina),Dezembro,2019,41 037 km,1 998 cm3,292 cv,Sim,Sim,Sedan,Cinzento,,Automática,,4,5,,18 Meses,,Nacional,Sim,,Sim,,Usados,35 990        EUR,8090192593,6 Setembro 2023,Sim,,,,,,Sim,,Série 3,,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Eclipse Cross,2.4 PHEV eMotion,Híbrido (Gasolina),Julho,2021,43 685 km,2 360 cm3,202 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,"5,50 l/100km",Usados,36 999        EUR,8090450605,6 Setembro 2023,,Classe 1,,123 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Mustang,,Gasolina,Fevereiro,2012,56 125 km,3 721 cm3,415 cv,Sim,Sim,Coupé,Azul,Metalizado,Automática,,3,4,,18 Meses,1,Nacional,Sim,Sim,Sim,,Usados,42 900        EUR,8090298376,6 Setembro 2023,,,,262 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,e-tron,55 quattro Advanced,Eléctrico,Julho,2019,161 500 km,,408 cv,,,SUV / TT,Preto,,Automática,,5,5,,18 Meses,1,,,,,,Usados,41 900        EUR,8090003658,6 Setembro 2023,,Classe 1,,,,,,,,,,,,Própria,,,,,,StandVirtual,Yes
Profissional,Tesla,Model S,100D,Eléctrico,Setembro,2018,185 000 km,,525 cv,,Sim,Sedan,Preto,Metalizado,Automática,,5,5,,36 Meses,1,Nacional,Sim,Sim,Sim,,Usados,45 000        EUR,8090068109,6 Setembro 2023,,Classe 1,,,30/09/2024,,,,,,,,,Própria,,30/09/2026,,,,StandVirtual,Yes
Profissional,VW,ID.4,Pure Performance Style,Eléctrico,Junho,2021,29 451 km,,170 cv,Sim,Sim,Utilitário,Branco,,Automática,,5,5,,18 Meses,,,Sim,Sim,Sim,,Usados,37 900        EUR,8089188612,6 Setembro 2023,Sim,Classe 1,344 km,,01/06/2025,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,s 120Ah,Eléctrico,Setembro,2021,11 000 km,,184 cv,,,Utilitário,Azul,,Automática,,5,4,Tracção traseira,18 Meses,,Importado,Sim,Sim,Sim,,Usados,38 900        EUR,8088018018,6 Setembro 2023,,Classe 1,345 km,,,,Sim,,Série i,,,310 km,42 kWh,Própria,,,14 kWh/100km,,,StandVirtual,Yes
Profissional,MINI,Electric,Cooper SE,Eléctrico,Março,2022,7 500 km,,184 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,3,4,,36 Meses,,,Sim,Sim,Sim,,Usados,33 800        EUR,8088438385,6 Setembro 2023,,Classe 1,,,,,Sim,,,,,230 km,,Própria,,31/12/2024,"15,50 kWh/100km",,,StandVirtual,Yes
Profissional,Land Rover,Range Rover Evoque,2.0 TD4 SE Dynamic Auto,Diesel,Junho,2018,169 000 km,1 999 cm3,150 cv,Sim,,SUV / TT,Azul,,Automática,,5,5,,18 Meses,,Importado,,,,,Usados,33 500        EUR,8090450619,6 Setembro 2023,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
