Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Potência,Autonomia,Capacidade da bateria,Bateria,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Autonomia Máxima,Condição,Preco,ID Anuncio,Data Anuncio,Link,Cilindrada,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Valor Fixo,Emissões CO2,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Registo(s),IVA Discriminado,Inspecção válida até,IUC,Filtro de partículas,Gancho de Reboque,Clássico,Consumo,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Feel Business,Diesel,Novembro,2019,122 881 km,102 cv,,,,Utilitário,Branco,Manual,,5,5,Tracção dianteira,,Usados,16 450        EUR,8087790580,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-5-bluehdi-feel-business-ID8PlxNa.html,1 499 cm3,Sim,Sim,,Classe 1,18 Meses,,Sim,Sim,Sim,,Sim,,,1,,,"154,12 €",Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,308 SW,2.0 BlueHDi GT Line EAT6,Diesel,Junho,2016,160 000 km,150 cv,,,,Carrinha,Preto,Automática,,5,5,,,Usados,17 500        EUR,8088540297,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-2-0-bluehdi-gt-line-eat6-ID8PoGPn.html,1 997 cm3,,Sim,Metalizado,,18 Meses,,Sim,,Sim,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,508 SW,2.0 BlueHDi Allure EAT8,Diesel,Outubro,2019,176 000 km,163 cv,,,,Carrinha,Cinzento,Automática,,5,5,,,Usados,27 000        EUR,8086970670,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-2-0-bluehdi-allure-eat8-ID8Pi6uO.html,1 997 cm3,,Sim,Metalizado,,18 Meses,,Sim,Sim,Sim,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,MINI,Clubman,One Sport Edition,Gasolina,Outubro,2019,56 275 km,102 cv,,,,Carrinha,Preto,Manual,6,6,5,,,Usados,21 900        EUR,8088887733,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-one-sport-edition-ID8Pq9db.html,1 499 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,Sim,,Sim,,,,Sim,01/10/2023,,,,,,"5,10 l/100km",,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,X2,16 d sDrive Auto,Diesel,Maio,2019,135 000 km,116 cv,,,,SUV / TT,Cinzento,Automática,7,5,5,Tracção traseira,,Usados,27 990        EUR,8090145383,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x2-16-d-sdrive-auto-ID8PwqnR.html,1 496 cm3,,,Metalizado,Classe 1,18 Meses,,Sim,Sim,,133 g/km,Sim,,,,,,,,,,,,Série X,,,StandVirtual,Yes,2023-09-17
Particular,Porsche,Cayenne,S Hybrid,Híbrido (Gasolina),Janeiro,2013,215 000 km,333 cv,,,,SUV / TT,Preto,Automática,8,5,5,Integral,,Usados,28 880        EUR,8090523644,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/porsche-cayenne-s-hybrid-ID8Px0MQ.html,2 995 cm3,,,Metalizado,Classe 2,,Nacional,,Sim,Sim,193 g/km,Sim,"8,70 l/100km","7,90 l/100km",2,,03/01/2024,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Captur,0.9 TCE Exclusive XMOD,Gasolina,Fevereiro,2020,26 000 km,90 cv,,,,SUV / TT,Azul,Manual,5,5,5,Tracção dianteira,,Usados,16 900        EUR,8089851994,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-xmod-ID8Puc3M.html,898 cm3,Sim,Sim,,Classe 1,18 Meses,,Sim,Sim,,,Sim,"6,30 l/100km",,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Peugeot,508 SW,BlueHDi 120 EAT6 Stop&Start Allure,Diesel,Março,2016,105 000 km,120 cv,,,,Carrinha,Azul,Automática,,5,,,,Usados,15 500        EUR,8090438808,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-bluehdi-120-eat6-stop-start-allure-ID8PvEIv.html,1 560 cm3,,Sim,Metalizado,,18 Meses,,Sim,Sim,Sim,,,"4,70 l/100km",,,,,,Sim,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Mercedes-Benz,GLA 180,CDi Urban,Diesel,Abril,2018,189 000 km,109 cv,,,,SUV / TT,Preto,Manual,6,5,5,Tracção dianteira,,Usados,21 490        EUR,8090053863,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-180-cdi-urban-ID8Pw2zJ.html,1 461 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,,,1,,,,,,,,,Classe GLA,,,StandVirtual,Yes,2023-09-17
Profissional,BMW,i3,94Ah +Comfort Package Advance,Eléctrico,Junho,2017,100 000 km,170 cv,200 km,,Própria,Citadino,Preto,Automática,,5,,,,Usados,19 500        EUR,8090596541,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-94ah-comfort-package-advance-ID8PxjKB.html,,,Sim,,,18 Meses,,Sim,,Sim,,Sim,,,,,,,,,,,,Série i,,,StandVirtual,Yes,2023-09-17
