Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Número de Mudanças,Tracção,Emissões CO2,Registo(s),Consumo Urbano,Consumo Extra Urbano,Tipo de cor,Filtro de partículas,IUC,Livro de Revisões completo,Possibilidade de financiamento,IVA Discriminado,Garantia de Fábrica até,Inspecção válida até,Autonomia Máxima,Clássico,Gancho de Reboque,ou até,Autonomia,Consumo,Capacidade da bateria,Bateria,Consumo Combinado,Site,Portugal,Data
Particular,Mercedes-Benz,C 300,BlueTEC Hybrid Exclusive,Híbrido (Diesel),Fevereiro,2018,77 000 km,2 143 cm3,231 cv,Sim,,Carrinha,Cinzento,Automática,5,5,Classe 1,,Importado,Sim,Sim,Usados,30 000        EUR,8090865830,19 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-bluetec-hybrid-exclusive-ID8PyrNY.html,Classe C,7,Tracção traseira,100 g/km,1,4 l/100km,"3,70 l/100km",Metalizado,Sim,,Sim,,,,22/06/2024,,,1,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Captur,1.0 TCe Techno,Gasolina,Outubro,2022,14 000 km,999 cm3,90 cv,,Sim,SUV / TT,Azul,Manual,5,5,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,22 300        EUR,8089831087,20 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-techno-ID8Pu6Cz.html,,6,Tracção dianteira,131 g/km,1,"6,30 l/100km","4,70 l/100km",Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A3 Limousine,1.6 TDI S-line,Diesel,Maio,2016,166 000 km,1 598 cm3,110 cv,Sim,Sim,Sedan,Branco,Manual,4,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,19 900        EUR,8088547027,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-limousine-1-6-tdi-s-line-ID8PoIzW.html,,6,Tracção dianteira,,2,"4,80 l/100km",,Metalizado,,,,Sim,,,31/05/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Qashqai,1.2 DIG-T Acenta,Gasolina,Julho,2015,102 000 km,1 197 cm3,115 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,16 990        EUR,8090729230,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-2-dig-t-acenta-ID8PxSgK.html,,6,Tracção dianteira,129 g/km,,"6,60 l/100km",,Metalizado,,144 €,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,MINI,Countryman,Cooper SE ALL4 Auto,Híbrido (Gasolina),Fevereiro,2018,52 750 km,1 499 cm3,224 cv,,,SUV / TT,Azul,Automática,5,5,Classe 1,,Nacional,Sim,Sim,Usados,26 750        EUR,8089527653,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-cooper-se-all4-auto-ID8PsPGt.html,,6,Integral,49 g/km,1,,,Metalizado,,144 €,Sim,,,09/02/2024,09/02/2024,600 km,,,100 000 km,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cabrio,Cooper Auto,Gasolina,Junho,2021,68 554 km,1 499 cm3,136 cv,,,Cabrio,Cinzento,Automática,2,,,36 Meses,,,,Usados,29 490        EUR,8090740033,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-auto-ID8PxW4Z.html,,7,Tracção dianteira,136 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,5008,BlueHDI 130 EAT8 Active Pack,Diesel,Novembro,2018,147 000 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Preto,Automática,5,7,Classe 1,18 Meses,Nacional,,Sim,Usados,24 900        EUR,8090237308,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-bluehdi-130-eat8-active-pack-ID8PwOiv.html,,8,Tracção dianteira,107 g/km,,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,116,d Line Sport Auto,Diesel,Abril,2021,77 000 km,1 496 cm3,116 cv,,Sim,Utilitário,Preto,Automática,5,5,,36 Meses,,,,Usados,25 650        EUR,8090237658,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-line-sport-auto-ID8PwOoa.html,Série 1,,,,,,,Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,520,d Pack M Auto,Diesel,Dezembro,2013,153 000 km,1 995 cm3,184 cv,,,Sedan,Preto,Automática,5,,,36 Meses,,,,Usados,21 990        EUR,8090893474,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8PyyZQ.html,Série 5,,,,,"5,90 l/100km",,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Smart,ForFour,EQ Passion,Eléctrico,Outubro,2021,14 000 km,,82 cv,,,Citadino,Preto,Automática,5,,Classe 1,36 Meses,Importado,Sim,Sim,Usados,18 750        EUR,8089717521,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-eq-passion-ID8PtD4R.html,,,Integral,,1,,,Metalizado,,,Sim,Sim,Sim,01/10/2029,,,,,,155 km,18 kWh/100km,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,Talento,1.6 M-Jet L1H1 Panorama,Diesel,Março,2019,135 000 km,1 598 cm3,125 cv,Sim,Sim,Monovolume,Preto,Manual,5,9,Classe 2,18 Meses,Nacional,Sim,Sim,Usados,29 990        EUR,8089781423,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-talento-1-6-m-jet-l1h1-panorama-ID8PtTHx.html,,6,Tracção dianteira,145 g/km,1,"6,40 l/100km","5,10 l/100km",,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,BMW,116,d EDynamics Line Sport,Diesel,Abril,2019,47 412 km,1 496 cm3,116 cv,,,Utilitário,Preto,Manual,5,5,,,Nacional,,Sim,Usados,19 750        EUR,8090866970,19 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-edynamics-line-sport-ID8Pys6m.html,Série 1,6,Tracção traseira,89 g/km,,"3,90 l/100km","3,10 l/100km",,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,3008,BlueHDi 130 Stop & Start EAT8 Allure Pack,Diesel,Junho,2018,122 000 km,1 499 cm3,131 cv,Sim,Sim,Monovolume,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,22 000        EUR,8089507699,19 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-bluehdi-130-stop-start-eat8-allure-pack-ID8PsKuD.html,,8,Tracção dianteira,102 g/km,1,"4,10 l/100km",,Metalizado,,154 €,Sim,,,,14/06/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A4 Avant,2.0 TDI Design S tronic,Diesel,Agosto,2018,189 000 km,1 968 cm3,150 cv,,Sim,Carrinha,Preto,Automática,5,5,,18 Meses,,Sim,,Usados,23 750        EUR,8090827939,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-design-s-tronic-ID8PyhVP.html,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Volvo,V40,2.0 D3 R-Design,Diesel,Dezembro,2017,83 000 km,1 969 cm3,150 cv,,Sim,Utilitário,Preto,Manual,5,5,,36 Meses,Importado,Sim,Sim,Usados,22 250        EUR,8090832139,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-r-design-ID8Pyj2z.html,,6,Tracção dianteira,,,,,,,,,Sim,,,22/12/2023,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MG,ZS,1.0 T-GDI Luxury Aut.,Gasolina,Novembro,2022,19 000 km,999 cm3,111 cv,,,SUV / TT,Preto,Automática,5,,,18 Meses,Nacional,,Sim,Usados,23 900        EUR,8090893421,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mg-zs-1-0-t-gdi-luxury-aut-ID8PyyYZ.html,,6,Tracção dianteira,163 g/km,,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Passat,2.0 TDI R-Line DSG,Diesel,Outubro,2016,128 000 km,1 968 cm3,150 cv,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,Nacional,,Sim,Usados,22 500        EUR,8090635145,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-2-0-tdi-r-line-dsg-ID8PxtNf.html,,,,,,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Kia,e-Soul,64kWh,Eléctrico,Julho,2020,62 528 km,,204 cv,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,36 Meses,Importado,Sim,Sim,Usados,29 500        EUR,8090817801,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-e-soul-64kwh-ID8Pyfjj.html,,,Tracção dianteira,,,,,,,,Sim,Sim,Sim,,25/07/2024,,,,,,,64 kWh,Própria,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Março,2020,72 332 km,999 cm3,100 cv,,Sim,Citadino,Cinzento,Manual,5,,,18 Meses,Nacional,,Sim,Usados,16 950        EUR,8090481485,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PvPOR.html,,5,Tracção dianteira,128 g/km,1,"5,60 l/100km","3,90 l/100km",,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Kia,XCeed,1.6 GDi PHEV Tech,Híbrido (Gasolina),Julho,2021,72 000 km,1 580 cm3,141 cv,,Sim,Utilitário,Branco,Automática,5,5,,24 Meses,Importado,Sim,Sim,Usados,29 450        EUR,8089810239,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-xceed-1-6-gdi-phev-tech-ID8Pu1cj.html,,,Tracção dianteira,,,,,,,,Sim,Sim,Sim,,01/07/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,320,d Touring Line Luxury,Diesel,Janeiro,2013,210 000 km,1 995 cm3,184 cv,Sim,Sim,Carrinha,Preto,Manual,5,5,,36 Meses,,,Sim,Usados,19 500        EUR,8088216063,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-line-luxury-ID8PnktN.html,Série 3,,,,1,,,,,,,Sim,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Golf Variant,1.6 TDi R-Line,Diesel,Junho,2019,193 553 km,1 598 cm3,115 cv,Sim,,Carrinha,Azul,Manual,5,5,Classe 1,18 Meses,Nacional,,,Usados,17 490        EUR,8090677976,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-r-line-ID8PxEV4.html,,5,Tracção dianteira,137 g/km,1,,,Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Golf Variant,2.0 TDi Confortline,Diesel,Junho,2018,262 028 km,1 968 cm3,150 cv,Sim,,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,,,Usados,15 990        EUR,8090677920,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-2-0-tdi-confortline-ID8PxEWa.html,,6,Tracção dianteira,135 g/km,1,,,Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,116,d Pack M Auto,Diesel,Abril,2021,52 926 km,1 496 cm3,116 cv,Sim,,Utilitário,Preto,Automática,5,5,,36 Meses,Nacional,,Sim,Usados,28 250        EUR,8088126069,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-auto-ID8PmX4h.html,Série 1,8,,100 g/km,1,,,Metalizado,Sim,,,Sim,,,,1 105 km,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Dacia,Spring,Electric 45 Essential,Eléctrico,Abril,2022,14 000 km,,45 cv,Sim,Sim,Citadino,Azul,Automática,5,,,18 Meses,Importado,Sim,Sim,Usados,16 950        EUR,8089780662,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-essential-ID8PtTwg.html,,,Tracção dianteira,,1,,,Metalizado,,,Sim,Sim,,,,,,,,230 km,"13,90 kWh/100km",,Própria,,StandVirtual,Yes,2023-10-21
Profissional,Dacia,Spring,Electric 45 Essential,Eléctrico,Maio,2022,6 300 km,,45 cv,Sim,Sim,Citadino,Cinzento,Automática,5,,,18 Meses,Importado,Sim,Sim,Usados,17 250        EUR,8089780574,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-essential-ID8PtTtQ.html,,,Tracção dianteira,,1,,,Metalizado,,,Sim,Sim,,,,,,,,230 km,"13,90 kWh/100km",,Própria,,StandVirtual,Yes,2023-10-21
Profissional,SEAT,Ateca,1.6 TDI Style,Diesel,Julho,2018,86 570 km,1 598 cm3,115 cv,,Sim,SUV / TT,Cinzento,Manual,5,5,,18 Meses,Nacional,,Sim,Usados,22 750        EUR,8090827949,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-6-tdi-style-ID8PyhVZ.html,,6,Tracção dianteira,140 g/km,1,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Ford,Focus SW,1.5 TDCi Titanium ECOnetic,Diesel,Agosto,2019,33 637 km,1 499 cm3,95 cv,,Sim,Carrinha,Azul,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,19 990        EUR,8090827864,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-econetic-ID8PyhWC.html,,6,Tracção dianteira,121 g/km,1,,,,,,Sim,Sim,,,30/08/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Juke,1.2 DIG-T N-Connecta Tecto Panoramico,Gasolina,Junho,2018,87 700 km,1 197 cm3,115 cv,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,17 950        EUR,8090680285,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-n-connecta-tecto-panoramico-ID8PxFxj.html,,,,,,,,Metalizado,,"154,12 €",Sim,Sim,,,01/06/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A3 Sportback,30 TFSI Advanced,Gasolina,Setembro,2021,38 241 km,999 cm3,110 cv,Sim,,Carrinha,Branco,Manual,5,5,,36 Meses,Nacional,,,Usados,26 990        EUR,8089710780,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-advanced-ID8PtBk8.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A7 Sportback,3.0 BiTDi V6 quattro S-line Tiptronic,Diesel,Março,2012,239 500 km,2 967 cm3,313 cv,Sim,Sim,Sedan,Prateado,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,26 990        EUR,8090611266,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a7-sportback-3-0-bitdi-v6-quattro-s-line-tiptronic-ID8PxnA6.html,,8,,,2,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500X,1.3 MJ Lounge,Diesel,Abril,2019,76 700 km,1 248 cm3,95 cv,,Sim,Utilitário,Branco,Manual,5,5,,36 Meses,,,Sim,Usados,16 250        EUR,8089914381,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-lounge-ID8Pusi1.html,,5,Tracção dianteira,126 g/km,,"4,90 l/100km","3,50 l/100km",Metalizado,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Audi,A4 Avant,2.0 TDI DPF quattro S tronic S line Sport Pack,Diesel,Fevereiro,2013,206 000 km,1 968 cm3,177 cv,,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,18 500        EUR,8090892529,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-dpf-quattro-s-tronic-s-line-sport-pack-ID8PyyKB.html,,7,Integral,144 g/km,1,"6,50 l/100km","4,90 l/100km",,Sim,,,Sim,,,,,,1,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Countryman,One D,Diesel,Dezembro,2019,112 000 km,1 496 cm3,116 cv,Sim,Sim,SUV / TT,Vermelho,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,19 900        EUR,8089565049,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PsZpD.html,,6,Tracção dianteira,,1,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mitsubishi,L200,2.4 DI-D CD Instyle Strakar 4WD,Diesel,Novembro,2017,247 000 km,2 442 cm3,181 cv,,Sim,SUV / TT,Cinzento,Manual,4,5,,18 Meses,Nacional,Sim,,Usados,26 900        EUR,8090726958,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-l200-2-4-di-d-cd-instyle-strakar-4wd-ID8PxRG6.html,,6,Tracção traseira,,1,"7,60 l/100km",,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Mercedes-Benz,A 200,CDi BE AMG Line Aut.,Diesel,Novembro,2012,122 000 km,1 796 cm3,136 cv,,Sim,Utilitário,Cinzento,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,18 750        EUR,8090154194,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-cdi-be-amg-line-aut-ID8PwsFY.html,Classe A,7,Tracção dianteira,116 g/km,,5 l/100km,"4,10 l/100km",,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Ford,Grand C-Max,1.5 TDCi Titanium PS.S/S,Diesel,Julho,2018,152 278 km,1 499 cm3,120 cv,,Sim,Monovolume,Preto,Automática,5,7,Classe 1,18 Meses,Importado,Sim,,Usados,17 700        EUR,8089236713,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-grand-c-max-1-5-tdci-titanium-ps-s-s-ID8PrBZT.html,,6,Tracção dianteira,,,"5,50 l/100km",,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Captur,1.0 TCe Exclusive,Gasolina,Junho,2021,50 000 km,999 cm3,90 cv,,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,20 850        EUR,8090817794,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-exclusive-ID8Pyfjc.html,,6,Tracção dianteira,130 g/km,1,6 l/100km,"4,50 l/100km",,,,,Sim,,,18/06/2025,,,,,,,,,"5,10 l/100km",StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio,1.0 TCe RS Line,Gasolina,Outubro,2020,41 711 km,999 cm3,100 cv,Sim,Sim,Citadino,Prateado,Manual,5,5,Classe 1,36 Meses,Nacional,,Sim,Usados,17 950        EUR,8090893380,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-rs-line-ID8PyyYk.html,,5,,,1,,,Metalizado,,,,Sim,,01/01/0001,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,MINI,Cooper,Auto,Gasolina,Abril,2021,75 071 km,1 499 cm3,136 cv,,,Utilitário,Preto,Automática,5,5,,36 Meses,,,,Usados,27 490        EUR,8090860817,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-auto-ID8Pyqw7.html,,7,Tracção dianteira,127 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,535,d Auto,Diesel,Novembro,2012,201 000 km,2 993 cm3,313 cv,,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,21 500        EUR,8090893284,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-535-d-auto-ID8PyyVM.html,Série 5,8,Tracção traseira,,,"6,20 l/100km","4,70 l/100km",Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane,,Diesel,Abril,2021,136 000 km,1 461 cm3,115 cv,,,Carrinha,Cinzento,Automática,5,5,Classe 1,18 Meses,Importado,,Sim,Usados,19 490        EUR,8090840097,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-ID8Pyl6W.html,,6,Tracção dianteira,,,,,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Citroën,C4 Spacetourer,1.5 BlueHDi Shine,Diesel,Janeiro,2020,135 189 km,1 499 cm3,130 cv,Sim,Sim,Monovolume,Prateado,Manual,5,7,Classe 1,18 Meses,Importado,Sim,Sim,Usados,23 900        EUR,8089619703,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-spacetourer-1-5-bluehdi-shine-ID8PtdD9.html,,6,,,,,,Metalizado,Sim,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Maio,2019,74 307 km,1 461 cm3,75 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,15 750        EUR,8089985975,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PuKUL.html,,,,,,,,Metalizado,Sim,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Mégane Sport Tourer,,Diesel,Março,2020,108 812 km,1 461 cm3,115 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,19 700        EUR,8090829405,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-ID8Pyikt.html,,6,Tracção dianteira,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500X,1.6 MJ City Cross S&S,Diesel,Abril,2016,105 000 km,1 598 cm3,120 cv,Sim,Sim,Citadino,Preto,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,15 999        EUR,8090850998,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-6-mj-city-cross-s-s-ID8PynVK.html,,6,Tracção dianteira,106 g/km,,"4,40 l/100km","3,80 l/100km",Metalizado,,,Sim,Sim,,,30/04/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,SEAT,Alhambra,2.0 TDI Ecomotive Style,Diesel,Maio,2015,177 400 km,1 968 cm3,140 cv,,,Monovolume,Castanho,Manual,5,7,Classe 1,,Nacional,Sim,Sim,Usados,19 400        EUR,8090841536,18 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-alhambra-2-0-tdi-ecomotive-style-ID8Pylu8.html,,6,Tracção dianteira,130 g/km,,"6,80 l/100km","4,50 l/100km",,Sim,,,,,,01/05/2024,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line Design,Gasolina,Janeiro,2023,7 698 km,998 cm3,125 cv,Sim,Sim,SUV / TT,Preto,Manual,5,5,Classe 1,36 Meses,Nacional,Sim,Sim,Usados,24 400        EUR,8090074950,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-design-ID8Pw83Q.html,,6,Tracção dianteira,121 g/km,,"4,90 l/100km","3,90 l/100km",Metalizado,,"108,32 €",Sim,Sim,,10/01/2026,13/01/2027,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Astra Sports Tourer,1.6 CDTi Cosmo S/S,Diesel,Novembro,2017,109 500 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,15 900        EUR,8089991032,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-s-ID8PuMek.html,,,,,,,,Metalizado,Sim,,Sim,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Nissan,Micra,1.0 IG-T N-Design Black P:Navi CVT,Gasolina,Junho,2021,21 614 km,999 cm3,92 cv,,Sim,Utilitário,Branco,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,18 990        EUR,8090154408,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-design-black-pnavi-cvt-ID8PwsJq.html,,6,Tracção dianteira,143 g/km,,,,,,,Sim,Sim,,30/06/2024,30/06/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,3008,1.2 PureTech Allure,Gasolina,Janeiro,2019,99 814 km,1 199 cm3,130 cv,Sim,Sim,SUV / TT,Preto,Manual,5,5,,24 Meses,,,,Usados,22 500        EUR,8089652585,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-allure-ID8Ptmbw.html,,,,,,,,,,,,Sim,,,01/01/2025,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,T-Roc,1.6 TDI Style,Diesel,Novembro,2019,122 925 km,1 598 cm3,115 cv,,,SUV / TT,Preto,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,22 750        EUR,8090893093,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-6-tdi-style-ID8PyyTH.html,,6,Tracção dianteira,138 g/km,1,"4,90 l/100km","3,90 l/100km",Metalizado,,,Sim,,,,,,,,18 000 km,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Peugeot,5008,1.6 BlueHDi Allure J18,Diesel,Setembro,2017,118 840 km,1 560 cm3,120 cv,,,SUV / TT,Azul,Manual,5,7,Classe 1,18 Meses,,Sim,Sim,Usados,24 990        EUR,8090325585,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-allure-j18-ID8Pvbgl.html,,6,Tracção dianteira,115 g/km,,5 l/100km,"4,10 l/100km",Metalizado,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,VW,Polo,1.6 TDI Trendline,Diesel,Julho,2018,138 314 km,1 598 cm3,80 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,16 250        EUR,8089117234,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-6-tdi-trendline-ID8Pr6UO.html,,,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
