Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,IUC,Filtro de partículas,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Sub-modelo,Valor Fixo,Consumo Combinado,Autonomia,Bateria,IVA Discriminado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,ou até,Capacidade da bateria,Consumo,Valor sem ISV,Clássico,Site,Portugal
Profissional,Peugeot,208,1.2 PureTech Active Pack,Gasolina,Maio,2020,34 757 km,1 199 cm3,75 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,,Sim,Sim,Sim,Usados,16 450        EUR,8089936747,11 Julho 2023,,,,,,,,Sim,"4,10 l/100km",,,,Sim,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Spring,Electric 45 Expression,Eléctrico,Maio,2023,80 km,,45 cv,,Sim,Citadino,Branco,,Automática,,5,4,Classe 1,Tracção dianteira,18 Meses,,Nacional,,,Sim,Novos,23 750        EUR,8089605494,11 Julho 2023,,,,,,,,Sim,,270 km,Própria,,Sim,305 km,09/05/2026,,,10 kWh/100km,,,StandVirtual,Yes
Profissional,Dacia,Spring,Electric 45 Essential,Eléctrico,Abril,2022,14 000 km,,45 cv,Sim,Sim,Citadino,Azul,Metalizado,Automática,,5,,,Tracção dianteira,18 Meses,1,Importado,Sim,Sim,Sim,Usados,17 990        EUR,8089780662,7 Julho 2023,,,,,,,,Sim,,230 km,Própria,,,,,,,"13,90 kWh/100km",,,StandVirtual,Yes
Profissional,Audi,A5 Cabrio,3.0 TDi Multitronic S-line,Diesel,Março,2013,142 112 km,2 967 cm3,204 cv,Sim,Sim,Cabrio,Cinzento,Metalizado,Automática,8,2,4,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,27 250        EUR,8089386512,11 Julho 2023,,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring Advantage,Diesel,Novembro,2018,69 250 km,1 995 cm3,150 cv,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,,,18 Meses,,Nacional,,,Sim,Usados,24 300        EUR,8089852246,11 Julho 2023,,,Sim,,,,Série 3,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Outubro,2019,113 000 km,1 496 cm3,95 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,,Tracção dianteira,36 Meses,1,,Sim,Sim,Sim,Usados,18 900        EUR,8089787231,11 Julho 2023,97 g/km,,Sim,,"4,20 l/100km","3,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Setembro,2019,106 000 km,1 496 cm3,95 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,,Tracção dianteira,36 Meses,1,,,Sim,,Usados,19 900        EUR,8089787012,11 Julho 2023,97 g/km,,Sim,,"4,20 l/100km","3,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulia,2.2 D,Diesel,Agosto,2018,26 000 km,2 143 cm3,150 cv,Sim,Sim,Sedan,Preto,,Manual,,4,5,Classe 1,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,27 500        EUR,8089969278,11 Julho 2023,,"235,26 €",Sim,,,,,Sim,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,,Diesel,Outubro,2018,134 000 km,1 496 cm3,116 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,36 Meses,1,,Sim,Sim,Sim,Usados,18 490        EUR,8089783814,11 Julho 2023,,,,,,,Série 1,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,d Pack M,Diesel,Março,2019,140 000 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,,Tracção dianteira,36 Meses,1,,Sim,Sim,Sim,Usados,21 490        EUR,8089787404,11 Julho 2023,122 g/km,,,,,,Série 1,,,,,,,,,,,,,,StandVirtual,Yes
