Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Origem,Aceita retoma,Possibilidade de financiamento,Registo(s),IUC,Consumo Combinado,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Autonomia,Capacidade da bateria,ou até,Bateria,Consumo,Gancho de Reboque,Site,Portugal,Data
Profissional,Peugeot,508 SW,2.0 HDi Allure,Diesel,Abril,2013,265 000 km,1 997 cm3,140 cv,Carrinha,Branco,,Manual,,5,5,,,,,,18 Meses,,Sim,Sim,"6,80 l/100km",,Usados,10 000        EUR,8090582773,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-2-0-hdi-allure-ID8Pxgax.html,Sim,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Ibiza,1.0 EcoTSI Reference,Gasolina,Março,2018,63 787 km,999 cm3,95 cv,Utilitário,Prateado,,Manual,,5,5,Classe 1,Tracção dianteira,106 g/km,,,18 Meses,,Sim,Sim,"5,80 l/100km","4,10 l/100km",Usados,13 950        EUR,8090701031,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-ecotsi-reference-ID8PxKWW.html,Sim,Nacional,Sim,Sim,,"108,32 €","4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Maio,2014,108 000 km,1 461 cm3,90 cv,SUV / TT,Laranja,,Manual,5,5,5,Classe 1,Tracção dianteira,139 g/km,,,18 Meses,Sim,Sim,Sim,"4,60 l/100km","3,90 l/100km",Usados,13 450        EUR,8090109053,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PwgWT.html,,,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Nissan,Micra,0.9 IG-T Tekna S/S,Gasolina,Junho,2018,81 000 km,898 cm3,90 cv,Citadino,Prateado,,Manual,5,5,5,Classe 1,,,,,18 Meses,Sim,Sim,Sim,,,Usados,13 990        EUR,8090617255,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-tekna-s-s-ID8Pxp8H.html,,,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Novembro,2018,148 243 km,1 499 cm3,102 cv,Carrinha,Preto,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,,,Usados,13 499        EUR,8090067301,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8Pw64t.html,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Outubro,2014,169 000 km,898 cm3,90 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,141 g/km,,,18 Meses,,,Sim,"6,60 l/100km","4,50 l/100km",Usados,8 950        EUR,8090259918,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PwUbc.html,Sim,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500L,0.9 8V TwinAir Trekking S&S,Gasolina,Dezembro,2014,120 506 km,875 cm3,105 cv,Monovolume,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,,Sim,,,Usados,11 950        EUR,8090634009,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-0-9-8v-twinair-trekking-s-s-ID8PxtuW.html,Sim,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,Qubo,,Diesel,Junho,2010,149 355 km,1 248 cm3,75 cv,Carrinha,Vermelho,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,Sim,,,Usados,10 450        EUR,8089914375,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-qubo-ID8PushW.html,Sim,,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Junho,2013,229 850 km,1 560 cm3,92 cv,Coupé,Cinzento,Metalizado,Manual,5,3,5,Classe 1,Tracção dianteira,98 g/km,,,36 Meses,,,,"4,40 l/100km","3,30 l/100km",Usados,9 800        EUR,8090633937,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PxttL.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Opel,Corsa,1.4 Enjoy Easytronic,Gasolina,Abril,2016,103 657 km,1 398 cm3,90 cv,Citadino,Prateado,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,,Sim,,,Usados,12 750        EUR,8090633933,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-4-enjoy-easytronic-ID8PxttH.html,Sim,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
