Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Origem,Aceita retoma,Possibilidade de financiamento,Registo(s),IUC,Consumo Combinado,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Autonomia,Capacidade da bateria,ou até,Bateria,Consumo,Gancho de Reboque,Site,Portugal,Data
Profissional,VW,Passat Variant,2.0 TDi Confortline DSG,Diesel,Janeiro,2019,169 500 km,1 968 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,6,5,,Classe 1,Tracção dianteira,,,,18 Meses,Sim,,Sim,"5,10 l/100km",,Usados,20 490        EUR,8089054018,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-confortline-dsg-ID8PqQtc.html,Sim,Nacional,,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,3008,,Diesel,Novembro,2017,139 186 km,1 560 cm3,120 cv,SUV / TT,Cinzento,,Automática,6,5,5,Classe 1,,108 g/km,Sim,,18 Meses,Sim,Sim,Sim,,,Usados,23 750        EUR,8087850175,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-ID8PlNin.html,Sim,Importado,Sim,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Captur,,Diesel,Janeiro,2020,47 000 km,1 461 cm3,115 cv,SUV / TT,Vermelho,,Manual,6,5,5,Classe 1,,111 g/km,Sim,,18 Meses,Sim,Sim,Sim,,,Usados,26 500        EUR,8089134501,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-ID8Prbpj.html,Sim,Importado,Sim,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,318,,Diesel,Abril,2017,203 000 km,1 995 cm3,150 cv,Sedan,Preto,Metalizado,Manual,6,5,5,Classe 1,,121 g/km,Sim,,18 Meses,Sim,Sim,Sim,,,Usados,23 900        EUR,8089134495,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-ID8Prbpd.html,Sim,Importado,Sim,,1,,,,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,C 200,,Diesel,Setembro,2016,146 000 km,1 598 cm3,136 cv,Carrinha,Preto,,Manual,6,5,5,Classe 1,,109 g/km,Sim,,18 Meses,,Sim,,,,Usados,23 750        EUR,8087788759,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-ID8PlxjN.html,Sim,,Sim,Sim,1,,,,,,Classe C,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,A 200,d AMG Line Aut.,Diesel,Maio,2017,113 500 km,2 143 cm3,136 cv,Utilitário,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,105 g/km,Sim,,18 Meses,Sim,Sim,Sim,"5,20 l/100km","3,40 l/100km",Usados,25 500        EUR,8089851701,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-d-amg-line-aut-ID8PubZ3.html,Sim,Nacional,Sim,Sim,,,,,,,Classe A,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mazda,MX-30,e-SKYACTIV Prime-Line,Eléctrico,Dezembro,2020,20 000 km,,145 cv,SUV / TT,Cinzento,Metalizado,Automática,,5,5,Classe 1,,,,,18 Meses,Sim,Sim,Sim,,,Usados,25 750        EUR,8090586711,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-mx-30-e-skyactiv-prime-line-ID8Pxhc3.html,Sim,,Sim,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Fevereiro,2017,100 000 km,1 461 cm3,90 cv,SUV / TT,Bege,,Manual,,5,5,Classe 1,,,Sim,,18 Meses,,Sim,Sim,,,Usados,15 500        EUR,8090586676,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8Pxhbu.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,C3 Aircross,1.2 PureTech Shine,Gasolina,Março,2019,31 050 km,1 199 cm3,82 cv,SUV / TT,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,116 g/km,,,18 Meses,Sim,,Sim,"5,90 l/100km","4,60 l/100km",Usados,15 750        EUR,8090065405,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-shine-ID8Pw5zT.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Cooper,Auto,Gasolina,Agosto,2020,23 000 km,1 499 cm3,136 cv,Utilitário,Branco,Mate,Automática,7,5,5,Classe 1,Tracção dianteira,,,,36 Meses,Sim,Sim,Sim,"6,50 l/100km","4,60 l/100km",Usados,28 500        EUR,8088417491,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-auto-ID8PoaSD.html,Sim,Importado,Sim,Sim,1,,"5,20 l/100km",,,30/09/2025,,,,100 000 km,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,330,e iPerformance Pack M,Híbrido (Gasolina),Novembro,2016,118 891 km,1 998 cm3,252 cv,Sedan,Cinzento,Metalizado,Automática,,4,5,,,,,,18 Meses,,,Sim,,,Usados,27 990        EUR,8090113452,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-330-e-iperformance-pack-m-ID8Pwi4Q.html,,Importado,Sim,,,,,,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-26
Particular,MINI,Cabrio,One,Gasolina,Maio,2016,91 843 km,1 198 cm3,102 cv,Cabrio,Bege,,Manual,6,2,4,,Tracção dianteira,116 g/km,,,,,,,"5,90 l/100km","4,40 l/100km",Usados,15 900        EUR,8090325831,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-one-ID8Pvbkj.html,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Fevereiro,2017,103 500 km,1 461 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,,Classe 1,Tracção dianteira,93 g/km,Sim,,18 Meses,Sim,Sim,Sim,"3,90 l/100km","3,40 l/100km",Usados,15 990        EUR,8089718368,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ss-ID8PtDiv.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Zoe,Intens 50,Eléctrico,Dezembro,2022,8 000 km,,136 cv,Citadino,Vermelho,,Automática,,5,5,,,,,,36 Meses,,,,,,Usados,29 750        EUR,8090586653,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8Pxhb7.html,Sim,Importado,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Zoe,Intens 50,Eléctrico,Maio,2022,16 000 km,,136 cv,Citadino,Vermelho,,Automática,,5,5,,,,,,36 Meses,,,,,,Usados,29 750        EUR,8090586655,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8Pxhb9.html,Sim,Importado,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.5 BlueHDi Active,Diesel,Maio,2019,106 839 km,1 499 cm3,130 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,92 g/km,,,18 Meses,,,Sim,,,Usados,17 450        EUR,8089711008,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-active-ID8PtBnO.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Abril,2019,104 557 km,1 499 cm3,102 cv,Citadino,Preto,,Manual,6,5,5,,Tracção dianteira,,,,18 Meses,,,,,,Usados,17 400        EUR,8090535538,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-signature-ID8Px3SG.html,,Nacional,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,BMW,i3,120Ah,Eléctrico,Dezembro,2019,27 500 km,,170 cv,Utilitário,Preto,Metalizado,Automática,,5,4,Classe 1,Tracção traseira,,,,,Sim,Sim,Sim,,,Usados,25 990        EUR,8090294373,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-120ah-ID8Pv38W.html,,Importado,,,1,,,,410 km,01/12/2027,Série i,410 km,44 kWh,160 000 km,Própria,11 kWh/100km,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Grand Scénic,1.5 dCi Intens EDC SS,Diesel,Novembro,2018,147 000 km,1 461 cm3,110 cv,Monovolume,Azul,Metalizado,Automática,7,5,7,,Tracção dianteira,104 g/km,,,18 Meses,,Sim,,"4,20 l/100km","3,90 l/100km",Usados,19 900        EUR,8090691243,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-intens-edc-ss-ID8PxIo3.html,Sim,,Sim,Sim,1,155 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2022,28 900 km,1 199 cm3,101 cv,Utilitário,Branco,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,20 750        EUR,8090700873,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKTn.html,Sim,Nacional,,,,,5 l/100km,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Jaguar,XE,2.0 D Portfolio Aut.,Diesel,Novembro,2015,141 000 km,1 999 cm3,180 cv,Sedan,Azul,Metalizado,Automática,,4,,,,,,,18 Meses,Sim,,Sim,"5,10 l/100km",,Usados,25 000        EUR,8087619644,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-portfolio-aut-ID8PkPk8.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Zoe,Intens 50,Eléctrico,Setembro,2022,13 800 km,,136 cv,Citadino,Preto,,Automática,,5,5,,,,,,36 Meses,,,,,,Usados,29 750        EUR,8090586654,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8Pxhb8.html,Sim,Importado,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2020,39 500 km,1 199 cm3,101 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,17 990        EUR,8090700864,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKTe.html,Sim,Nacional,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.2 PureTech Active Pack,Gasolina,Agosto,2022,19 000 km,1 199 cm3,130 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,,Sim,,,Usados,27 400        EUR,8090340352,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-2-puretech-active-pack-ID8Pvf6v.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Audi,TT Coupé,2.0 TDI quattro S-line,Diesel,Dezembro,2010,138 932 km,1 968 cm3,170 cv,Coupé,Branco,Metalizado,Manual,6,3,4,,,,,,36 Meses,,,Sim,7 l/100km,,Usados,19 490        EUR,8090633721,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-tt-coup-2-0-tdi-quattro-s-line-ID8Pxtqh.html,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,e-208,Active Pack,Eléctrico,Setembro,2021,19 866 km,,136 cv,Utilitário,Branco,,Automática,,5,5,,,,,,36 Meses,,,,,,Usados,26 490        EUR,8090700855,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-e-208-active-pack-ID8PxKT5.html,Sim,Nacional,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,X1,16 d sDrive Advantage Auto,Diesel,Junho,2019,91 000 km,1 496 cm3,116 cv,SUV / TT,Preto,,Automática,,5,5,,,120 g/km,,,36 Meses,,,,"4,60 l/100km","3,60 l/100km",Usados,28 450        EUR,8090700856,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-advantage-auto-ID8PxKT6.html,Sim,Nacional,,,,,"3,90 l/100km",,,26/09/2026,Série X,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Audi,A4,50 TDI quattro Tiptronic,Diesel,Maio,2019,114 000 km,2 967 cm3,286 cv,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,,,,,18 Meses,Sim,Sim,Sim,,,Usados,29 500        EUR,8090700852,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-50-tdi-quattro-tiptronic-ID8PxKT2.html,Sim,Nacional,Sim,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,2008,1.2 PureTech Active Pack,Gasolina,Fevereiro,2020,39 500 km,1 199 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,Sim,"5,30 l/100km",,Usados,22 500        EUR,8089037396,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-active-pack-ID8PqM96.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,116,d Advantage,Diesel,Janeiro,2019,70 000 km,1 496 cm3,116 cv,Utilitário,Preto,,Manual,,5,5,,,110 g/km,,,36 Meses,,,,"4,70 l/100km","3,60 l/100km",Usados,21 450        EUR,8090700850,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-advantage-ID8PxKT0.html,Sim,Nacional,,,,,4 l/100km,,,26/09/2026,Série 1,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2022,33 116 km,1 199 cm3,101 cv,Utilitário,Branco,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,20 750        EUR,8090700848,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKSY.html,Sim,Nacional,,,,,"5,10 l/100km",,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2022,41 851 km,1 199 cm3,101 cv,Utilitário,Branco,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,20 750        EUR,8090700839,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKSP.html,Sim,Nacional,,,,,"5,10 l/100km",,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308,1.2 PureTech Active Pack,Gasolina,Março,2023,6 257 km,1 199 cm3,130 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,25 990        EUR,8090700831,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-puretech-active-pack-ID8PxKSH.html,Sim,Nacional,,,,,"5,50 l/100km",,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.5 BlueHDi Business Line,Diesel,Julho,2019,123 485 km,1 499 cm3,130 cv,Carrinha,Cinzento,,Manual,,5,5,Classe 1,,92 g/km,,,18 Meses,,,Sim,,,Usados,16 500        EUR,8090700824,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-business-line-ID8PxKSA.html,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Setembro,2018,105 000 km,1 499 cm3,130 cv,Carrinha,Cinzento,,Manual,,5,5,,Tracção dianteira,95 g/km,,,18 Meses,,Sim,Sim,,,Usados,16 240        EUR,8089526752,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PsPrV.html,,Nacional,Sim,Sim,1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Volvo,V40,1.5 T3 Sport Edition R Geartronic,Gasolina,Fevereiro,2019,53 600 km,1 498 cm3,152 cv,Utilitário,Cinzento,,Automática,6,5,5,Classe 1,,,,,24 Meses,,,,,,Usados,24 700        EUR,8089316376,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-5-t3-sport-edition-r-geartronic-ID8PrVIM.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Dezembro,2021,23 294 km,1 199 cm3,101 cv,Utilitário,Cinzento,,Manual,6,5,5,,,,,,18 Meses,,,Sim,"5,20 l/100km",,Usados,19 490        EUR,8089199449,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-ID8PrsiR.html,Sim,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500C,1.2 Anniversario Dualogic,Gasolina,Fevereiro,2015,76 600 km,1 242 cm3,69 cv,Cabrio,Branco,,Automática,,2,4,,,,,01/02/2024,18 Meses,,Sim,Sim,,,Usados,16 497        EUR,8088003432,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-anniversario-dualogic-ID8Pmrag.html,,Importado,,Sim,,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,A 180,CDi BE Urban Aut.,Diesel,Janeiro,2016,144 704 km,1 461 cm3,109 cv,Utilitário,Prateado,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,,29/01/2024,24 Meses,,Sim,Sim,,,Usados,19 900        EUR,8090298464,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-cdi-be-urban-aut-ID8Pv4cU.html,Sim,,Sim,Sim,,,,,,,Classe A,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,318,,Diesel,Agosto,2017,109 208 km,1 995 cm3,150 cv,Carrinha,Branco,Metalizado,Automática,,5,5,Classe 1,Tracção traseira,,,27/05/2021,24 Meses,,Sim,Sim,,,Usados,24 900        EUR,8088793349,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-ID8PpKER.html,,,Sim,Sim,,,,,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Nissan,Qashqai,,Diesel,Junho,2018,89 136 km,1 461 cm3,110 cv,SUV / TT,Prateado,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,29/06/2024,24 Meses,,Sim,Sim,,,Usados,21 900        EUR,8090508636,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PvVSM.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Grand Scénic,1.5 dCi Dynamique S SS,Diesel,Fevereiro,2017,157 951 km,1 461 cm3,110 cv,Monovolume,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,Sim,20/02/2025,24 Meses,,Sim,Sim,,,Usados,16 500        EUR,8090112563,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-dynamique-s-ss-ID8PwhQw.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,E 250,CDi Avantgarde BlueEfficiency,Diesel,Julho,2011,184 000 km,2 143 cm3,204 cv,Coupé,Prateado,Metalizado,Manual,6,3,,,Tracção traseira,,,,18 Meses,Sim,Sim,Sim,"6,30 l/100km",,Usados,18 500        EUR,8089249917,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-cdi-avantgarde-blueefficiency-ID8PrFqR.html,Sim,,Sim,Sim,2,,,,,,Classe E,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,BMW,320,d Pack M Auto,Diesel,Março,2017,93 750 km,1 995 cm3,190 cv,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,Tracção traseira,,Sim,,18 Meses,Sim,Sim,Sim,"5,30 l/100km",,Usados,29 990        EUR,8087527627,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-pack-m-auto-ID8PkrnZ.html,Sim,Nacional,Sim,Sim,1,,,,,,Série 3,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,VW,Passat Variant,2.0 TDi Confortline,Diesel,Setembro,2015,184 000 km,1 968 cm3,150 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,,,,,,18 Meses,,,Sim,,,Usados,16 500        EUR,8090446469,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-2-0-tdi-confortline-ID8PvGI5.html,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,e-208,Active Pack,Eléctrico,Setembro,2021,14 900 km,,136 cv,Utilitário,Cinzento,,Automática,,5,5,,,,,,36 Meses,,,,,,Usados,26 490        EUR,8090700817,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-e-208-active-pack-ID8PxKSt.html,Sim,Nacional,,,,,,,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Mercedes-Benz,C 220,D,Diesel,Março,2019,137 000 km,1 950 cm3,194 cv,Sedan,Preto,Metalizado,Automática,9,4,5,,,,,,18 Meses,,,Sim,,,Usados,29 900        EUR,8090153983,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-ID8PwsCz.html,Sim,Nacional,Sim,Sim,,,,,,,Classe C,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Fevereiro,2022,35 520 km,1 199 cm3,101 cv,Utilitário,Branco,,Manual,,5,5,,,,,,36 Meses,,,,,,Usados,20 790        EUR,8090700806,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8PxKSi.html,Sim,Nacional,,,,,"5,10 l/100km",,,26/09/2026,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,3008,1.5 BlueHDi Allure EAT8,Diesel,Setembro,2020,73 500 km,1 499 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,135 g/km,,,18 Meses,Sim,Sim,,"4,10 l/100km","3,60 l/100km",Usados,27 900        EUR,8090677974,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-eat8-ID8PxEV2.html,Sim,,Sim,Sim,1,155 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,3008,1.5 BlueHDi Active Pack EAT8,Diesel,Junho,2018,122 000 km,1 499 cm3,130 cv,SUV / TT,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,102 g/km,,,18 Meses,Sim,Sim,Sim,"4,10 l/100km",,Usados,22 500        EUR,8089507699,21 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-active-pack-eat8-ID8PsKuD.html,Sim,,Sim,,1,154 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,One,Sport Edition,Gasolina,Janeiro,2020,68 000 km,1 499 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,,,,18 Meses,Sim,Sim,Sim,,,Usados,24 900        EUR,8089064131,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-sport-edition-ID8PqT6j.html,Sim,Nacional,Sim,,1,"180,34 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Abril,2018,112 092 km,1 461 cm3,110 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,27/04/2024,18 Meses,Sim,Sim,Sim,"4,20 l/100km",,Usados,17 490        EUR,8088367670,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PnXW4.html,Sim,Nacional,Sim,Sim,1,"148,28 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Toyota,Hilux,2.5 D-4D 4WD CD CM AC,Diesel,Junho,2016,160 000 km,2 494 cm3,144 cv,SUV / TT,Branco,,Manual,5,4,3,,,,,,18 Meses,,,Sim,,,Usados,26 900        EUR,8090253635,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-hilux-2-5-d-4d-4wd-cd-cm-ac-ID8PwSxR.html,Sim,Nacional,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,MINI,Cabrio,,Diesel,Junho,2017,89 545 km,1 496 cm3,115 cv,Citadino,Cinzento,Metalizado,Manual,6,3,4,Classe 1,,,,22/06/2025,24 Meses,,Sim,Sim,,,Usados,21 500        EUR,8090251899,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-ID8PwS5R.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Smart,ForFour,Electric Drive Prime,Eléctrico,Dezembro,2018,50 800 km,,82 cv,Utilitário,Branco,Metalizado,Automática,,5,4,Classe 1,,,,27/12/2024,24 Meses,,Sim,Sim,,,Usados,15 900        EUR,8090102368,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-prime-ID8Pwfc4.html,Sim,,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Volvo,V40 Cross Country,,Diesel,Abril,2018,151 969 km,1 969 cm3,120 cv,Utilitário,Branco,Metalizado,Automática,,5,5,Classe 1,,,Sim,,18 Meses,Sim,Sim,Sim,,,Usados,24 900        EUR,8087569470,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-cross-country-ID8PkCgS.html,Sim,Importado,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
