Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Emissões CO2,Sub-modelo,Tipo de cor,Filtro de partículas,Consumo Urbano,Registo(s),2º Chave,Consumo Extra Urbano,Consumo Combinado,IUC,Gancho de Reboque,Inspecção válida até,Autonomia Máxima,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Valor sem ISV,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Dezembro,2019,85 215 km,1 461 cm3,90 cv,Sim,,Sim,Carrinha,Branco,Manual,,5,5,,,18 Meses,,,,Usados,14 749        EUR,8090544801,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8Px6i5.html,Sim,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Fiesta,1.0 Ti-VCT Trend,Gasolina,Junho,2017,116 575 km,998 cm3,80 cv,,,Sim,Citadino,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,,Usados,12 250        EUR,8088723300,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-trend-ID8Ppsr2.html,Sim,,,Metalizado,,"5,10 l/100km",1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo Station Wagon,1.6 M-Jet Lounge DCT,Diesel,Novembro,2017,146 070 km,1 598 cm3,120 cv,,,Sim,Carrinha,Preto,Automática,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,,Usados,14 650        EUR,8089291233,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-6-m-jet-lounge-dct-ID8PrQbf.html,Sim,101 g/km,,Metalizado,,"5,20 l/100km",1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500C,1.3 16V Multijet Lounge,Diesel,Outubro,2013,120 453 km,1 248 cm3,95 cv,,,Sim,Pequeno citadino,Vermelho,Manual,,2,4,Classe 1,,18 Meses,Nacional,,Sim,Usados,9 799        EUR,8088543664,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-3-16v-multijet-lounge-ID8PoHHG.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Toyota,Aygo,,Gasolina,Janeiro,2014,152 000 km,998 cm3,69 cv,,,Sim,Utilitário,Branco,Manual,5,5,4,Classe 1,,18 Meses,,,,Usados,7 500        EUR,8088653214,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-ID8PpacC.html,Sim,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Dacia,Duster,1.5 Blue dCi Prestige,Diesel,Agosto,2019,179 000 km,1 461 cm3,115 cv,,,,SUV / TT,Dourado,Manual,6,5,,,Tracção dianteira,,Importado,,,Usados,14 500        EUR,8090613730,18 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-blue-dci-prestige-ID8PxodQ.html,,127 g/km,,,Sim,"4,70 l/100km",,,"3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500,1.2 Lounge,Gasolina,Julho,2019,70 362 km,1 242 cm3,69 cv,,,Sim,Pequeno citadino,Preto,Manual,5,3,4,,,18 Meses,Nacional,,,Usados,11 800        EUR,8090617627,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxpeH.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Outubro,2015,96 956 km,1 199 cm3,82 cv,Sim,,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,,18 Meses,,,,Usados,13 450        EUR,8090494520,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8PvTd6.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,MINI,Cooper,D,Diesel,Outubro,2013,96 000 km,1 598 cm3,112 cv,Sim,,Sim,Citadino,Bege,Manual,6,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,13 490        EUR,8090643348,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PxwWy.html,Sim,99 g/km,,Metalizado,Sim,"4,20 l/100km",2,Sim,"3,50 l/100km",,,,30/10/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,BMW,520,d,Diesel,Maio,2011,229 000 km,1 995 cm3,184 cv,Sim,,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,14 900        EUR,8089839814,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-ID8Pu8Tk.html,Sim,,Série 5,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,208,1.2 VTi Active,Gasolina,Junho,2014,85 000 km,1 199 cm3,82 cv,Sim,,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,10 500        EUR,8089139453,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8PrcHb.html,Sim,104 g/km,,Metalizado,,"5,60 l/100km",1,Sim,,,,,30/06/2023,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Maio,2015,127 120 km,1 499 cm3,120 cv,,,Sim,Carrinha,Preto,Manual,6,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 950        EUR,8090381163,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PvpIL.html,Sim,99 g/km,,Metalizado,,"4,30 l/100km",1,Sim,"3,40 l/100km",,,,06/06/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Kia,Ceed SW,1.6 CRDi TX ISG,Diesel,Dezembro,2010,240 935 km,1 582 cm3,128 cv,,,Sim,Carrinha,Preto,Manual,6,5,5,,,18 Meses,Nacional,,,Usados,8 699        EUR,8089503755,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-6-crdi-tx-isg-ID8PsJt1.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Polo,1.0 Trendline,Gasolina,Março,2016,82 000 km,999 cm3,75 cv,Sim,,Sim,Utilitário,Cinzento,Manual,5,3,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 990        EUR,8089489990,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-trendline-ID8PsFT0.html,Sim,108 g/km,,Metalizado,,"5,80 l/100km",2,Sim,,,,,30/03/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,3008,1.6 e-HDi Allure 2-Tronic,Diesel,Janeiro,2014,105 120 km,1 560 cm3,115 cv,,,Sim,SUV / TT,Cinzento,Automática,6,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,14 950        EUR,8090381630,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-e-hdi-allure-2-tronic-ID8PvpQi.html,Sim,110 g/km,,Metalizado,,"4,50 l/100km",1,Sim,4 l/100km,,,,14/01/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500L,1.3 MJ Pop Star S&S,Diesel,Dezembro,2015,115 000 km,1 248 cm3,85 cv,Sim,,Sim,Monovolume,Vermelho,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 899        EUR,8090405266,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-pop-star-s-s-ID8PvwZv.html,Sim,,,Metalizado,,5 l/100km,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Smart,ForFour,Electric Drive Prime,Eléctrico,Outubro,2019,40 000 km,,82 cv,Sim,Sim,Sim,Citadino,Preto,Automática,,5,4,Classe 1,Tracção dianteira,36 Meses,,Sim,Sim,Usados,14 500        EUR,8088443583,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-electric-drive-prime-ID8PohFt.html,Sim,,,Metalizado,,,1,Sim,,,,,,,160 km,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Volvo,C30,1.6 D2 R-Design Start/Stop,Diesel,Julho,2011,202 000 km,1 560 cm3,115 cv,Sim,,Sim,Coupé,Branco,Manual,6,3,4,Classe 1,Tracção dianteira,18 Meses,Importado,,Sim,Usados,8 450        EUR,8090674298,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-c30-1-6-d2-r-design-start-stop-ID8PxDYK.html,Sim,94 g/km,,Mate,Sim,"4,20 l/100km",2,Sim,"3,30 l/100km",,148 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Junho,2017,74 991 km,1 461 cm3,110 cv,,,,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,14 950        EUR,8090674295,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8PxDYH.html,,95 g/km,,Metalizado,,"4,20 l/100km",1,Sim,"3,40 l/100km",,154 €,,30/06/2025,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Smart,ForFour,1.0 Prime 71 Aut.,Gasolina,Junho,2015,52 000 km,999 cm3,71 cv,,,Sim,Citadino,Cinzento,Automática,6,5,4,Classe 1,Tracção traseira,18 Meses,,,Sim,Usados,12 490        EUR,8089710475,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-prime-71-aut-ID8PtBfd.html,Sim,96 g/km,,Metalizado,,5 l/100km,1,Sim,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Juke,1.6 S&S Tekna,Gasolina,Setembro,2011,132 690 km,1 598 cm3,117 cv,,,Sim,SUV / TT,Preto,Manual,5,5,,Classe 1,Tracção dianteira,18 Meses,,Sim,,Usados,11 990        EUR,8090103682,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-6-s-s-tekna-ID8Pwfxg.html,Sim,147 g/km,,Metalizado,,"7,70 l/100km",,Sim,"5,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Up!,1.0 Move,Gasolina,Junho,2019,90 700 km,999 cm3,60 cv,,,Sim,Citadino,Preto,Manual,,5,5,,,18 Meses,,,Sim,Usados,12 450        EUR,8088015880,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-move-ID8Pmup2.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Skoda,Fabia Break,1.2 TDi Ambition,Diesel,Novembro,2013,118 739 km,1 199 cm3,75 cv,,,Sim,Carrinha,Prateado,Manual,5,5,5,Classe 1,,18 Meses,Nacional,,Sim,Usados,9 450        EUR,8084430998,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-fabia-break-1-2-tdi-ambition-ID8P7rOm.html,Sim,,,,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Alfa Romeo,MiTo,1.3 JTDM Urban,Diesel,Abril,2018,106 288 km,1 248 cm3,95 cv,,,Sim,Utilitário,Vermelho,Manual,,3,4,,,18 Meses,Nacional,Sim,,Usados,13 900        EUR,8088911221,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-urban-ID8Pqfk1.html,Sim,,,,Sim,,,Sim,,,"113,34 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Junho,2013,146 701 km,1 461 cm3,110 cv,Sim,,,SUV / TT,Prateado,Manual,,5,5,Classe 1,,18 Meses,Nacional,,Sim,Usados,13 400        EUR,8090609197,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ID8Pxn2J.html,Sim,,,,Sim,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,DS,DS4 Crossback,PureTech 130 S&S,Gasolina,Outubro,2016,98 521 km,1 199 cm3,130 cv,,,Sim,Utilitário,Azul,Manual,6,5,5,,Tracção dianteira,18 Meses,Importado,,,Usados,14 999        EUR,8089558057,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds4-crossback-puretech-130-s-s-ID8PsXAR.html,Sim,116 g/km,,Pérola,,"6,10 l/100km",,Sim,"4,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500,0.9 8V TwinAir Lounge,Gasolina,Março,2017,67 123 km,875 cm3,85 cv,,,Sim,Citadino,Azul,Manual,,3,,,,36 Meses,,,Sim,Usados,12 490        EUR,8089580336,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-8v-twinair-lounge-ID8Pt3oc.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Skoda,Octavia Break,1.6 TDI Ambition DSG,Diesel,Julho,2017,183 035 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,14 490        EUR,8090475883,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-ambition-dsg-ID8PvOmw.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Golf,1.6 TDi Confortline,Diesel,Março,2015,215 665 km,1 598 cm3,90 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 990        EUR,8090294198,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-confortline-ID8Pv366.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2018,218 783 km,1 560 cm3,100 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 490        EUR,8087543379,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pkwu3.html,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Agosto,2017,252 133 km,1 560 cm3,75 cv,Sim,Sim,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,9 490        EUR,8090475881,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8PvOmt.html,,90 g/km,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Golf Variant,1.6 TDi GPS Edition,Diesel,Fevereiro,2017,198 728 km,1 598 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,,5,5,,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 990        EUR,8087436833,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-gps-edition-ID8Pk3Lz.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Junho,2017,119 508 km,1 199 cm3,82 cv,,,,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,,,Usados,11 490        EUR,8089859750,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8Pue4S.html,Sim,133 g/km,,Metalizado,,"5,80 l/100km",,Sim,"4,20 l/100km",,,,,,,,,,,Sim,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,162 378 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 990        EUR,8087409920,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PjVLu.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,VW,Passat,1.6 TDI Confortline,Diesel,Abril,2016,183 534 km,1 598 cm3,120 cv,Sim,Sim,Sim,Sedan,Preto,Manual,6,4,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 990        EUR,8087394489,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-1-6-tdi-confortline-ID8PjSKB.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2019,167 280 km,1 248 cm3,95 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 490        EUR,8090475876,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PvOmo.html,,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Business Edition S/S,Diesel,Maio,2018,180 748 km,1 598 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 290        EUR,8087357370,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-business-edition-s-s-ID8PjJ5U.html,,92 g/km,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Dacia,Sandero,1.0 TCe Stepway Comfort,Gasolina,Janeiro,2022,10 000 km,999 cm3,91 cv,,,,Citadino,Preto,Manual,6,5,5,Classe 1,,,Nacional,Sim,Sim,Usados,17 750        EUR,8090409083,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-tce-stepway-comfort-ID8PvvZ5.html,,,,Metalizado,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,BlueHDi 130 EAT8 Stop & Start Active Pack,Diesel,Outubro,2020,99 800 km,1 499 cm3,130 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,8,5,5,Classe 1,,18 Meses,Importado,Sim,Sim,Usados,21 900        EUR,8090253148,21 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-130-eat8-stop-start-active-pack-ID8PwSq0.html,Sim,,,Metalizado,Sim,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Abril,2017,122 362 km,1 560 cm3,100 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Importado,Sim,Sim,Usados,15 400        EUR,8090619501,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PxpIW.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mercedes-Benz,E 250,CDi Avantgarde BE,Diesel,Janeiro,2013,275 000 km,2 143 cm3,204 cv,Sim,,Sim,Carrinha,Bege,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Usados,16 990        EUR,8090626746,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-cdi-avantgarde-be-ID8PxrBM.html,Sim,,Classe E,,,,2,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Fiesta,1.0 EcoBoost ST-Line,Gasolina,Agosto,2020,31 850 km,998 cm3,95 cv,,,,Utilitário,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,,Usados,17 490        EUR,8090258729,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-st-line-ID8PwTS1.html,,117 g/km,,Metalizado,,5 l/100km,1,Sim,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Abril,2018,95 237 km,1 248 cm3,95 cv,,Sim,,Utilitário,Cinzento,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,15 980        EUR,8088430204,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PoebG.html,Sim,99 g/km,,Metalizado,,,1,,,,"113,34 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Skoda,Scala,1.0 TSI Ambition,Gasolina,Julho,2021,63 246 km,999 cm3,95 cv,,Sim,,Utilitário,Branco,Manual,,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Usados,16 980        EUR,8090037958,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-ambition-ID8PuYrc.html,Sim,123 g/km,,Metalizado,,,1,,,,"108,32 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,DS,DS3,1.2 PureTech Be Chic,Gasolina,Fevereiro,2018,40 760 km,1 199 cm3,110 cv,,,Sim,Citadino,Cinzento,Manual,,3,5,,,18 Meses,Nacional,,,Usados,18 990        EUR,8088209575,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds3-1-2-puretech-be-chic-ID8PniN9.html,Sim,,,Metalizado,,"5,30 l/100km",,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Toyota,Auris Touring Sports,1.8 HSD Exclusive+TSS,Híbrido (Gasolina),Outubro,2018,94 520 km,1 798 cm3,136 cv,,,,Carrinha,Cinzento,Automática,1,5,5,,Tracção dianteira,36 Meses,Nacional,Sim,Sim,Usados,19 800        EUR,8090675243,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-touring-sports-1-8-hsd-exclusive-tss-ID8PxEdZ.html,,92 g/km,,,,"3,90 l/100km",,Sim,"3,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Kadjar,1.5 dCi Black Edition,Diesel,Janeiro,2020,95 046 km,1 461 cm3,115 cv,Sim,,Sim,SUV / TT,Vermelho,Manual,6,5,5,,Tracção dianteira,18 Meses,Nacional,,,Usados,24 950        EUR,8088017340,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-kadjar-1-5-dci-black-edition-ID8PmuMA.html,Sim,,,Metalizado,,"4,90 l/100km",1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Talisman Sport Tourer,1.6 dCi Intens,Diesel,Agosto,2016,266 387 km,1 598 cm3,130 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,,Tracção dianteira,18 Meses,Nacional,,,Usados,16 500        EUR,8090154489,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-talisman-sport-tourer-1-6-dci-intens-ID8PwsKJ.html,Sim,106 g/km,,Metalizado,,"4,60 l/100km",,,"3,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi GT Line,Diesel,Novembro,2020,50 147 km,1 461 cm3,115 cv,,,Sim,Carrinha,Branco,Manual,6,5,5,,Tracção dianteira,36 Meses,,,,Usados,23 780        EUR,8090546120,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-gt-line-ID8Px6Dm.html,Sim,120 g/km,,,,"5,50 l/100km",,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.0 TCe Limited,Gasolina,Maio,2022,30 901 km,999 cm3,90 cv,,,Sim,Citadino,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,19 300        EUR,8090376001,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-limited-ID8Pvonw.html,Sim,118 g/km,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane Sport Tourer,1.3 TCe Limited,Gasolina,Maio,2019,84 693 km,1 332 cm3,140 cv,,,,Carrinha,Preto,Manual,6,5,5,,Tracção dianteira,36 Meses,,,,Usados,19 480        EUR,8090546186,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-3-tce-limited-ID8Px6Eq.html,,133 g/km,,,,"7,20 l/100km",,,"4,70 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Captur,1.0 TCe Intens,Gasolina,Junho,2021,44 876 km,999 cm3,90 cv,,,Sim,SUV / TT,Cinzento,Manual,,5,5,,,36 Meses,,,,Usados,21 380        EUR,8090546229,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-intens-ID8Px6F7.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Março,2022,35 631 km,999 cm3,70 cv,,,Sim,Citadino,Cinzento,Manual,6,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,17 890        EUR,8090376887,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PvoBN.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,DS,DS3,,Diesel,Setembro,2014,116 000 km,1 560 cm3,120 cv,,,Sim,Citadino,Vermelho,Manual,,3,,,,36 Meses,,,,Usados,16 450        EUR,8090422369,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds3-ID8PvArn.html,Sim,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
