Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Emissões CO2,Sub-modelo,Tipo de cor,Filtro de partículas,Consumo Urbano,Registo(s),2º Chave,Consumo Extra Urbano,Consumo Combinado,IUC,Gancho de Reboque,Inspecção válida até,Autonomia Máxima,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Valor sem ISV,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Peugeot,508 SW,,Diesel,Março,2016,352 563 km,1 560 cm3,120 cv,,,,Carrinha,Cinzento,Automática,,5,5,,,18 Meses,,,,Usados,11 000        EUR,8090365717,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-ID8PvlHD.html,,104 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2015,116 000 km,1 560 cm3,120 cv,,,Sim,Carrinha,Branco,Manual,,5,5,,,18 Meses,Nacional,Sim,Sim,Usados,13 500        EUR,8090665892,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PxBNa.html,Sim,,,Metalizado,,,,Sim,,,,,20/05/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Kia,Ceed SW,1.4 CVVT EX ISG,Gasolina,Maio,2010,216 000 km,1 396 cm3,90 cv,,,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,5 890        EUR,8090609356,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-4-cvvt-ex-isg-ID8Pxn5i.html,Sim,132 g/km,,Metalizado,,"6,80 l/100km",1,Sim,,,,,,1 232 km,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,MINI,Cabrio,Cooper S,Gasolina,Dezembro,2010,178 000 km,1 598 cm3,184 cv,,,,Cabrio,Cinzento,Manual,6,3,,,Tracção dianteira,,,,,Usados,14 900        EUR,8090481583,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-s-ID8PvPQr.html,,139 g/km,,,,"7,50 l/100km",,,"5,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308,1.6 BlueHDi Style,Diesel,Setembro,2018,144 000 km,1 560 cm3,100 cv,Sim,,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,,18 Meses,Nacional,,,Usados,14 750        EUR,8090617873,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-style-ID8PxpiF.html,Sim,,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,500C,1.2 Collezione Dualogic S&S,Gasolina,Março,2018,92 000 km,1 242 cm3,69 cv,Sim,,Sim,Cabrio,Outra,Automática,5,2,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,14 900        EUR,8090596038,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-collezione-dualogic-s-s-ID8PxjCu.html,Sim,105 g/km,,,,6 l/100km,,Sim,"4,10 l/100km",,,,05/03/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Smart,ForTwo Coupé,Electric Drive Passion,Eléctrico,Janeiro,2013,80 000 km,,75 cv,Sim,Sim,Sim,Pequeno citadino,Branco,Automática,5,2,2,Classe 1,Tracção traseira,18 Meses,Importado,,Sim,Usados,9 990        EUR,8038992981,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-electric-drive-passion-ID8M2Nj7.html,Sim,,,Mate,,,1,Sim,,,,,,120 km,120 km,Própria,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Julho,2014,102 765 km,898 cm3,90 cv,Sim,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,,,Sim,Usados,10 900        EUR,8090609354,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8Pxn5g.html,Sim,141 g/km,,,,"6,60 l/100km",2,Sim,"4,50 l/100km",,,,04/07/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2019,92 000 km,1 248 cm3,95 cv,,,Sim,Utilitário,Preto,Manual,,5,5,,,18 Meses,Nacional,Sim,Sim,Usados,13 900        EUR,8090452718,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PvIkS.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Fiat,Panda,1.0 Hybrid City Cross,Gasolina,Novembro,2021,29 000 km,999 cm3,70 cv,,,Sim,Citadino,Branco,Manual,,5,5,,,36 Meses,Nacional,Sim,Sim,Usados,13 900        EUR,8090111545,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-cross-ID8PwhA5.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-22
