Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Possibilidade de financiamento,Não fumador,Inspecção válida até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,IVA Discriminado,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Site,Portugal,Data
Profissional,Mercedes-Benz,GLA 180,d Style Aut.,Diesel,Março,2018,53 366 km,1 461 cm3,109 cv,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,27 490,8091613537,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-180-d-style-aut-ID8PBAjL.html,Sim,Sim,Sim,,,,,,,,,Classe GLA,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,C 300,BlueTEC Hybrid Avantgarde,Híbrido (Diesel),Maio,2015,221 000 km,2 143 cm3,231 cv,Carrinha,Preto,,Automática,,5,5,Classe 1,Tracção traseira,,36 Meses,,Nacional,Sim,,,,Usados,,19 999,8090902109,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-bluetec-hybrid-avantgarde-ID8PyBf7.html,Sim,Sim,Sim,,,,,,,,,Classe C,1 Janeiro 0001,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,Grand C4 Spacetourer,,Diesel,Setembro,2020,49 000 km,1 499 cm3,130 cv,SUV / TT,Prateado,,Automática,,5,7,,,,36 Meses,,Importado,,Sim,,,Usados,,22 750,8091599749,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-grand-c4-spacetourer-ID8PBvJn.html,Sim,Sim,Sim,,,,,,,,,,1 Janeiro 0001,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Abril,2022,20 593 km,999 cm3,95 cv,SUV / TT,Preto,,Manual,,5,,,,,36 Meses,,Nacional,,,,,Usados,,18 199,8090838700,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8PykKo.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Zoe,Intens 50,Eléctrico,Novembro,2020,29 800 km,,109 cv,Citadino,Cinzento,,Automática,1,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Sim,Sim,,,Usados,,23 500,8091249551,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8PA3D1.html,,Sim,Sim,2 Novembro 2024,,50 kWh,Própria,390 km,,Sim,,,,,12 kWh/100km,StandVirtual,Yes,2024-02-29
Profissional,Renault,Twingo,Electric LIFE,Eléctrico,Setembro,2021,19 000 km,,82 cv,Pequeno citadino,Branco,,Automática,,5,4,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,,16 990,8091629008,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-electric-life-ID8PBEli.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Julho,2022,33 246 km,999 cm3,95 cv,SUV / TT,Azul,,Manual,,5,,,,,36 Meses,,Nacional,,,,,Usados,,17 899,8090836014,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pyk34.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.5 BlueHDi Active Business Pack,Diesel,Julho,2021,78 409 km,1 499 cm3,102 cv,Citadino,Vermelho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,,Sim,,,Usados,Mostrar VIN,18 750,8091877133,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-business-pack-ID8PCGTj.html,Sim,Sim,,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,3008,1.5 BlueHDi Active Pack EAT8,Diesel,Janeiro,2021,124 800 km,1 499 cm3,130 cv,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,Mostrar VIN,24 890,8091875219,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-active-pack-eat8-ID8PCGor.html,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,C 180,d Avantgarde Aut.,Diesel,Abril,2019,135 990 km,1 598 cm3,122 cv,Carrinha,Azul,,Automática,9,5,,,Tracção traseira,144 g/km,24 Meses,,,Sim,Sim,"5,50 l/100km","4,20 l/100km",Usados,Mostrar VIN,28 500,8091298236,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-180-d-avantgarde-aut-ID8PAgig.html,Sim,Sim,Sim,,,,,,,Sim,,Classe C,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,e-2008,50 kWh Active,Eléctrico,Agosto,2021,27 000 km,,136 cv,SUV / TT,Preto,Metalizado,Automática,1,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,,,Usados,Mostrar VIN,23 900,8091738349,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-e-2008-50-kwh-active-ID8PC6MR.html,Sim,Sim,Sim,,340 km,50 kWh,Própria,,,,,,,,"15,90 kWh/100km",StandVirtual,Yes,2024-02-29
Profissional,MINI,Cooper,S Auto Desportiva,Gasolina,Dezembro,2014,112 714 km,1 998 cm3,192 cv,Coupé,Preto,,Automática,6,3,4,Classe 1,Tracção dianteira,,18 Meses,2,Importado,,,,,Usados,,21 950,8091737249,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-s-auto-desportiva-ID8PC6w7.html,Sim,Sim,,18 Dezembro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Junho,2019,84 725 km,1 499 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,16 500,8088441576,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Poh96.html,Sim,Sim,Sim,1 Junho 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.5 BlueHDi Active Business Pack,Diesel,Julho,2021,78 409 km,1 499 cm3,102 cv,Citadino,Vermelho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,,Sim,,,Usados,Mostrar VIN,18 750,8091877133,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-business-pack-ID8PCGTj.html,Sim,Sim,,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Corsa-e,Edition,Eléctrico,Janeiro,2024,100 km,,136 cv,Citadino,Cinzento,,Automática,,5,5,Classe 1,Tracção dianteira,,36 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,29 155,8091799528,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-e-edition-ID8PCmHC.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Particular,Mercedes-Benz,CLA 220,CDi AMG Sport Aut.,Diesel,Janeiro,2014,146 000 km,2 143 cm3,170 cv,Sedan,Branco,,Automática,9,4,5,,Tracção traseira,117 g/km,,,,,,"5,60 l/100km",4 l/100km,Usados,Mostrar VIN,28 500,8091858288,28 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-cdi-amg-sport-aut-ID8PCBZm.html,,,,,,,,,,,,Classe CLA,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Zoe,Intens 50,Eléctrico,Novembro,2020,29 800 km,,109 cv,Citadino,Cinzento,,Automática,1,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Sim,Sim,,,Usados,,23 500,8091249551,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8PA3D1.html,,Sim,Sim,2 Novembro 2024,,50 kWh,Própria,390 km,,Sim,,,,,12 kWh/100km,StandVirtual,Yes,2024-02-29
Profissional,Renault,Twingo,Electric LIFE,Eléctrico,Setembro,2021,19 000 km,,82 cv,Pequeno citadino,Branco,,Automática,,5,4,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,,16 990,8091629008,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-electric-life-ID8PBEli.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Julho,2022,33 246 km,999 cm3,95 cv,SUV / TT,Azul,,Manual,,5,,,,,36 Meses,,Nacional,,,,,Usados,,17 899,8090836014,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8Pyk34.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.5 BlueHDi Active Business Pack,Diesel,Julho,2021,78 409 km,1 499 cm3,102 cv,Citadino,Vermelho,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,,Sim,,,Usados,Mostrar VIN,18 750,8091877133,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-business-pack-ID8PCGTj.html,Sim,Sim,,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,3008,1.5 BlueHDi Active Pack EAT8,Diesel,Janeiro,2021,124 800 km,1 499 cm3,130 cv,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,Mostrar VIN,24 890,8091875219,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-active-pack-eat8-ID8PCGor.html,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,C 180,d Avantgarde Aut.,Diesel,Abril,2019,135 990 km,1 598 cm3,122 cv,Carrinha,Azul,,Automática,9,5,,,Tracção traseira,144 g/km,24 Meses,,,Sim,Sim,"5,50 l/100km","4,20 l/100km",Usados,Mostrar VIN,28 500,8091298236,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-180-d-avantgarde-aut-ID8PAgig.html,Sim,Sim,Sim,,,,,,,Sim,,Classe C,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,e-2008,50 kWh Active,Eléctrico,Agosto,2021,27 000 km,,136 cv,SUV / TT,Preto,Metalizado,Automática,1,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,,,Usados,Mostrar VIN,23 900,8091738349,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-e-2008-50-kwh-active-ID8PC6MR.html,Sim,Sim,Sim,,340 km,50 kWh,Própria,,,,,,,,"15,90 kWh/100km",StandVirtual,Yes,2024-02-29
Profissional,MINI,Cooper,S Auto Desportiva,Gasolina,Dezembro,2014,112 714 km,1 998 cm3,192 cv,Coupé,Preto,,Automática,6,3,4,Classe 1,Tracção dianteira,,18 Meses,2,Importado,,,,,Usados,,21 950,8091737249,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-s-auto-desportiva-ID8PC6w7.html,Sim,Sim,,18 Dezembro 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Junho,2019,84 725 km,1 499 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,16 500,8088441576,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8Poh96.html,Sim,Sim,Sim,1 Junho 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,VW,T-Roc,1.0 TSI Style,Gasolina,Agosto,2022,10 897 km,999 cm3,110 cv,SUV / TT,Branco,Metalizado,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,29 500,8088139205,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-t-roc-1-0-tsi-style-ID8Pn0u9.html,Sim,Sim,Sim,1 Agosto 2026,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Ford,Focus,1.0 EcoBoost MHEV ST-Line,Gasolina,Janeiro,2022,14 876 km,998 cm3,125 cv,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,26 500,8088360625,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-ecoboost-mhev-st-line-ID8PnV5r.html,Sim,Sim,Sim,1 Janeiro 2026,,,,,,,,,31 Janeiro 2025,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Leon,1.0 EcoTSI Style S/S,Gasolina,Setembro,2020,33 000 km,999 cm3,115 cv,Utilitário,Azul,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,17 990,8091892811,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-1-0-ecotsi-style-s-s-ID8PCKYb.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Ateca,1.0 TSI Style,Gasolina,Março,2021,31 000 km,999 cm3,110 cv,SUV / TT,Preto,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,21 990,8091892812,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-0-tsi-style-ID8PCKYc.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Urban,Diesel,Junho,2017,113 850 km,1 461 cm3,109 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,Sim,,,Usados,,21 900,8091140308,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-urban-ID8PzBd2.html,Sim,Sim,Sim,,,,,,,Sim,,Classe CLA,,,,StandVirtual,Yes,2024-02-29
Profissional,BMW,420 Gran Coupé,d Advantage,Diesel,Setembro,2015,104 645 km,1 995 cm3,190 cv,Utilitário,Cinzento,,Manual,6,5,5,Classe 1,Tracção traseira,,18 Meses,,Nacional,,Sim,,,Usados,,22 900,8091641947,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-advantage-ID8PBHHZ.html,Sim,Sim,Sim,,,,,,,Sim,,Série 4,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Abril,2019,47 963 km,1 499 cm3,130 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,Sim,,,Usados,,17 400,8091387080,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PADpe.html,Sim,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,5008,,Diesel,Setembro,2019,160 000 km,1 499 cm3,130 cv,SUV / TT,Preto,Metalizado,Manual,6,5,7,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,,,,Usados,,23 000,8091587345,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-ID8PBtwj.html,,Sim,Sim,9 Setembro 2025,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Junho,2022,33 396 km,999 cm3,110 cv,SUV / TT,Preto,,Manual,,5,,,,,36 Meses,,Nacional,,,,,Usados,,19 699,8090836015,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-fr-ID8Pyk35.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Ateca,1.6 TDI Style,Diesel,Janeiro,2020,81 000 km,1 598 cm3,115 cv,SUV / TT,Preto,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,19 990,8091892810,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ateca-1-6-tdi-style-ID8PCKYa.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Twingo,,Eléctrico,Novembro,2020,25 747 km,,80 cv,Pequeno citadino,Branco,Metalizado,Automática,,5,4,Classe 1,,,36 Meses,,Nacional,,Sim,,,Usados,,15 990,8091892809,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8PCKY9.html,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line X,Gasolina,Junho,2023,35 km,998 cm3,125 cv,SUV / TT,Preto,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Novos,,24 990,8091814611,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-x-ID8PCqCT.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line X,Gasolina,Junho,2023,45 km,998 cm3,125 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Novos,,24 990,8091814595,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-puma-1-0-ecoboost-mhev-st-line-x-ID8PCqCD.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,A 180 Limousine,d Progressive Aut.,Diesel,Outubro,2019,113 000 km,1 461 cm3,116 cv,Sedan,Cinzento,,Automática,,4,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,27 990,8091583925,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-progressive-aut-ID8PBsC9.html,Sim,Sim,,,,,,,,,,Classe A,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,5008,1.2 PureTech GT Line,Gasolina,Novembro,2019,73 000 km,1 199 cm3,130 cv,SUV / TT,Branco,,Manual,,5,7,,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,24 990,8091454460,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-2-puretech-gt-line-ID8PAUV0.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Qashqai,1.5 dCi N-Connecta,Diesel,Junho,2018,102 000 km,1 461 cm3,110 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,20 990,8091454451,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-n-connecta-ID8PAUWR.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Ford,Focus SW,1.0 EcoBoost Business,Gasolina,Setembro,2019,85 000 km,998 cm3,100 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,16 990,8091454447,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-business-ID8PAUWN.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Abril,2018,121 000 km,1 461 cm3,110 cv,Carrinha,Cinzento,,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,17 990,8090609534,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8Pxn8a.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure,Diesel,Janeiro,2019,100 000 km,1 499 cm3,130 cv,Carrinha,Azul,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,16 990,8090479804,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-ID8PvPnK.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,CLA 200,,Diesel,Setembro,2018,123 287 km,2 143 cm3,136 cv,Carrinha,Cinzento,,Automática,7,5,5,Classe 1,,,24 Meses,1,,,,,,Usados,,29 900,8091382093,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-ID8PAC6N.html,Sim,,,,,,,,,,,Classe CLA,,,,StandVirtual,Yes,2024-02-29
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Junho,2019,52 957 km,1 598 cm3,115 cv,Carrinha,Preto,,Manual,5,5,,,Tracção dianteira,130 g/km,18 Meses,,Nacional,,,,,Usados,,21 500,8091738443,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PC6On.html,,Sim,,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,BMW,X1,16 d sDrive Advantage Auto,Diesel,Fevereiro,2019,137 000 km,1 496 cm3,116 cv,SUV / TT,Branco,Pérola,Automática,7,5,5,Classe 1,Tracção dianteira,138 g/km,18 Meses,,,Sim,Sim,,,Usados,,25 750,8091738110,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-advantage-auto-ID8PC6J0.html,,Sim,,,,,,,,,,Série X,,,,StandVirtual,Yes,2024-02-29
Profissional,VW,Golf,1.6 TDI Trendline,Diesel,Julho,2017,70 919 km,1 598 cm3,90 cv,Utilitário,Cinzento,,Manual,5,5,,,Tracção dianteira,104 g/km,18 Meses,,Nacional,,,,,Usados,,19 500,8091738600,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-trendline-ID8PC6QU.html,,Sim,,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Particular,Renault,Mégane,1.3 TCe Limited,Gasolina,Fevereiro,2022,14 000 km,1 332 cm3,140 cv,Utilitário,Cinzento,,Manual,6,5,5,,Tracção dianteira,130 g/km,,1,Nacional,Sim,Sim,"7,20 l/100km","4,70 l/100km",Usados,Mostrar VIN,21 250,8091876747,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-3-tce-limited-ID8PCGN5.html,,,Sim,,,,,,,,,,22 Fevereiro 2025,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Captur,1.0 TCe Exclusive,Gasolina,Abril,2022,25 000 km,999 cm3,90 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,20 490,8091628540,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-0-tce-exclusive-ID8PBEdK.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,BMW,320,,Diesel,Agosto,2019,139 000 km,1 995 cm3,190 cv,Carrinha,Preto,,Automática,,5,5,Classe 1,,,18 Meses,,,,,,,Usados,,25 900,8090923949,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-320-ID8PyGWn.html,Sim,,Sim,,,,,,,,,Série 3,,,,StandVirtual,Yes,2024-02-29
Particular,Mercedes-Benz,A 160,d AMG Line,Diesel,Junho,2020,85 600 km,1 461 cm3,95 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,125 g/km,,2,Nacional,Sim,Sim,,,Usados,,25 300,8090987681,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-160-d-amg-line-ID8PyXwj.html,,,Sim,,,,,,,,,Classe A,,,,StandVirtual,Yes,2024-02-29
Profissional,Mercedes-Benz,C 300,BlueTEC Hybrid Avantgarde,Híbrido (Diesel),Maio,2015,221 000 km,2 143 cm3,231 cv,Carrinha,Preto,,Automática,,5,5,Classe 1,Tracção traseira,,36 Meses,,Nacional,Sim,,,,Usados,,19 999,8090902109,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-bluetec-hybrid-avantgarde-ID8PyBf7.html,Sim,Sim,Sim,,,,,,,,,Classe C,1 Janeiro 0001,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,Grand C4 Spacetourer,,Diesel,Setembro,2020,49 000 km,1 499 cm3,130 cv,SUV / TT,Prateado,,Automática,,5,7,,,,36 Meses,,Importado,,Sim,,,Usados,,22 750,8091599749,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-grand-c4-spacetourer-ID8PBvJn.html,Sim,Sim,Sim,,,,,,,,,,1 Janeiro 0001,,,StandVirtual,Yes,2024-02-29
Profissional,SEAT,Arona,1.0 TSI Style,Gasolina,Abril,2022,20 593 km,999 cm3,95 cv,SUV / TT,Preto,,Manual,,5,,,,,36 Meses,,Nacional,,,,,Usados,,18 199,8090838700,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-arona-1-0-tsi-style-ID8PykKo.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Zoe,Intens 50,Eléctrico,Novembro,2020,29 800 km,,109 cv,Citadino,Cinzento,,Automática,1,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Importado,Sim,Sim,,,Usados,,23 500,8091249551,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-intens-50-ID8PA3D1.html,,Sim,Sim,2 Novembro 2024,,50 kWh,Própria,390 km,,Sim,,,,,12 kWh/100km,StandVirtual,Yes,2024-02-29
Profissional,Renault,Twingo,Electric LIFE,Eléctrico,Setembro,2021,19 000 km,,82 cv,Pequeno citadino,Branco,,Automática,,5,4,Classe 1,,,18 Meses,,Importado,,Sim,,,Usados,,16 990,8091629008,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-electric-life-ID8PBEli.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
