Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Origem,Registo(s),Tracção,Emissões CO2,IUC,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Filtro de partículas,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Valor sem ISV,ou até,Consumo,Clássico,Site,Portugal
Profissional,BMW,520,Diesel,Janeiro,2011,220 000 km,1 995 cm3,184 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,,Sim,Usados,13 950        EUR,8088741512,12 Julho 2023,d,Nacional,1,Tracção traseira,,,12/01/2024,"5,80 l/100km",,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Diesel,Novembro,2013,248 000 km,1 968 cm3,143 cv,Sim,Sim,Sim,Citadino,Branco,Metalizado,Manual,6,3,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,10 950        EUR,8089628309,12 Julho 2023,SC 2.0 TDi FR,Nacional,1,Tracção dianteira,,,14/11/2023,"5,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,Diesel,Março,2013,184 000 km,1 598 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Branco,Pérola,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Usados,13 990        EUR,8089600174,12 Julho 2023,1.6 dCi Tekna Premium 18 360,Nacional,,Tracção dianteira,129 g/km,,,"6,30 l/100km","4,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Janeiro,2017,47 000 km,898 cm3,90 cv,Sim,Sim,Sim,SUV / TT,Azul,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,Sim,,Sim,Usados,14 990        EUR,8089579697,12 Julho 2023,0.9 TCE Exclusive,,1,Tracção dianteira,146 g/km,,,"6,30 l/100km","4,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,Gasolina,Outubro,2015,9 000 km,998 cm3,68 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,4,Classe 1,,18 Meses,Sim,,Sim,Usados,9 950        EUR,8089924416,12 Julho 2023,1.0 Selection,Nacional,1,Tracção dianteira,99 g/km,,13/10/2023,"5,10 l/100km","3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,Diesel,Abril,2015,141 000 km,1 560 cm3,115 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,,Sim,Usados,14 990        EUR,8089895154,12 Julho 2023,1.6 D2 R-Design,,,Tracção dianteira,96 g/km,,,"4,10 l/100km","3,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Altea,Diesel,Junho,2010,216 521 km,1 598 cm3,105 cv,Sim,Sim,Sim,Monovolume,Preto,,Manual,5,5,5,,,18 Meses,,Sim,Sim,Usados,8 600        EUR,8089414366,12 Julho 2023,XL 1.6 TDi Reference Eco.Start-Stop,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Agosto,2018,167 395 km,1 560 cm3,100 cv,Sim,Sim,Sim,Carrinha,Azul,,Manual,,5,5,,,18 Meses,,,,Usados,14 750        EUR,8088666953,12 Julho 2023,1.6 BlueHDi Active,Nacional,,,97 g/km,,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,Gasolina,Abril,2016,97 000 km,898 cm3,90 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,14 750        EUR,8089936681,12 Julho 2023,0.9 TCE Exclusive,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Cabriolet,Diesel,Abril,2012,126 000 km,1 600 cm3,105 cv,Sim,Sim,Sim,Cabrio,Vermelho,Metalizado,Manual,5,2,4,,,18 Meses,,,Sim,Usados,14 750        EUR,8088415300,12 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Novembro,2013,223 427 km,1 598 cm3,116 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,Sim,,Usados,13 500        EUR,8089555670,12 Julho 2023,d EDynamics Line Urban,Importado,,,109 g/km,,,,,,Sim,Série 1,,,,,,,,,,,StandVirtual,Yes
