Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Inspecção válida até,Garantia de Stand (incl. no preço),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IVA dedutível,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,IVA Discriminado,Tipo de cor,Valor Fixo,Garantia de Fábrica até,Filtro de partículas,ou até,Autonomia Máxima,IUC,Sub-modelo,Consumo Combinado,Autonomia,Consumo,Bateria,Capacidade da bateria,Site,Portugal
Profissional,Fiat,Punto,1.3 M-Jet Easy S&S,Diesel,Maio,2015,199 000 km,1 248 cm3,95 cv,,,Citadino,Cinzento,Manual,5,5,5,Classe 1,,18 Meses,,,Usados,9 500        EUR,8088784895,4 Julho 2023,,Tracção dianteira,,,Nacional,,"4,40 l/100km",,,Metalizado,Sim,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Croma,1.9 M-Jet Pur-O2,Diesel,Abril,2010,326 000 km,1 910 cm3,120 cv,,,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Usados,6 200        EUR,8087272848,4 Julho 2023,,Tracção dianteira,,,Nacional,,"7,90 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Novembro,2016,63 000 km,1 461 cm3,90 cv,,Sim,Citadino,Branco,Manual,,5,,,,18 Meses,Sim,Sim,Usados,10 990        EUR,8089959146,4 Julho 2023,,,,1,,Sim,"3,30 l/100km",,,Metalizado,Sim,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Skoda,Fabia Break,1.4 TDi Ambiente,Diesel,Março,2010,234 000 km,1 422 cm3,80 cv,,,Carrinha,Preto,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Usados,7 550        EUR,8089146437,4 Julho 2023,,Tracção dianteira,,,Nacional,,"5,70 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.6 Acenta,Gasolina,Novembro,2010,110 160 km,1 598 cm3,117 cv,Sim,Sim,SUV / TT,Vermelho,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Usados,10 750        EUR,8089529616,4 Julho 2023,,,,,Nacional,,,,,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,,Gasolina,Outubro,2014,119 261 km,998 cm3,65 cv,Sim,Sim,Utilitário,Preto,Manual,5,3,5,Classe 1,,18 Meses,Sim,Sim,Usados,7 399        EUR,8088353168,4 Julho 2023,,,,1,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Chevrolet,Spark,1.0 LT Bi-Fuel,GPL,Abril,2013,145 000 km,995 cm3,68 cv,,,Citadino,Preto,Manual,5,5,5,Classe 1,25/04/2024,,Sim,Sim,Usados,6 000        EUR,8089898411,4 Julho 2023,,Tracção dianteira,,1,Nacional,Sim,"6,60 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.6 THP Sport Chic,Gasolina,Novembro,2013,60 000 km,1 598 cm3,155 cv,Sim,Sim,Cabrio,Cinzento,Manual,6,3,4,,,18 Meses,,Sim,Usados,13 000        EUR,8089643761,4 Julho 2023,,Tracção dianteira,139 g/km,,,,"8,20 l/100km","4,70 l/100km",,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Junho,2017,149 000 km,1 560 cm3,100 cv,Sim,Sim,Citadino,Azul,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,11 850        EUR,8088784704,4 Julho 2023,,Tracção dianteira,,1,,Sim,,,,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Active,Gasolina,Fevereiro,2018,119 000 km,1 199 cm3,82 cv,Sim,Sim,Citadino,Preto,Manual,,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,11 900        EUR,8089511125,4 Julho 2023,,Tracção dianteira,,,,Sim,"5,80 l/100km",,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
