Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Inspecção válida até,Livro de Revisões completo,Sub-modelo,IUC,IVA Discriminado,Filtro de partículas,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,VW,Golf,,Diesel,Dezembro,2014,189 000 km,1 598 cm3,110 cv,Utilitário,Branco,Manual,5,4,5,Tracção dianteira,,,,Usados,13 900        EUR,8090609400,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-ID8Pxn60.html,,,Sim,,Classe 1,36 Meses,2,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,VW,Golf,1.6 TDi Highline,Diesel,Agosto,2015,139 000 km,1 598 cm3,105 cv,Sedan,Cinzento,Manual,6,5,5,,,,,Usados,14 500        EUR,8090325801,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-highline-ID8PvbjP.html,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Fiat,500C,0.9 8V TwinAir Lounge,Gasolina,Janeiro,2014,127 000 km,875 cm3,85 cv,Cabrio,Preto,Manual,,2,4,,,,,Usados,10 500        EUR,8090730564,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-0-9-8v-twinair-lounge-ID8PxSCg.html,Sim,Sim,,,,18 Meses,,Importado,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Toyota,Aygo,1.0 Blue Edition,Gasolina,Agosto,2013,106 000 km,998 cm3,68 cv,Pequeno citadino,Azul,Manual,,5,4,,,,,Usados,6 999        EUR,8090564259,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-blue-edition-ID8PxblW.html,,Sim,,,,18 Meses,,Nacional,Sim,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Peugeot,208,1.6 e-HDi Allure,Diesel,Janeiro,2012,140 000 km,1 560 cm3,115 cv,Citadino,Cinzento,Manual,,5,5,,99 g/km,,,Usados,11 500        EUR,8090542398,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-e-hdi-allure-ID8Px5Fk.html,Sim,Sim,Sim,,Classe 1,18 Meses,2,,Sim,,,,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Agosto,2019,88 000 km,1 499 cm3,102 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,120 g/km,"4,30 l/100km","3,30 l/100km",Usados,14 850        EUR,8090730559,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8PxSCb.html,,,,,Classe 1,18 Meses,1,,Sim,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Particular,BMW,i3,+Comfort Package Advance,Eléctrico,Abril,2015,137 000 km,,170 cv,Citadino,Cinzento,Automática,,5,4,Tracção traseira,,,,Usados,14 990        EUR,8089950365,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-comfort-package-advance-ID8PuBEp.html,Sim,,,,Classe 1,,1,Nacional,Sim,Sim,,,Série i,,,,100 km,Própria,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Chevrolet,Cruze SW,1.7 VCDi LTZ,Diesel,Março,2013,186 000 km,1 686 cm3,130 cv,Carrinha,Preto,Manual,,5,5,,,,,Usados,7 999        EUR,8090566347,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-cruze-sw-1-7-vcdi-ltz-ID8PxbTB.html,,Sim,,,,18 Meses,,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Dezembro,2017,54 331 km,898 cm3,90 cv,Utilitário,Preto,Manual,5,5,5,,,,,Usados,12 900        EUR,8090679741,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8PxFox.html,Sim,Sim,,Metalizado,Classe 1,18 Meses,1,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Dezembro,2018,205 220 km,1 499 cm3,130 cv,Carrinha,Preto,Manual,6,5,5,Tracção dianteira,,,,Usados,12 990        EUR,8088297455,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PnFEz.html,Sim,,Sim,,Classe 1,18 Meses,1,Nacional,Sim,,,Sim,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
