Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Abril,2021,39 601 km,1 950 cm3,116 cv,,Utilitário,Branco,Automática,,5,5,,Nacional,,,,,Usados,33 000        EUR,8089159277,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,VW,ID.3,Pro Performance,Eléctrico,Maio,2022,2 km,,204 cv,Sim,Utilitário,Branco,Automática,,5,5,,Importado,,,,,Usados,44 500        EUR,8088242960,10 Julho 2023,Sim,,,,36 Meses,,,,,,,,,,,Sim,,,,Própria,,,,StandVirtual,Yes
Profissional,SEAT,Ateca,1.5 TSI ACT OPF Style,Gasolina,Outubro,2022,6 500 km,1 498 cm3,150 cv,Sim,SUV / TT,Azul,Manual,6,5,5,,Importado,Sim,Sim,Sim,,Usados,31 500        EUR,8089558188,10 Julho 2023,Sim,Mate,Tracção dianteira,,24 Meses,1,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid Allure Pack e-EAT8,Híbrido (Gasolina),Maio,2022,12 000 km,1 598 cm3,225 cv,Sim,SUV / TT,Branco,Automática,8,5,5,Classe 1,Importado,Sim,Sim,Sim,,Usados,38 950        EUR,8089637459,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,28 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 250,d Aut.,Diesel,Abril,2017,30 000 km,2 143 cm3,204 cv,Sim,Cabrio,Prateado,Automática,9,2,4,Classe 1,Nacional,,Sim,Sim,"5,20 l/100km",Usados,42 950        EUR,8089637515,10 Julho 2023,Sim,Metalizado,Tracção traseira,,36 Meses,,,121 g/km,,,"4,30 l/100km",Classe C,,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,TT Coupé,2.0 TFSI quattro S-line S tronic,Gasolina,Junho,2018,107 347 km,1 984 cm3,230 cv,,Coupé,Cinzento,Automática,6,3,4,Classe 1,Importado,Sim,,Sim,"8,50 l/100km",Usados,41 000        EUR,8089703679,10 Julho 2023,,Metalizado,Integral,,,,,153 g/km,251 €,,"5,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi GT Line EAT8,Diesel,Maio,2019,74 543 km,1 499 cm3,130 cv,,SUV / TT,Cinzento,Automática,,5,,,Nacional,,,,,Usados,30 999        EUR,8089781619,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Auto,Diesel,Novembro,2017,64 000 km,1 995 cm3,190 cv,Sim,Carrinha,Azul,Automática,8,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,33 480        EUR,8089911711,10 Julho 2023,Sim,Metalizado,Tracção traseira,,18 Meses,1,Sim,134 g/km,224 €,,,Série 5,,,Sim,Sim,950 km,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,EV 64kWh Vanguard,Eléctrico,Janeiro,2022,11 000 km,,204 cv,Sim,SUV / TT,Branco,Automática,,5,5,Classe 1,,Sim,Sim,Sim,,Usados,35 980        EUR,8089894596,10 Julho 2023,Sim,,Tracção dianteira,,18 Meses,1,Sim,,,,,,,,Sim,Sim,,484 km,64 kWh,Própria,,"14,70 kWh/100km",,StandVirtual,Yes
Particular,BMW,520,,Diesel,Setembro,2018,149 600 km,1 995 cm3,190 cv,,Carrinha,Cinzento,Automática,8,5,5,,Importado,Sim,Sim,Sim,,Usados,31 000        EUR,8089944335,10 Julho 2023,,Metalizado,,,,,,114 g/km,,,,Série 5,,,,,,,,,,,,StandVirtual,Yes
