Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Valor Fixo,Aceita retoma,Não fumador,Tracção,Filtro de partículas,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,ou até,Autonomia Máxima,Inspecção válida até,IUC,Consumo Combinado,Autonomia,Consumo
Profissional,BMW,740,e iPerformance Pack M,Híbrido (Gasolina),Setembro,2016,90 600 km,1 998 cm3,326 cv,,,Sim,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,,18 Meses,1,Importado,Sim,Usados,49 990        EUR,8088523404,1 Junho 2023,Série 7,Sim,Sim,Sim,Tracção traseira,,Sim,,,,,,,,,,
Profissional,BMW,X2,25 e xDrive Pack M,Híbrido (Gasolina),Março,2021,20 000 km,1 499 cm3,220 cv,,,Sim,Utilitário,Preto,Metalizado,Automática,,5,5,,,18 Meses,,,Sim,Usados,47 990        EUR,8089342817,1 Junho 2023,Série X,Sim,Sim,Sim,,Sim,Sim,,,,,,,,,,
Profissional,Renault,Captur,,Híbrido (Gasolina),Janeiro,2023,4 527 km,1 300 cm3,145 cv,,,Sim,SUV / TT,Branco,,Automática,,5,5,,,18 Meses,1,Nacional,Sim,Usados,30 300        EUR,8089382551,1 Junho 2023,,Sim,Sim,,,,,,,,,,,,,,
Profissional,Volvo,XC 90,2.0 T8 PHEV Inscription AWD,Híbrido (Gasolina),Dezembro,2016,147 500 km,1 969 cm3,408 cv,,,Sim,SUV / TT,Branco,,Automática,,5,7,,,24 Meses,,Importado,Sim,Usados,44 950        EUR,8089553051,1 Junho 2023,,,Sim,Sim,,,Sim,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,de AMG Line,Híbrido (Diesel),Janeiro,2020,75 896 km,1 950 cm3,306 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Automática,9,4,5,Classe 1,,24 Meses,,Nacional,Sim,Usados,53 990        EUR,8089129882,1 Junho 2023,Classe C,Sim,Sim,Sim,,,Sim,,,,,,,,,,
Profissional,BMW,740,e iPerformance Pack M,Híbrido (Gasolina),Agosto,2017,90 513 km,1 998 cm3,326 cv,,,Sim,Sedan,Preto,Metalizado,Automática,,4,5,,,18 Meses,,Nacional,Sim,Usados,53 950        EUR,8088783039,1 Junho 2023,Série 7,,,Sim,,,Sim,,,,,,,,,,
Profissional,Lexus,UX 250h,Special Edition (LCA),Híbrido (Gasolina),Junho,2019,35 630 km,1 987 cm3,184 cv,,,Sim,Utilitário,Castanho,Metalizado,Automática,,5,,,,18 Meses,1,Nacional,Sim,Usados,39 950        EUR,8088857800,1 Junho 2023,UX,,Sim,Sim,,,Sim,"4,70 l/100km",,,,,,,,,
Profissional,Peugeot,3008,1.6 Hybrid Allure e-EAT8,Híbrido (Gasolina),Junho,2021,19 951 km,1 598 cm3,225 cv,,,Sim,SUV / TT,Preto,,Automática,,5,,,,36 Meses,,Nacional,,Usados,38 999        EUR,8088918991,1 Junho 2023,,Sim,,,,,,,,,,,,,,,
Particular,Volvo,V60,2.4 D6 Momentum AWD Phev,Híbrido (Diesel),Setembro,2016,81 600 km,2 400 cm3,286 cv,,,,Carrinha,Preto,Metalizado,Automática,6,5,5,Classe 1,,,,Nacional,Sim,Usados,22 000        EUR,8088141631,1 Junho 2023,,,,,Integral,,Sim,,,,,50 km,,,,,
Profissional,Renault,Arkana,1.6 E-Tech Techno,Híbrido (Gasolina),Junho,2021,32 000 km,1 598 cm3,145 cv,,,Sim,SUV / TT,Laranja,,Automática,,5,5,Classe 1,,36 Meses,1,Nacional,Sim,Usados,34 950        EUR,8089151032,1 Junho 2023,,,Sim,Sim,Tracção dianteira,,Sim,"4,60 l/100km",,,,,,,,,
Profissional,Toyota,RAV4,2.5 HDF Square Collection,Híbrido (Gasolina),Junho,2021,39 263 km,2 487 cm3,218 cv,,,Sim,SUV / TT,Cinzento,,Automática,,5,5,,105 g/km,60 Meses,,Nacional,,Usados,47 500        EUR,8088176577,25 Maio 2023,,Sim,Sim,,,,,,,08/06/2028,,,,,"4,60 l/100km",,
Profissional,Mercedes-Benz,C 300,de AMG Line,Híbrido (Diesel),Outubro,2019,56 000 km,1 950 cm3,306 cv,,,Sim,Carrinha,Preto,Metalizado,Automática,9,5,5,Classe 1,,18 Meses,1,Importado,Sim,Usados,41 500        EUR,8088830056,1 Junho 2023,Classe C,Sim,Sim,Sim,Tracção traseira,Sim,Sim,,,,,,,220 €,3 l/100km,,
Profissional,Peugeot,3008,1.6 Hybrid4 Allure Pack e-EAT8,Híbrido (Gasolina),Abril,2021,27 880 km,1 598 cm3,300 cv,,,Sim,SUV / TT,Branco,,Automática,,5,5,,,18 Meses,,Nacional,,Usados,39 990        EUR,8089641607,31 Maio 2023,,Sim,,,,,,,,,,,,,,,
Profissional,Peugeot,3008,1.6 Hybrid Allure e-EAT8,Híbrido (Gasolina),Março,2021,15 727 km,1 598 cm3,225 cv,,,Sim,SUV / TT,Azul,,Automática,,5,,,,36 Meses,,Nacional,,Usados,38 999        EUR,8088918988,1 Junho 2023,,Sim,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,de AMG Line,Híbrido (Diesel),Outubro,2019,56 000 km,1 950 cm3,306 cv,,,Sim,Carrinha,Preto,Metalizado,Automática,9,5,5,Classe 1,,18 Meses,1,Importado,Sim,Usados,41 500        EUR,8088830056,1 Junho 2023,Classe C,Sim,Sim,Sim,Tracção traseira,Sim,Sim,,,,,,,220 €,3 l/100km,,
Profissional,Porsche,Panamera,Turbo S E-Hybrid,Híbrido (Gasolina),Março,2018,64 000 km,3 996 cm3,700 cv,,,,Sedan,Preto,Metalizado,Automática,,5,4,,,18 Meses,2,Importado,Sim,Usados,140 900        EUR,8088479035,1 Junho 2023,,,Sim,Sim,Integral,,Sim,,,12/09/2023,,,,,,,
Profissional,Mercedes-Benz,E 300,BlueTEC Hybrid Elegance,Híbrido (Diesel),Janeiro,2014,264 320 km,2 143 cm3,231 cv,,,Sim,Carrinha,Preto,,Automática,,5,5,Classe 1,,18 Meses,2,,Sim,Usados,18 500        EUR,8088521536,1 Junho 2023,Classe E,Sim,,Sim,,Sim,,,,,,,,,,,
