Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Valor Fixo,Tipo de cor,Tracção,Emissões CO2,Origem,Consumo Urbano,Consumo Extra Urbano,IUC,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Consumo,Clássico,Site,Portugal
Profissional,Dacia,Sandero,Diesel,Março,2017,105 500 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Manual,,5,5,,,,18 Meses,,Sim,Sim,Sim,Usados,13 990        EUR,8087487192,6 Julho 2023,1.5 dCi Stepway,,Metalizado,,,Nacional,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Insignia Country Tourer,Diesel,Dezembro,2015,399 800 km,1 598 cm3,136 cv,,,Carrinha,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,8 990        EUR,8089760543,6 Julho 2023,1.6 CDTi S/S,Sim,,,,,"4,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Opel,Adam,Gasolina,Julho,2016,159 000 km,999 cm3,115 cv,,,Citadino,Branco,Manual,5,3,5,Classe 1,,,,,,Sim,,Usados,12 750        EUR,8089912879,6 Julho 2023,,,,Tracção dianteira,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Fevereiro,2020,79 521 km,1 199 cm3,75 cv,Sim,Sim,Citadino,Outra,Manual,5,5,5,Classe 1,,18/02/2024,18 Meses,1,Sim,Sim,Sim,Usados,14 500        EUR,8089989282,6 Julho 2023,1.2 Edition,,Metalizado,Tracção dianteira,,Nacional,,,,,Sim,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,Gasolina,Maio,2014,79 000 km,998 cm3,72 cv,,Sim,Citadino,Branco,Manual,,5,5,,,,18 Meses,2,Sim,,Sim,Usados,9 390        EUR,8089773969,6 Julho 2023,1.0 VVT-i Comfort,,,Tracção dianteira,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Julho,2018,254 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,12 990        EUR,8089819891,6 Julho 2023,1.5 dCi Limited,,Metalizado,Tracção dianteira,95 g/km,Nacional,"4,20 l/100km","3,40 l/100km",,,Sim,Sim,,,,,,,,,,StandVirtual,Yes
Particular,Fiat,500C,Diesel,Agosto,2016,70 000 km,1 248 cm3,95 cv,,,Cabrio,Branco,Manual,5,2,4,Classe 1,Sim,01/08/2024,,2,,Sim,Sim,Usados,14 850        EUR,8089746149,6 Julho 2023,1.3 16V MJ Lounge S&S,,,Tracção dianteira,95 g/km,Nacional,5 l/100km,"3,30 l/100km","109,16 €",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,Gasolina,Maio,2013,40 000 km,999 cm3,102 cv,Sim,,Cabrio,Cinzento,Automática,,2,2,,,,18 Meses,1,Sim,Sim,Sim,Usados,11 750        EUR,8087409644,6 Julho 2023,1.0 T Brabus Xclusive,,,,,Importado,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Janeiro,2018,116 200 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Branco,Manual,,5,,,,,18 Meses,,,,,Usados,13 500        EUR,8089067065,6 Julho 2023,1.5 dCi Limited,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Diesel,Junho,2017,172 000 km,1 248 cm3,95 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,9 900        EUR,8089818547,6 Julho 2023,1.3 CDTi Business Edition,Sim,Metalizado,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C-Elysée,Diesel,Janeiro,2014,191 000 km,1 560 cm3,92 cv,Sim,,Sedan,Preto,Manual,,4,5,,,,18 Meses,1,,,Sim,Usados,7 600        EUR,8086902537,6 Julho 2023,1.6 HDi Seduction,,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
