Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Autonomia,Capacidade da bateria,Valor Fixo,Autonomia Máxima,Origem,Sub-modelo,Classe do veículo,Registo(s),Garantia de Fábrica até,ou até,Consumo Combinado,Filtro de partículas,IUC,Gancho de Reboque,Consumo,Bateria,Clássico,Site,Portugal,Data
Profissional,Chevrolet,Aveo,1.2 LS Bi-Fuel,Gasolina,Março,2011,133 530 km,1 206 cm3,84 cv,Sedan,Cinzento,Manual,5,4,5,,,,,Usados,5 950        EUR,8088332019,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-aveo-1-2-ls-bi-fuel-ID8PnOE3.html,,Sim,Sim,Metalizado,,18 Meses,,Sim,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,C3,1.6 BlueHDi Feel 83g,Diesel,Março,2017,97 000 km,1 560 cm3,75 cv,Utilitário,Prateado,Manual,5,5,5,,,,,Usados,13 900        EUR,8090611321,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-feel-83g-ID8PxnAZ.html,,Sim,Sim,Metalizado,,18 Meses,,,Sim,,,Sim,,Nacional,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,DS3,1.6 BlueHDi Be Chic,Diesel,Maio,2015,150 500 km,1 560 cm3,100 cv,Citadino,Prateado,Manual,,3,5,Tracção dianteira,,,,Usados,12 750        EUR,8088071668,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-bluehdi-be-chic-ID8PmIUQ.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,,Importado,,Classe 1,1,,,5 l/100km,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Ibiza,1.2 TSI Style,Gasolina,Setembro,2015,104 000 km,1 197 cm3,85 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Usados,10 900        EUR,8090106965,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-tsi-style-ID8Pwgod.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,,Importado,,Classe 1,1,,,"5,50 l/100km",,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,158 209 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,5,5,5,Tracção dianteira,,,,Usados,12 490        EUR,8087635825,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PkTx7.html,Sim,,Sim,,,18 Meses,Sim,Sim,,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,SEAT,Ibiza,1.6 TDI Reference,Diesel,Abril,2018,143 000 km,1 598 cm3,95 cv,Utilitário,Cinzento,Manual,,5,5,,,,,Usados,13 990        EUR,8089566242,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-reference-ID8PsZIS.html,,Sim,Sim,,,18 Meses,Sim,,Sim,,,Sim,,Nacional,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Março,2018,101 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,,3,4,,,,,Usados,12 990        EUR,8089566235,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PsZIL.html,,Sim,Sim,,,18 Meses,Sim,,Sim,,,Sim,,Nacional,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Mégane,1.5 dCi Dynamique CO2 Champion,Diesel,Maio,2010,182 000 km,1 461 cm3,110 cv,Utilitário,Cinzento,Manual,6,5,5,Tracção dianteira,,"4,90 l/100km",,Usados,7 999        EUR,8090805068,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-dynamique-co2-champion-ID8PybZV.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,,,,Sim,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Ford,Fiesta,1.6 TDCi Titanium,Diesel,Janeiro,2014,156 000 km,1 560 cm3,95 cv,Citadino,Vermelho,Manual,5,5,5,Tracção dianteira,,"4,40 l/100km",,Usados,10 900        EUR,8088799260,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-6-tdci-titanium-ID8PpMcc.html,,Sim,Sim,Metalizado,,18 Meses,Sim,Sim,Sim,,,,,,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Mégane Sport Tourer,,Diesel,Outubro,2016,196 000 km,1 461 cm3,110 cv,Carrinha,Cinzento,Manual,,5,5,,,,,Usados,12 490        EUR,8090320036,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-ID8Pv9OQ.html,,Sim,Sim,,01/10/2024,18 Meses,Sim,Sim,Sim,,,,,Nacional,,Classe 1,,,,,,,,,,,StandVirtual,Yes,2023-10-12
